City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Eloor,Good,39,CO,1,2019-05-29
Eloor,Good,49,CO,1,2019-05-30
Eloor,Good,43,CO,1,2019-05-31
Eloor,Good,38,CO,1,2019-06-01
Eloor,Good,32,CO,1,2019-06-02
Eloor,Good,28,CO,1,2019-06-03
Eloor,Satisfactory,53,CO,1,2019-06-04
Eloor,Good,44,CO,1,2019-06-05
Eloor,Good,37,CO,1,2019-06-06
Eloor,Good,38,CO,1,2019-06-07
Eloor,Good,34,CO,1,2019-06-08
Eloor,Good,29,CO,1,2019-06-09
Eloor,Good,49,"PM
2.5",1,2019-06-10
Eloor,Good,37,CO,1,2019-06-11
Eloor,Good,44,CO,1,2019-06-12
Eloor,Satisfactory,51,CO,1,2019-06-13
Eloor,Good,43,CO,1,2019-06-18
Eloor,Good,40,CO,1,2019-06-19
Eloor,Good,40,CO,1,2019-06-20
Eloor,Good,35,CO,1,2019-06-21
Eloor,Good,45,CO,1,2019-06-22
Eloor,Good,29,CO,1,2019-06-23
Eloor,Good,39,CO,1,2019-06-24
Eloor,Good,40,CO,1,2019-06-25
Eloor,Satisfactory,61,CO,1,2019-06-26
Eloor,Good,44,CO,1,2019-06-27
Eloor,Good,48,CO,1,2019-06-28
Eloor,Good,46,CO,1,2019-06-29
Eloor,Good,33,CO,1,2019-06-30
Eloor,Good,44,CO,1,2019-07-01
Eloor,Good,37,"PM
10",1,2019-07-02
Eloor,Good,23,OZONE,1,2019-07-03
Eloor,Good,32,CO,1,2019-07-04
Eloor,Good,25,CO,1,2019-07-05
Eloor,Good,36,"PM
2.5",1,2019-07-06
Eloor,Good,39,CO,1,2019-07-07
Eloor,Good,44,CO,1,2019-07-08
Eloor,Good,43,CO,1,2019-07-09
Eloor,Satisfactory,55,CO,1,2019-07-10
Eloor,Good,48,"PM
2.5",1,2019-07-11
Eloor,Satisfactory,55,CO,1,2019-07-12
Eloor,Good,46,CO,1,2019-07-13
Eloor,Good,36,"PM
2.5",1,2019-07-14
Eloor,Good,34,CO,1,2019-07-15
Eloor,Good,23,"PM
10",1,2019-07-16
Eloor,Good,31,"PM
10",1,2019-07-17
Eloor,Good,34,CO,1,2019-07-18
Eloor,Good,27,CO,1,2019-07-19
Eloor,Good,33,CO,1,2019-07-20
Eloor,Good,26,CO,1,2019-07-21
Eloor,Good,26,CO,1,2019-07-22
Eloor,Good,38,CO,1,2019-07-23
Eloor,Good,38,"PM
2.5",1,2019-07-24
Eloor,Good,29,CO,1,2019-07-25
Eloor,Good,31,CO,1,2019-07-26
Eloor,Good,43,CO,1,2019-07-27
Eloor,Good,43,CO,1,2019-07-28
Eloor,Good,31,CO,1,2019-07-29
Eloor,Good,45,CO,1,2019-07-30
Eloor,Good,38,CO,1,2019-07-31
Eloor,Good,36,CO,1,2019-08-01
Eloor,Good,30,CO,1,2019-08-02
Eloor,Good,22,OZONE,1,2019-08-03
Eloor,Good,23,OZONE,1,2019-08-04
Eloor,Good,21,OZONE,1,2019-08-05
Eloor,Good,45,CO,1,2019-08-06
Eloor,Good,32,CO,1,2019-08-07
Eloor,Good,26,CO,1,2019-08-08
Eloor,Good,32,CO,1,2019-08-09
Eloor,Good,31,CO,1,2019-08-10
Eloor,Good,27,CO,1,2019-08-11
Eloor,Good,24,CO,1,2019-08-12
Eloor,Good,31,CO,1,2019-08-13
Eloor,Good,26,"PM
2.5",1,2019-08-14
Eloor,Good,26,CO,1,2019-08-15
Eloor,Good,35,CO,1,2019-08-16
Eloor,Good,36,CO,1,2019-08-17
Eloor,Good,43,CO,1,2019-08-18
Eloor,Good,25,CO,1,2019-08-19
Eloor,Good,30,"PM
10",1,2019-08-20
Eloor,Good,31,CO,1,2019-08-21
Eloor,Good,31,CO,1,2019-08-22
Eloor,Good,22,CO,1,2019-08-23
Eloor,Good,32,CO,1,2019-08-24
Eloor,Good,27,CO,1,2019-08-25
Eloor,Good,22,CO,1,2019-08-26
Eloor,Good,25,CO,1,2019-08-27
Eloor,Good,28,CO,1,2019-08-28
Eloor,Good,29,CO,1,2019-08-29
Eloor,Good,31,CO,1,2019-08-30
Eloor,Good,27,CO,1,2019-08-31
Eloor,Good,25,CO,1,2019-09-01
Eloor,Satisfactory,54,"PM
2.5",1,2019-09-02
Eloor,Good,33,CO,1,2019-09-03
Eloor,Good,16,"PM
10",1,2019-09-04
Eloor,Good,22,CO,1,2019-09-05
Eloor,Good,24,CO,1,2019-09-06
Eloor,Good,27,CO,1,2019-09-07
Eloor,Good,27,CO,1,2019-09-08
Eloor,Good,27,CO,1,2019-09-09
Eloor,Good,30,CO,1,2019-09-10
Eloor,Good,30,CO,1,2019-09-11
Eloor,Good,22,CO,1,2019-09-12
Eloor,Good,32,CO,1,2019-09-13
Eloor,Good,28,CO,1,2019-09-14
Eloor,Good,24,CO,1,2019-09-15
Eloor,Good,26,CO,1,2019-09-16
Eloor,Good,29,CO,1,2019-09-17
Eloor,Good,28,CO,1,2019-09-18
Eloor,Good,25,CO,1,2019-09-19
Eloor,Good,35,CO,1,2019-09-20
Eloor,Good,43,CO,1,2019-09-21
Eloor,Good,30,CO,1,2019-09-22
Eloor,Good,25,CO,1,2019-09-23
Eloor,Good,31,CO,1,2019-09-24
Eloor,Good,23,CO,1,2019-09-25
Eloor,Good,20,CO,1,2019-09-26
Eloor,Good,47,CO,1,2019-09-27
Eloor,Good,32,CO,1,2019-09-28
Eloor,Good,30,CO,1,2019-09-29
Eloor,Good,34,CO,1,2019-09-30
Eloor,Good,41,CO,1,2019-10-01
Eloor,Good,31,CO,1,2019-10-02
Eloor,Good,29,CO,1,2019-10-03
Eloor,Good,41,CO,1,2019-10-04
Eloor,Good,33,CO,1,2019-10-06
Eloor,Good,35,CO,1,2019-10-11
Eloor,Good,37,CO,1,2019-10-12
Eloor,Good,34,CO,1,2019-10-13
Eloor,Good,27,CO,1,2019-10-14
Eloor,Good,29,CO,1,2019-10-15
Eloor,Good,38,CO,1,2019-10-16
Eloor,Good,37,CO,1,2019-10-17
Eloor,Good,32,CO,1,2019-10-18
Eloor,Good,30,CO,1,2019-10-19
Eloor,Good,25,CO,1,2019-10-20
Eloor,Good,23,CO,1,2019-10-21
Eloor,Good,31,CO,1,2019-10-22
Eloor,Good,30,CO,1,2019-10-23
Eloor,Good,39,"PM
10",1,2019-10-24
Eloor,Good,25,CO,1,2019-10-25
Eloor,Good,28,CO,1,2019-10-26
Eloor,Good,25,CO,1,2019-10-27
Eloor,Good,39,CO,1,2019-10-28
Eloor,Good,36,CO,1,2019-10-29
Eloor,Good,36,CO,1,2019-10-30
Eloor,Good,20,CO,1,2019-10-31
Eloor,Good,33,CO,1,2019-11-01
Eloor,Good,41,CO,1,2019-11-02
Eloor,Good,34,CO,1,2019-11-03
Eloor,Good,25,CO,1,2019-11-04
Eloor,Good,38,CO,1,2019-11-05
Eloor,Good,35,CO,1,2019-11-06
Eloor,Good,40,CO,1,2019-11-07
Eloor,Good,30,"PM
10",1,2019-11-08
Eloor,Good,36,CO,1,2019-11-09
Eloor,Good,32,CO,1,2019-11-10
Eloor,Good,33,CO,1,2019-11-11
Eloor,Good,42,CO,1,2019-11-12
Eloor,Good,44,CO,1,2019-11-13
Eloor,Good,42,CO,1,2019-11-14
Eloor,Good,34,"PM
10",1,2019-11-15
Eloor,Good,37,CO,1,2019-11-16
Eloor,Good,27,CO,1,2019-11-17
Eloor,Good,31,CO,1,2019-11-18
Eloor,Good,40,CO,1,2019-11-19
Eloor,Good,46,CO,1,2019-11-20
Eloor,Good,35,CO,1,2019-11-21
Eloor,Good,42,CO,1,2019-11-22
Eloor,Good,40,CO,1,2019-11-23
Eloor,Good,29,CO,1,2019-11-24
Eloor,Good,34,CO,1,2019-11-25
Eloor,Good,34,CO,1,2019-11-26
Eloor,Good,37,CO,1,2019-11-27
Eloor,Good,38,CO,1,2019-11-28
Eloor,Good,39,CO,1,2019-11-29
Eloor,Good,49,CO,1,2019-11-30
Eloor,Good,36,"PM
10",1,2019-12-01
Eloor,Good,28,CO,1,2019-12-02
Eloor,Good,33,CO,1,2019-12-03
Eloor,Good,43,"PM
10",1,2019-12-04
Eloor,Good,45,"PM
10",1,2019-12-05
Eloor,Satisfactory,68,"PM
10",1,2019-12-06
Eloor,Good,37,"PM
10",1,2019-12-07
Eloor,Good,34,"PM
10",1,2019-12-08
Eloor,Good,37,"SO
2",1,2019-12-09
Eloor,Good,37,CO,1,2019-12-10
Eloor,Good,39,CO,1,2019-12-11
Eloor,Good,50,CO,1,2019-12-12
Eloor,Good,40,CO,1,2019-12-13
Eloor,Good,34,CO,1,2019-12-14
Eloor,Good,36,CO,1,2019-12-15
Eloor,Good,29,CO,1,2019-12-16
Eloor,Good,30,"PM
10",1,2019-12-17
Eloor,Good,29,CO,1,2019-12-18
Eloor,Good,28,"PM
10",1,2019-12-19
Eloor,Good,29,CO,1,2019-12-20
Eloor,Good,44,CO,1,2019-12-21
Eloor,Good,33,"PM
2.5",1,2019-12-22
Eloor,Good,48,"PM
10",1,2019-12-23
Eloor,Moderate,169,"PM
10",1,2019-12-24
Eloor,Moderate,115,"PM
10",1,2019-12-25
Eloor,Moderate,104,"PM
10",1,2019-12-26
Eloor,Moderate,120,"PM
10",1,2019-12-27
Eloor,Moderate,122,"PM
10",1,2019-12-28
Eloor,Moderate,115,"PM
10",1,2019-12-29
Eloor,Moderate,124,"PM
10",1,2019-12-30
Eloor,Moderate,116,"PM
10",1,2019-12-31
Eloor,Moderate,138,"PM
10",1,2020-01-01
Eloor,Moderate,115,"PM
10",1,2020-01-02
Eloor,Moderate,119,"PM
10",1,2020-01-03
Eloor,Moderate,114,"PM
10",1,2020-01-04
Eloor,Moderate,102,"PM
10",1,2020-01-05
Eloor,Moderate,109,"PM
10",1,2020-01-06
Eloor,Moderate,101,"PM
10",1,2020-01-07
Eloor,Satisfactory,91,"PM
10",1,2020-01-08
Eloor,Moderate,130,"PM
10",1,2020-01-09
Eloor,Moderate,125,"PM
10",1,2020-01-10
Eloor,Moderate,151,"O
3",1,2020-01-11
Eloor,Moderate,120,"PM
10",1,2020-01-12
Eloor,Satisfactory,100,"PM
10",1,2020-01-13
Eloor,Moderate,143,"PM
10",1,2020-01-14
Eloor,Moderate,128,"PM
10",1,2020-01-15
Eloor,Moderate,129,"PM
10",1,2020-01-16
Eloor,Moderate,148,"PM
10",1,2020-01-17
Eloor,Moderate,125,"PM
10",1,2020-01-18
Eloor,Moderate,105,"PM
10",1,2020-01-19
Eloor,Satisfactory,77,"PM
10",1,2020-01-20
Eloor,Moderate,131,"PM
10",1,2020-01-21
Eloor,Moderate,103,"PM
10",1,2020-01-23
Eloor,Moderate,121,"NO
2",1,2020-01-24
Eloor,Moderate,121,"NO
2",1,2020-01-25
Eloor,Moderate,121,"NO
2",1,2020-01-26
Eloor,Moderate,106,"PM
10",1,2020-01-27
Eloor,Moderate,118,"PM
10",1,2020-01-28
Eloor,Moderate,121,"PM
10",1,2020-01-29
Eloor,Moderate,109,"PM
10",1,2020-01-30
Eloor,Satisfactory,98,"PM
10",1,2020-01-31
Eloor,Satisfactory,96,"PM
10",1,2020-02-01
Eloor,Satisfactory,93,"PM
10",1,2020-02-02
Eloor,Satisfactory,99,"PM
10",1,2020-02-03
Eloor,Moderate,104,"PM
10",1,2020-02-04
Eloor,Moderate,110,"PM
10",1,2020-02-05
Eloor,Satisfactory,98,"PM
10",1,2020-02-06
Eloor,Moderate,110,"PM
10",1,2020-02-07
Eloor,Satisfactory,75,"PM
10",1,2020-02-08
Eloor,Satisfactory,96,"PM
2.5",1,2020-02-09
Eloor,Satisfactory,78,"PM
10",1,2020-02-10
Eloor,Satisfactory,94,"PM
10",1,2020-02-11
