City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ernakulam,Satisfactory,100,"PM
2.5",1,2020-02-05
Ernakulam,Satisfactory,70,CO,1,2020-02-06
Ernakulam,Satisfactory,91,CO,1,2020-02-07
Ernakulam,Satisfactory,76,"PM
10",1,2020-02-08
Ernakulam,Satisfactory,66,"PM
10",1,2020-02-09
Ernakulam,Satisfactory,96,CO,1,2020-02-10
Ernakulam,Satisfactory,85,"PM
2.5",1,2020-02-12
Ernakulam,Satisfactory,91,"PM
2.5",1,2020-02-14
Ernakulam,Satisfactory,88,"PM
2.5",1,2020-02-18
Ernakulam,Moderate,143,"PM
2.5",1,2020-02-19
Ernakulam,Moderate,104,"PM
2.5",1,2020-02-20
Ernakulam,Moderate,125,"PM
2.5",1,2020-02-21
Ernakulam,Satisfactory,93,"PM
2.5",1,2020-02-22
Ernakulam,Satisfactory,62,CO,1,2020-02-23
Ernakulam,Satisfactory,78,CO,1,2020-02-24
Ernakulam,Satisfactory,78,CO,1,2020-02-25
Ernakulam,Satisfactory,82,"PM
2.5",1,2020-02-27
Ernakulam,Satisfactory,88,"PM
2.5",1,2020-02-28
Ernakulam,Satisfactory,83,CO,1,2020-02-29
Ernakulam,Satisfactory,68,CO,1,2020-03-01
Ernakulam,Satisfactory,86,CO,1,2020-03-02
Ernakulam,Satisfactory,86,CO,1,2020-03-03
Ernakulam,Satisfactory,93,CO,1,2020-03-04
Ernakulam,Satisfactory,98,CO,1,2020-03-05
Ernakulam,Satisfactory,94,CO,1,2020-03-06
Ernakulam,Satisfactory,61,CO,1,2020-03-07
Ernakulam,Satisfactory,65,CO,1,2020-03-08
Ernakulam,Satisfactory,83,CO,1,2020-03-09
Ernakulam,Satisfactory,86,CO,1,2020-03-12
Ernakulam,Satisfactory,77,CO,1,2020-03-14
Ernakulam,Satisfactory,69,"PM
10",1,2020-03-15
Ernakulam,Satisfactory,82,CO,1,2020-03-16
Ernakulam,Satisfactory,90,CO,1,2020-03-17
Ernakulam,Satisfactory,94,CO,1,2020-03-18
Ernakulam,Satisfactory,83,CO,1,2020-03-19
Ernakulam,Satisfactory,80,CO,1,2020-03-20
Ernakulam,Satisfactory,81,CO,1,2020-03-21
Ernakulam,Satisfactory,54,CO,1,2020-03-22
Ernakulam,Satisfactory,68,CO,1,2020-03-23
Ernakulam,Satisfactory,66,CO,1,2020-03-24
Ernakulam,Satisfactory,62,CO,1,2020-03-25
Ernakulam,Satisfactory,56,CO,1,2020-03-26
Ernakulam,Satisfactory,59,CO,1,2020-03-27
Ernakulam,Satisfactory,57,CO,1,2020-03-28
Ernakulam,Satisfactory,67,CO,1,2020-03-31
Ernakulam,Satisfactory,65,CO,1,2020-04-01
Ernakulam,Satisfactory,68,CO,1,2020-04-02
Ernakulam,Satisfactory,68,CO,1,2020-04-03
Ernakulam,Satisfactory,66,CO,1,2020-04-04
Ernakulam,Satisfactory,62,CO,1,2020-04-05
Ernakulam,Satisfactory,62,CO,1,2020-04-06
Ernakulam,Satisfactory,68,CO,1,2020-04-07
Ernakulam,Satisfactory,71,CO,1,2020-04-08
Ernakulam,Satisfactory,61,CO,1,2020-04-09
Ernakulam,Satisfactory,58,CO,1,2020-04-10
Ernakulam,Satisfactory,62,CO,1,2020-04-11
Ernakulam,Satisfactory,62,CO,1,2020-04-12
Ernakulam,Satisfactory,79,CO,1,2020-04-13
Ernakulam,Satisfactory,72,CO,1,2020-04-14
Ernakulam,Satisfactory,68,CO,1,2020-04-15
Ernakulam,Satisfactory,64,CO,1,2020-04-16
Ernakulam,Satisfactory,67,CO,1,2020-04-17
Ernakulam,Satisfactory,75,CO,1,2020-04-18
Ernakulam,Satisfactory,76,CO,1,2020-04-19
Ernakulam,Satisfactory,77,CO,1,2020-04-20
Ernakulam,Satisfactory,60,CO,1,2020-04-21
Ernakulam,Satisfactory,61,CO,1,2020-04-22
Ernakulam,Satisfactory,62,CO,1,2020-04-23
Ernakulam,Satisfactory,88,CO,1,2020-04-30
