City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Fatehabad,Moderate,160,"PM
2.5",1,2019-01-22
Fatehabad,Moderate,188,"PM
2.5",1,2019-01-24
Fatehabad,Poor,246,"PM
2.5",1,2019-01-26
Fatehabad,Poor,254,"PM
2.5",1,2019-01-27
Fatehabad,Moderate,199,"PM
2.5",1,2019-01-28
Fatehabad,Poor,269,"PM
2.5",1,2019-01-30
Fatehabad,Poor,265,"PM
2.5",1,2019-01-31
Fatehabad,Very Poor,324,"PM
2.5",1,2019-02-01
Fatehabad,Moderate,178,"PM
2.5",1,2019-02-07
Fatehabad,Moderate,122,"PM
10",1,2019-02-08
Fatehabad,Moderate,125,"PM
10",1,2019-02-09
Fatehabad,Moderate,144,"PM
10",1,2019-02-10
Fatehabad,Moderate,182,"PM
10",1,2019-02-11
Fatehabad,Moderate,154,"PM
2.5",1,2019-02-12
Fatehabad,Moderate,191,"PM
2.5",1,2019-02-13
Fatehabad,Poor,209,"PM
2.5",1,2019-02-14
Fatehabad,Moderate,134,"PM
10",1,2019-02-15
Fatehabad,Satisfactory,99,"PM
10",1,2019-02-16
Fatehabad,Moderate,126,"PM
10",1,2019-02-17
Fatehabad,Moderate,126,"PM
10",1,2019-02-18
Fatehabad,Satisfactory,84,"PM
10",1,2019-02-19
Fatehabad,Moderate,130,"PM
10",1,2019-02-20
Fatehabad,Moderate,103,"PM
10",1,2019-02-21
Fatehabad,Satisfactory,93,"PM
10",1,2019-02-22
Fatehabad,Moderate,102,"PM
10",1,2019-02-23
Fatehabad,Moderate,123,"PM
10",1,2019-02-24
Fatehabad,Moderate,115,"PM
10",1,2019-02-25
Fatehabad,Satisfactory,84,OZONE,1,2019-02-26
Fatehabad,Satisfactory,78,"PM
10",1,2019-02-27
Fatehabad,Moderate,160,"PM
2.5",1,2019-02-28
Fatehabad,Moderate,157,"PM
2.5",1,2019-03-01
Fatehabad,Moderate,142,"PM
2.5",1,2019-03-02
Fatehabad,Moderate,119,"PM
2.5",1,2019-03-03
Fatehabad,Satisfactory,85,"PM
2.5",1,2019-03-04
Fatehabad,Moderate,113,"PM
2.5",1,2019-03-05
Fatehabad,Moderate,104,"PM
2.5",1,2019-03-06
