City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Firozabad,Good,31,"PM
2.5",1,2021-07-19
Firozabad,Good,35,"PM
2.5",1,2021-07-20
Firozabad,Good,28,"PM
10",1,2021-07-21
Firozabad,Satisfactory,54,"PM
10",1,2021-07-22
Firozabad,Good,24,"O
3",1,2021-07-23
Firozabad,Good,36,"NH
3",1,2021-07-24
Firozabad,Good,32,"PM
2.5",1,2021-07-25
Firozabad,Good,40,"PM
2.5",1,2021-07-26
Firozabad,Good,49,"PM
10",1,2021-07-27
Firozabad,Satisfactory,61,"PM
2.5",1,2021-07-28
Firozabad,Good,43,"PM
2.5",1,2021-07-29
Firozabad,Good,17,CO,1,2021-07-30
Firozabad,Good,18,"PM
10",1,2021-07-31
Firozabad,Good,27,"O
3",1,2021-08-01
Firozabad,Good,18,CO,1,2021-08-02
Firozabad,Good,17,CO,1,2021-08-03
Firozabad,Good,18,CO,1,2021-08-04
Firozabad,Good,27,"O
3",1,2021-08-05
Firozabad,Good,48,"PM
10",1,2021-08-06
Firozabad,Good,37,"PM
2.5",1,2021-08-07
Firozabad,Good,46,"NH
3",1,2021-08-08
Firozabad,Good,27,"PM
10",1,2021-08-09
Firozabad,Satisfactory,100,"PM
10",1,2021-08-11
Firozabad,Satisfactory,75,"PM
10",1,2021-08-12
Firozabad,Satisfactory,79,"PM
10",1,2021-08-13
Firozabad,Satisfactory,81,"PM
10",1,2021-08-14
Firozabad,Satisfactory,78,"PM
10",1,2021-08-15
Firozabad,Satisfactory,92,"PM
10",1,2021-08-16
Firozabad,Satisfactory,95,"PM
10",1,2021-08-17
Firozabad,Satisfactory,97,"PM
10",1,2021-08-18
Firozabad,Satisfactory,80,"PM
10",1,2021-08-19
Firozabad,Good,41,"PM
10",1,2021-08-20
Firozabad,Good,20,"NH
3",1,2021-08-21
Firozabad,Good,20,"PM
10",1,2021-08-22
Firozabad,Good,35,"PM
2.5",1,2021-08-23
Firozabad,Good,44,"PM
10",1,2021-08-24
Firozabad,Good,48,"PM
10",1,2021-08-25
Firozabad,Satisfactory,70,"PM
10",1,2021-08-26
Firozabad,Satisfactory,75,"PM
10",1,2021-08-27
Firozabad,Satisfactory,87,"PM
10",1,2021-08-28
Firozabad,Good,43,"PM
2.5",1,2021-08-29
Firozabad,Good,21,"PM
10",1,2021-08-30
Firozabad,Good,25,"PM
10",1,2021-08-31
Firozabad,Moderate,108,"PM
10",1,2021-09-01
Firozabad,Good,23,"PM
2.5",1,2021-09-02
Firozabad,Good,45,"PM
2.5",1,2021-09-03
Firozabad,Good,32,"PM
10",1,2021-09-04
Firozabad,Good,44,"PM
10",1,2021-09-05
Firozabad,Satisfactory,54,"PM
2.5",1,2021-09-06
Firozabad,Good,36,"PM
10",1,2021-09-07
Firozabad,Good,26,"PM
10",1,2021-09-08
Firozabad,Good,31,"PM
10",1,2021-09-09
Firozabad,Satisfactory,76,"PM
10",1,2021-09-11
Firozabad,Good,20,"PM
10",1,2021-09-12
Firozabad,Good,29,"PM
10",1,2021-09-13
Firozabad,Good,26,"PM
10",1,2021-09-14
Firozabad,Good,32,"PM
10",1,2021-09-15
Firozabad,Good,19,"PM
10",1,2021-09-16
Firozabad,Good,26,"O
3",1,2021-09-18
Firozabad,Good,32,"PM
10",1,2021-09-20
Firozabad,Good,43,"PM
10",1,2021-09-21
Firozabad,Good,31,"PM
10",1,2021-09-22
Firozabad,Good,23,"O
3",1,2021-09-23
Firozabad,Good,36,"PM
10",1,2021-09-24
Firozabad,Good,31,"PM
10",1,2021-09-25
Firozabad,Good,28,"O
3",1,2021-09-26
Firozabad,Good,26,"PM
2.5",1,2021-09-27
Firozabad,Good,32,"PM
10",1,2021-09-28
Firozabad,Good,37,"O
3",1,2021-09-29
Firozabad,Satisfactory,75,"O
3",1,2021-09-30
Firozabad,Good,41,"PM
10",1,2021-10-01
Firozabad,Satisfactory,71,"PM
2.5",1,2021-10-02
Firozabad,Satisfactory,51,"PM
10",1,2021-10-03
Firozabad,Good,49,"PM
10",1,2021-10-04
Firozabad,Good,49,"PM
10",1,2021-10-05
Firozabad,Satisfactory,89,"O
3",1,2021-10-06
Firozabad,Satisfactory,81,"PM
10",1,2021-10-07
Firozabad,Moderate,115,"PM
10",1,2021-10-08
Firozabad,Moderate,114,"PM
10",1,2021-10-09
Firozabad,Moderate,103,"PM
10",1,2021-10-10
Firozabad,Moderate,107,"PM
10",1,2021-10-11
Firozabad,Moderate,112,"PM
10",1,2021-10-12
Firozabad,Moderate,117,"PM
10",1,2021-10-13
Firozabad,Moderate,153,"PM
10",1,2021-10-14
Firozabad,Moderate,129,"PM
10",1,2021-10-15
Firozabad,Moderate,161,"PM
2.5",1,2021-10-16
Firozabad,Moderate,116,"PM
2.5",1,2021-10-17
Firozabad,Good,26,CO,1,2021-10-18
Firozabad,Good,35,"PM
2.5",1,2021-10-19
Firozabad,Satisfactory,86,"PM
2.5",1,2021-10-20
