City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Gadag,Satisfactory,68,"PM
2.5",1,2021-01-04
Gadag,Good,42,"PM
2.5",1,2021-01-05
Gadag,Good,38,"PM
2.5",1,2021-01-06
Gadag,Good,28,"SO
2",1,2021-01-07
Gadag,Good,30,"SO
2",1,2021-01-08
Gadag,Good,29,"SO
2",1,2021-01-09
Gadag,Good,32,"PM
10",1,2021-01-10
Gadag,Good,37,"PM
2.5",1,2021-01-11
Gadag,Satisfactory,56,"PM
10",1,2021-01-12
Gadag,Satisfactory,59,"PM
2.5",1,2021-01-13
Gadag,Satisfactory,66,"O
3",1,2021-01-18
Gadag,Satisfactory,82,"O
3",1,2021-01-21
Gadag,Satisfactory,69,"PM
2.5",1,2021-01-23
Gadag,Satisfactory,63,"O
3",1,2021-01-25
Gadag,Satisfactory,57,"PM
2.5",1,2021-01-26
Gadag,Good,47,"O
3",1,2021-01-27
Gadag,Satisfactory,61,"PM
2.5",1,2021-01-31
Gadag,Satisfactory,57,"O
3",1,2021-02-04
Gadag,Satisfactory,57,"O
3",1,2021-02-05
Gadag,Satisfactory,65,"O
3",1,2021-02-06
Gadag,Satisfactory,74,"O
3",1,2021-02-07
Gadag,Satisfactory,69,"PM
2.5",1,2021-02-09
Gadag,Satisfactory,82,"O
3",1,2021-02-10
Gadag,Satisfactory,93,"PM
10",1,2021-02-16
Gadag,Good,38,"PM
2.5",1,2021-02-21
Gadag,Satisfactory,51,"PM
2.5",1,2021-02-22
Gadag,Good,48,"SO
2",1,2021-02-23
Gadag,Moderate,109,"PM
2.5",1,2021-03-09
Gadag,Satisfactory,92,"PM
2.5",1,2021-03-12
Gadag,Satisfactory,52,"PM
10",1,2021-03-16
Gadag,Moderate,108,"PM
2.5",1,2021-03-28
Gadag,Satisfactory,86,"PM
2.5",1,2021-03-29
Gadag,Satisfactory,83,"PM
2.5",1,2021-03-30
Gadag,Satisfactory,73,"PM
10",1,2021-03-31
Gadag,Moderate,119,"PM
2.5",1,2021-04-01
Gadag,Satisfactory,64,"PM
2.5",1,2021-04-02
Gadag,Satisfactory,85,"PM
10",1,2021-04-03
Gadag,Satisfactory,86,"PM
10",1,2021-04-04
Gadag,Very Poor,370,"PM
2.5",1,2021-04-05
Gadag,Satisfactory,87,"PM
10",1,2021-04-06
Gadag,Satisfactory,83,"SO
2",1,2021-04-07
Gadag,Good,50,"PM
2.5",1,2021-04-08
Gadag,Satisfactory,65,"PM
2.5",1,2021-04-09
Gadag,Satisfactory,60,"PM
2.5",1,2021-04-10
Gadag,Satisfactory,54,"PM
2.5",1,2021-04-11
Gadag,Satisfactory,56,"PM
2.5",1,2021-04-12
Gadag,Satisfactory,75,"SO
2",1,2021-04-13
