City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Gaya,Very Poor,305,"PM
2.5",1,2015-12-28
Gaya,Poor,297,"PM
2.5",1,2015-12-29
Gaya,Poor,280,"PM
2.5",1,2015-12-30
Gaya,Poor,273,"PM
2.5",1,2015-12-31
Gaya,Very Poor,325,"PM
2.5",1,2016-01-01
Gaya,Very Poor,348,"PM
2.5",1,2016-01-02
Gaya,Very Poor,317,"PM
2.5",1,2016-01-03
Gaya,Poor,292,"PM
2.5",1,2016-01-04
Gaya,Very Poor,312,"PM
2.5",1,2016-01-05
Gaya,Very Poor,302,"PM
2.5",1,2016-01-06
Gaya,Poor,273,"PM
2.5",1,2016-01-07
Gaya,Poor,258,"PM
2.5",1,2016-01-08
Gaya,Poor,256,"PM
2.5",1,2016-01-09
Gaya,Moderate,123,"PM
2.5",1,2016-01-10
Gaya,Poor,226,"PM
2.5",1,2016-01-11
Gaya,Poor,264,"PM
2.5",1#,2016-01-12
Gaya,Poor,292,"PM
2.5",1,2016-01-13
Gaya,Poor,295,"PM
2.5",1,2016-01-16
Gaya,Poor,291,"PM
2.5",1,2016-01-17
Gaya,Very Poor,304,"PM
2.5",1,2016-01-18
Gaya,Very Poor,319,"PM
2.5",1,2016-01-19
Gaya,Poor,244,"PM
2.5",1,2016-01-21
Gaya,Moderate,134,"PM
2.5",1,2016-01-22
Gaya,Poor,210,"PM
2.5",1,2016-01-23
Gaya,Very Poor,335,"PM
2.5",1,2016-01-24
Gaya,Very Poor,335,"PM
2.5",1#,2016-01-25
Gaya,Poor,267,"PM
2.5",1,2016-01-28
Gaya,Poor,290,"PM
2.5",1,2016-01-29
Gaya,Poor,291,"PM
2.5",1,2016-01-30
Gaya,Moderate,146,"PM
2.5",1,2016-02-02
Gaya,Moderate,200,"PM
2.5",1,2016-02-05
Gaya,Poor,207,"PM
2.5",1,2016-02-06
Gaya,Poor,227,"PM
2.5",1,2016-02-07
Gaya,Poor,262,"PM
2.5",1,2016-02-08
Gaya,Poor,236,"PM
2.5",1,2016-02-09
Gaya,Poor,240,"PM
2.5",1,2016-02-10
Gaya,Moderate,200,"PM
2.5",1,2016-02-11
Gaya,Moderate,196,"PM
2.5",1,2016-02-12
Gaya,Moderate,166,"PM
2.5",1,2016-02-13
Gaya,Moderate,141,"PM
2.5",1,2016-02-14
Gaya,Poor,203,"PM
2.5",1,2016-02-15
Gaya,Moderate,193,"PM
2.5",1,2016-02-16
Gaya,Satisfactory,99,"PM
2.5",1,2016-02-17
Gaya,Moderate,104,"PM
2.5",1,2016-02-20
Gaya,Satisfactory,74,"PM
2.5",1,2016-02-21
Gaya,Satisfactory,56,"PM
2.5",1,2016-02-22
Gaya,Satisfactory,55,"PM
2.5",1,2016-02-23
Gaya,Satisfactory,76,"PM
2.5",1,2016-02-24
Gaya,Moderate,190,"PM
2.5",1,2016-02-25
Gaya,Moderate,111,"PM
2.5",1,2016-02-26
Gaya,Satisfactory,72,"PM
2.5",1,2016-02-27
Gaya,Moderate,138,"PM
2.5",1,2016-02-28
Gaya,Moderate,182,"PM
2.5",1,2016-02-29
Gaya,Moderate,177,"PM
2.5",1,2016-03-01
Gaya,Moderate,158,"PM
2.5",1,2016-03-02
Gaya,Very Poor,338,"PM
2.5",1,2016-03-03
Gaya,Moderate,143,"PM
2.5",1,2016-03-04
Gaya,Moderate,154,"PM
2.5",1,2016-03-05
Gaya,Moderate,146,"PM
2.5",1,2016-03-06
Gaya,Moderate,103,"PM
2.5",1,2016-03-07
Gaya,Satisfactory,90,"PM
2.5",1,2016-03-09
Gaya,Satisfactory,91,"PM
2.5",1#,2016-03-10
Gaya,Moderate,117,"O
3",1#,2016-03-11
Gaya,Satisfactory,96,"O
3",1,2016-03-13
Gaya,Satisfactory,54,"PM
2.5",1,2016-03-15
Gaya,Satisfactory,52,"PM
2.5",1,2016-03-16
Gaya,Satisfactory,61,"PM
2.5",1,2016-03-17
Gaya,Moderate,116,"PM
2.5",1,2016-03-18
Gaya,Moderate,123,"PM
2.5",1,2016-03-19
Gaya,Moderate,192,"O
3",1,2016-03-20
Gaya,Satisfactory,86,"PM
2.5",1,2016-03-21
Gaya,Satisfactory,62,"PM
2.5",1,2016-03-23
Gaya,Satisfactory,82,"PM
2.5",1,2016-03-24
Gaya,Moderate,130,"PM
2.5",1,2016-03-26
Gaya,Moderate,173,"PM
2.5",1,2016-03-27
Gaya,Satisfactory,72,"PM
2.5",1#,2016-03-28
Gaya,Satisfactory,86,"PM
2.5",1,2016-03-29
Gaya,Satisfactory,85,"PM
2.5",1,2016-03-30
Gaya,Satisfactory,93,"PM
2.5",1,2016-03-31
Gaya,Satisfactory,93,"PM
2.5",1,2016-04-01
Gaya,Moderate,129,"O
3",1,2016-04-04
Gaya,Satisfactory,82,"PM
2.5",1,2016-04-05
Gaya,Good,44,"PM
2.5",1#,2016-04-08
Gaya,Satisfactory,67,"PM
2.5",1,2016-04-09
Gaya,Good,46,"PM
2.5",1,2016-04-10
Gaya,Satisfactory,66,"PM
2.5",1,2016-04-11
Gaya,Satisfactory,61,"PM
2.5",1,2016-04-12
Gaya,Good,43,"PM
2.5",1,2016-04-13
Gaya,Satisfactory,70,"NO
2",1#,2016-04-14
Gaya,Satisfactory,73,"PM
2.5",1#,2016-04-15
Gaya,Satisfactory,88,"PM
2.5",1,2016-04-16
Gaya,Moderate,105,"PM
2.5",1#,2016-04-17
Gaya,Satisfactory,77,"PM
2.5",1,2016-04-19
Gaya,Satisfactory,65,"PM
2.5",1,2016-04-20
Gaya,Moderate,119,"O
3",1,2016-04-21
Gaya,Satisfactory,60,"PM
2.5",1,2016-04-22
Gaya,Satisfactory,66,"PM
2.5",1,2016-04-23
Gaya,Moderate,113,"PM
2.5",1#,2016-04-25
Gaya,Moderate,173,"PM
2.5",1#,2016-04-27
Gaya,Good,50,"NO
2",1,2016-07-28
Gaya,Satisfactory,85,"PM
2.5",1,2016-07-29
Gaya,Satisfactory,51,"NO
2",1,2016-07-30
Gaya,Satisfactory,60,"NO
2",1,2016-07-31
Gaya,Satisfactory,54,"NO
2",1,2016-08-02
Gaya,Satisfactory,55,"NO
2",1#,2016-08-03
Gaya,Satisfactory,54,"NO
2",1,2016-08-05
Gaya,Satisfactory,53,"NO
2",1,2016-08-08
Gaya,Satisfactory,54,"NO
2",1,2016-08-09
Gaya,Satisfactory,52,"NO
2",1,2016-08-10
Gaya,Moderate,165,"O
3",1,2016-08-11
Gaya,Satisfactory,51,"NO
2",1,2016-08-12
Gaya,Satisfactory,55,"NO
2",1,2016-08-13
Gaya,Good,49,"NO
2",1,2016-08-14
Gaya,Good,48,"NO
2",1,2016-08-15
Gaya,Moderate,146,"O
3",1,2016-08-16
Gaya,Satisfactory,57,"NO
2",1,2016-08-17
Gaya,Satisfactory,97,"PM
2.5",1,2016-08-20
Gaya,Satisfactory,60,"PM
2.5",1,2016-08-21
Gaya,Satisfactory,52,"NO
2",1,2016-08-22
Gaya,Moderate,126,"PM
2.5",1,2016-08-24
Gaya,Satisfactory,58,"PM
2.5",1,2016-08-26
Gaya,Good,30,"PM
2.5",1#,2016-08-27
Gaya,Good,33,"PM
2.5",1,2016-08-28
Gaya,Good,48,"PM
2.5",1,2016-08-29
Gaya,Good,44,"PM
2.5",1,2016-08-30
Gaya,Good,38,"PM
2.5",1,2016-08-31
Gaya,Good,39,"PM
2.5",1,2016-09-01
Gaya,Good,48,"PM
2.5",1,2016-09-02
Gaya,Good,40,CO,1,2016-09-03
Gaya,Moderate,103,"O
3",1,2016-09-04
Gaya,Moderate,153,"O
3",1#,2016-09-05
Gaya,Good,30,CO,1,2016-09-06
Gaya,Good,50,CO,1,2016-09-07
Gaya,Satisfactory,91,"PM
2.5",1,2016-09-08
Gaya,Good,47,"PM
2.5",1,2016-09-09
Gaya,Satisfactory,82,"PM
2.5",1,2016-09-10
Gaya,Good,44,"PM
2.5",1,2016-09-11
Gaya,Satisfactory,60,CO,1,2016-09-12
Gaya,Good,33,"PM
2.5",1,2016-09-13
Gaya,Good,22,CO,1#,2016-09-15
Gaya,Satisfactory,61,CO,1,2016-09-29
Gaya,Satisfactory,55,CO,1#,2016-09-30
Gaya,Satisfactory,53,CO,1#,2016-10-05
Gaya,Good,49,CO,1#,2016-10-10
Gaya,Good,28,CO,1,2016-10-14
Gaya,Satisfactory,58,CO,1#,2016-10-15
Gaya,Good,45,CO,1,2016-10-18
Gaya,Severe,446,"PM
2.5",1,2016-10-19
Gaya,Very Poor,385,"PM
2.5",1,2016-10-20
Gaya,Severe,440,"PM
2.5",1,2016-10-21
Gaya,Very Poor,380,"PM
2.5",1,2016-10-22
Gaya,Poor,288,"PM
2.5",1,2016-10-23
Gaya,Poor,214,"PM
2.5",1,2016-10-24
Gaya,Poor,220,"PM
2.5",1,2016-10-25
Gaya,Poor,253,"PM
2.5",1#,2016-10-27
Gaya,Poor,202,"PM
2.5",1,2016-10-29
Gaya,Poor,252,"PM
2.5",1,2016-10-30
Gaya,Very Poor,326,"PM
2.5",1,2016-10-31
Gaya,Poor,281,"PM
2.5",1,2016-11-01
Gaya,Poor,248,"PM
2.5",1,2016-11-02
Gaya,Poor,232,"PM
2.5",1#,2016-11-03
Gaya,Poor,221,"PM
2.5",1,2016-11-04
Gaya,Poor,221,"PM
2.5",1,2016-11-05
Gaya,Poor,217,"PM
2.5",1,2016-11-06
Gaya,Very Poor,324,"PM
2.5",1,2016-11-07
Gaya,Very Poor,365,"PM
2.5",1,2016-11-08
Gaya,Very Poor,329,"PM
2.5",1,2016-11-09
Gaya,Severe,479,"PM
2.5",1,2016-11-11
Gaya,Severe,407,"PM
2.5",1,2016-11-12
Gaya,Poor,266,"PM
2.5",1,2016-11-13
Gaya,Poor,228,"PM
2.5",1,2016-11-14
Gaya,Very Poor,343,"PM
2.5",1,2016-11-15
Gaya,Very Poor,368,"PM
2.5",1,2016-11-16
Gaya,Severe,423,"PM
2.5",1,2016-11-17
Gaya,Severe,414,"PM
2.5",1,2016-11-18
Gaya,Very Poor,394,"PM
2.5",1,2016-11-19
Gaya,Very Poor,338,"PM
2.5",1,2016-11-20
Gaya,Very Poor,317,"PM
2.5",1,2016-11-21
Gaya,Poor,288,"PM
2.5",1,2016-11-22
Gaya,Moderate,179,"PM
2.5",1,2016-11-23
Gaya,Very Poor,308,"PM
2.5",1,2016-11-24
Gaya,Moderate,199,"PM
2.5",1,2016-11-25
Gaya,Poor,277,"PM
2.5",1,2016-11-26
Gaya,Very Poor,387,"PM
2.5",1,2016-11-27
Gaya,Very Poor,384,"PM
2.5",1,2016-11-28
Gaya,Very Poor,346,"PM
2.5",1,2016-11-29
Gaya,Very Poor,381,"PM
2.5",1,2016-11-30
Gaya,Very Poor,350,"PM
2.5",1,2016-12-01
Gaya,Very Poor,336,"PM
2.5",1,2016-12-02
Gaya,Very Poor,361,"PM
2.5",1,2016-12-03
Gaya,Poor,233,"PM
2.5",1,2016-12-04
Gaya,Poor,218,"PM
2.5",1,2016-12-05
Gaya,Very Poor,307,"PM
2.5",1,2016-12-06
Gaya,Poor,227,"PM
2.5",1,2016-12-08
Gaya,Poor,284,"PM
2.5",1,2016-12-09
Gaya,Poor,215,"PM
2.5",1,2016-12-10
Gaya,Poor,235,"PM
2.5",1,2016-12-11
Gaya,Poor,298,"PM
2.5",1,2016-12-12
Gaya,Poor,294,"PM
2.5",1,2016-12-13
Gaya,Severe,449,"PM
2.5",1,2016-12-14
Gaya,Very Poor,372,"PM
2.5",1,2016-12-15
Gaya,Very Poor,321,"PM
2.5",1,2016-12-16
Gaya,Very Poor,329,"PM
2.5",1,2016-12-17
Gaya,Very Poor,357,"PM
2.5",1,2016-12-18
Gaya,Very Poor,307,"PM
2.5",1,2016-12-19
Gaya,Very Poor,397,"PM
2.5",1,2016-12-20
Gaya,Severe,430,"PM
2.5",1,2016-12-21
Gaya,Severe,425,"PM
2.5",1,2016-12-23
Gaya,Severe,455,"PM
2.5",1,2016-12-24
Gaya,Very Poor,373,"PM
2.5",1,2016-12-25
Gaya,Very Poor,386,"PM
2.5",1,2016-12-26
Gaya,Very Poor,384,"PM
2.5",1,2016-12-27
Gaya,Very Poor,377,"PM
2.5",1,2016-12-28
Gaya,Very Poor,337,"PM
2.5",1#,2016-12-30
Gaya,Very Poor,346,"PM
2.5",1,2016-12-31
Gaya,Poor,283,"PM
2.5",1,2017-01-01
Gaya,Poor,256,"PM
2.5",1,2017-01-02
Gaya,Poor,251,"PM
2.5",1,2017-01-03
Gaya,Poor,226,"PM
2.5",1,2017-01-04
Gaya,Poor,256,"PM
2.5",1,2017-01-05
Gaya,Very Poor,323,"PM
2.5",1,2017-01-08
Gaya,Very Poor,385,"PM
2.5",1,2017-01-09
Gaya,Poor,251,"PM
2.5",1,2017-01-10
Gaya,Poor,295,"PM
2.5",1,2017-01-11
Gaya,Poor,245,"PM
2.5",1,2017-01-12
Gaya,Very Poor,316,"PM
2.5",1,2017-01-13
Gaya,Very Poor,307,"PM
2.5",1#,2017-01-14
Gaya,Very Poor,319,"PM
2.5",1#,2017-01-15
Gaya,Very Poor,346,"PM
2.5",1#,2017-01-16
Gaya,Very Poor,395,"PM
2.5",1#,2017-01-19
Gaya,Very Poor,313,"PM
2.5",1#,2017-01-20
Gaya,Poor,226,"PM
2.5",1#,2017-01-21
Gaya,Poor,274,"PM
2.5",1#,2017-01-24
Gaya,Very Poor,316,"PM
2.5",1,2017-01-28
Gaya,Severe,414,"PM
2.5",1,2017-01-31
Gaya,Very Poor,340,"PM
2.5",1,2017-02-10
Gaya,Very Poor,328,"PM
2.5",1,2017-02-11
Gaya,Severe,411,"PM
2.5",1,2017-02-17
Gaya,Severe,429,"PM
2.5",1,2017-02-18
Gaya,Very Poor,356,"PM
2.5",1,2017-02-19
Gaya,Poor,281,"PM
2.5",1,2017-02-20
Gaya,Poor,217,"PM
2.5",1,2017-02-21
Gaya,Poor,256,"PM
2.5",1,2017-02-22
Gaya,Moderate,175,"PM
2.5",1,2017-02-23
Gaya,Poor,207,"PM
2.5",1,2017-02-24
Gaya,Moderate,191,"PM
2.5",1,2017-03-07
Gaya,Moderate,197,"PM
2.5",1,2017-03-08
Gaya,Poor,258,"PM
2.5",1,2017-03-09
Gaya,Poor,255,"PM
2.5",1,2017-03-10
Gaya,Moderate,145,"PM
2.5",1,2017-03-12
Gaya,Moderate,161,"PM
2.5",1,2017-03-13
Gaya,Poor,208,"PM
2.5",1,2017-03-14
Gaya,Moderate,131,"PM
2.5",1,2017-03-15
Gaya,Moderate,147,"PM
2.5",1,2017-03-16
Gaya,Moderate,141,"PM
2.5",1,2017-03-17
Gaya,Moderate,142,"PM
2.5",1,2017-03-18
Gaya,Moderate,170,"PM
2.5",1,2017-03-19
Gaya,Poor,260,"PM
2.5",1,2017-03-20
Gaya,Very Poor,325,"PM
2.5",1,2017-03-21
Gaya,Very Poor,349,"PM
2.5",1,2017-03-22
Gaya,Severe,408,"PM
2.5",1,2017-03-23
Gaya,Severe,405,"PM
2.5",1#,2017-03-25
Gaya,Very Poor,350,"PM
2.5",1,2017-03-28
Gaya,Very Poor,352,"PM
2.5",1,2017-03-29
Gaya,Poor,278,"PM
2.5",1,2017-03-30
Gaya,Poor,202,"PM
2.5",1,2017-03-31
Gaya,Poor,214,"PM
2.5",1,2017-04-01
Gaya,Poor,201,"PM
2.5",1,2017-04-02
Gaya,Moderate,130,"PM
2.5",1,2017-04-03
Gaya,Poor,222,"PM
2.5",1,2017-04-04
Gaya,Moderate,153,"PM
2.5",1,2017-04-05
Gaya,Poor,216,"PM
2.5",1,2017-04-07
Gaya,Poor,244,"PM
2.5",1,2017-04-08
Gaya,Poor,209,"PM
2.5",1,2017-04-09
Gaya,Poor,220,"PM
2.5",1#,2017-04-10
Gaya,Moderate,157,"PM
2.5",1,2017-04-13
Gaya,Moderate,172,"PM
2.5",1,2017-04-14
Gaya,Moderate,195,"PM
2.5",1,2017-04-15
Gaya,Satisfactory,100,"PM
2.5",1,2017-04-16
Gaya,Satisfactory,65,"PM
2.5",1,2017-04-17
Gaya,Moderate,133,"PM
2.5",1,2017-04-18
Gaya,Moderate,182,"PM
2.5",1,2017-04-19
Gaya,Moderate,159,"PM
2.5",1,2017-04-20
