City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ghaziabad,Very Poor,345,"PM
10",1#,2017-05-03
Ghaziabad,Moderate,110,"O
3",1#,2017-05-04
Ghaziabad,Very Poor,348,"PM
10",1,2017-05-05
Ghaziabad,Very Poor,347,"PM
10",1#,2017-05-06
Ghaziabad,Very Poor,366,"PM
10",1#,2017-05-07
Ghaziabad,Very Poor,361,"PM
10",1,2017-05-08
Ghaziabad,Very Poor,356,"PM
10",1,2017-05-09
Ghaziabad,Poor,203,"PM
10",1,2017-05-10
Ghaziabad,Poor,201,"PM
10",1,2017-05-11
Ghaziabad,Very Poor,385,"PM
10",1,2017-05-12
Ghaziabad,Very Poor,346,"PM
10",1,2017-05-13
Ghaziabad,Very Poor,323,"PM
10",1#,2017-05-14
Ghaziabad,Very Poor,320,"PM
2.5",1,2017-05-15
Ghaziabad,Very Poor,357,"PM
10",1,2017-05-16
Ghaziabad,Poor,248,"PM
10",1,2017-05-17
Ghaziabad,Poor,265,"PM
2.5",1,2017-05-18
Ghaziabad,Poor,251,"PM
10",1,2017-05-19
Ghaziabad,Very Poor,335,"PM
10",1,2017-05-20
Ghaziabad,Severe,425,"PM
10",1,2017-05-21
Ghaziabad,Poor,264,"PM
10",1,2017-05-22
Ghaziabad,Very Poor,338,"PM
10",1,2017-05-23
Ghaziabad,Poor,236,"PM
10",1,2017-05-24
Ghaziabad,Poor,252,"PM
10",1,2017-05-25
Ghaziabad,Poor,264,"PM
10",1,2017-05-26
Ghaziabad,Poor,294,"PM
10",1,2017-05-27
Ghaziabad,Moderate,158,"PM
10",1,2017-05-28
Ghaziabad,Moderate,106,"PM
10",1,2017-05-29
Ghaziabad,Moderate,122,"PM
10",1,2017-05-30
Ghaziabad,Moderate,123,"PM
10",1,2017-05-31
Ghaziabad,Poor,231,"PM
2.5",1,2017-06-01
Ghaziabad,Poor,266,"PM
10",1,2017-06-02
Ghaziabad,Very Poor,343,"PM
10",1,2017-06-03
Ghaziabad,Very Poor,376,"PM
10",1#,2017-06-04
Ghaziabad,Very Poor,325,"PM
10",1,2017-06-05
Ghaziabad,Very Poor,325,"PM
10",1,2017-06-06
Ghaziabad,Moderate,197,"PM
10",1,2017-06-07
Ghaziabad,Moderate,140,"O
3",1,2017-06-08
Ghaziabad,Moderate,181,"PM
2.5",1,2017-06-09
Ghaziabad,Poor,207,"PM
10",1,2017-06-10
Ghaziabad,Poor,213,"PM
10",1,2017-06-11
Ghaziabad,Poor,218,"PM
10",1,2017-06-12
Ghaziabad,Poor,256,"PM
10",1,2017-06-13
Ghaziabad,Very Poor,350,"PM
10",1,2017-06-14
Ghaziabad,Very Poor,352,"PM
10",1,2017-06-15
Ghaziabad,Poor,205,"PM
10",1,2017-06-16
Ghaziabad,Moderate,110,"PM
10",1,2017-06-17
Ghaziabad,Very Poor,336,"PM
10",1,2017-06-19
Ghaziabad,Moderate,125,"PM
10",1,2017-06-20
Ghaziabad,Very Poor,351,"O
3",1,2017-06-21
Ghaziabad,Poor,215,"PM
2.5",1#,2017-06-22
Ghaziabad,Moderate,181,"O
3",1,2017-06-23
Ghaziabad,Poor,202,"PM
10",1,2017-06-24
Ghaziabad,Moderate,189,"PM
10",1,2017-06-25
Ghaziabad,Moderate,145,"PM
10",1,2017-06-26
Ghaziabad,Moderate,123,"PM
10",1,2017-06-27
Ghaziabad,Satisfactory,94,"PM
10",1,2017-06-28
Ghaziabad,Satisfactory,62,"O
3",1,2017-06-29
Ghaziabad,Satisfactory,71,"PM
10",1,2017-06-30
