City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Gurugram,Moderate,136,"PM
10",1#,2015-12-15
Gurugram,Moderate,136,"PM
10",1,2015-12-25
Gurugram,Moderate,152,"PM
10",1,2015-12-26
Gurugram,Moderate,156,"PM
10",1,2015-12-27
Gurugram,Moderate,158,"PM
10",1,2015-12-28
Gurugram,Moderate,140,"PM
10",1,2015-12-29
Gurugram,Moderate,200,"PM
2.5",1,2016-01-23
Gurugram,Very Poor,315,"O
3",1,2016-02-04
Gurugram,Moderate,195,"PM
2.5",1#,2016-02-05
Gurugram,Very Poor,307,"PM
2.5",1#,2016-02-24
Gurugram,Poor,295,"PM
2.5",1#,2016-02-25
Gurugram,Poor,295,"PM
2.5",1,2016-02-26
Gurugram,Very Poor,331,"PM
2.5",1#,2016-02-27
Gurugram,Very Poor,347,"PM
2.5",1,2016-02-28
Gurugram,Very Poor,339,"PM
2.5",1,2016-02-29
Gurugram,Very Poor,365,"PM
2.5",1,2016-03-01
Gurugram,Very Poor,383,"PM
2.5",1,2016-03-02
Gurugram,Poor,214,"PM
2.5",1#,2016-03-08
Gurugram,Very Poor,311,"PM
2.5",1#,2016-03-09
Gurugram,Moderate,113,"PM
2.5",1,2016-03-27
Gurugram,Very Poor,367,"PM
2.5",1#,2016-03-31
Gurugram,Very Poor,367,"PM
2.5",1#,2016-04-01
Gurugram,Moderate,171,"PM
2.5",1#,2016-04-11
Gurugram,Moderate,146,"PM
2.5",1#,2016-04-12
Gurugram,Moderate,157,"PM
2.5",1#,2016-04-13
Gurugram,Poor,262,"PM
2.5",1,2016-04-19
Gurugram,Poor,259,"PM
2.5",1,2016-04-20
Gurugram,Very Poor,312,"PM
2.5",1#,2016-04-21
Gurugram,Poor,228,"PM
2.5",1,2016-04-23
Gurugram,Poor,268,"PM
2.5",1,2016-04-24
Gurugram,Poor,249,"PM
2.5",1#,2016-04-25
Gurugram,Very Poor,344,"PM
2.5",1#,2016-04-29
