City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Guwahati,Satisfactory,76,"PM
2.5",1,2019-02-19
Guwahati,Moderate,130,"PM
2.5",1,2019-02-20
Guwahati,Moderate,103,"PM
2.5",1,2019-02-21
Guwahati,Poor,278,"PM
2.5",1,2019-02-22
Guwahati,Very Poor,302,"PM
2.5",1,2019-02-23
Guwahati,Moderate,168,"PM
2.5",1,2019-02-24
Guwahati,Poor,224,"PM
2.5",1,2019-02-26
Guwahati,Moderate,134,"PM
2.5",1,2019-02-27
Guwahati,Moderate,113,"PM
2.5",1,2019-02-28
Guwahati,Moderate,113,"PM
2.5",1,2019-03-01
Guwahati,Moderate,191,"PM
2.5",1,2019-03-02
Guwahati,Poor,204,"PM
2.5",1,2019-03-03
Guwahati,Poor,240,"PM
2.5",1,2019-03-04
Guwahati,Moderate,104,"PM
2.5",1,2019-03-05
Guwahati,Moderate,147,"PM
2.5",1,2019-03-06
Guwahati,Satisfactory,98,"PM
2.5",1,2019-03-07
Guwahati,Poor,221,"PM
2.5",1,2019-03-08
Guwahati,Poor,224,"PM
2.5",1,2019-03-09
Guwahati,Poor,274,"PM
2.5",1,2019-03-10
Guwahati,Poor,217,"PM
2.5",1,2019-03-11
Guwahati,Poor,298,"PM
2.5",1,2019-03-12
Guwahati,Moderate,178,"PM
2.5",1,2019-03-13
Guwahati,Poor,282,"PM
2.5",1,2019-03-14
Guwahati,Poor,295,"PM
2.5",1,2019-03-15
Guwahati,Poor,244,"PM
2.5",1,2019-03-16
Guwahati,Poor,214,"PM
2.5",1,2019-03-17
Guwahati,Poor,272,"PM
2.5",1,2019-03-18
Guwahati,Poor,225,"PM
2.5",1,2019-03-19
Guwahati,Moderate,108,"PM
2.5",1,2019-03-20
Guwahati,Moderate,148,"PM
2.5",1,2019-03-21
Guwahati,Moderate,165,"PM
10",1,2019-03-22
Guwahati,Moderate,151,"PM
10",1,2019-03-23
Guwahati,Moderate,127,"PM
2.5",1,2019-03-24
Guwahati,Poor,252,"PM
2.5",1,2019-03-25
Guwahati,Poor,269,"PM
2.5",1,2019-03-26
Guwahati,Moderate,117,"PM
2.5",1,2019-03-27
Guwahati,Moderate,118,"PM
2.5",1,2019-03-28
Guwahati,Poor,214,"PM
2.5",1,2019-03-29
Guwahati,Poor,268,"PM
2.5",1,2019-03-30
Guwahati,Moderate,176,"PM
2.5",1,2019-03-31
Guwahati,Satisfactory,51,OZONE,1,2019-04-01
Guwahati,Moderate,122,"PM
2.5",1,2019-04-02
Guwahati,Satisfactory,87,OZONE,1,2019-04-03
Guwahati,Moderate,107,"PM
10",1,2019-04-04
Guwahati,Satisfactory,54,OZONE,1,2019-04-05
Guwahati,Satisfactory,78,"PM
2.5",1,2019-04-06
Guwahati,Moderate,121,"PM
2.5",1,2019-04-07
Guwahati,Satisfactory,54,OZONE,1,2019-04-08
Guwahati,Good,44,"PM
2.5",1,2019-04-09
Guwahati,Satisfactory,63,OZONE,1,2019-04-10
Guwahati,Moderate,114,"PM
2.5",1,2019-04-11
Guwahati,Moderate,172,"PM
2.5",1,2019-04-12
Guwahati,Moderate,193,"PM
2.5",1,2019-04-13
Guwahati,Moderate,137,"PM
2.5",1,2019-04-14
Guwahati,Satisfactory,70,"PM
2.5",1,2019-04-15
Guwahati,Satisfactory,100,"PM
2.5",1,2019-04-16
Guwahati,Satisfactory,75,OZONE,1,2019-04-17
Guwahati,Moderate,134,"PM
2.5",1,2019-04-18
Guwahati,Moderate,106,"PM
10",1,2019-04-19
Guwahati,Moderate,106,"PM
2.5",1,2019-04-20
Guwahati,Satisfactory,63,OZONE,1,2019-04-21
Guwahati,Satisfactory,75,"PM
2.5",1,2019-04-22
Guwahati,Satisfactory,89,"PM
2.5",1,2019-04-23
Guwahati,Moderate,126,"PM
2.5",1,2019-04-24
Guwahati,Poor,209,"PM
2.5",1,2019-04-25
Guwahati,Poor,210,"PM
2.5",1,2019-04-26
Guwahati,Moderate,120,"PM
2.5",1,2019-04-27
Guwahati,Satisfactory,63,"PM
2.5",1,2019-04-28
Guwahati,Good,49,OZONE,1,2019-04-29
Guwahati,Good,47,OZONE,1,2019-04-30
Guwahati,Satisfactory,51,OZONE,1,2019-05-01
Guwahati,Satisfactory,61,OZONE,1,2019-05-02
Guwahati,Moderate,119,"PM
2.5",1,2019-05-07
Guwahati,Satisfactory,66,OZONE,1,2019-05-08
Guwahati,Satisfactory,65,OZONE,1,2019-05-09
Guwahati,Satisfactory,66,OZONE,1,2019-05-10
Guwahati,Satisfactory,61,OZONE,1,2019-05-11
Guwahati,Good,44,"PM
10",1,2019-05-12
Guwahati,Satisfactory,75,"PM
2.5",1,2019-05-13
Guwahati,Satisfactory,72,OZONE,1,2019-05-14
Guwahati,Satisfactory,80,OZONE,1,2019-05-15
Guwahati,Satisfactory,59,OZONE,1,2019-05-16
Guwahati,Satisfactory,69,OZONE,1,2019-05-17
Guwahati,Satisfactory,66,OZONE,1,2019-05-18
Guwahati,Good,49,"PM
2.5",1,2019-05-19
Guwahati,Satisfactory,100,"PM
2.5",1,2019-05-20
Guwahati,Satisfactory,61,OZONE,1,2019-05-21
Guwahati,Satisfactory,53,"PM
2.5",1,2019-05-22
Guwahati,Satisfactory,56,OZONE,1,2019-05-23
Guwahati,Satisfactory,67,OZONE,1,2019-05-24
Guwahati,Moderate,163,"PM
10",1,2019-05-25
Guwahati,Very Poor,379,"PM
10",1,2019-05-26
Guwahati,Satisfactory,72,"PM
2.5",1,2019-05-27
Guwahati,Good,49,OZONE,1,2019-05-28
Guwahati,Satisfactory,58,"PM
10",1,2019-05-29
Guwahati,Moderate,103,"PM
2.5",1,2019-05-30
Guwahati,Satisfactory,74,OZONE,1,2019-05-31
Guwahati,Satisfactory,57,OZONE,1,2019-06-01
Guwahati,Moderate,114,"PM
2.5",1,2019-06-02
