City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Haldia,Satisfactory,82,"PM
10",1,2015-12-28
Haldia,Moderate,106,"PM
10",1,2015-12-29
Haldia,Moderate,103,"PM
10",1,2015-12-30
Haldia,Moderate,113,"PM
10",1,2016-01-01
Haldia,Satisfactory,99,"PM
10",1,2016-01-04
Haldia,Satisfactory,99,"PM
10",1,2016-01-05
Haldia,Moderate,109,"PM
10",1,2016-01-06
Haldia,Moderate,112,"PM
10",1,2016-01-07
Haldia,Satisfactory,89,"PM
10",1,2016-01-08
Haldia,Satisfactory,77,"PM
10",1,2016-01-11
Haldia,Satisfactory,94,"PM
10",1,2016-01-12
Haldia,Moderate,107,"PM
10",1,2016-01-13
Haldia,Satisfactory,80,"PM
10",1,2016-01-15
Haldia,Moderate,106,"PM
10",1,2016-01-18
Haldia,Satisfactory,68,"PM
10",1,2016-01-19
Haldia,Satisfactory,73,CO,1,2016-01-20
Haldia,Satisfactory,80,CO,1#,2016-01-21
Haldia,Satisfactory,58,"PM
10",1,2016-01-22
Haldia,Satisfactory,51,"PM
10",1,2016-01-25
Haldia,Moderate,101,"PM
10",1,2016-01-26
Haldia,Satisfactory,83,"PM
10",1,2016-01-27
Haldia,Satisfactory,96,CO,1,2016-02-01
Haldia,Moderate,104,CO,1,2016-02-02
Haldia,Moderate,116,CO,1,2016-02-03
Haldia,Moderate,109,"PM
10",1,2016-02-04
Haldia,Satisfactory,98,CO,1,2016-02-05
Haldia,Moderate,117,"PM
10",1,2016-02-09
Haldia,Moderate,152,"PM
10",1,2016-02-10
Haldia,Moderate,103,"PM
10",1,2016-02-11
Haldia,Satisfactory,68,"PM
10",1,2016-02-12
Haldia,Satisfactory,97,"PM
10",1,2016-02-17
Haldia,Satisfactory,87,"PM
10",1,2016-02-18
Haldia,Satisfactory,97,"PM
10",1,2016-02-19
Haldia,Satisfactory,98,"PM
10",1,2016-02-22
Haldia,Moderate,121,"PM
10",1,2016-02-23
Haldia,Satisfactory,74,"PM
10",1#,2016-02-24
Haldia,Satisfactory,51,"PM
10",1,2016-02-29
Haldia,Satisfactory,61,"PM
10",1,2016-03-01
Haldia,Satisfactory,54,"PM
10",1,2016-03-02
Haldia,Satisfactory,56,"PM
10",1,2016-03-03
Haldia,Satisfactory,66,"PM
10",1,2016-03-04
Haldia,Moderate,109,"PM
10",1,2016-03-08
Haldia,Satisfactory,71,"PM
10",1,2016-03-09
Haldia,Satisfactory,90,"PM
10",1,2016-03-10
Haldia,Satisfactory,94,"PM
10",1,2016-03-11
Haldia,Moderate,103,"PM
10",1,2016-03-14
Haldia,Moderate,116,"PM
10",1,2016-03-15
Haldia,Satisfactory,73,"PM
10",1,2016-03-16
Haldia,Moderate,101,"PM
10",1,2016-03-17
Haldia,Moderate,115,"PM
10",1,2016-03-18
Haldia,Moderate,104,"PM
10",1,2016-03-22
Haldia,Moderate,125,"PM
10",1,2016-03-23
Haldia,Moderate,138,"PM
10",1,2016-03-24
Haldia,Satisfactory,100,"PM
10",1,2016-03-25
Haldia,Satisfactory,80,"PM
10",1,2016-03-28
Haldia,Moderate,111,"PM
10",1,2016-03-29
Haldia,Satisfactory,86,"PM
10",1,2016-03-30
Haldia,Satisfactory,56,"PM
10",1,2016-03-31
Haldia,Satisfactory,56,"PM
10",1,2016-04-01
Haldia,Good,43,"PM
10",1,2016-04-04
Haldia,Satisfactory,55,"PM
10",1,2016-04-05
Haldia,Satisfactory,68,"PM
10",1,2016-04-08
Haldia,Satisfactory,79,"PM
10",1,2016-04-11
Haldia,Moderate,108,"PM
10",1,2016-04-12
Haldia,Satisfactory,100,"PM
10",1,2016-04-13
Haldia,Satisfactory,91,"PM
10",1,2016-04-14
Haldia,Satisfactory,59,"PM
10",1,2016-04-15
Haldia,Good,50,"PM
10",1,2016-04-18
Haldia,Good,43,"PM
10",1,2016-04-19
Haldia,Good,49,"PM
10",1,2016-04-20
Haldia,Good,36,"PM
10",1,2016-04-21
Haldia,Satisfactory,57,CO,1,2016-04-22
Haldia,Good,47,"PM
10",1,2016-04-25
Haldia,Good,43,CO,1,2016-04-27
Haldia,Satisfactory,52,CO,1,2016-05-02
Haldia,Satisfactory,57,"PM
10",1,2016-05-03
Haldia,Satisfactory,57,"PM
10",1,2016-05-05
Haldia,Good,40,CO,1,2016-05-06
Haldia,Good,36,CO,1#,2016-05-18
Haldia,Satisfactory,54,CO,1,2016-05-19
Haldia,Good,33,"O
3",1,2016-05-23
Haldia,Good,48,CO,1,2016-06-01
