City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Hapur,Poor,292,"PM
2.5",1,2018-10-23
Hapur,Very Poor,329,"PM
2.5",1,2018-10-24
Hapur,Poor,295,"PM
2.5",1,2018-10-25
Hapur,Very Poor,324,"PM
2.5",1,2018-10-26
Hapur,Very Poor,358,"PM
2.5",1,2018-10-27
Hapur,Very Poor,396,"PM
2.5",1,2018-10-28
Hapur,Very Poor,357,"PM
2.5",1,2018-10-29
Hapur,Severe,406,"PM
2.5",1,2018-10-30
Hapur,Very Poor,336,"PM
2.5",1,2018-10-31
Hapur,Very Poor,375,"PM
2.5",1,2018-11-01
Hapur,Very Poor,352,"PM
2.5",1,2018-11-02
Hapur,Very Poor,324,"PM
2.5",1,2018-11-03
Hapur,Moderate,131,"PM
2.5",1,2018-11-04
Hapur,Very Poor,398,"PM
2.5",1,2018-11-05
Hapur,Very Poor,356,"PM
2.5",1,2018-11-06
Hapur,Poor,300,"PM
2.5",1,2018-11-07
Hapur,Very Poor,378,"PM
2.5",1,2018-11-08
Hapur,Very Poor,378,"PM
2.5",1,2018-11-09
Hapur,Very Poor,335,"PM
2.5",1,2018-11-10
Hapur,Severe,401,"PM
2.5",1,2018-11-11
Hapur,Severe,428,"PM
2.5",1,2018-11-12
Hapur,Severe,429,"PM
2.5",1,2018-11-13
Hapur,Poor,206,"PM
2.5",1,2018-11-15
Hapur,Poor,252,"PM
2.5",1,2018-11-16
Hapur,Poor,295,"PM
2.5",1,2018-11-17
Hapur,Very Poor,342,"PM
2.5",1,2018-11-18
Hapur,Very Poor,374,"PM
2.5",1,2018-11-19
Hapur,Very Poor,383,"PM
2.5",1,2018-11-20
Hapur,Very Poor,395,"PM
2.5",1,2018-11-21
Hapur,Very Poor,320,"PM
2.5",1,2018-11-22
Hapur,Very Poor,343,"PM
2.5",1,2018-11-23
Hapur,Poor,216,"PM
2.5",1,2018-11-24
Hapur,Very Poor,319,"PM
2.5",1,2018-11-25
Hapur,Very Poor,369,"PM
2.5",1,2018-11-26
Hapur,Very Poor,356,"PM
2.5",1,2018-11-27
Hapur,Very Poor,335,"PM
2.5",1,2018-11-28
Hapur,Severe,402,"PM
2.5",1,2018-11-29
Hapur,Very Poor,386,"PM
2.5",1,2018-11-30
Hapur,Very Poor,351,"PM
2.5",1,2018-12-02
Hapur,Very Poor,390,"PM
2.5",1,2018-12-03
Hapur,Severe,403,"PM
2.5",1,2018-12-04
Hapur,Very Poor,396,"PM
2.5",1,2018-12-05
Hapur,Very Poor,394,"PM
2.5",1,2018-12-06
Hapur,Very Poor,383,"PM
2.5",1,2018-12-07
Hapur,Very Poor,365,"PM
2.5",1,2018-12-08
Hapur,Very Poor,383,"PM
2.5",1,2018-12-09
Hapur,Very Poor,399,"PM
2.5",1,2018-12-10
Hapur,Severe,408,"PM
2.5",1,2018-12-11
Hapur,Very Poor,370,"PM
2.5",1,2018-12-12
Hapur,Poor,227,"PM
2.5",1,2018-12-13
Hapur,Poor,279,"PM
2.5",1,2018-12-14
Hapur,Very Poor,302,"PM
2.5",1,2018-12-15
Hapur,Very Poor,350,"PM
2.5",1,2018-12-16
Hapur,Very Poor,356,"PM
2.5",1,2018-12-17
Hapur,Very Poor,353,"PM
2.5",1,2018-12-18
Hapur,Very Poor,389,"PM
2.5",1,2018-12-19
Hapur,Severe,450,"PM
2.5",1,2018-12-22
Hapur,Severe,428,"PM
2.5",1,2018-12-23
Hapur,Very Poor,396,"PM
2.5",1,2018-12-26
Hapur,Very Poor,398,"PM
2.5",1,2018-12-27
Hapur,Very Poor,386,"PM
2.5",1,2018-12-28
Hapur,Very Poor,391,"PM
2.5",1,2018-12-29
Hapur,Severe,413,"PM
2.5",1,2018-12-30
Hapur,Severe,416,"PM
2.5",1,2018-12-31
Hapur,Very Poor,400,"PM
2.5",1,2019-01-01
Hapur,Severe,442,"PM
2.5",1,2019-01-02
Hapur,Severe,427,"PM
2.5",1,2019-01-03
Hapur,Very Poor,396,"PM
2.5",1,2019-01-05
Hapur,Very Poor,365,"PM
2.5",1,2019-01-06
Hapur,Very Poor,354,"PM
2.5",1,2019-01-07
Hapur,Very Poor,309,"PM
2.5",1,2019-01-08
Hapur,Poor,288,"PM
2.5",1,2019-01-09
Hapur,Very Poor,304,"PM
2.5",1,2019-01-10
Hapur,Very Poor,375,"PM
2.5",1,2019-01-11
Hapur,Severe,402,"PM
2.5",1,2019-01-12
Hapur,Very Poor,397,"PM
2.5",1,2019-01-13
Hapur,Poor,257,"PM
2.5",1,2019-01-14
Hapur,Poor,250,"PM
2.5",1,2019-01-15
Hapur,Very Poor,362,"PM
2.5",1,2019-01-16
Hapur,Severe,434,"PM
2.5",1,2019-01-17
Hapur,Very Poor,393,"PM
2.5",1,2019-01-18
Hapur,Severe,405,"PM
2.5",1,2019-01-19
Hapur,Severe,402,"PM
2.5",1,2019-01-20
Hapur,Very Poor,372,"PM
2.5",1,2019-01-21
Hapur,Moderate,102,"PM
2.5",1,2019-01-22
Hapur,Moderate,130,"PM
2.5",1,2019-01-23
Hapur,Poor,233,"PM
2.5",1,2019-01-24
Hapur,Moderate,129,"PM
2.5",1,2019-01-25
Hapur,Poor,202,"PM
2.5",1,2019-01-26
Hapur,Poor,236,"PM
2.5",1,2019-01-27
Hapur,Poor,218,"PM
2.5",1,2019-01-28
Hapur,Poor,245,"PM
2.5",1,2019-01-29
Hapur,Poor,299,"PM
2.5",1,2019-01-30
Hapur,Very Poor,326,"PM
2.5",1,2019-01-31
Hapur,Very Poor,338,"PM
2.5",1,2019-02-02
Hapur,Poor,265,"PM
2.5",1,2019-02-03
Hapur,Poor,284,"PM
2.5",1,2019-02-04
Hapur,Very Poor,355,"PM
2.5",1,2019-02-05
Hapur,Very Poor,378,"PM
2.5",1,2019-02-06
Hapur,Moderate,192,"PM
2.5",1,2019-02-07
Hapur,Moderate,107,"PM
2.5",1,2019-02-08
Hapur,Moderate,110,"PM
10",1,2019-02-09
Hapur,Moderate,193,"PM
2.5",1,2019-02-10
Hapur,Poor,257,"PM
2.5",1,2019-02-11
Hapur,Very Poor,305,"PM
2.5",1,2019-02-12
Hapur,Very Poor,338,"PM
2.5",1,2019-02-13
Hapur,Very Poor,356,"PM
2.5",1,2019-02-14
Hapur,Poor,223,"PM
2.5",1,2019-02-15
Hapur,Poor,256,"PM
2.5",1,2019-02-16
Hapur,Moderate,198,"PM
2.5",1,2019-02-17
Hapur,Poor,225,"PM
2.5",1,2019-02-18
Hapur,Moderate,144,"PM
2.5",1,2019-02-19
Hapur,Poor,215,"PM
2.5",1,2019-02-20
Hapur,Moderate,101,"PM
10",1,2019-02-21
Hapur,Poor,220,"PM
2.5",1,2019-02-22
Hapur,Satisfactory,78,"PM
10",1,2019-02-23
Hapur,Moderate,169,"PM
2.5",1,2019-02-24
Hapur,Poor,242,"PM
2.5",1,2019-02-25
Hapur,Satisfactory,80,"PM
10",1,2019-02-26
Hapur,Satisfactory,54,"PM
2.5",1,2019-02-27
Hapur,Moderate,156,"PM
2.5",1,2019-02-28
Hapur,Moderate,196,"PM
2.5",1,2019-03-01
Hapur,Poor,266,"PM
2.5",1,2019-03-02
Hapur,Satisfactory,96,"PM
2.5",1,2019-03-03
Hapur,Moderate,124,"PM
2.5",1,2019-03-04
Hapur,Moderate,101,"PM
10",1,2019-03-05
Hapur,Moderate,118,"PM
10",1,2019-03-06
Hapur,Moderate,136,"PM
10",1,2019-03-07
Hapur,Moderate,131,"PM
2.5",1,2019-03-08
Hapur,Moderate,151,"PM
10",1,2019-03-09
Hapur,Moderate,120,"PM
10",1,2019-03-10
Hapur,Moderate,146,"PM
10",1,2019-03-11
Hapur,Moderate,123,"PM
10",1,2019-03-12
Hapur,Moderate,155,"PM
10",1,2019-03-13
Hapur,Poor,232,"PM
2.5",1,2019-03-14
Hapur,Satisfactory,86,"PM
10",1,2019-03-15
Hapur,Satisfactory,78,"PM
2.5",1,2019-03-16
Hapur,Moderate,132,"PM
10",1,2019-03-17
Hapur,Moderate,162,"PM
10",1,2019-03-18
Hapur,Moderate,161,"PM
10",1,2019-03-19
Hapur,Moderate,163,"PM
10",1,2019-03-20
Hapur,Moderate,132,"PM
10",1,2019-03-21
Hapur,Moderate,111,"PM
10",1,2019-03-22
Hapur,Moderate,124,"PM
10",1,2019-03-23
Hapur,Moderate,124,"PM
10",1,2019-03-24
Hapur,Moderate,143,"PM
10",1,2019-03-25
Hapur,Moderate,142,"PM
10",1,2019-03-26
Hapur,Moderate,167,"PM
10",1,2019-03-27
