City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Hassan,Moderate,144,"PM
10",1,2021-03-27
Hassan,Moderate,172,"PM
10",1,2021-03-28
Hassan,Moderate,129,"PM
10",1,2021-03-29
Hassan,Moderate,130,"PM
10",1,2021-03-30
Hassan,Moderate,132,"PM
10",1,2021-03-31
Hassan,Moderate,137,"PM
10",1,2021-04-01
Hassan,Moderate,102,"PM
10",1,2021-04-02
Hassan,Moderate,150,"PM
10",1,2021-04-03
Hassan,Moderate,151,"PM
10",1,2021-04-04
Hassan,Moderate,127,"PM
10",1,2021-04-05
Hassan,Moderate,135,"PM
10",1,2021-04-06
Hassan,Moderate,132,"PM
10",1,2021-04-07
Hassan,Moderate,130,"PM
10",1,2021-04-08
Hassan,Moderate,116,"PM
10",1,2021-04-09
Hassan,Moderate,114,"PM
10",1,2021-04-10
Hassan,Moderate,119,"PM
10",1,2021-04-11
Hassan,Satisfactory,96,"PM
10",1,2021-04-12
Hassan,Satisfactory,88,"PM
10",1,2021-04-13
Hassan,Satisfactory,60,"PM
10",1,2021-04-14
Hassan,Satisfactory,58,"PM
10",1,2021-04-15
Hassan,Satisfactory,77,"PM
10",1,2021-04-16
Hassan,Satisfactory,86,"PM
10",1,2021-04-17
Hassan,Moderate,108,"PM
10",1,2021-04-18
Hassan,Satisfactory,91,"PM
10",1,2021-04-19
Hassan,Satisfactory,69,"PM
10",1,2021-04-20
Hassan,Satisfactory,99,"PM
10",1,2021-04-21
Hassan,Satisfactory,77,"PM
10",1,2021-04-22
Hassan,Satisfactory,79,"PM
10",1,2021-04-23
Hassan,Satisfactory,75,CO,1,2021-04-24
Hassan,Satisfactory,71,"PM
10",1,2021-04-25
Hassan,Satisfactory,86,"PM
10",1,2021-04-26
Hassan,Satisfactory,93,"PM
10",1,2021-04-27
Hassan,Satisfactory,98,"PM
10",1,2021-04-28
Hassan,Moderate,103,"PM
10",1,2021-04-29
Hassan,Satisfactory,81,"PM
10",1,2021-04-30
Hassan,Satisfactory,95,"PM
10",1,2021-05-01
Hassan,Satisfactory,96,"PM
10",1,2021-05-02
Hassan,Satisfactory,73,"PM
10",1,2021-05-03
Hassan,Satisfactory,87,"PM
10",1,2021-05-04
Hassan,Satisfactory,86,"PM
10",1,2021-05-05
Hassan,Satisfactory,80,CO,1,2021-05-06
Hassan,Satisfactory,74,"PM
10",1,2021-05-07
Hassan,Satisfactory,69,"PM
10",1,2021-05-08
Hassan,Satisfactory,74,"PM
10",1,2021-05-09
Hassan,Satisfactory,52,"PM
10",1,2021-05-12
Hassan,Good,47,"PM
10",1,2021-05-13
Hassan,Good,25,"O
3",1,2021-05-14
Hassan,Good,40,CO,1,2021-05-15
Hassan,Good,29,"O
3",1,2021-05-16
Hassan,Good,38,"PM
2.5",1,2021-05-17
Hassan,Satisfactory,55,"PM
10",1,2021-05-20
Hassan,Satisfactory,56,"PM
10",1,2021-05-21
Hassan,Good,42,"PM
10",1,2021-05-22
Hassan,Good,37,"PM
10",1,2021-05-23
Hassan,Satisfactory,71,"PM
10",1,2021-05-24
Hassan,Satisfactory,65,"PM
10",1,2021-05-25
Hassan,Good,32,"PM
2.5",1,2021-05-26
Hassan,Good,36,"PM
2.5",1,2021-05-27
Hassan,Good,29,"PM
2.5",1,2021-05-28
Hassan,Satisfactory,58,"PM
10",1,2021-05-29
Hassan,Good,43,"PM
10",1,2021-05-30
Hassan,Good,48,"PM
10",1,2021-05-31
Hassan,Good,38,"PM
10",1,2021-06-03
Hassan,Good,36,"PM
10",1,2021-06-04
Hassan,Good,35,"PM
10",1,2021-06-05
Hassan,Good,26,"PM
10",1,2021-06-06
Hassan,Satisfactory,55,"PM
10",1,2021-06-07
Hassan,Satisfactory,67,"PM
10",1,2021-06-08
Hassan,Satisfactory,71,"PM
10",1,2021-06-09
Hassan,Good,50,"PM
10",1,2021-06-10
Hassan,Satisfactory,65,"PM
10",1,2021-06-11
Hassan,Good,39,"PM
10",1,2021-06-12
Hassan,Good,27,"PM
10",1,2021-06-13
Hassan,Good,32,"PM
10",1,2021-06-14
Hassan,Good,45,"PM
10",1,2021-06-15
Hassan,Satisfactory,57,"PM
10",1,2021-06-16
Hassan,Satisfactory,53,"PM
10",1,2021-06-17
Hassan,Satisfactory,72,"PM
10",1,2021-06-18
Hassan,Satisfactory,67,"PM
10",1,2021-06-19
Hassan,Satisfactory,66,"PM
10",1,2021-06-20
Hassan,Satisfactory,88,"PM
10",1,2021-06-21
Hassan,Moderate,108,"PM
10",1,2021-06-22
Hassan,Moderate,113,"PM
10",1,2021-06-23
Hassan,Moderate,119,"PM
10",1,2021-06-24
Hassan,Moderate,130,"PM
10",1,2021-06-25
Hassan,Satisfactory,90,"PM
10",1,2021-06-26
Hassan,Good,37,"PM
10",1,2021-06-27
Hassan,Satisfactory,75,"PM
10",1,2021-06-28
Hassan,Satisfactory,83,"PM
10",1,2021-06-29
Hassan,Satisfactory,87,"PM
10",1,2021-06-30
Hassan,Satisfactory,80,"PM
10",1,2021-07-01
Hassan,Satisfactory,56,"PM
10",1,2021-07-02
Hassan,Satisfactory,70,"PM
10",1,2021-07-03
Hassan,Satisfactory,54,"PM
10",1,2021-07-04
Hassan,Good,44,"PM
10",1,2021-07-05
Hassan,Good,48,"PM
10",1,2021-07-06
Hassan,Satisfactory,76,"PM
10",1,2021-07-07
Hassan,Satisfactory,60,"PM
10",1,2021-07-08
Hassan,Good,46,"PM
10",1,2021-07-09
Hassan,Good,31,"PM
10",1,2021-07-10
Hassan,Good,41,"PM
10",1,2021-07-11
Hassan,Satisfactory,55,"PM
10",1,2021-07-12
Hassan,Good,39,"PM
10",1,2021-07-13
Hassan,Good,36,CO,1,2021-07-14
Hassan,Good,32,"NO
2",1,2021-07-15
Hassan,Good,41,CO,1,2021-07-16
Hassan,Good,46,"PM
10",1,2021-07-17
Hassan,Good,35,"PM
10",1,2021-07-18
Hassan,Satisfactory,57,"PM
10",1,2021-07-19
Hassan,Good,50,"PM
10",1,2021-07-20
Hassan,Good,29,"SO
2",1,2021-07-21
Hassan,Good,34,"SO
2",1,2021-07-22
Hassan,Good,35,"NO
2",1,2021-07-23
Hassan,Good,37,"PM
10",1,2021-07-24
Hassan,Good,40,"PM
10",1,2021-07-25
Hassan,Good,46,"PM
10",1,2021-07-26
Hassan,Good,28,"NO
2",1,2021-07-27
Hassan,Good,48,"PM
10",1,2021-07-28
Hassan,Satisfactory,63,"PM
10",1,2021-07-29
Hassan,Satisfactory,54,"PM
10",1,2021-07-30
Hassan,Satisfactory,83,"PM
10",1,2021-07-31
Hassan,Satisfactory,58,"PM
10",1,2021-08-01
Hassan,Satisfactory,56,"PM
10",1,2021-08-02
Hassan,Satisfactory,62,"PM
10",1,2021-08-03
Hassan,Good,38,"PM
10",1,2021-08-04
Hassan,Good,43,"PM
10",1,2021-08-05
Hassan,Good,50,"PM
10",1,2021-08-06
Hassan,Good,39,"PM
10",1,2021-08-07
Hassan,Good,49,"PM
10",1,2021-08-08
Hassan,Satisfactory,73,"PM
10",1,2021-08-09
Hassan,Satisfactory,65,"PM
10",1,2021-08-10
Hassan,Satisfactory,72,"PM
10",1,2021-08-11
Hassan,Satisfactory,67,"PM
10",1,2021-08-12
Hassan,Satisfactory,59,"PM
10",1,2021-08-13
Hassan,Satisfactory,86,"PM
10",1,2021-08-14
Hassan,Satisfactory,51,"PM
10",1,2021-08-15
Hassan,Satisfactory,72,"PM
10",1,2021-08-17
Hassan,Satisfactory,65,"PM
10",1,2021-08-18
Hassan,Satisfactory,69,"PM
10",1,2021-08-19
Hassan,Satisfactory,81,"PM
10",1,2021-08-20
Hassan,Satisfactory,76,"PM
10",1,2021-08-21
Hassan,Good,47,"PM
10",1,2021-08-22
Hassan,Satisfactory,68,"PM
10",1,2021-08-23
Hassan,Satisfactory,63,"PM
10",1,2021-08-24
Hassan,Satisfactory,75,"PM
10",1,2021-08-25
Hassan,Satisfactory,76,"PM
10",1,2021-08-26
Hassan,Satisfactory,70,"PM
10",1,2021-08-27
Hassan,Good,50,"PM
10",1,2021-08-28
Hassan,Good,31,"NO
2",1,2021-08-29
Hassan,Satisfactory,60,"PM
10",1,2021-08-30
Hassan,Satisfactory,74,"PM
10",1,2021-08-31
Hassan,Satisfactory,77,"PM
10",1,2021-09-01
Hassan,Satisfactory,53,"PM
10",1,2021-09-02
Hassan,Good,47,"PM
10",1,2021-09-03
Hassan,Good,41,CO,1,2021-09-04
Hassan,Satisfactory,52,"PM
10",1,2021-09-05
Hassan,Good,45,"PM
10",1,2021-09-06
Hassan,Good,39,"PM
10",1,2021-09-07
Hassan,Good,34,"SO
2",1,2021-09-08
Hassan,Good,48,"PM
10",1,2021-09-09
Hassan,Satisfactory,90,"PM
10",1,2021-09-10
Hassan,Satisfactory,57,"PM
10",1,2021-09-11
Hassan,Good,29,"PM
10",1,2021-09-12
Hassan,Good,40,"PM
10",1,2021-09-13
Hassan,Satisfactory,53,"PM
10",1,2021-09-14
Hassan,Satisfactory,67,"PM
10",1,2021-09-15
Hassan,Satisfactory,57,"PM
10",1,2021-09-23
Hassan,Satisfactory,65,"PM
10",1,2021-09-25
Hassan,Satisfactory,71,"PM
10",1,2021-09-26
Hassan,Good,30,"PM
10",1,2021-09-28
Hassan,Good,49,"PM
10",1,2021-09-29
Hassan,Satisfactory,55,"PM
10",1,2021-09-30
Hassan,Good,28,"SO
2",1,2021-10-02
Hassan,Good,33,"PM
2.5",1,2021-10-04
Hassan,Good,36,"PM
10",1,2021-10-05
Hassan,Good,40,"PM
2.5",1,2021-10-06
Hassan,Good,39,"PM
10",1,2021-10-07
Hassan,Satisfactory,62,"PM
10",1,2021-10-08
Hassan,Satisfactory,51,"PM
10",1,2021-10-09
Hassan,Good,49,"PM
10",1,2021-10-10
Hassan,Good,35,"PM
10",1,2021-10-11
Hassan,Good,43,"PM
10",1,2021-10-12
Hassan,Good,30,"NO
2",1,2021-10-13
Hassan,Good,50,"PM
10",1,2021-10-14
Hassan,Good,35,"PM
10",1,2021-10-15
Hassan,Satisfactory,67,"PM
2.5",1,2021-10-16
Hassan,Satisfactory,59,"PM
2.5",1,2021-10-17
Hassan,Satisfactory,60,"PM
10",1,2021-10-18
Hassan,Satisfactory,69,"PM
10",1,2021-10-19
Hassan,Satisfactory,62,"PM
10",1,2021-10-20
Hassan,Good,37,"PM
2.5",1,2021-10-22
Hassan,Satisfactory,56,"PM
10",1,2021-10-23
Hassan,Good,23,"NO
2",1,2021-10-24
Hassan,Good,37,"PM
2.5",1,2021-10-25
Hassan,Satisfactory,75,"PM
2.5",1,2021-10-26
Hassan,Good,22,"SO
2",1,2021-10-31
Hassan,Good,20,"O
3",1,2021-11-01
Hassan,Good,20,"SO
2",1,2021-11-03
Hassan,Good,25,"PM
10",1,2021-11-06
Hassan,Good,33,"PM
2.5",1,2021-11-07
Hassan,Satisfactory,68,"PM
2.5",1,2021-11-08
Hassan,Satisfactory,100,"PM
2.5",1,2021-11-09
Hassan,Satisfactory,94,"PM
2.5",1,2021-11-10
Hassan,Satisfactory,94,"PM
2.5",1,2021-11-11
Hassan,Satisfactory,87,"PM
2.5",1,2021-11-12
Hassan,Good,34,"NO
2",1,2021-11-15
Hassan,Good,25,"SO
2",1,2021-11-16
Hassan,Good,35,"NO
2",1,2021-11-17
Hassan,Good,24,"NO
2",1,2021-11-18
Hassan,Good,49,"PM
10",1,2021-11-21
Hassan,Good,24,"NO
2",1,2021-11-22
Hassan,Good,19,"SO
2",1,2021-11-23
Hassan,Good,31,"PM
10",1,2021-11-24
Hassan,Satisfactory,53,"PM
2.5",1,2021-11-27
Hassan,Satisfactory,69,"PM
2.5",1,2021-11-28
Hassan,Satisfactory,91,"O
3",1,2021-12-03
Hassan,Satisfactory,54,"PM
2.5",1,2021-12-08
Hassan,Satisfactory,55,"PM
10",1,2021-12-09
Hassan,Good,42,"PM
2.5",1,2021-12-11
Hassan,Good,27,"O
3",1,2021-12-12
Hassan,Good,30,"PM
10",1,2021-12-13
Hassan,Good,48,"PM
2.5",1,2021-12-15
Hassan,Satisfactory,74,"PM
2.5",1,2021-12-16
Hassan,Satisfactory,97,"PM
2.5",1,2021-12-17
Hassan,Moderate,113,"PM
2.5",1,2021-12-18
Hassan,Moderate,114,"PM
2.5",1,2021-12-19
Hassan,Satisfactory,72,"PM
2.5",1,2021-12-20
Hassan,Satisfactory,98,"PM
2.5",1,2021-12-21
Hassan,Satisfactory,99,"PM
10",1,2021-12-22
Hassan,Satisfactory,98,"PM
10",1,2021-12-23
Hassan,Moderate,125,"PM
2.5",1,2021-12-24
Hassan,Satisfactory,97,"PM
2.5",1,2021-12-25
Hassan,Satisfactory,84,"PM
10",1,2021-12-26
Hassan,Satisfactory,77,"PM
2.5",1,2021-12-27
Hassan,Satisfactory,57,"PM
10",1,2021-12-28
Hassan,Satisfactory,65,"PM
10",1,2021-12-29
Hassan,Satisfactory,54,"PM
10",1,2021-12-30
Hassan,Good,40,"PM
10",1,2022-01-01
Hassan,Good,37,"PM
10",1,2022-01-02
Hassan,Good,38,"PM
10",1,2022-01-03
Hassan,Satisfactory,61,"PM
10",1,2022-01-04
Hassan,Satisfactory,74,"PM
10",1,2022-01-05
Hassan,Satisfactory,93,"PM
10",1,2022-01-06
Hassan,Moderate,104,"PM
10",1,2022-01-07
Hassan,Satisfactory,95,"PM
10",1,2022-01-08
Hassan,Satisfactory,84,"PM
10",1,2022-01-11
Hassan,Satisfactory,83,"PM
10",1,2022-01-12
Hassan,Satisfactory,99,"PM
10",1,2022-01-13
Hassan,Satisfactory,82,"PM
10",1,2022-01-14
Hassan,Satisfactory,53,"PM
10",1,2022-01-15
Hassan,Good,39,"PM
10",1,2022-01-16
Hassan,Good,47,"PM
10",1,2022-01-17
Hassan,Good,41,"PM
10",1,2022-01-18
Hassan,Good,49,"PM
10",1,2022-01-19
Hassan,Satisfactory,74,"PM
10",1,2022-01-20
Hassan,Satisfactory,94,"PM
10",1,2022-01-21
Hassan,Satisfactory,89,"PM
10",1,2022-01-22
Hassan,Satisfactory,71,"PM
10",1,2022-01-24
Hassan,Moderate,109,"PM
10",1,2022-01-27
Hassan,Satisfactory,65,"PM
10",1,2022-01-28
Hassan,Satisfactory,87,"PM
10",1,2022-01-29
Hassan,Satisfactory,80,"PM
10",1,2022-01-30
Hassan,Satisfactory,77,"PM
10",1,2022-01-31
Hassan,Satisfactory,88,"PM
10",1,2022-02-01
Hassan,Satisfactory,96,"PM
10",1,2022-02-04
Hassan,Satisfactory,88,"PM
10",1,2022-02-05
Hassan,Satisfactory,90,"PM
10",1,2022-02-06
Hassan,Satisfactory,77,"PM
10",1,2022-02-07
Hassan,Satisfactory,95,"PM
10",1,2022-02-08
Hassan,Satisfactory,100,"PM
10",1,2022-02-09
Hassan,Satisfactory,98,"PM
10",1,2022-02-10
Hassan,Satisfactory,71,"PM
10",1,2022-02-11
Hassan,Satisfactory,67,"PM
10",1,2022-02-12
Hassan,Satisfactory,69,"PM
10",1,2022-02-13
Hassan,Satisfactory,75,"PM
10",1,2022-02-14
Hassan,Moderate,103,"PM
10",1,2022-02-15
Hassan,Moderate,102,"PM
10",1,2022-02-16
Hassan,Moderate,110,"PM
2.5",1,2022-02-17
Hassan,Satisfactory,100,"PM
10",1,2022-02-18
Hassan,Satisfactory,89,"PM
10",1,2022-02-19
Hassan,Satisfactory,72,"PM
10",1,2022-02-20
Hassan,Satisfactory,84,"PM
10",1,2022-02-21
Hassan,Satisfactory,100,"PM
10",1,2022-02-22
Hassan,Satisfactory,96,"PM
10",1,2022-02-23
Hassan,Satisfactory,70,"PM
10",1,2022-02-24
Hassan,Satisfactory,77,"PM
10",1,2022-02-25
Hassan,Satisfactory,73,"PM
10",1,2022-02-26
Hassan,Satisfactory,76,"PM
10",1,2022-02-27
Hassan,Satisfactory,57,"PM
10",1,2022-02-28
Hassan,Satisfactory,70,"PM
10",1,2022-03-02
Hassan,Satisfactory,60,"PM
10",1,2022-03-03
Hassan,Satisfactory,72,"PM
10",1,2022-03-04
Hassan,Satisfactory,72,"PM
10",1,2022-03-05
Hassan,Satisfactory,65,"PM
10",1,2022-03-06
Hassan,Satisfactory,53,"PM
10",1,2022-03-07
Hassan,Satisfactory,54,"PM
10",1,2022-03-08
Hassan,Satisfactory,74,"PM
10",1,2022-03-09
Hassan,Satisfactory,91,"PM
10",1,2022-03-10
Hassan,Satisfactory,99,"PM
10",1,2022-03-11
Hassan,Moderate,102,"PM
10",1,2022-03-12
Hassan,Moderate,110,"PM
2.5",1,2022-03-14
Hassan,Moderate,121,"PM
10",1,2022-03-15
Hassan,Moderate,115,"PM
10",1,2022-03-16
Hassan,Moderate,124,"PM
10",1,2022-03-17
Hassan,Moderate,114,"PM
10",1,2022-03-18
Hassan,Moderate,109,"PM
10",1,2022-03-19
Hassan,Satisfactory,67,"PM
2.5",1,2022-03-20
Hassan,Satisfactory,68,"PM
2.5",1,2022-03-21
Hassan,Satisfactory,68,"PM
2.5",1,2022-03-22
