City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Haveri,Satisfactory,97,CO,1,2022-04-12
Haveri,Satisfactory,87,CO,1,2022-04-14
Haveri,Satisfactory,85,CO,1,2022-04-15
Haveri,Satisfactory,90,CO,1,2022-04-16
Haveri,Moderate,103,CO,1,2022-04-17
Haveri,Satisfactory,80,CO,1,2022-04-19
Haveri,Satisfactory,90,CO,1,2022-04-20
Haveri,Satisfactory,94,CO,1,2022-04-21
Haveri,Satisfactory,100,CO,1,2022-04-22
Haveri,Satisfactory,98,CO,1,2022-04-23
Haveri,Satisfactory,93,CO,1,2022-04-24
Haveri,Moderate,101,CO,1,2022-04-25
Haveri,Satisfactory,100,CO,1,2022-04-26
Haveri,Satisfactory,68,CO,1,2022-04-27
Haveri,Satisfactory,73,"PM
10",1,2022-04-28
Haveri,Good,47,"PM
2.5",1,2022-04-30
Haveri,Good,50,"PM
10",1,2022-05-01
Haveri,Good,46,"PM
10",1,2022-05-02
Haveri,Good,46,"PM
10",1,2022-05-03
Haveri,Satisfactory,58,"PM
10",1,2022-05-04
Haveri,Satisfactory,57,"PM
10",1,2022-05-05
Haveri,Satisfactory,59,"PM
10",1,2022-05-06
Haveri,Satisfactory,69,"PM
10",1,2022-05-07
Haveri,Satisfactory,81,"PM
10",1,2022-05-09
Haveri,Satisfactory,89,"PM
10",1,2022-05-10
Haveri,Satisfactory,74,"PM
10",1,2022-05-11
Haveri,Good,45,"PM
10",1,2022-05-12
Haveri,Satisfactory,60,"PM
10",1,2022-05-13
Haveri,Satisfactory,90,"PM
10",1,2022-05-14
Haveri,Satisfactory,98,"PM
10",1,2022-05-15
Haveri,Satisfactory,86,"PM
10",1,2022-05-16
Haveri,Satisfactory,52,CO,1,2022-05-17
Haveri,Satisfactory,53,CO,1,2022-05-18
Haveri,Moderate,133,CO,1,2022-05-19
Haveri,Good,19,"PM
10",1,2022-06-29
Haveri,Good,15,CO,1,2022-06-30
Haveri,Good,34,CO,1,2022-07-01
Haveri,Good,35,CO,1,2022-07-02
Haveri,Good,42,CO,1,2022-07-03
Haveri,Good,47,CO,1,2022-07-04
Haveri,Satisfactory,51,CO,1,2022-07-05
Haveri,Satisfactory,54,CO,1,2022-07-06
Haveri,Satisfactory,59,CO,1,2022-07-07
Haveri,Satisfactory,66,CO,1,2022-07-08
Haveri,Satisfactory,67,CO,1,2022-07-09
Haveri,Satisfactory,71,CO,1,2022-07-10
Haveri,Satisfactory,69,CO,1,2022-07-12
Haveri,Satisfactory,78,CO,1,2022-07-13
Haveri,Satisfactory,69,CO,1,2022-07-14
Haveri,Satisfactory,52,CO,1,2022-07-15
Haveri,Satisfactory,53,CO,1,2022-07-16
Haveri,Satisfactory,54,CO,1,2022-07-17
Haveri,Good,44,CO,1,2022-07-18
Haveri,Good,35,CO,1,2022-07-19
Haveri,Good,35,CO,1,2022-07-20
Haveri,Good,37,CO,1,2022-07-21
Haveri,Good,37,CO,1,2022-07-22
Haveri,Good,38,CO,1,2022-07-23
Haveri,Good,39,CO,1,2022-07-24
