City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Hisar,Moderate,177,"PM
2.5",1,2019-01-28
Hisar,Moderate,162,"PM
2.5",1,2019-01-29
Hisar,Poor,216,"PM
2.5",1,2019-01-30
Hisar,Poor,217,"PM
2.5",1,2019-01-31
Hisar,Poor,221,"PM
2.5",1,2019-02-01
Hisar,Moderate,199,"PM
2.5",1,2019-02-02
Hisar,Moderate,148,"PM
2.5",1,2019-02-03
Hisar,Poor,258,"PM
2.5",1,2019-02-04
Hisar,Poor,229,"PM
2.5",1,2019-02-05
Hisar,Poor,280,"PM
2.5",1,2019-02-06
Hisar,Moderate,187,"PM
2.5",1,2019-02-07
Hisar,Moderate,143,"PM
10",1,2019-02-08
Hisar,Moderate,114,"PM
10",1,2019-02-09
Hisar,Moderate,132,"PM
10",1,2019-02-10
Hisar,Poor,224,"PM
2.5",1,2019-02-11
Hisar,Poor,214,"PM
2.5",1,2019-02-12
Hisar,Poor,232,"PM
2.5",1,2019-02-13
Hisar,Poor,300,"PM
2.5",1,2019-02-14
Hisar,Moderate,195,"PM
2.5",1,2019-02-15
Hisar,Moderate,118,"PM
2.5",1,2019-02-16
Hisar,Moderate,144,"PM
2.5",1,2019-02-17
Hisar,Moderate,161,"PM
2.5",1,2019-02-18
Hisar,Moderate,116,"PM
10",1,2019-02-19
Hisar,Poor,237,"PM
2.5",1,2019-02-20
Hisar,Moderate,126,"PM
2.5",1,2019-02-21
Hisar,Satisfactory,77,"PM
2.5",1,2019-02-22
Hisar,Satisfactory,67,"PM
10",1,2019-02-23
Hisar,Satisfactory,91,"PM
2.5",1,2019-02-24
Hisar,Moderate,149,"PM
2.5",1,2019-02-25
Hisar,Satisfactory,67,"PM
10",1,2019-02-26
Hisar,Satisfactory,73,"PM
10",1,2019-02-27
Hisar,Moderate,134,"PM
2.5",1,2019-02-28
Hisar,Moderate,134,"PM
2.5",1,2019-03-01
Hisar,Moderate,101,"PM
2.5",1,2019-03-02
Hisar,Satisfactory,94,"PM
2.5",1,2019-03-03
Hisar,Moderate,102,"PM
2.5",1,2019-03-04
Hisar,Satisfactory,78,"PM
2.5",1,2019-03-05
Hisar,Satisfactory,84,OZONE,1,2019-03-06
Hisar,Moderate,151,OZONE,1,2019-03-07
Hisar,Satisfactory,77,"PM
10",1,2019-03-08
Hisar,Satisfactory,85,"PM
10",1,2019-03-09
Hisar,Satisfactory,91,"PM
10",1,2019-03-10
Hisar,Moderate,107,"PM
10",1,2019-03-11
Hisar,Moderate,104,"PM
10",1,2019-03-12
Hisar,Moderate,143,"PM
10",1,2019-03-13
Hisar,Moderate,124,"PM
10",1,2019-03-14
Hisar,Satisfactory,82,"PM
10",1,2019-03-15
Hisar,Satisfactory,92,"PM
2.5",1,2019-03-16
Hisar,Moderate,118,"PM
2.5",1,2019-03-17
Hisar,Moderate,137,"PM
2.5",1,2019-03-18
Hisar,Moderate,144,"PM
2.5",1,2019-03-19
Hisar,Moderate,127,"PM
10",1,2019-03-20
Hisar,Satisfactory,99,"PM
10",1,2019-03-21
Hisar,Satisfactory,98,"PM
10",1,2019-03-22
Hisar,Satisfactory,99,"PM
10",1,2019-03-23
Hisar,Satisfactory,97,"PM
10",1,2019-03-24
Hisar,Satisfactory,100,"PM
10",1,2019-03-25
Hisar,Moderate,115,"PM
2.5",1,2019-03-26
Hisar,Moderate,107,"PM
10",1,2019-03-27
Hisar,Moderate,124,"PM
10",1,2019-03-28
Hisar,Moderate,163,"PM
2.5",1,2019-03-29
Hisar,Poor,203,"PM
2.5",1,2019-03-30
Hisar,Moderate,122,"PM
10",1,2019-03-31
Hisar,Moderate,123,"PM
10",1,2019-04-01
Hisar,Moderate,150,OZONE,1,2019-04-02
Hisar,Moderate,175,OZONE,1,2019-04-03
Hisar,Moderate,154,"PM
2.5",1,2019-04-04
Hisar,Moderate,191,"PM
2.5",1,2019-04-05
Hisar,Moderate,197,"PM
10",1,2019-04-06
Hisar,Moderate,184,"PM
2.5",1,2019-04-07
Hisar,Moderate,194,"PM
10",1,2019-04-09
Hisar,Moderate,168,"PM
10",1,2019-04-10
Hisar,Moderate,121,"PM
10",1,2019-04-11
Hisar,Moderate,162,"PM
10",1,2019-04-12
Hisar,Moderate,120,"PM
10",1,2019-04-13
Hisar,Moderate,110,"PM
10",1,2019-04-14
Hisar,Moderate,121,"PM
10",1,2019-04-15
Hisar,Moderate,124,"PM
10",1,2019-04-16
Hisar,Moderate,135,"PM
10",1,2019-04-17
Hisar,Satisfactory,96,OZONE,1,2019-04-18
Hisar,Moderate,151,OZONE,1,2019-04-19
Hisar,Moderate,167,OZONE,1,2019-04-20
