City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Hosur,Good,48,CO,1,2022-08-10
Hosur,Good,39,"PM
10",1,2022-08-11
Hosur,Good,44,"PM
10",1,2022-08-13
Hosur,Good,36,"PM
10",1,2022-08-14
Hosur,Satisfactory,62,CO,1,2022-08-15
Hosur,Satisfactory,52,"PM
10",1,2022-08-16
Hosur,Satisfactory,73,"PM
10",1,2022-08-17
Hosur,Satisfactory,61,"PM
10",1,2022-08-18
Hosur,Good,46,"PM
10",1,2022-08-21
Hosur,Satisfactory,67,CO,1,2022-08-22
Hosur,Satisfactory,74,CO,1,2022-08-24
Hosur,Satisfactory,84,CO,1,2022-09-07
Hosur,Satisfactory,99,CO,1,2022-09-08
Hosur,Satisfactory,94,CO,1,2022-09-10
Hosur,Satisfactory,97,CO,1,2022-09-11
Hosur,Satisfactory,57,CO,1,2022-09-12
Hosur,Good,47,CO,1,2022-09-13
Hosur,Satisfactory,55,CO,1,2022-09-14
Hosur,Satisfactory,52,CO,1,2022-09-15
Hosur,Satisfactory,97,CO,1,2022-09-18
Hosur,Satisfactory,66,CO,1,2022-09-19
Hosur,Satisfactory,82,CO,1,2022-09-21
Hosur,Satisfactory,75,CO,1,2022-09-22
Hosur,Satisfactory,89,CO,1,2022-09-23
Hosur,Satisfactory,100,CO,1,2022-09-24
Hosur,Satisfactory,93,CO,1,2022-09-25
Hosur,Satisfactory,89,CO,1,2022-09-26
Hosur,Satisfactory,70,"PM
10",1,2022-09-27
Hosur,Satisfactory,91,CO,1,2022-09-29
Hosur,Satisfactory,97,CO,1,2022-09-30
Hosur,Moderate,104,CO,1,2022-10-01
Hosur,Good,47,"PM
10",1,2022-10-07
Hosur,Moderate,119,"PM
10",1,2022-10-08
Hosur,Satisfactory,75,CO,1,2022-10-09
Hosur,Satisfactory,99,CO,1,2022-10-10
Hosur,Satisfactory,88,CO,1,2022-10-11
Hosur,Satisfactory,73,CO,1,2022-10-12
Hosur,Satisfactory,58,CO,1,2022-10-13
Hosur,Satisfactory,58,"PM
10",1,2022-10-14
Hosur,Satisfactory,73,CO,1,2022-10-15
Hosur,Satisfactory,95,CO,1,2022-10-18
Hosur,Satisfactory,88,CO,1,2022-10-19
Hosur,Satisfactory,87,CO,1,2022-10-20
Hosur,Good,37,"PM
10",1,2022-10-21
Hosur,Satisfactory,100,"PM
2.5",1,2022-10-23
Hosur,Satisfactory,92,"PM
10",1,2022-10-24
Hosur,Poor,232,"PM
2.5",1,2022-10-25
Hosur,Moderate,168,"PM
2.5",1,2022-10-26
Hosur,Moderate,114,"PM
2.5",1,2022-10-27
Hosur,Satisfactory,75,"PM
10",1,2022-10-28
Hosur,Satisfactory,89,"PM
10",1,2022-11-01
Hosur,Satisfactory,98,CO,1,2022-11-08
Hosur,Satisfactory,89,CO,1,2022-11-09
Hosur,Satisfactory,88,"PM
10",1,2022-11-10
Hosur,Satisfactory,75,CO,1,2022-11-11
Hosur,Satisfactory,89,CO,1,2022-11-12
Hosur,Satisfactory,85,CO,1,2022-11-13
Hosur,Satisfactory,66,CO,1,2022-11-14
Hosur,Satisfactory,79,CO,1,2022-11-15
Hosur,Satisfactory,87,"PM
10",1,2022-11-16
Hosur,Satisfactory,96,"PM
10",1,2022-11-17
Hosur,Moderate,105,"PM
2.5",1,2022-11-18
Hosur,Satisfactory,92,"PM
10",1,2022-11-22
Hosur,Satisfactory,69,"PM
10",1,2022-11-23
Hosur,Satisfactory,71,CO,1,2022-11-24
Hosur,Satisfactory,75,"PM
10",1,2022-11-25
Hosur,Satisfactory,94,CO,1,2022-11-26
Hosur,Moderate,123,"PM
2.5",1,2022-11-29
Hosur,Moderate,101,"PM
10",1,2022-12-01
Hosur,Satisfactory,89,CO,1,2022-12-02
Hosur,Satisfactory,74,CO,1,2022-12-03
Hosur,Moderate,119,CO,1,2022-12-04
Hosur,Satisfactory,91,CO,1,2022-12-05
Hosur,Moderate,131,"PM
2.5",1,2022-12-07
Hosur,Moderate,195,"PM
2.5",1,2022-12-08
Hosur,Moderate,124,"PM
2.5",1,2022-12-09
Hosur,Moderate,103,CO,1,2022-12-10
Hosur,Moderate,104,CO,1,2022-12-11
Hosur,Moderate,104,CO,1,2022-12-12
Hosur,Moderate,111,CO,1,2022-12-13
Hosur,Satisfactory,99,CO,1,2022-12-14
Hosur,Satisfactory,76,"PM
10",1,2022-12-15
Hosur,Satisfactory,97,"PM
2.5",1,2022-12-16
Hosur,Moderate,114,CO,1,2022-12-17
Hosur,Moderate,107,CO,1,2022-12-18
Hosur,Moderate,104,"PM
10",1,2022-12-19
Hosur,Moderate,101,"PM
10",1,2022-12-20
Hosur,Satisfactory,86,"PM
10",1,2022-12-21
Hosur,Moderate,120,"PM
2.5",1,2022-12-24
Hosur,Moderate,196,"O
3",1,2022-12-25
Hosur,Satisfactory,82,CO,1,2022-12-26
Hosur,Satisfactory,98,CO,1,2022-12-27
Hosur,Satisfactory,86,CO,1,2022-12-29
Hosur,Moderate,103,"PM
2.5",1,2022-12-30
Hosur,Moderate,119,"PM
2.5",1,2022-12-31
Hosur,Moderate,131,"PM
2.5",1,2023-01-01
Hosur,Satisfactory,86,"PM
10",1,2023-01-02
Hosur,Satisfactory,98,CO,1,2023-01-03
Hosur,Satisfactory,98,CO,1,2023-01-05
Hosur,Moderate,116,CO,1,2023-01-07
Hosur,Moderate,105,CO,1,2023-01-10
Hosur,Moderate,189,"O
3",1,2023-01-12
Hosur,Moderate,138,"PM
2.5",1,2023-01-14
Hosur,Moderate,104,CO,1,2023-01-15
Hosur,Satisfactory,100,CO,1,2023-01-16
Hosur,Satisfactory,93,CO,1,2023-01-17
Hosur,Moderate,105,CO,1,2023-01-18
Hosur,Moderate,119,CO,1,2023-01-23
Hosur,Moderate,130,CO,1,2023-01-24
Hosur,Moderate,115,"O
3",1,2023-01-25
Hosur,Moderate,121,CO,1,2023-01-26
Hosur,Moderate,130,CO,1,2023-01-27
Hosur,Moderate,101,CO,1,2023-01-30
Hosur,Satisfactory,81,"PM
10",1,2023-01-31
Hosur,Moderate,122,CO,1,2023-02-02
