City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Howrah,Satisfactory,65,"PM
10",1#,2016-07-05
Howrah,Satisfactory,61,"PM
10",1,2016-07-06
Howrah,Good,44,"PM
10",1#,2016-07-13
Howrah,Satisfactory,63,"PM
10",1,2016-07-14
Howrah,Satisfactory,67,"PM
10",1,2016-07-15
Howrah,Satisfactory,68,"PM
10",1#,2016-07-30
Howrah,Satisfactory,69,"PM
10",1,2016-07-31
Howrah,Satisfactory,63,"PM
10",1,2016-08-01
Howrah,Moderate,104,"PM
10",1#,2016-08-05
Howrah,Good,28,CO,1,2016-08-06
Howrah,Good,40,"PM
10",1,2016-08-08
Howrah,Moderate,105,"PM
10",1#,2016-08-12
Howrah,Satisfactory,62,"PM
10",1,2016-08-13
Howrah,Satisfactory,88,"PM
10",1#,2016-08-14
Howrah,Satisfactory,70,"PM
10",1#,2016-08-26
Howrah,Satisfactory,59,"PM
10",1#,2016-08-30
Howrah,Satisfactory,93,"PM
10",1,2016-09-02
Howrah,Satisfactory,94,"PM
10",1#,2016-09-04
Howrah,Satisfactory,74,"PM
10",1,2016-09-10
Howrah,Good,35,"PM
10",1,2016-09-15
Howrah,Satisfactory,75,"PM
10",1,2016-09-21
Howrah,Satisfactory,52,"PM
10",1,2016-09-22
Howrah,Satisfactory,62,"PM
10",1#,2016-09-23
Howrah,Satisfactory,60,"PM
10",1#,2016-09-24
Howrah,Satisfactory,93,"PM
10",1#,2016-09-28
Howrah,Satisfactory,51,"PM
10",1,2016-10-07
Howrah,Good,27,"O
3",1,2016-10-10
Howrah,Satisfactory,87,"PM
10",1,2016-10-11
Howrah,Satisfactory,76,"PM
10",1#,2016-10-28
Howrah,Satisfactory,65,"PM
10",1,2016-10-29
Howrah,Satisfactory,89,"PM
10",1#,2016-11-04
Howrah,Good,46,"PM
10",1,2016-11-05
Howrah,Moderate,101,"PM
10",1#,2016-11-07
Howrah,Good,38,"O
3",1#,2016-11-12
Howrah,Good,35,"O
3",1#,2016-11-16
Howrah,Good,39,CO,1#,2016-11-18
Howrah,Satisfactory,63,CO,1,2016-11-21
Howrah,Moderate,172,"PM
10",1#,2016-11-22
Howrah,Moderate,167,"PM
10",1,2016-11-29
Howrah,Moderate,146,"PM
10",1#,2016-11-30
Howrah,Satisfactory,93,"PM
10",1,2016-12-01
Howrah,Moderate,140,"PM
10",1#,2016-12-02
Howrah,Moderate,139,"PM
10",1#,2016-12-03
Howrah,Moderate,125,"PM
10",1,2016-12-04
Howrah,Moderate,106,"PM
10",1#,2016-12-05
Howrah,Moderate,116,"PM
10",1,2016-12-06
Howrah,Moderate,110,"PM
10",1,2016-12-09
Howrah,Moderate,138,"PM
10",1,2016-12-13
Howrah,Moderate,161,"PM
10",1,2016-12-17
Howrah,Moderate,154,"PM
10",1,2016-12-18
Howrah,Moderate,172,"PM
10",1#,2016-12-19
Howrah,Moderate,163,"PM
10",1,2016-12-20
Howrah,Moderate,169,"PM
10",1#,2016-12-21
Howrah,Moderate,171,"PM
10",1,2016-12-22
Howrah,Moderate,198,"PM
10",1#,2016-12-24
Howrah,Moderate,171,"PM
10",1,2016-12-25
Howrah,Moderate,142,"PM
10",1,2016-12-26
Howrah,Moderate,159,"PM
10",1#,2016-12-27
Howrah,Moderate,152,CO,1,2016-12-28
Howrah,Moderate,129,"PM
10",1,2016-12-29
Howrah,Moderate,147,"PM
10",1,2016-12-31
