City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Hubballi,Satisfactory,79,"PM
10",1,2018-09-21
Hubballi,Satisfactory,79,"PM
10",1,2018-09-23
Hubballi,Satisfactory,82,"PM
10",1,2018-09-24
Hubballi,Satisfactory,87,"PM
10",1,2018-09-25
Hubballi,Satisfactory,57,"PM
10",1,2018-09-26
Hubballi,Satisfactory,64,"PM
10",1,2018-09-27
Hubballi,Satisfactory,82,"PM
10",1,2018-09-28
Hubballi,Satisfactory,79,"PM
10",1,2018-09-30
Hubballi,Satisfactory,75,"PM
10",1,2018-10-01
Hubballi,Satisfactory,71,"PM
10",1,2018-10-02
Hubballi,Satisfactory,82,"PM
10",1,2018-10-03
Hubballi,Satisfactory,78,"PM
10",1,2018-10-04
Hubballi,Satisfactory,71,"PM
10",1,2018-10-05
Hubballi,Satisfactory,66,"PM
10",1,2018-10-06
Hubballi,Satisfactory,64,"PM
10",1,2018-10-07
Hubballi,Moderate,108,"PM
2.5",1,2018-10-08
Hubballi,Satisfactory,78,"PM
10",1,2018-10-09
Hubballi,Satisfactory,98,"PM
10",1,2018-10-10
Hubballi,Moderate,112,"PM
10",1,2018-10-11
Hubballi,Moderate,119,"PM
10",1,2018-10-12
Hubballi,Moderate,118,"PM
2.5",1,2018-10-13
Hubballi,Moderate,117,"PM
2.5",1,2018-10-14
Hubballi,Moderate,107,"PM
10",1,2018-10-15
Hubballi,Moderate,114,"PM
2.5",1,2018-10-16
Hubballi,Good,42,"PM
2.5",1,2018-10-17
Hubballi,Satisfactory,58,"PM
10",1,2018-10-18
Hubballi,Good,48,"PM
10",1,2018-10-19
Hubballi,Satisfactory,68,"PM
10",1,2018-10-20
Hubballi,Moderate,118,"PM
10",1,2018-10-21
Hubballi,Moderate,105,"PM
10",1,2018-10-22
Hubballi,Moderate,127,"PM
10",1,2018-10-23
Hubballi,Moderate,107,"PM
10",1,2018-10-24
Hubballi,Moderate,121,"PM
10",1,2018-10-25
Hubballi,Moderate,104,"PM
10",1,2018-10-26
