City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Imphal,Satisfactory,71,"SO
2",1,2022-04-19
Imphal,Satisfactory,64,"SO , PM
2 10",2,2022-04-20
Imphal,Satisfactory,65,"SO , PM
2 10",2,2022-04-21
Imphal,Satisfactory,58,"SO , PM
2 10",2,2022-04-22
Imphal,Satisfactory,64,"SO , PM
2 10",2,2022-04-23
Imphal,Satisfactory,78,"PM , SO
10 2",2,2022-04-24
Imphal,Satisfactory,88,"PM , SO
10 2",2,2022-04-25
Imphal,Satisfactory,95,"PM , SO
10 2",2,2022-04-26
Imphal,Satisfactory,86,"PM
10",1,2022-04-27
Imphal,Satisfactory,74,"SO
2",1,2022-04-29
Imphal,Satisfactory,82,"PM
10",1,2022-04-30
Imphal,Good,46,"O
3",1,2022-05-01
Imphal,Satisfactory,56,"O
3",1,2022-05-02
Imphal,Satisfactory,80,"PM
10",1,2022-05-03
Imphal,Satisfactory,72,"SO
2",1,2022-05-05
Imphal,Satisfactory,74,"SO
2",1,2022-05-06
Imphal,Satisfactory,76,"SO
2",1,2022-05-07
Imphal,Satisfactory,77,"SO
2",1,2022-05-08
Imphal,Satisfactory,78,"SO
2",1,2022-05-09
Imphal,Satisfactory,77,"SO
2",1,2022-05-10
Imphal,Satisfactory,76,"SO
2",1,2022-05-11
Imphal,Good,32,"SO
2",1,2022-05-12
Imphal,Satisfactory,56,"SO , PM
2 10",2,2022-05-13
Imphal,Satisfactory,60,"SO , PM
2 10",2,2022-05-14
Imphal,Satisfactory,58,"SO , PM
2 2.5",2,2022-05-15
Imphal,Good,35,"PM
10",1,2022-05-16
Imphal,Satisfactory,57,"SO , PM
2 10",2,2022-05-17
Imphal,Satisfactory,62,"SO , PM
2 10",2,2022-05-18
Imphal,Satisfactory,62,"SO , O
2 3",2,2022-05-19
Imphal,Satisfactory,59,"SO , PM
2 10",2,2022-05-20
Imphal,Satisfactory,70,"PM
10",1,2022-05-21
Imphal,Satisfactory,57,"SO
2",2,2022-05-22
Imphal,Satisfactory,72,"SO , PM
2 10",2,2022-05-23
Imphal,Satisfactory,76,"SO , PM
2 10",2,2022-05-24
Imphal,Satisfactory,68,"SO , PM
2 10",2,2022-05-25
Imphal,Satisfactory,65,"SO , PM
2 10",2,2022-05-26
Imphal,Satisfactory,75,"PM
10",1,2022-05-27
Imphal,Satisfactory,87,"PM
10",1,2022-05-28
Imphal,Satisfactory,91,"PM
10",1,2022-05-29
Imphal,Satisfactory,72,"PM
10",1,2022-05-30
Imphal,Satisfactory,66,"SO , PM
2 10",2,2022-05-31
Imphal,Satisfactory,78,"SO , PM
2 10",2,2022-06-01
