City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Jabalpur,Good,45,OZONE,1,2019-09-23
Jabalpur,Good,47,"PM
2.5",1,2019-09-24
Jabalpur,Good,40,CO,1,2019-09-25
Jabalpur,Good,35,CO,1,2019-09-27
Jabalpur,Good,40,CO,1,2019-09-28
Jabalpur,Good,34,CO,1,2019-09-29
Jabalpur,Satisfactory,62,"PM
10",1,2019-09-30
Jabalpur,Good,50,"PM
10",1,2019-10-01
Jabalpur,Satisfactory,52,CO,1,2019-10-02
Jabalpur,Satisfactory,80,"PM
10",1,2019-10-03
Jabalpur,Satisfactory,94,"PM
10",1,2019-10-04
Jabalpur,Satisfactory,97,"PM
10",1,2019-10-05
Jabalpur,Moderate,116,"PM
10",1,2019-10-06
Jabalpur,Moderate,108,"PM
10",1,2019-10-07
Jabalpur,Moderate,117,"PM
10",1,2019-10-08
Jabalpur,Moderate,125,"PM
10",1,2019-10-09
Jabalpur,Moderate,113,"PM
10",1,2019-10-10
Jabalpur,Satisfactory,99,"PM
10",1,2019-10-11
Jabalpur,Satisfactory,91,"PM
10",1,2019-10-12
Jabalpur,Moderate,101,"PM
10",1,2019-10-13
Jabalpur,Moderate,103,"PM
10",1,2019-10-14
Jabalpur,Moderate,107,"PM
10",1,2019-10-15
Jabalpur,Moderate,115,"PM
10",1,2019-10-16
Jabalpur,Moderate,114,"PM
10",1,2019-10-17
Jabalpur,Moderate,153,"PM
2.5",1,2019-10-18
Jabalpur,Satisfactory,90,"PM
10",1,2019-10-19
Jabalpur,Moderate,102,"PM
2.5",1,2019-10-20
Jabalpur,Satisfactory,75,"PM
2.5",1,2019-10-21
Jabalpur,Poor,218,"PM
2.5",1,2019-10-22
Jabalpur,Moderate,144,"PM
2.5",1,2019-10-23
Jabalpur,Moderate,103,"PM
10",1,2019-10-24
Jabalpur,Moderate,109,"PM
10",1,2019-10-25
Jabalpur,Satisfactory,68,"PM
10",1,2019-10-26
Jabalpur,Satisfactory,84,"PM
10",1,2019-10-27
Jabalpur,Moderate,164,"PM
2.5",1,2019-10-28
Jabalpur,Moderate,118,"PM
2.5",1,2019-10-29
Jabalpur,Moderate,139,"PM
2.5",1,2019-10-30
Jabalpur,Moderate,161,"PM
2.5",1,2019-10-31
Jabalpur,Poor,220,"PM
2.5",1,2019-11-01
Jabalpur,Moderate,198,"PM
2.5",1,2019-11-02
Jabalpur,Poor,245,"PM
2.5",1,2019-11-03
Jabalpur,Moderate,168,"PM
2.5",1,2019-11-04
Jabalpur,Moderate,177,"PM
2.5",1,2019-11-05
