City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Jalgaon,Moderate,110,"PM
10",1,2023-06-13
Jalgaon,Moderate,106,"PM
10",1,2023-06-14
Jalgaon,Moderate,118,"PM
10",1,2023-06-15
Jalgaon,Moderate,112,"PM
10",1,2023-06-16
Jalgaon,Moderate,128,"PM
10",1,2023-06-17
Jalgaon,Moderate,144,"PM
10",1,2023-06-18
Jalgaon,Moderate,157,"PM
10",1,2023-06-19
Jalgaon,Moderate,132,"PM
10",1,2023-06-20
Jalgaon,Moderate,124,"PM
10",1,2023-06-21
Jalgaon,Moderate,112,"PM
10",1,2023-06-22
Jalgaon,Moderate,109,"PM
10",1,2023-06-23
Jalgaon,Satisfactory,99,"PM
10",1,2023-06-24
Jalgaon,Satisfactory,79,"PM
10",1,2023-06-25
Jalgaon,Satisfactory,74,"PM
10",1,2023-06-26
Jalgaon,Satisfactory,56,"PM
10",1,2023-06-27
Jalgaon,Satisfactory,53,"PM
10",1,2023-06-28
Jalgaon,Moderate,112,"PM
10",1,2023-06-29
Jalgaon,Satisfactory,91,"PM
10",1,2023-06-30
Jalgaon,Satisfactory,65,"PM
10",1,2023-07-01
Jalgaon,Satisfactory,73,"PM
10",1,2023-07-02
Jalgaon,Satisfactory,84,"PM
10",1,2023-07-03
Jalgaon,Satisfactory,88,"PM
10",1,2023-07-04
Jalgaon,Satisfactory,85,"PM
10",1,2023-07-05
Jalgaon,Satisfactory,85,"PM
10",1,2023-07-06
Jalgaon,Satisfactory,70,"PM
10",1,2023-07-07
Jalgaon,Satisfactory,78,"PM
10",1,2023-07-08
Jalgaon,Moderate,113,"PM
10",1,2023-07-09
Jalgaon,Good,17,"PM
2.5",1,2023-07-10
Jalgaon,Satisfactory,83,"PM
10",1,2023-07-11
Jalgaon,Satisfactory,63,"PM
10",1,2023-07-13
Jalgaon,Satisfactory,76,"PM
10",1,2023-07-14
Jalgaon,Satisfactory,52,"PM
10",1,2023-07-15
Jalgaon,Satisfactory,58,"PM
10",1,2023-07-16
Jalgaon,Satisfactory,77,"PM
10",1,2023-07-17
Jalgaon,Satisfactory,77,"PM
10",1,2023-07-18
Jalgaon,Satisfactory,75,"PM
10",1,2023-07-19
Jalgaon,Satisfactory,56,"PM
10",1,2023-07-20
Jalgaon,Satisfactory,76,"PM
10",1,2023-07-21
Jalgaon,Satisfactory,100,"PM
10",1,2023-07-22
Jalgaon,Good,45,"PM
10",1,2023-07-23
Jalgaon,Satisfactory,58,"PM
10",1,2023-07-25
Jalgaon,Satisfactory,62,"PM
10",1,2023-07-26
Jalgaon,Satisfactory,61,"PM
10",1,2023-07-27
Jalgaon,Satisfactory,62,"PM
10",1,2023-07-28
Jalgaon,Satisfactory,70,"PM
10",1,2023-07-29
Jalgaon,Satisfactory,58,"PM
10",1,2023-07-30
Jalgaon,Satisfactory,57,"PM
10",1,2023-07-31
Jalgaon,Good,34,"PM
10",1,2023-08-01
Jalgaon,Good,42,"PM
10",1,2023-08-02
Jalgaon,Good,43,"PM
10",1,2023-08-03
Jalgaon,Good,45,"PM
10",1,2023-08-04
Jalgaon,Good,37,"PM
10",1,2023-08-05
Jalgaon,Good,34,"PM
10",1,2023-08-06
Jalgaon,Satisfactory,61,"PM
10",1,2023-08-07
Jalgaon,Satisfactory,69,"PM
10",1,2023-08-08
Jalgaon,Satisfactory,66,"PM
10",1,2023-08-09
Jalgaon,Good,47,"PM
10",1,2023-08-10
Jalgaon,Good,41,"PM
10",1,2023-08-11
Jalgaon,Good,42,"PM
10",1,2023-08-12
Jalgaon,Satisfactory,56,"PM
10",1,2023-08-13
Jalgaon,Satisfactory,61,"PM
10",1,2023-08-14
Jalgaon,Good,43,"PM
10",1,2023-08-15
Jalgaon,Good,45,"PM
10",1,2023-08-16
