City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Jalore,Moderate,165,"PM
10",1/1,2023-11-14
Jalore,Moderate,174,"O
3",1/1,2023-11-15
Jalore,Moderate,161,"PM
2.5",1/1,2023-11-16
Jalore,Poor,228,"PM
2.5",1/1,2023-11-17
Jalore,Poor,255,"PM
2.5",1/1,2023-11-18
Jalore,Poor,244,"PM
2.5",1/1,2023-11-19
Jalore,Poor,244,"PM
2.5",1/1,2023-11-20
Jalore,Poor,246,"PM
2.5",1/1,2023-11-21
Jalore,Poor,244,"PM
2.5",1/1,2023-11-22
Jalore,Poor,204,"PM
10",1/1,2023-11-23
Jalore,Poor,238,"PM
10",1/1,2023-11-24
Jalore,Moderate,167,"O
3",1/1,2023-11-25
Jalore,Moderate,189,"PM
10",1/1,2023-11-26
Jalore,Satisfactory,89,"PM
2.5",1/1,2023-11-27
Jalore,Moderate,166,"PM
2.5",1/1,2023-11-28
Jalore,Poor,293,"PM
2.5",1/1,2023-11-29
Jalore,Moderate,138,"PM
2.5",1/1,2023-11-30
Jalore,Moderate,150,"PM
2.5",1/1,2023-12-01
Jalore,Poor,232,"PM
2.5",1/1,2023-12-02
Jalore,Moderate,165,"PM
2.5",1/1,2023-12-03
Jalore,Moderate,111,"PM
10",1/1,2023-12-05
Jalore,Moderate,116,"PM
2.5",1/1,2023-12-06
Jalore,Moderate,125,"PM
2.5",1/1,2023-12-07
Jalore,Moderate,153,"PM
10",1/1,2023-12-08
Jalore,Moderate,146,"PM
10",1/1,2023-12-09
Jalore,Moderate,164,"PM
10",1/1,2023-12-10
Jalore,Moderate,182,"PM
10",1/1,2023-12-11
Jalore,Moderate,200,"PM
10",1/1,2023-12-12
Jalore,Moderate,200,"PM
10",1/1,2023-12-13
Jalore,Poor,206,"PM
10",1/1,2023-12-14
Jalore,Moderate,161,"PM
10",1/1,2023-12-15
Jalore,Moderate,158,"PM
10",1/1,2023-12-16
Jalore,Moderate,174,"PM
10",1/1,2023-12-17
Jalore,Moderate,134,"PM
10",1/1,2023-12-18
Jalore,Moderate,119,"PM
10",1/1,2023-12-19
Jalore,Moderate,134,"PM
10",1/1,2023-12-20
Jalore,Moderate,163,"PM
10",1/1,2023-12-21
Jalore,Poor,201,"PM
10",1/1,2023-12-22
Jalore,Poor,206,"PM
10",1/1,2023-12-23
Jalore,Moderate,169,"PM
10",1/1,2023-12-24
Jalore,Poor,274,"PM
2.5",1/1,2023-12-25
Jalore,Poor,270,"PM
2.5",1/1,2023-12-26
Jalore,Poor,233,"PM
2.5",1/1,2023-12-27
Jalore,Poor,232,"PM
2.5",1/1,2023-12-28
Jalore,Moderate,156,"PM
10",1/1,2023-12-29
Jalore,Poor,225,"PM
2.5",1/1,2023-12-30
Jalore,Poor,211,"PM
2.5",1/1,2023-12-31
Jalore,Poor,204,"PM
2.5",1/1,2024-01-01
Jalore,Moderate,168,"PM
2.5",1/1,2024-01-02
Jalore,Moderate,169,"PM
2.5",1/1,2024-01-03
Jalore,Moderate,144,"PM
2.5",1/1,2024-01-04
Jalore,Moderate,143,"PM
2.5",1/1,2024-01-05
Jalore,Moderate,140,"PM
2.5",1/1,2024-01-06
Jalore,Moderate,185,"PM
2.5",1/1,2024-01-07
Jalore,Moderate,145,"PM
2.5",1/1,2024-01-08
Jalore,Poor,211,"PM
2.5",1/1,2024-01-09
Jalore,Poor,218,"PM
2.5",1/1,2024-01-10
Jalore,Moderate,139,"PM
10",1/1,2024-01-11
Jalore,Moderate,163,"PM
10",1/1,2024-01-12
Jalore,Moderate,198,"PM
10",1/1,2024-01-13
Jalore,Moderate,188,"PM
10",1/1,2024-01-14
Jalore,Moderate,162,"PM
10",1/1,2024-01-15
Jalore,Poor,233,"PM
10",1/1,2024-01-16
Jalore,Moderate,179,"PM
10",1/1,2024-01-17
Jalore,Poor,242,"PM
2.5",1/1,2024-01-18
Jalore,Moderate,185,"PM
2.5",1/1,2024-01-19
Jalore,Moderate,179,"PM
10",1/1,2024-01-20
Jalore,Moderate,157,"PM
10",1/1,2024-01-21
Jalore,Poor,202,"PM
10",1/1,2024-01-22
Jalore,Moderate,195,"PM
10",1/1,2024-01-23
Jalore,Moderate,197,"PM
2.5",1/1,2024-01-24
Jalore,Moderate,187,"PM
10",1/1,2024-01-25
Jalore,Moderate,176,"PM
10",1/1,2024-01-26
Jalore,Moderate,164,"PM
10",1/1,2024-01-27
Jalore,Moderate,197,"PM
10",1/1,2024-01-28
