City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Jhalawar,Moderate,118,"PM
10",1,2023-03-13
Jhalawar,Moderate,167,"O
3",1,2023-03-14
Jhalawar,Moderate,165,"O
3",1,2023-03-15
Jhalawar,Satisfactory,88,"PM
2.5",1,2023-03-16
Jhalawar,Satisfactory,86,"O
3",1,2023-03-17
Jhalawar,Satisfactory,75,"O
3",1,2023-03-19
Jhalawar,Satisfactory,71,"O
3",1,2023-03-20
Jhalawar,Satisfactory,87,"O
3",1,2023-03-21
Jhalawar,Satisfactory,76,"PM
10",1,2023-03-22
Jhalawar,Satisfactory,68,"O
3",1,2023-03-23
Jhalawar,Satisfactory,84,"PM
10",1,2023-03-24
Jhalawar,Satisfactory,81,"PM
10",1,2023-03-25
Jhalawar,Moderate,115,"PM
10",1,2023-03-26
Jhalawar,Moderate,124,"PM
10",1,2023-03-29
Jhalawar,Moderate,151,"PM
10",1,2023-03-30
Jhalawar,Satisfactory,67,"O
3",1,2023-04-01
Jhalawar,Satisfactory,76,"PM
10",1,2023-04-02
Jhalawar,Moderate,101,"PM
10",1,2023-04-03
Jhalawar,Satisfactory,99,"PM
10",1,2023-04-04
Jhalawar,Satisfactory,96,"PM
10",1,2023-04-05
Jhalawar,Moderate,127,"PM
10",1,2023-04-06
Jhalawar,Moderate,122,"PM
10",1,2023-04-07
Jhalawar,Moderate,110,"PM
10",1,2023-04-08
Jhalawar,Satisfactory,87,"PM
10",1,2023-04-09
Jhalawar,Moderate,126,"PM
10",1,2023-04-10
Jhalawar,Moderate,116,"PM
10",1,2023-04-11
Jhalawar,Moderate,125,"PM
10",1,2023-04-13
Jhalawar,Moderate,112,"PM
10",1,2023-04-14
Jhalawar,Moderate,105,"PM
10",1,2023-04-15
Jhalawar,Satisfactory,85,"PM
10",1,2023-04-16
Jhalawar,Satisfactory,82,"PM
10",1,2023-04-17
Jhalawar,Moderate,110,"PM
10",1,2023-04-18
Jhalawar,Moderate,124,"PM
10",1,2023-04-19
Jhalawar,Satisfactory,100,"PM
10",1,2023-04-20
Jhalawar,Satisfactory,89,"PM
10",1,2023-04-21
Jhalawar,Moderate,120,"PM
10",1,2023-04-22
Jhalawar,Moderate,121,"PM
10",1,2023-04-23
Jhalawar,Satisfactory,96,"O
3",1,2023-04-24
Jhalawar,Moderate,102,"O
3",1,2023-04-25
Jhalawar,Moderate,102,"O
3",1,2023-04-26
Jhalawar,Satisfactory,77,"O
3",1,2023-04-27
Jhalawar,Satisfactory,71,"O
3",1,2023-04-28
Jhalawar,Satisfactory,54,"O
3",1,2023-04-29
Jhalawar,Satisfactory,56,"O
3",1,2023-04-30
Jhalawar,Satisfactory,73,"PM
10",1,2023-05-02
Jhalawar,Satisfactory,64,"O
3",1,2023-05-03
Jhalawar,Satisfactory,76,"O
3",1,2023-05-04
Jhalawar,Satisfactory,91,"O
3",1,2023-05-05
Jhalawar,Satisfactory,75,"PM
10",1,2023-05-06
Jhalawar,Satisfactory,76,"PM
10",1,2023-05-07
Jhalawar,Satisfactory,84,"PM
10",1,2023-05-08
Jhalawar,Moderate,125,"PM
10",1,2023-05-09
Jhalawar,Moderate,124,"PM
10",1,2023-05-10
Jhalawar,Moderate,118,"PM
10",1,2023-05-11
Jhalawar,Moderate,110,"PM
10",1,2023-05-12
Jhalawar,Moderate,132,"PM
10",1,2023-05-13
Jhalawar,Moderate,114,"PM
10",1,2023-05-14
Jhalawar,Satisfactory,98,"PM
10",1,2023-05-15
Jhalawar,Satisfactory,80,"PM
10",1,2023-05-16
Jhalawar,Satisfactory,74,"PM
10",1,2023-05-17
Jhalawar,Satisfactory,72,"PM
10",1,2023-05-18
Jhalawar,Satisfactory,86,"PM
10",1,2023-05-19
Jhalawar,Moderate,103,"PM
10",1,2023-05-20
Jhalawar,Satisfactory,99,"PM
10",1,2023-05-21
Jhalawar,Satisfactory,64,"PM
10",1,2023-05-22
Jhalawar,Satisfactory,66,"PM
10",1,2023-05-23
Jhalawar,Satisfactory,71,"PM
10",1,2023-05-24
