City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Jhansi,Moderate,153,"PM
2.5",1,2022-02-05
Jhansi,Moderate,109,"PM
10",1,2022-02-06
Jhansi,Moderate,114,"PM
10",1,2022-02-07
Jhansi,Moderate,151,"PM
10",1,2022-02-08
Jhansi,Moderate,167,"PM
10",1,2022-02-09
Jhansi,Moderate,164,"PM
2.5",1,2022-02-10
Jhansi,Moderate,134,"PM
10",1,2022-02-11
Jhansi,Moderate,141,"PM
10",1,2022-02-12
Jhansi,Moderate,140,"PM
10",1,2022-02-13
Jhansi,Moderate,153,"PM
10",1,2022-02-14
Jhansi,Moderate,167,"PM
10",1,2022-02-15
Jhansi,Moderate,165,"PM
2.5",1,2022-02-16
Jhansi,Moderate,152,"PM
10",1,2022-02-17
Jhansi,Moderate,132,"PM
10",1,2022-02-18
Jhansi,Moderate,138,"PM
10",1,2022-02-19
Jhansi,Moderate,110,"PM
10",1,2022-02-20
Jhansi,Moderate,106,"PM
10",1,2022-02-21
Jhansi,Moderate,122,"PM
10",1,2022-02-22
Jhansi,Moderate,124,"PM
10",1,2022-02-23
Jhansi,Moderate,151,"PM
10",1,2022-02-24
Jhansi,Moderate,186,"PM
10",1,2022-02-25
Jhansi,Moderate,185,"PM
10",1,2022-02-26
Jhansi,Moderate,125,"PM
10",1,2022-02-27
Jhansi,Satisfactory,95,"PM
10",1,2022-02-28
Jhansi,Satisfactory,94,"PM
10",1,2022-03-01
Jhansi,Moderate,155,"PM
10",1,2022-03-02
Jhansi,Moderate,144,"PM
10",1,2022-03-03
Jhansi,Moderate,139,"PM
10",1,2022-03-04
Jhansi,Moderate,101,"PM
10",1,2022-03-05
Jhansi,Moderate,120,"PM
10",1,2022-03-08
Jhansi,Moderate,187,"PM
10",1,2022-03-09
Jhansi,Moderate,111,"PM
10",1,2022-03-10
Jhansi,Moderate,113,"PM
10",1,2022-03-11
Jhansi,Moderate,124,"PM
10",1,2022-03-13
Jhansi,Moderate,174,"PM
10",1,2022-03-15
Jhansi,Moderate,174,"PM
10",1,2022-03-16
Jhansi,Moderate,170,"PM
10",1,2022-03-17
Jhansi,Moderate,197,"PM
2.5",1,2022-03-18
Jhansi,Moderate,188,"PM
2.5",1,2022-03-19
Jhansi,Moderate,142,"PM
10",1,2022-03-20
Jhansi,Moderate,142,"PM
10",1,2022-03-21
Jhansi,Moderate,153,"PM
10",1,2022-03-22
Jhansi,Moderate,164,"PM
10",1,2022-03-23
Jhansi,Moderate,188,"PM
10",1,2022-03-24
Jhansi,Moderate,159,"PM
10",1,2022-03-25
Jhansi,Moderate,174,"PM
10",1,2022-03-26
Jhansi,Moderate,164,"PM
10",1,2022-03-27
Jhansi,Moderate,172,"PM
10",1,2022-03-28
Jhansi,Satisfactory,86,"PM
2.5",1,2022-03-29
Jhansi,Moderate,150,"PM
10",1,2022-03-30
Jhansi,Moderate,167,"PM
10",1,2022-03-31
Jhansi,Moderate,178,"PM
10",1,2022-04-01
Jhansi,Moderate,178,"PM
10",1,2022-04-02
Jhansi,Moderate,159,"PM
10",1,2022-04-03
Jhansi,Moderate,156,"PM
10",1,2022-04-04
Jhansi,Satisfactory,83,"PM
2.5",1,2022-04-05
Jhansi,Moderate,182,"PM
10",1,2022-04-06
Jhansi,Moderate,164,"PM
10",1,2022-04-07
Jhansi,Moderate,160,"PM
10",1,2022-04-08
Jhansi,Moderate,139,"PM
10",1,2022-04-11
Jhansi,Moderate,145,"PM
10",1,2022-04-12
Jhansi,Moderate,184,"PM
10",1,2022-04-14
Jhansi,Poor,218,"PM
10",1,2022-04-15
Jhansi,Moderate,178,"PM
10",1,2022-04-18
Jhansi,Poor,203,"PM
10",1,2022-04-19
Jhansi,Poor,215,"PM
10",1,2022-04-22
Jhansi,Poor,214,"PM
10",1,2022-04-23
Jhansi,Moderate,152,"PM
10",1,2022-04-24
Jhansi,Moderate,196,"PM
10",1,2022-04-25
Jhansi,Moderate,182,"PM
10",1,2022-04-26
Jhansi,Poor,203,"PM
10",1,2022-04-27
Jhansi,Moderate,195,"PM
10",1,2022-04-28
Jhansi,Moderate,171,"PM
10",1,2022-04-29
Jhansi,Moderate,117,"PM
10",1,2022-04-30
Jhansi,Moderate,167,"PM
10",1,2022-05-01
Jhansi,Moderate,185,"PM
10",1,2022-05-02
Jhansi,Moderate,174,"PM
10",1,2022-05-05
Jhansi,Moderate,165,"PM
10",1,2022-05-06
Jhansi,Moderate,173,"PM
10",1,2022-05-07
Jhansi,Moderate,182,"PM
10",1,2022-05-08
Jhansi,Moderate,159,"PM
10",1,2022-05-09
Jhansi,Moderate,142,"PM
10",1,2022-05-10
Jhansi,Moderate,154,"PM
10",1,2022-05-11
Jhansi,Moderate,162,"PM
10",1,2022-05-12
Jhansi,Moderate,165,"PM
10",1,2022-05-13
Jhansi,Moderate,152,"PM
10",1,2022-05-14
Jhansi,Moderate,147,"PM
10",1,2022-05-15
Jhansi,Moderate,142,"PM
10",1,2022-05-16
Jhansi,Moderate,162,"PM
10",1,2022-05-17
Jhansi,Moderate,189,"PM
10",1,2022-05-18
Jhansi,Moderate,185,"PM
10",1,2022-05-19
Jhansi,Moderate,193,"PM
10",1,2022-05-20
Jhansi,Poor,232,"PM
10",1,2022-05-21
Jhansi,Poor,241,"PM
10",1,2022-05-22
Jhansi,Moderate,125,"PM
10",1,2022-05-25
Jhansi,Moderate,143,"PM
10",1,2022-05-26
Jhansi,Moderate,157,"PM
10",1,2022-05-29
Jhansi,Moderate,167,"PM
10",1,2022-06-03
Jhansi,Moderate,179,"PM
10",1,2022-06-04
Jhansi,Moderate,135,"PM
10",1,2022-06-05
Jhansi,Good,38,"PM
2.5",1,2022-06-06
Jhansi,Moderate,167,"PM
10",1,2022-06-07
Jhansi,Moderate,167,"PM
10",1,2022-06-08
Jhansi,Moderate,146,"PM
10",1,2022-06-09
Jhansi,Moderate,163,"PM
10",1,2022-06-10
Jhansi,Moderate,140,"PM
10",1,2022-06-11
Jhansi,Satisfactory,88,"PM
10",1,2022-06-14
Jhansi,Satisfactory,82,"PM
10",1,2022-06-15
Jhansi,Satisfactory,62,"PM
10",1,2022-06-16
Jhansi,Good,50,"PM
10",1,2022-06-17
Jhansi,Good,47,"PM
10",1,2022-06-21
Jhansi,Moderate,159,"PM
10",1,2022-06-25
Jhansi,Satisfactory,56,"PM
10",1,2022-06-29
Jhansi,Good,48,"PM
10",1,2022-06-30
Jhansi,Good,35,"PM
10",1,2022-07-01
Jhansi,Good,29,"PM
10",1,2022-07-02
Jhansi,Good,42,"PM
10",1,2022-07-03
Jhansi,Good,29,"PM
10",1,2022-07-04
Jhansi,Good,48,"PM
10",1,2022-07-09
Jhansi,Satisfactory,64,"PM
10",1,2022-07-12
Jhansi,Good,34,"PM
10",1,2022-07-13
Jhansi,Satisfactory,64,"PM
10",1,2022-07-14
Jhansi,Satisfactory,64,"PM
10",1,2022-07-15
Jhansi,Good,34,"PM
10",1,2022-07-16
Jhansi,Good,32,"PM
10",1,2022-07-17
Jhansi,Good,46,"PM
10",1,2022-07-18
Jhansi,Satisfactory,89,"PM
10",1,2022-07-19
Jhansi,Satisfactory,52,"PM
10",1,2022-07-20
Jhansi,Good,21,CO,1,2022-07-21
Jhansi,Good,24,"PM
10",1,2022-07-22
Jhansi,Good,30,CO,1,2022-07-23
Jhansi,Good,37,"PM
10",1,2022-07-24
Jhansi,Good,24,"PM
10",1,2022-07-25
Jhansi,Good,23,CO,1,2022-07-26
Jhansi,Satisfactory,62,CO,1,2022-07-30
Jhansi,Satisfactory,83,"PM
10",1,2022-08-01
Jhansi,Good,44,"PM
2.5",1,2022-08-02
Jhansi,Good,33,"PM
10",1,2022-08-03
Jhansi,Satisfactory,53,"PM
10",1,2022-08-04
Jhansi,Satisfactory,73,"PM
10",1,2022-08-07
Jhansi,Good,33,"PM
10",1,2022-08-08
Jhansi,Good,36,"PM
10",1,2022-08-09
Jhansi,Good,37,"PM
10",1,2022-08-10
Jhansi,Good,37,"PM
10",1,2022-08-11
Jhansi,Good,27,"PM
10",1,2022-08-12
Jhansi,Good,30,"PM
10",1,2022-08-13
Jhansi,Good,27,"PM
10",1,2022-08-14
Jhansi,Good,21,"PM
10",1,2022-08-17
Jhansi,Good,46,"PM
10",1,2022-08-18
Jhansi,Satisfactory,68,"PM
10",1,2022-08-19
Jhansi,Good,31,"PM
10",1,2022-08-20
Jhansi,Good,27,"PM
2.5",1,2022-08-21
Jhansi,Satisfactory,64,"PM
10",1,2022-08-25
Jhansi,Good,48,"PM
10",1,2022-08-26
Jhansi,Satisfactory,62,"PM
10",1,2022-08-27
Jhansi,Satisfactory,57,"PM
10",1,2022-08-29
Jhansi,Satisfactory,84,"PM
10",1,2022-08-31
Jhansi,Satisfactory,86,"PM
10",1,2022-09-01
Jhansi,Good,35,CO,1,2022-09-02
Jhansi,Satisfactory,51,"PM
10",1,2022-09-05
Jhansi,Good,45,"PM
10",1,2022-09-06
Jhansi,Satisfactory,78,"PM
10",1,2022-09-07
Jhansi,Moderate,114,"PM
10",1,2022-09-08
Jhansi,Satisfactory,74,"PM
10",1,2022-09-10
Jhansi,Satisfactory,63,"PM
10",1,2022-09-11
Jhansi,Good,25,CO,1,2022-09-14
Jhansi,Good,28,CO,1,2022-09-15
Jhansi,Satisfactory,64,"PM
10",1,2022-09-18
Jhansi,Satisfactory,78,"PM
10",1,2022-09-19
Jhansi,Satisfactory,79,"PM
10",1,2022-09-20
Jhansi,Good,27,"PM
10",1,2022-09-22
Jhansi,Good,47,CO,1,2022-09-23
Jhansi,Good,45,"PM
10",1,2022-09-24
Jhansi,Satisfactory,76,"PM
10",1,2022-09-25
Jhansi,Satisfactory,92,"PM
10",1,2022-09-26
Jhansi,Satisfactory,74,"PM
10",1,2022-09-27
Jhansi,Moderate,105,"PM
10",1,2022-09-28
Jhansi,Satisfactory,100,"PM
10",1,2022-09-29
Jhansi,Moderate,109,"PM
10",1,2022-09-30
Jhansi,Moderate,127,"PM
10",1,2022-10-01
Jhansi,Moderate,120,"PM
10",1,2022-10-02
Jhansi,Satisfactory,99,"PM
10",1,2022-10-03
Jhansi,Moderate,132,"PM
10",1,2022-10-04
Jhansi,Satisfactory,60,"PM
10",1,2022-10-05
Jhansi,Good,28,"SO
2",1,2022-10-06
Jhansi,Good,31,CO,1,2022-10-07
Jhansi,Good,38,"PM
10",1,2022-10-08
Jhansi,Good,50,"PM
10",1,2022-10-09
Jhansi,Good,36,"PM
10",1,2022-10-10
Jhansi,Good,29,"SO
2",1,2022-10-11
Jhansi,Good,35,"PM
10",1,2022-10-12
Jhansi,Satisfactory,69,"PM
10",1,2022-10-13
Jhansi,Satisfactory,96,"PM
10",1,2022-10-14
Jhansi,Moderate,123,"PM
10",1,2022-10-15
Jhansi,Moderate,147,"PM
2.5",1,2022-10-16
Jhansi,Moderate,134,"PM
10",1,2022-10-17
Jhansi,Moderate,148,"PM
10",1,2022-10-18
Jhansi,Moderate,144,"PM
10",1,2022-10-19
Jhansi,Moderate,149,"PM
10",1,2022-10-20
Jhansi,Moderate,114,"PM
10",1,2022-10-21
Jhansi,Moderate,138,"PM
10",1,2022-10-22
Jhansi,Moderate,177,"PM
2.5",1,2022-10-23
Jhansi,Poor,214,"PM
2.5",1,2022-10-24
Jhansi,Poor,211,"PM
2.5",1,2022-10-25
Jhansi,Moderate,129,"PM
10",1,2022-10-26
Jhansi,Moderate,165,"PM
2.5",1,2022-10-27
Jhansi,Moderate,157,"PM
10",1,2022-10-28
Jhansi,Moderate,158,"PM
10",1,2022-10-29
Jhansi,Poor,256,"PM
2.5",1,2022-10-30
Jhansi,Poor,259,"PM
2.5",1,2022-10-31
Jhansi,Poor,248,"PM
2.5",1,2022-11-01
Jhansi,Moderate,159,"PM
2.5",1,2022-11-02
Jhansi,Moderate,163,"PM
2.5",1,2022-11-03
Jhansi,Poor,262,"PM
2.5",1,2022-11-04
Jhansi,Poor,277,"PM
2.5",1,2022-11-05
Jhansi,Poor,258,"PM
10",1,2022-11-06
Jhansi,Moderate,112,"PM
10",1,2022-11-07
Jhansi,Satisfactory,93,"PM
10",1,2022-11-08
Jhansi,Moderate,106,"PM
10",1,2022-11-09
Jhansi,Poor,239,"PM
2.5",1,2022-11-10
Jhansi,Moderate,170,"PM
2.5",1,2022-11-11
Jhansi,Moderate,152,"PM
2.5",1,2022-11-12
Jhansi,Moderate,155,"PM
2.5",1,2022-11-13
Jhansi,Moderate,131,"PM
10",1,2022-11-14
Jhansi,Moderate,130,"PM
10",1,2022-11-15
Jhansi,Moderate,137,"PM
10",1,2022-11-16
Jhansi,Moderate,119,"PM
10",1,2022-11-17
Jhansi,Moderate,125,"PM
10",1,2022-11-18
Jhansi,Moderate,149,"PM
10",1,2022-11-19
Jhansi,Moderate,181,"PM
2.5",1,2022-11-20
Jhansi,Poor,206,"PM
2.5",1,2022-11-21
Jhansi,Moderate,174,"PM
2.5",1,2022-11-22
Jhansi,Moderate,154,"PM
10",1,2022-11-23
Jhansi,Moderate,131,"PM
10",1,2022-11-24
Jhansi,Moderate,176,CO,1,2022-11-25
Jhansi,Moderate,149,"PM
10",1,2022-11-26
Jhansi,Moderate,148,"PM
10",1,2022-11-27
Jhansi,Moderate,182,"PM
2.5",1,2022-11-28
Jhansi,Poor,231,"PM
2.5",1,2022-11-29
Jhansi,Poor,209,"PM
2.5",1,2022-11-30
Jhansi,Poor,217,"PM
2.5",1,2022-12-01
Jhansi,Poor,237,"PM
2.5",1,2022-12-02
Jhansi,Poor,239,"PM
2.5",1,2022-12-03
Jhansi,Poor,231,"PM
2.5",1,2022-12-04
Jhansi,Poor,235,"PM
2.5",1,2022-12-05
Jhansi,Moderate,160,"PM
2.5",1,2022-12-06
Jhansi,Moderate,128,"PM
10",1,2022-12-07
Jhansi,Moderate,126,"PM
10",1,2022-12-08
Jhansi,Moderate,122,"PM
10",1,2022-12-09
Jhansi,Poor,230,"PM
2.5",1,2022-12-10
Jhansi,Poor,217,"PM
2.5",1,2022-12-11
Jhansi,Moderate,162,"PM
10",1,2022-12-12
Jhansi,Satisfactory,94,"PM
10",1,2022-12-13
Jhansi,Satisfactory,77,"PM
10",1,2022-12-14
Jhansi,Moderate,111,"PM
10",1,2022-12-15
Jhansi,Moderate,106,"PM
10",1,2022-12-16
Jhansi,Moderate,115,"PM
10",1,2022-12-17
Jhansi,Moderate,114,"PM
10",1,2022-12-18
Jhansi,Moderate,163,"PM
2.5",1,2022-12-19
Jhansi,Poor,220,"PM
2.5",1,2022-12-20
Jhansi,Moderate,150,"PM
2.5",1,2022-12-21
Jhansi,Moderate,158,"PM
10",1,2022-12-22
Jhansi,Moderate,136,"PM
10",1,2022-12-23
Jhansi,Moderate,144,"PM
10",1,2022-12-24
Jhansi,Moderate,126,"PM
10",1,2022-12-25
Jhansi,Moderate,120,"PM
10",1,2022-12-26
Jhansi,Moderate,170,"PM
2.5",1,2022-12-27
Jhansi,Moderate,138,"PM
2.5",1,2022-12-28
Jhansi,Moderate,105,"PM
10",1,2022-12-29
Jhansi,Moderate,122,"PM
10",1,2022-12-30
Jhansi,Moderate,161,"PM
10",1,2022-12-31
Jhansi,Poor,223,"PM
10",1,2023-01-01
Jhansi,Moderate,155,"PM
10",1,2023-01-02
Jhansi,Moderate,127,"PM
10",1,2023-01-03
Jhansi,Moderate,137,"PM
10",1,2023-01-04
Jhansi,Moderate,144,"PM
10",1,2023-01-05
Jhansi,Moderate,141,"PM
10",1,2023-01-06
Jhansi,Moderate,132,"PM
10",1,2023-01-07
Jhansi,Moderate,114,"PM
10",1,2023-01-08
Jhansi,Moderate,147,"PM
10",1,2023-01-09
Jhansi,Moderate,116,"PM
10",1,2023-01-10
Jhansi,Moderate,133,"PM
10",1,2023-01-11
Jhansi,Moderate,109,"PM
10",1,2023-01-12
Jhansi,Moderate,102,"PM
10",1,2023-01-13
Jhansi,Moderate,116,"PM
10",1,2023-01-14
Jhansi,Moderate,108,"PM
10",1,2023-01-15
Jhansi,Moderate,106,"PM
10",1,2023-01-17
Jhansi,Moderate,121,"PM
10",1,2023-01-18
Jhansi,Moderate,154,"PM
10",1,2023-01-19
