City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Kaithal,Satisfactory,73,"PM
2.5",1,2019-02-19
Kaithal,Poor,212,"PM
2.5",1,2019-02-20
Kaithal,Satisfactory,72,"PM
10",1,2019-02-21
Kaithal,Moderate,118,"PM
10",1,2019-02-22
Kaithal,Satisfactory,76,"PM
10",1,2019-02-23
Kaithal,Satisfactory,80,"PM
10",1,2019-02-24
Kaithal,Moderate,140,"PM
2.5",1,2019-02-25
Kaithal,Moderate,103,"PM
10",1,2019-02-26
Kaithal,Satisfactory,82,OZONE,1,2019-02-27
Kaithal,Moderate,108,"PM
2.5",1,2019-02-28
Kaithal,Moderate,108,"PM
2.5",1,2019-03-01
Kaithal,Moderate,118,"PM
2.5",1,2019-03-02
Kaithal,Satisfactory,91,"PM
2.5",1,2019-03-03
Kaithal,Satisfactory,80,"PM
2.5",1,2019-03-04
Kaithal,Satisfactory,74,"PM
2.5",1,2019-03-05
Kaithal,Satisfactory,81,"PM
2.5",1,2019-03-06
Kaithal,Moderate,110,"PM
2.5",1,2019-03-07
Kaithal,Moderate,101,"PM
2.5",1,2019-03-08
Kaithal,Moderate,115,"PM
2.5",1,2019-03-09
Kaithal,Moderate,109,"PM
10",1,2019-03-10
Kaithal,Moderate,116,"PM
10",1,2019-03-11
Kaithal,Satisfactory,81,"PM
10",1,2019-03-12
Kaithal,Moderate,136,"PM
10",1,2019-03-13
Kaithal,Moderate,128,"PM
2.5",1,2019-03-14
Kaithal,Satisfactory,75,"PM
2.5",1,2019-03-15
Kaithal,Satisfactory,81,"PM
2.5",1,2019-03-16
Kaithal,Satisfactory,99,"PM
2.5",1,2019-03-17
Kaithal,Moderate,112,"PM
2.5",1,2019-03-18
Kaithal,Moderate,148,"PM
2.5",1,2019-03-19
Kaithal,Moderate,145,"PM
2.5",1,2019-03-20
Kaithal,Moderate,131,"PM
2.5",1,2019-03-21
Kaithal,Satisfactory,65,OZONE,1,2019-03-22
Kaithal,Satisfactory,72,"PM
2.5",1,2019-03-23
Kaithal,Satisfactory,73,"PM
2.5",1,2019-03-24
Kaithal,Satisfactory,88,"PM
2.5",1,2019-03-25
Kaithal,Moderate,119,"PM
2.5",1,2019-03-26
Kaithal,Satisfactory,100,"PM
2.5",1,2019-03-27
Kaithal,Moderate,139,"PM
10",1,2019-03-28
Kaithal,Moderate,144,"PM
10",1,2019-03-29
Kaithal,Moderate,154,"PM
10",1,2019-03-30
Kaithal,Moderate,135,"PM
10",1,2019-03-31
Kaithal,Moderate,113,"PM
10",1,2019-04-01
Kaithal,Moderate,126,"PM
10",1,2019-04-02
Kaithal,Moderate,102,"PM
10",1,2019-04-03
Kaithal,Moderate,151,"PM
2.5",1,2019-04-04
Kaithal,Moderate,175,"PM
2.5",1,2019-04-05
Kaithal,Moderate,154,"PM
2.5",1,2019-04-06
Kaithal,Poor,222,"PM
2.5",1,2019-04-07
Kaithal,Severe,401,"PM
10",1,2019-04-08
Kaithal,Moderate,159,"PM
10",1,2019-04-09
Kaithal,Moderate,136,"PM
10",1,2019-04-10
Kaithal,Moderate,116,"PM
10",1,2019-04-11
Kaithal,Moderate,159,"PM
10",1,2019-04-12
Kaithal,Moderate,107,"PM
10",1,2019-04-13
Kaithal,Satisfactory,76,"PM
10",1,2019-04-14
Kaithal,Satisfactory,88,"PM
10",1,2019-04-15
Kaithal,Satisfactory,92,"PM
10",1,2019-04-16
Kaithal,Satisfactory,92,"PM
10",1,2019-04-17
Kaithal,Satisfactory,60,OZONE,1,2019-04-18
Kaithal,Satisfactory,72,"PM
10",1,2019-04-19
Kaithal,Moderate,116,"PM
10",1,2019-04-20
Kaithal,Moderate,140,"PM
10",1,2019-04-21
Kaithal,Moderate,120,"PM
10",1,2019-04-22
Kaithal,Moderate,127,"PM
10",1,2019-04-23
Kaithal,Moderate,183,"PM
10",1,2019-04-24
Kaithal,Moderate,160,OZONE,1,2019-04-25
Kaithal,Moderate,164,"PM
2.5",1,2019-04-26
Kaithal,Moderate,127,"PM
10",1,2019-04-27
Kaithal,Moderate,144,"PM
2.5",1,2019-04-28
Kaithal,Moderate,155,"PM
10",1,2019-04-29
Kaithal,Moderate,194,"PM
10",1,2019-04-30
Kaithal,Poor,215,"PM
10",1,2019-05-01
Kaithal,Moderate,189,"PM
10",1,2019-05-02
Kaithal,Satisfactory,77,OZONE,1,2019-05-03
