City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Kalaburgi,Satisfactory,91,"PM
10",1,2018-08-02
Kalaburgi,Poor,206,"PM
10",1,2018-12-27
Kalaburgi,Moderate,128,"PM
10",1,2018-12-28
Kalaburgi,Moderate,137,"PM
10",1,2018-12-29
Kalaburgi,Moderate,154,"PM
2.5",1,2018-12-30
Kalaburgi,Moderate,138,"PM
10",1,2018-12-31
Kalaburgi,Moderate,168,"PM
10",1,2019-01-01
Kalaburgi,Moderate,198,"PM
2.5",1,2019-01-02
Kalaburgi,Moderate,182,"PM
10",1,2019-01-03
Kalaburgi,Moderate,180,"PM
2.5",1,2019-01-04
Kalaburgi,Very Poor,306,"PM
2.5",1,2019-01-05
Kalaburgi,Poor,231,"PM
2.5",1,2019-01-06
Kalaburgi,Poor,202,"PM
2.5",1,2019-01-07
Kalaburgi,Moderate,186,"PM
10",1,2019-01-08
Kalaburgi,Poor,216,"PM
2.5",1,2019-01-09
Kalaburgi,Poor,223,"PM
2.5",1,2019-01-10
Kalaburgi,Poor,206,"PM
2.5",1,2019-01-11
Kalaburgi,Moderate,196,"PM
2.5",1,2019-01-12
Kalaburgi,Moderate,152,"PM
10",1,2019-01-13
Kalaburgi,Moderate,141,"PM
2.5",1,2019-01-14
Kalaburgi,Moderate,157,"PM
2.5",1,2019-01-15
Kalaburgi,Poor,203,"PM
2.5",1,2019-01-16
Kalaburgi,Moderate,195,"PM
2.5",1,2019-01-17
Kalaburgi,Moderate,163,"PM
2.5",1,2019-01-18
Kalaburgi,Moderate,187,"PM
2.5",1,2019-01-19
Kalaburgi,Moderate,174,"PM
2.5",1,2019-01-20
Kalaburgi,Moderate,104,"PM
2.5",1,2019-01-21
Kalaburgi,Moderate,101,"PM
10",1,2019-01-22
Kalaburgi,Moderate,140,"PM
10",1,2019-01-24
Kalaburgi,Moderate,112,"PM
10",1,2019-01-25
Kalaburgi,Moderate,128,"PM
10",1,2019-01-26
Kalaburgi,Satisfactory,97,"PM
10",1,2019-01-27
Kalaburgi,Moderate,124,"PM
2.5",1,2019-01-28
Kalaburgi,Moderate,133,"PM
2.5",1,2019-01-29
Kalaburgi,Moderate,103,"PM
10",1,2019-01-30
Kalaburgi,Moderate,135,"PM
10",1,2019-01-31
Kalaburgi,Moderate,103,"PM
10",1,2019-02-01
Kalaburgi,Moderate,106,"PM
10",1,2019-02-02
Kalaburgi,Moderate,128,"PM
10",1,2019-02-03
Kalaburgi,Moderate,102,"PM
10",1,2019-02-04
Kalaburgi,Satisfactory,99,"PM
10",1,2019-02-05
Kalaburgi,Moderate,102,"PM
2.5",1,2019-02-07
Kalaburgi,Moderate,124,"PM
10",1,2019-02-08
Kalaburgi,Moderate,160,"PM
10",1,2019-02-09
Kalaburgi,Moderate,149,"PM
10",1,2019-02-10
Kalaburgi,Moderate,156,"PM
10",1,2019-02-11
Kalaburgi,Moderate,103,"PM
10",1,2019-02-12
Kalaburgi,Moderate,107,"PM
10",1,2019-02-13
Kalaburgi,Moderate,109,"PM
10",1,2019-02-14
Kalaburgi,Moderate,155,"PM
10",1,2019-02-19
Kalaburgi,Satisfactory,94,"PM
10",1,2019-02-20
Kalaburgi,Satisfactory,83,"PM
10",1,2019-02-21
Kalaburgi,Moderate,114,"PM
10",1,2019-02-22
Kalaburgi,Moderate,126,"PM
10",1,2019-02-23
Kalaburgi,Moderate,130,"PM
10",1,2019-02-24
Kalaburgi,Moderate,129,"PM
10",1,2019-02-25
Kalaburgi,Moderate,121,"PM
10",1,2019-02-26
Kalaburgi,Moderate,129,"PM
10",1,2019-02-27
Kalaburgi,Moderate,130,"PM
10",1,2019-02-28
Kalaburgi,Moderate,134,"PM
10",1,2019-03-01
Kalaburgi,Moderate,124,"PM
10",1,2019-03-02
Kalaburgi,Moderate,137,"PM
10",1,2019-03-10
Kalaburgi,Moderate,137,"PM
10",1,2019-03-11
Kalaburgi,Moderate,139,"PM
10",1,2019-03-14
Kalaburgi,Moderate,156,OZONE,1,2019-03-15
Kalaburgi,Moderate,109,"PM
10",1,2019-03-16
Kalaburgi,Moderate,118,"PM
2.5",1,2019-03-17
Kalaburgi,Moderate,184,"PM
2.5",1,2019-03-18
Kalaburgi,Moderate,152,OZONE,1,2019-03-19
Kalaburgi,Poor,204,OZONE,1,2019-03-20
Kalaburgi,Moderate,160,OZONE,1,2019-03-21
Kalaburgi,Moderate,120,"PM
10",1,2019-03-22
Kalaburgi,Moderate,125,"PM
10",1,2019-03-23
Kalaburgi,Moderate,144,"PM
10",1,2019-03-24
Kalaburgi,Moderate,107,"PM
10",1,2019-03-25
Kalaburgi,Moderate,131,"PM
10",1,2019-03-29
Kalaburgi,Moderate,121,"PM
10",1,2019-03-30
Kalaburgi,Satisfactory,71,"PM
10",1,2019-04-05
Kalaburgi,Satisfactory,79,"PM
10",1,2019-04-06
Kalaburgi,Satisfactory,74,"PM
10",1,2019-04-07
Kalaburgi,Moderate,124,"PM
10",1,2019-04-08
Kalaburgi,Moderate,108,"PM
10",1,2019-04-09
Kalaburgi,Satisfactory,95,"PM
10",1,2019-04-10
Kalaburgi,Satisfactory,90,"PM
10",1,2019-04-11
Kalaburgi,Satisfactory,98,"PM
10",1,2019-04-12
Kalaburgi,Satisfactory,75,"PM
10",1,2019-04-13
Kalaburgi,Satisfactory,87,"PM
10",1,2019-04-14
Kalaburgi,Moderate,106,"PM
10",1,2019-04-15
Kalaburgi,Satisfactory,84,"PM
10",1,2019-04-16
Kalaburgi,Satisfactory,75,"PM
10",1,2019-04-20
Kalaburgi,Satisfactory,83,"PM
10",1,2019-04-21
Kalaburgi,Moderate,101,"PM
10",1,2019-04-22
Kalaburgi,Satisfactory,84,OZONE,1,2019-04-23
Kalaburgi,Satisfactory,93,"PM
10",1,2019-04-24
Kalaburgi,Satisfactory,87,"PM
10",1,2019-04-25
Kalaburgi,Moderate,112,"PM
10",1,2019-04-26
Kalaburgi,Moderate,117,"PM
10",1,2019-04-27
Kalaburgi,Moderate,125,"PM
10",1,2019-04-28
Kalaburgi,Moderate,114,"PM
10",1,2019-04-29
Kalaburgi,Moderate,131,"PM
10",1,2019-04-30
Kalaburgi,Moderate,111,"PM
10",1,2019-05-01
Kalaburgi,Moderate,124,"PM
10",1,2019-05-02
Kalaburgi,Moderate,140,"PM
10",1,2019-05-03
Kalaburgi,Moderate,121,"PM
10",1,2019-05-04
Kalaburgi,Moderate,120,"PM
10",1,2019-05-05
Kalaburgi,Moderate,119,"PM
10",1,2019-05-06
Kalaburgi,Moderate,108,"PM
10",1,2019-05-09
Kalaburgi,Moderate,105,"PM
10",1,2019-05-10
Kalaburgi,Moderate,105,"PM
10",1,2019-05-11
Kalaburgi,Satisfactory,93,"PM
10",1,2019-05-12
Kalaburgi,Moderate,109,"PM
10",1,2019-05-14
Kalaburgi,Moderate,135,"PM
10",1,2019-05-18
Kalaburgi,Moderate,143,"PM
10",1,2019-05-19
Kalaburgi,Moderate,193,"PM
10",1,2019-05-20
Kalaburgi,Moderate,127,"PM
10",1,2019-05-21
Kalaburgi,Satisfactory,78,"PM
10",1,2019-06-05
Kalaburgi,Satisfactory,96,"PM
10",1,2019-06-06
Kalaburgi,Satisfactory,60,"PM
10",1,2019-06-07
Kalaburgi,Satisfactory,80,"PM
10",1,2019-06-08
Kalaburgi,Severe,500,"PM
2.5",1,2019-06-09
Kalaburgi,Severe,452,"PM
2.5",1,2019-06-10
Kalaburgi,Good,42,"PM
10",1,2019-06-11
Kalaburgi,Good,41,OZONE,1,2019-06-12
Kalaburgi,Good,30,OZONE,1,2019-06-13
Kalaburgi,Good,35,"PM
10",1,2019-06-14
Kalaburgi,Satisfactory,75,"PM
10",1,2019-06-17
Kalaburgi,Satisfactory,69,"PM
10",1,2019-06-18
Kalaburgi,Satisfactory,70,"PM
10",1,2019-06-19
Kalaburgi,Satisfactory,64,"PM
10",1,2019-06-20
Kalaburgi,Satisfactory,89,"PM
10",1,2019-06-21
Kalaburgi,Good,46,"PM
10",1,2019-06-22
Kalaburgi,Satisfactory,55,OZONE,1,2019-06-23
Kalaburgi,Satisfactory,55,OZONE,1,2019-06-24
Kalaburgi,Satisfactory,56,OZONE,1,2019-06-25
Kalaburgi,Good,50,OZONE,1,2019-06-29
Kalaburgi,Good,37,"PM
10",1,2019-07-04
Kalaburgi,Good,30,"PM
10",1,2019-07-05
Kalaburgi,Good,34,"PM
10",1,2019-07-06
Kalaburgi,Good,41,"PM
10",1,2019-07-07
Kalaburgi,Good,42,"PM
10",1,2019-07-08
Kalaburgi,Good,35,"PM
10",1,2019-07-09
Kalaburgi,Good,34,"PM
10",1,2019-07-10
Kalaburgi,Good,29,"PM
10",1,2019-07-11
Kalaburgi,Good,32,"PM
10",1,2019-07-12
Kalaburgi,Good,33,"PM
10",1,2019-07-13
Kalaburgi,Good,36,"PM
10",1,2019-07-14
Kalaburgi,Poor,272,"PM
10",1,2019-07-15
Kalaburgi,Good,49,"PM
10",1,2019-07-16
Kalaburgi,Satisfactory,59,"PM
10",1,2019-07-17
Kalaburgi,Satisfactory,96,"PM
10",1,2019-07-18
Kalaburgi,Moderate,112,"PM
10",1,2019-07-19
Kalaburgi,Good,31,"PM
10",1,2019-07-20
Kalaburgi,Good,16,"PM
10",1,2019-07-21
Kalaburgi,Good,18,OZONE,1,2019-07-22
Kalaburgi,Good,20,OZONE,1,2019-07-23
Kalaburgi,Good,18,"PM
10",1,2019-07-24
Kalaburgi,Good,32,"PM
10",1,2019-07-25
Kalaburgi,Good,40,"PM
10",1,2019-07-26
Kalaburgi,Good,26,"PM
10",1,2019-07-27
Kalaburgi,Good,41,"PM
10",1,2019-07-28
Kalaburgi,Good,25,"PM
10",1,2019-07-29
Kalaburgi,Good,13,OZONE,1,2019-07-30
Kalaburgi,Good,15,OZONE,1,2019-07-31
Kalaburgi,Good,22,"PM
10",1,2019-08-01
Kalaburgi,Good,16,"PM
10",1,2019-08-02
Kalaburgi,Good,14,CO,1,2019-08-03
Kalaburgi,Good,12,OZONE,1,2019-08-04
Kalaburgi,Good,11,OZONE,1,2019-08-05
Kalaburgi,Good,10,OZONE,1,2019-08-06
Kalaburgi,Good,15,"PM
10",1,2019-08-07
Kalaburgi,Satisfactory,89,CO,1,2019-08-10
Kalaburgi,Good,38,"PM
10",1,2019-08-11
Kalaburgi,Good,43,"PM
10",1,2019-08-12
Kalaburgi,Satisfactory,59,"PM
10",1,2019-08-13
Kalaburgi,Satisfactory,62,"PM
10",1,2019-08-14
Kalaburgi,Good,44,"PM
10",1,2019-08-15
Kalaburgi,Good,38,"PM
10",1,2019-08-16
Kalaburgi,Satisfactory,52,"PM
10",1,2019-08-17
Kalaburgi,Satisfactory,67,"PM
10",1,2019-08-18
Kalaburgi,Satisfactory,56,"PM
10",1,2019-08-19
Kalaburgi,Satisfactory,74,"PM
10",1,2019-08-20
Kalaburgi,Satisfactory,72,"PM
10",1,2019-08-21
Kalaburgi,Satisfactory,53,"PM
10",1,2019-08-22
Kalaburgi,Good,40,"PM
10",1,2019-08-23
Kalaburgi,Good,35,"PM
10",1,2019-08-24
Kalaburgi,Good,32,"PM
10",1,2019-08-25
Kalaburgi,Good,44,"PM
10",1,2019-08-26
Kalaburgi,Satisfactory,53,"PM
10",1,2019-08-27
Kalaburgi,Satisfactory,67,"PM
2.5",1,2019-08-28
Kalaburgi,Severe,487,"PM
2.5",1,2019-08-29
Kalaburgi,Good,37,"PM
10",1,2019-08-30
Kalaburgi,Good,30,"PM
10",1,2019-08-31
Kalaburgi,Good,17,CO,1,2019-09-01
Kalaburgi,Good,18,"PM
10",1,2019-09-02
Kalaburgi,Good,17,CO,1,2019-09-03
Kalaburgi,Good,20,"PM
10",1,2019-09-04
Kalaburgi,Good,20,"PM
10",1,2019-09-05
Kalaburgi,Good,20,"PM
10",1,2019-09-06
Kalaburgi,Good,20,"PM
10",1,2019-09-07
Kalaburgi,Good,16,CO,1,2019-09-08
Kalaburgi,Good,27,"PM
10",1,2019-09-09
Kalaburgi,Good,33,"PM
10",1,2019-09-10
Kalaburgi,Good,40,"PM
10",1,2019-09-11
Kalaburgi,Good,48,"PM
10",1,2019-09-12
Kalaburgi,Good,31,"PM
10",1,2019-09-13
Kalaburgi,Good,33,"PM
10",1,2019-09-14
Kalaburgi,Good,27,"PM
10",1,2019-09-15
Kalaburgi,Good,39,"PM
10",1,2019-09-16
Kalaburgi,Good,46,"PM
10",1,2019-09-17
Kalaburgi,Good,31,"PM
10",1,2019-09-18
Kalaburgi,Good,39,"PM
2.5",1,2019-09-19
Kalaburgi,Good,23,"PM
10",1,2019-09-20
Kalaburgi,Good,41,"PM
10",1,2019-09-21
Kalaburgi,Good,40,"PM
10",1,2019-09-22
Kalaburgi,Good,35,"PM
10",1,2019-09-23
Kalaburgi,Good,40,"NO
2",1,2019-09-24
Kalaburgi,Good,30,"NO
2",1,2019-09-25
