City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Kalyan,Satisfactory,63,"PM
10",1,2019-06-27
Kalyan,Satisfactory,65,CO,1,2019-06-28
Kalyan,Satisfactory,51,CO,1,2019-06-29
Kalyan,Satisfactory,51,"SO
2",1,2019-06-30
Kalyan,Satisfactory,64,CO,1,2019-07-01
Kalyan,Good,47,CO,1,2019-07-02
Kalyan,Satisfactory,63,CO,1,2019-07-04
Kalyan,Satisfactory,55,"PM
10",1,2019-07-05
Kalyan,Satisfactory,62,CO,1,2019-07-06
Kalyan,Good,43,CO,1,2019-07-10
Kalyan,Good,47,"PM
10",1,2019-07-12
Kalyan,Satisfactory,56,"PM
10",1,2019-07-13
Kalyan,Good,40,"SO
2",1,2019-07-14
Kalyan,Satisfactory,73,"PM
10",1,2019-07-16
Kalyan,Satisfactory,77,"PM
10",1,2019-07-17
Kalyan,Satisfactory,75,"PM
10",1,2019-07-18
Kalyan,Satisfactory,88,"PM
10",1,2019-07-19
Kalyan,Satisfactory,76,"PM
10",1,2019-07-20
Kalyan,Satisfactory,63,OZONE,1,2019-07-21
Kalyan,Good,45,"PM
10",1,2019-07-23
Kalyan,Satisfactory,52,CO,1,2019-07-24
Kalyan,Satisfactory,54,CO,1,2019-07-25
Kalyan,Satisfactory,66,"NO
2",1,2019-07-26
Kalyan,Satisfactory,57,CO,1,2019-07-27
Kalyan,Good,44,"PM
10",1,2019-07-28
Kalyan,Satisfactory,54,"PM
10",1,2019-07-29
Kalyan,Good,41,CO,1,2019-07-30
Kalyan,Satisfactory,55,"NO
2",1,2019-07-31
Kalyan,Good,40,"PM
10",1,2019-08-01
Kalyan,Good,37,"SO
2",1,2019-08-02
Kalyan,Good,44,CO,1,2019-08-03
Kalyan,Good,48,"SO
2",1,2019-08-06
Kalyan,Good,43,"SO
2",1,2019-08-07
Kalyan,Satisfactory,72,"PM
10",1,2019-08-08
Kalyan,Satisfactory,63,"PM
10",1,2019-08-09
Kalyan,Satisfactory,63,"PM
10",1,2019-08-10
Kalyan,Satisfactory,66,"PM
10",1,2019-08-11
Kalyan,Satisfactory,74,"PM
10",1,2019-08-12
Kalyan,Satisfactory,59,"PM
10",1,2019-08-13
Kalyan,Satisfactory,58,"PM
10",1,2019-08-14
Kalyan,Satisfactory,67,"PM
10",1,2019-08-15
Kalyan,Good,50,"PM
10",1,2019-08-16
Kalyan,Satisfactory,73,"PM
10",1,2019-08-17
Kalyan,Moderate,111,"PM
10",1,2019-08-20
Kalyan,Satisfactory,94,"PM
10",1,2019-08-21
Kalyan,Satisfactory,53,"PM
2.5",1,2019-08-22
Kalyan,Satisfactory,85,"PM
10",1,2019-08-23
Kalyan,Satisfactory,64,"PM
10",1,2019-08-24
Kalyan,Satisfactory,53,"PM
10",1,2019-08-25
Kalyan,Satisfactory,60,"PM
10",1,2019-08-26
Kalyan,Satisfactory,87,"PM
10",1,2019-08-27
Kalyan,Satisfactory,58,"PM
10",1,2019-08-28
Kalyan,Satisfactory,95,"PM
10",1,2019-08-29
Kalyan,Satisfactory,73,"SO
2",1,2019-08-30
Kalyan,Satisfactory,73,"SO
2",1,2019-08-31
