City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Karauli,Satisfactory,56,"O
3",1,2023-03-13
Karauli,Satisfactory,57,"O
3",1,2023-03-14
Karauli,Good,49,"O
3",1,2023-03-15
Karauli,Good,43,"O
3",1,2023-03-16
Karauli,Satisfactory,62,"O
3",1,2023-03-17
Karauli,Satisfactory,52,"O
3",1,2023-03-18
Karauli,Satisfactory,55,"O
3",1,2023-03-19
Karauli,Good,48,"O
3",1,2023-03-20
Karauli,Satisfactory,51,"O
3",1,2023-03-21
Karauli,Satisfactory,56,"O
3",1,2023-03-22
Karauli,Satisfactory,51,"O
3",1,2023-03-23
Karauli,Satisfactory,52,"O
3",1,2023-03-24
Karauli,Good,45,"O
3",1,2023-03-25
Karauli,Good,49,"O
3",1,2023-03-26
Karauli,Satisfactory,53,"O
3",1,2023-03-28
Karauli,Good,48,"O
3",1,2023-03-29
Karauli,Good,50,"O
3",1,2023-03-30
Karauli,Good,46,"O
3",1,2023-03-31
Karauli,Good,44,"O
3",1,2023-04-02
Karauli,Good,44,"O
3",1,2023-04-03
Karauli,Good,45,"O
3",1,2023-04-04
Karauli,Good,47,"O
3",1,2023-04-05
Karauli,Good,47,"O
3",1,2023-04-06
Karauli,Good,48,"O
3",1,2023-04-07
Karauli,Good,39,"O
3",1,2023-04-09
Karauli,Good,45,"O
3",1,2023-04-11
Karauli,Good,49,"O
3",1,2023-04-12
Karauli,Good,39,"O
3",1,2023-04-13
Karauli,Satisfactory,61,"PM
2.5",1,2023-04-14
Karauli,Good,50,"PM
2.5",1,2023-04-15
Karauli,Good,38,"PM
2.5",1,2023-04-16
Karauli,Good,38,"PM
2.5",1,2023-04-17
Karauli,Good,36,"PM
10",1,2023-04-18
Karauli,Satisfactory,63,"PM
10",1,2023-04-19
Karauli,Satisfactory,71,"PM
2.5",1,2023-04-20
Karauli,Satisfactory,59,"PM
2.5",1,2023-04-21
Karauli,Satisfactory,51,"PM
2.5",1,2023-04-22
Karauli,Good,49,"PM
2.5",1,2023-04-23
