City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Karur,Satisfactory,53,CO,1/1,2024-10-09
Karur,Satisfactory,56,CO,1/1,2024-10-10
Karur,Satisfactory,56,CO,1/1,2024-10-11
Karur,Satisfactory,56,CO,1/1,2024-10-12
Karur,Satisfactory,56,CO,1/1,2024-10-13
Karur,Good,39,"PM
10",1/1,2024-10-14
Karur,Good,40,"PM
10",1/1,2024-10-15
Karur,Good,47,"PM
10",1/1,2024-10-16
Karur,Good,38,"PM
10",1/1,2024-10-17
Karur,Good,38,"PM
10",1/1,2024-10-18
Karur,Good,42,"PM
2.5",1/1,2024-10-19
Karur,Good,50,"PM
10",1/1,2024-10-20
Karur,Good,42,"PM
10",1/1,2024-10-21
Karur,Satisfactory,61,"PM
2.5",1/1,2024-10-22
Karur,Good,39,"PM
10",1/1,2024-10-23
Karur,Good,41,"PM
10",1/1,2024-10-24
Karur,Good,35,"PM
10",1/1,2024-10-25
Karur,Good,46,"PM
10",1/1,2024-10-26
Karur,Satisfactory,60,"PM
10",1/1,2024-10-27
Karur,Satisfactory,81,"PM
2.5",1/1,2024-10-28
Karur,Satisfactory,72,"PM
2.5",1/1,2024-10-29
Karur,Satisfactory,78,"PM
10",1/1,2024-10-30
Karur,Satisfactory,66,"PM
2.5",1/1,2024-10-31
Karur,Satisfactory,64,CO,1/1,2024-11-01
Karur,Satisfactory,64,CO,1/1,2024-11-02
Karur,Satisfactory,64,CO,1/1,2024-11-03
Karur,Satisfactory,64,CO,1/1,2024-11-04
Karur,Good,41,"PM
10",1/1,2024-11-05
Karur,Satisfactory,79,"PM
10",1/1,2024-11-06
Karur,Satisfactory,86,"PM
2.5",1/1,2024-11-07
Karur,Good,30,"PM
10",1/1,2024-11-08
Karur,Good,34,"PM
10",1/1,2024-11-09
Karur,Good,37,"PM
10",1/1,2024-11-10
Karur,Satisfactory,65,"PM
2.5",1/1,2024-11-11
Karur,Moderate,114,"PM
2.5",1/1,2024-11-12
Karur,Good,44,"PM
2.5",1/1,2024-11-13
Karur,Good,22,"PM
10",1/1,2024-11-14
Karur,Good,27,"PM
2.5",1/1,2024-11-15
Karur,Good,27,"PM
2.5",1/1,2024-11-16
Karur,Good,32,"PM
2.5",1/1,2024-11-17
Karur,Satisfactory,92,"PM
2.5",1/1,2024-11-18
Karur,Moderate,116,"PM
2.5",1/1,2024-11-19
Karur,Moderate,117,"PM
2.5",1/1,2024-11-20
Karur,Moderate,118,"PM
2.5",1/1,2024-11-21
