City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Karwar,Poor,222,"PM
2.5",1/1,2023-12-21
Karwar,Moderate,190,"PM
2.5",1/1,2023-12-22
Karwar,Poor,218,"PM
2.5",1/1,2023-12-23
Karwar,Moderate,167,"PM
2.5",1/1,2023-12-24
Karwar,Moderate,115,"PM
2.5",1/1,2023-12-25
Karwar,Satisfactory,92,"PM
10",1/1,2023-12-26
Karwar,Satisfactory,93,"PM
10",1/1,2023-12-27
Karwar,Satisfactory,96,"PM
10",1/1,2023-12-28
Karwar,Satisfactory,73,"PM
10",1/1,2023-12-29
Karwar,Satisfactory,67,"PM
10",1/1,2023-12-30
Karwar,Satisfactory,66,"PM
10",1/1,2023-12-31
Karwar,Satisfactory,84,"PM
10",1/1,2024-01-01
Karwar,Satisfactory,99,"PM
10",1/1,2024-01-02
Karwar,Moderate,107,"PM
10",1/1,2024-01-03
Karwar,Satisfactory,87,"PM
10",1/1,2024-01-04
Karwar,Satisfactory,92,"PM
10",1/1,2024-01-05
Karwar,Satisfactory,89,"PM
10",1/1,2024-01-06
Karwar,Satisfactory,51,"PM
10",1/1,2024-01-07
Karwar,Satisfactory,67,"PM
10",1/1,2024-01-08
Karwar,Satisfactory,72,"PM
10",1/1,2024-01-09
Karwar,Satisfactory,79,"PM
2.5",1/1,2024-01-10
Karwar,Satisfactory,87,"PM
10",1/1,2024-01-11
Karwar,Satisfactory,85,"PM
10",1/1,2024-01-12
Karwar,Moderate,106,"PM
2.5",1/1,2024-01-13
Karwar,Satisfactory,99,"PM
10",1/1,2024-01-14
Karwar,Moderate,119,"PM
2.5",1/1,2024-01-15
Karwar,Satisfactory,73,"PM
10",1/1,2024-01-16
Karwar,Satisfactory,65,"PM
10",1/1,2024-01-17
Karwar,Moderate,105,CO,1/1,2024-01-18
Karwar,Satisfactory,75,"PM
10",1/1,2024-01-19
Karwar,Satisfactory,72,"PM
10",1/1,2024-01-20
Karwar,Satisfactory,79,"PM
10",1/1,2024-01-21
Karwar,Satisfactory,76,"PM
10",1/1,2024-01-22
Karwar,Moderate,154,CO,1/1,2024-01-23
Karwar,Satisfactory,68,"PM
10",1/1,2024-01-24
Karwar,Satisfactory,72,"PM
10",1/1,2024-01-25
Karwar,Satisfactory,89,"PM
2.5",1/1,2024-01-26
Karwar,Satisfactory,85,"PM
10",1/1,2024-01-27
Karwar,Satisfactory,80,"PM
10",1/1,2024-01-28
Karwar,Satisfactory,85,"PM
10",1/1,2024-01-29
Karwar,Satisfactory,95,"PM
10",1/1,2024-01-30
Karwar,Satisfactory,93,"PM
10",1/1,2024-01-31
Karwar,Satisfactory,98,"PM
10",1/1,2024-02-01
Karwar,Satisfactory,78,"PM
10",1/1,2024-02-02
Karwar,Satisfactory,80,"PM
10",1/1,2024-02-03
Karwar,Satisfactory,81,"PM
10",1/1,2024-02-04
Karwar,Moderate,126,"PM
2.5",1/1,2024-02-06
Karwar,Moderate,101,"PM
10",1/1,2024-02-07
Karwar,Moderate,101,"PM
10",1/1,2024-02-08
Karwar,Moderate,122,"PM
2.5",1/1,2024-02-09
Karwar,Moderate,114,"PM
2.5",1/1,2024-02-10
Karwar,Moderate,101,"PM
10",1/1,2024-02-11
Karwar,Satisfactory,95,"PM
10",1/1,2024-02-12
Karwar,Satisfactory,96,"PM
10",1/1,2024-02-13
Karwar,Moderate,103,"PM
10",1/1,2024-02-14
Karwar,Satisfactory,80,"PM
10",1/1,2024-02-15
Karwar,Satisfactory,87,"PM
10",1/1,2024-02-16
Karwar,Satisfactory,83,"PM
10",1/1,2024-02-17
Karwar,Satisfactory,68,"PM
10",1/1,2024-02-18
Karwar,Satisfactory,74,"PM
10",1/1,2024-02-19
Karwar,Satisfactory,79,"PM
10",1/1,2024-02-20
Karwar,Satisfactory,52,"PM
10",1/1,2024-02-21
Karwar,Satisfactory,51,"PM
10",1/1,2024-02-22
Karwar,Good,49,"PM
10",1/1,2024-02-23
Karwar,Satisfactory,59,"PM
10",1/1,2024-02-24
