City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Katni,Satisfactory,67,OZONE,1,2019-09-23
Katni,Good,41,OZONE,1,2019-09-24
Katni,Good,45,"PM
10",1,2019-09-25
Katni,Good,24,"PM
10",1,2019-09-26
Katni,Good,33,"PM
10",1,2019-09-27
Katni,Good,29,OZONE,1,2019-09-28
Katni,Good,32,OZONE,1,2019-09-29
Katni,Good,42,OZONE,1,2019-09-30
Katni,Satisfactory,94,"PM
10",1,2019-10-01
Katni,Good,46,"PM
10",1,2019-10-02
Katni,Satisfactory,53,"PM
10",1,2019-10-03
Katni,Moderate,108,"PM
10",1,2019-10-04
Katni,Moderate,169,"PM
10",1,2019-10-05
Katni,Moderate,131,"PM
10",1,2019-10-06
Katni,Moderate,142,"PM
10",1,2019-10-07
Katni,Moderate,163,"PM
10",1,2019-10-08
Katni,Moderate,153,OZONE,1,2019-10-09
Katni,Moderate,151,"PM
2.5",1,2019-10-10
Katni,Moderate,191,"PM
10",1,2019-10-11
Katni,Moderate,116,"PM
10",1,2019-10-12
Katni,Moderate,178,"PM
10",1,2019-10-13
Katni,Poor,218,"PM
10",1,2019-10-14
Katni,Moderate,176,"PM
10",1,2019-10-15
Katni,Moderate,125,"PM
10",1,2019-10-16
Katni,Moderate,136,"PM
10",1,2019-10-17
Katni,Poor,210,"PM
2.5",1,2019-10-18
Katni,Moderate,108,"PM
2.5",1,2019-10-19
Katni,Moderate,109,"PM
2.5",1,2019-10-20
Katni,Moderate,156,"PM
2.5",1,2019-10-21
Katni,Poor,215,"PM
2.5",1,2019-10-22
Katni,Moderate,170,"PM
10",1,2019-10-23
Katni,Moderate,141,"PM
2.5",1,2019-10-24
Katni,Moderate,120,"PM
10",1,2019-10-25
Katni,Satisfactory,66,"PM
10",1,2019-10-26
Katni,Satisfactory,84,"PM
10",1,2019-10-27
Katni,Poor,215,"PM
2.5",1,2019-10-28
Katni,Moderate,137,"PM
2.5",1,2019-10-29
Katni,Poor,222,"PM
2.5",1,2019-10-30
Katni,Poor,299,"PM
2.5",1,2019-10-31
Katni,Very Poor,350,"PM
2.5",1,2019-11-01
Katni,Poor,298,"PM
2.5",1,2019-11-02
Katni,Poor,249,"PM
2.5",1,2019-11-03
Katni,Poor,241,"PM
2.5",1,2019-11-04
Katni,Poor,269,"PM
2.5",1,2019-11-05
Katni,Poor,294,"PM
2.5",1,2019-11-06
Katni,Moderate,186,"PM
2.5",1,2019-11-07
Katni,Poor,225,OZONE,1,2019-11-08
Katni,Very Poor,334,"PM
2.5",1,2019-11-09
Katni,Poor,253,"PM
2.5",1,2019-11-10
Katni,Poor,235,"PM
2.5",1,2019-11-11
Katni,Poor,245,"PM
2.5",1,2019-11-12
Katni,Poor,255,"PM
2.5",1,2019-11-13
Katni,Poor,205,"PM
2.5",1,2019-11-14
Katni,Poor,227,"PM
2.5",1,2019-11-15
Katni,Poor,273,"PM
2.5",1,2019-11-16
Katni,Very Poor,304,"PM
2.5",1,2019-11-17
Katni,Poor,245,"PM
10",1,2019-11-18
Katni,Poor,251,"PM
10",1,2019-11-19
Katni,Poor,205,"PM
2.5",1,2019-11-20
Katni,Poor,218,"PM
2.5",1,2019-11-21
Katni,Poor,218,"PM
2.5",1,2019-11-22
Katni,Poor,238,"PM
2.5",1,2019-11-23
Katni,Poor,298,"PM
2.5",1,2019-11-24
Katni,Poor,254,"PM
2.5",1,2019-11-25
Katni,Moderate,174,"PM
2.5",1,2019-11-26
Katni,Poor,224,"PM
2.5",1,2019-11-27
Katni,Poor,253,"PM
2.5",1,2019-11-28
Katni,Poor,259,"PM
2.5",1,2019-11-29
Katni,Poor,292,"PM
2.5",1,2019-11-30
Katni,Poor,238,"PM
2.5",1,2019-12-01
Katni,Poor,228,"PM
2.5",1,2019-12-02
Katni,Poor,258,"PM
2.5",1,2019-12-03
Katni,Moderate,196,"PM
2.5",1,2019-12-04
Katni,Poor,224,"PM
2.5",1,2019-12-05
Katni,Poor,283,"PM
2.5",1,2019-12-06
Katni,Poor,298,"PM
2.5",1,2019-12-07
Katni,Poor,285,"PM
2.5",1,2019-12-08
Katni,Poor,289,"PM
2.5",1,2019-12-09
Katni,Very Poor,308,"PM
2.5",1,2019-12-10
Katni,Very Poor,327,"PM
2.5",1,2019-12-11
Katni,Very Poor,309,"PM
2.5",1,2019-12-12
Katni,Moderate,137,"PM
2.5",1,2019-12-13
Katni,Moderate,195,"PM
2.5",1,2019-12-14
Katni,Moderate,180,"PM
2.5",1,2019-12-15
Katni,Moderate,179,"PM
2.5",1,2019-12-16
Katni,Moderate,153,"PM
2.5",1,2019-12-17
Katni,Poor,222,"PM
2.5",1,2019-12-18
Katni,Poor,209,"PM
2.5",1,2019-12-19
Katni,Poor,236,"PM
2.5",1,2019-12-20
Katni,Poor,264,"PM
2.5",1,2019-12-21
Katni,Poor,283,"PM
2.5",1,2019-12-22
Katni,Poor,230,"PM
2.5",1,2019-12-23
Katni,Poor,235,"PM
2.5",1,2019-12-24
Katni,Poor,276,"PM
2.5",1,2019-12-25
Katni,Poor,279,"PM
2.5",1,2019-12-26
Katni,Moderate,156,"PM
2.5",1,2019-12-27
Katni,Poor,246,"PM
2.5",1,2019-12-28
Katni,Poor,290,"PM
2.5",1,2019-12-29
Katni,Very Poor,309,"PM
2.5",1,2019-12-30
Katni,Very Poor,332,"PM
2.5",1,2019-12-31
Katni,Poor,222,"PM
2.5",1,2020-01-01
Katni,Moderate,135,"PM
2.5",1,2020-01-03
Katni,Satisfactory,93,"PM
2.5",1,2020-01-04
Katni,Moderate,147,"PM
2.5",1,2020-01-05
Katni,Poor,265,"PM
2.5",1,2020-01-06
Katni,Moderate,121,"PM
2.5",1,2020-01-07
Katni,Moderate,160,"PM
2.5",1,2020-01-08
Katni,Poor,206,"PM
2.5",1,2020-01-09
Katni,Moderate,135,"PM
2.5",1,2020-01-10
Katni,Moderate,195,"PM
2.5",1,2020-01-11
Katni,Poor,256,"PM
2.5",1,2020-01-12
Katni,Poor,275,"PM
2.5",1,2020-01-13
Katni,Poor,249,"PM
2.5",1,2020-01-14
Katni,Poor,254,"PM
2.5",1,2020-01-15
Katni,Poor,293,"PM
2.5",1,2020-01-16
Katni,Poor,271,"PM
2.5",1,2020-01-17
Katni,Moderate,183,"PM
2.5",1,2020-01-18
Katni,Moderate,144,"PM
2.5",1,2020-01-19
Katni,Moderate,127,"PM
2.5",1,2020-01-20
Katni,Moderate,164,"PM
2.5",1,2020-01-21
Katni,Moderate,163,"PM
2.5",1,2020-01-22
Katni,Poor,221,"PM
2.5",1,2020-01-23
Katni,Poor,257,"PM
2.5",1,2020-01-25
Katni,Poor,223,"PM
2.5",1,2020-01-26
Katni,Poor,212,"PM
2.5",1,2020-01-27
Katni,Satisfactory,82,"PM
10",1,2020-01-28
Katni,Moderate,166,"PM
10",1,2020-01-29
Katni,Moderate,142,"PM
2.5",1,2020-01-30
Katni,Moderate,169,"PM
2.5",1,2020-02-01
Katni,Moderate,171,"PM
2.5",1,2020-02-02
Katni,Moderate,145,"PM
2.5",1,2020-02-03
Katni,Moderate,115,"PM
2.5",1,2020-02-04
Katni,Moderate,191,"PM
2.5",1,2020-02-05
Katni,Moderate,150,"PM
2.5",1,2020-02-06
Katni,Moderate,108,"PM
10",1,2020-02-07
Katni,Moderate,153,"PM
2.5",1,2020-02-08
Katni,Moderate,200,"PM
2.5",1,2020-02-09
Katni,Moderate,190,"PM
2.5",1,2020-02-10
Katni,Moderate,167,"PM
2.5",1,2020-02-11
Katni,Poor,214,"PM
2.5",1,2020-02-12
Katni,Poor,240,"PM
10",1,2020-02-13
Katni,Moderate,166,"PM
10",1,2020-02-14
Katni,Moderate,198,"PM
10",1,2020-02-15
Katni,Moderate,188,"PM
10",1,2020-02-16
Katni,Moderate,181,"PM
10",1,2020-02-17
Katni,Poor,223,"PM
10",1,2020-02-18
Katni,Moderate,187,"PM
10",1,2020-02-19
Katni,Moderate,118,"PM
10",1,2020-02-20
Katni,Moderate,155,"PM
10",1,2020-02-21
Katni,Moderate,136,"PM
2.5",1,2020-02-22
Katni,Poor,227,"PM
2.5",1,2020-02-23
Katni,Moderate,197,"PM
2.5",1,2020-02-24
Katni,Moderate,167,"PM
2.5",1,2020-02-25
Katni,Moderate,142,"PM
10",1,2020-02-26
Katni,Satisfactory,98,"PM
10",1,2020-02-27
Katni,Satisfactory,99,"PM
10",1,2020-02-28
Katni,Moderate,106,"PM
10",1,2020-02-29
Katni,Moderate,115,"PM
10",1,2020-03-01
Katni,Satisfactory,72,"O
3",1,2020-03-02
Katni,Moderate,123,"PM
10",1,2020-03-03
Katni,Satisfactory,96,"PM
10",1,2020-03-04
Katni,Satisfactory,87,"O
3",1,2020-03-05
Katni,Moderate,106,"PM
10",1,2020-03-06
Katni,Moderate,119,"PM
10",1,2020-03-07
Katni,Moderate,128,"PM
10",1,2020-03-08
Katni,Moderate,125,"PM
10",1,2020-03-09
Katni,Moderate,114,"PM
2.5",1,2020-03-10
Katni,Satisfactory,63,"O
3",1,2020-03-11
Katni,Satisfactory,82,"PM
10",1,2020-03-12
Katni,Moderate,124,"PM
10",1,2020-03-13
Katni,Satisfactory,69,"PM
10",1,2020-03-14
Katni,Satisfactory,75,"PM
10",1,2020-03-15
Katni,Moderate,115,"PM
10",1,2020-03-16
Katni,Moderate,122,"PM
10",1,2020-03-17
Katni,Moderate,151,"O
3",1,2020-03-18
Katni,Moderate,151,"PM
10",1,2020-03-19
Katni,Satisfactory,86,"PM
10",1,2020-03-20
Katni,Moderate,134,"PM
10",1,2020-03-21
Katni,Satisfactory,87,"O
3",1,2020-03-22
Katni,Satisfactory,93,"O
3",1,2020-03-23
Katni,Satisfactory,92,"O
3",1,2020-03-24
Katni,Satisfactory,88,"PM
10",1,2020-03-25
Katni,Satisfactory,74,"O
3",1,2020-03-26
Katni,Satisfactory,71,"PM
10",1,2020-03-27
Katni,Satisfactory,64,"O
3",1,2020-03-28
Katni,Satisfactory,81,"O
3",1,2020-03-29
Katni,Satisfactory,83,"O
3",1,2020-03-30
Katni,Satisfactory,100,"O
3",1,2020-03-31
Katni,Satisfactory,88,"O
3",1,2020-04-01
Katni,Satisfactory,94,"PM
10",1,2020-04-02
Katni,Satisfactory,86,"O
3",1,2020-04-03
Katni,Satisfactory,86,"O
3",1,2020-04-04
Katni,Satisfactory,85,"O
3",1,2020-04-05
Katni,Satisfactory,98,"O
3",1,2020-04-06
Katni,Moderate,107,"O
3",1,2020-04-07
Katni,Moderate,102,"O
3",1,2020-04-08
Katni,Satisfactory,90,"O
3",1,2020-04-09
Katni,Moderate,118,"PM
10",1,2020-04-10
Katni,Moderate,111,"PM
10",1,2020-04-11
Katni,Moderate,150,"PM
10",1,2020-04-12
Katni,Moderate,120,"PM
10",1,2020-04-13
Katni,Moderate,131,"PM
10",1,2020-04-14
Katni,Moderate,102,"PM
10",1,2020-04-15
Katni,Moderate,111,"PM
10",1,2020-04-16
Katni,Moderate,142,"PM
10",1,2020-04-17
Katni,Moderate,120,"PM
10",1,2020-04-18
Katni,Satisfactory,97,"PM
10",1,2020-04-19
Katni,Moderate,151,"PM
10",1,2020-04-20
Katni,Moderate,123,"PM
10",1,2020-04-21
Katni,Satisfactory,95,"O
3",1,2020-04-22
Katni,Satisfactory,97,"PM
10",1,2020-04-23
Katni,Moderate,113,"O
3",1,2020-04-24
Katni,Moderate,114,"O
3",1,2020-04-25
Katni,Satisfactory,98,"O
3",1,2020-04-26
Katni,Satisfactory,97,"O
3",1,2020-04-27
Katni,Moderate,106,"O
3",1,2020-04-28
Katni,Moderate,106,"O
3",1,2020-04-29
Katni,Moderate,123,"O
3",1,2020-04-30
