City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Keonjhar,Moderate,152,"O
3",1,2022-11-27
Keonjhar,Moderate,154,"O
3",1,2022-11-28
Keonjhar,Poor,256,"PM
2.5",1,2022-11-29
Keonjhar,Poor,236,"PM
2.5",1,2022-11-30
Keonjhar,Moderate,172,"PM
2.5",1,2022-12-01
Keonjhar,Moderate,191,"PM
2.5",1,2022-12-02
Keonjhar,Poor,253,"PM
2.5",1,2022-12-04
Keonjhar,Poor,289,"PM
2.5",1,2022-12-05
Keonjhar,Poor,236,"PM
2.5",1,2022-12-06
Keonjhar,Poor,228,"PM
2.5",1,2022-12-08
Keonjhar,Poor,257,"PM
2.5",1,2022-12-09
Keonjhar,Poor,255,"PM
2.5",1,2022-12-10
Keonjhar,Poor,284,"PM
2.5",1,2022-12-11
Keonjhar,Moderate,173,"PM
2.5",1,2022-12-12
Keonjhar,Moderate,175,"O
3",1,2022-12-13
Keonjhar,Moderate,159,"PM
2.5",1,2022-12-14
Keonjhar,Moderate,106,"O
3",1,2022-12-15
Keonjhar,Satisfactory,97,"PM
10",1,2022-12-16
Keonjhar,Moderate,176,"O
3",1,2022-12-17
Keonjhar,Moderate,164,"O
3",1,2022-12-18
Keonjhar,Moderate,197,"PM
2.5",1,2022-12-19
Keonjhar,Poor,224,"PM
2.5",1,2022-12-20
Keonjhar,Moderate,191,"PM
2.5",1,2022-12-21
Keonjhar,Poor,246,"PM
2.5",1,2022-12-22
Keonjhar,Moderate,160,"PM
2.5",1,2022-12-23
Keonjhar,Moderate,199,"PM
2.5",1,2022-12-24
Keonjhar,Moderate,121,"PM
2.5",1,2022-12-25
Keonjhar,Satisfactory,79,"PM
2.5",1,2022-12-27
Keonjhar,Moderate,119,"PM
2.5",1,2022-12-28
Keonjhar,Moderate,199,"PM
2.5",1,2022-12-29
Keonjhar,Satisfactory,95,"PM
10",1,2022-12-30
Keonjhar,Poor,217,"O
3",1,2022-12-31
Keonjhar,Poor,220,"PM
2.5",1,2023-01-01
Keonjhar,Poor,298,"PM
2.5",1,2023-01-02
Keonjhar,Very Poor,307,"PM
2.5",1,2023-01-03
Keonjhar,Very Poor,311,"PM
2.5",1,2023-01-04
Keonjhar,Very Poor,328,"PM
2.5",1,2023-01-05
Keonjhar,Poor,270,"PM
2.5",1,2023-01-06
Keonjhar,Satisfactory,91,"PM
10",1,2023-01-07
Keonjhar,Moderate,110,"PM
2.5",1,2023-01-08
Keonjhar,Moderate,167,"O
3",1,2023-01-10
Keonjhar,Poor,270,"O
3",1,2023-01-12
Keonjhar,Poor,220,"PM
2.5",1,2023-01-13
Keonjhar,Moderate,190,"O
3",1,2023-01-14
Keonjhar,Moderate,192,"PM
2.5",1,2023-01-15
Keonjhar,Moderate,200,"PM
2.5",1,2023-01-16
Keonjhar,Poor,253,"PM
10",1,2023-01-17
Keonjhar,Poor,273,"PM
2.5",1,2023-01-18
Keonjhar,Very Poor,306,"PM
2.5",1,2023-01-19
Keonjhar,Poor,292,"PM
2.5",1,2023-01-20
Keonjhar,Poor,299,"PM
2.5",1,2023-01-22
Keonjhar,Poor,269,"PM
2.5",1,2023-01-23
Keonjhar,Poor,215,"PM
2.5",1,2023-01-24
Keonjhar,Moderate,188,"O
3",1,2023-01-25
Keonjhar,Poor,206,"PM
2.5",1,2023-01-26
Keonjhar,Poor,232,"PM
2.5",1,2023-01-27
Keonjhar,Poor,281,"PM
2.5",1,2023-01-28
Keonjhar,Poor,246,"PM
2.5",1,2023-01-29
Keonjhar,Poor,211,"PM
2.5",1,2023-01-30
Keonjhar,Poor,220,"PM
2.5",1,2023-01-31
Keonjhar,Moderate,120,"PM
2.5",1,2023-02-01
Keonjhar,Moderate,106,"PM
2.5",1,2023-02-02
Keonjhar,Moderate,107,"PM
10",1,2023-02-03
Keonjhar,Satisfactory,99,"PM
10",1,2023-02-04
Keonjhar,Moderate,103,"PM
10",1,2023-02-05
Keonjhar,Moderate,102,"PM
10",1,2023-02-06
Keonjhar,Moderate,102,"O
3",1,2023-02-07
Keonjhar,Moderate,120,"PM
2.5",1,2023-02-08
Keonjhar,Moderate,148,"O
3",1,2023-02-09
Keonjhar,Moderate,112,"PM
10",1,2023-02-10
Keonjhar,Moderate,122,"PM
10",1,2023-02-11
Keonjhar,Moderate,125,"PM
2.5",1,2023-02-12
Keonjhar,Moderate,110,"PM
10",1,2023-02-13
Keonjhar,Moderate,102,"PM
10",1,2023-02-14
Keonjhar,Moderate,127,"PM
10",1,2023-02-15
Keonjhar,Moderate,126,"PM
10",1,2023-02-16
Keonjhar,Moderate,131,"PM
2.5",1,2023-02-17
Keonjhar,Moderate,185,"PM
2.5",1,2023-02-18
Keonjhar,Moderate,160,"PM
2.5",1,2023-02-19
Keonjhar,Moderate,186,"PM
2.5",1,2023-02-20
Keonjhar,Moderate,199,"PM
2.5",1,2023-02-21
Keonjhar,Moderate,146,"PM
2.5",1,2023-02-22
Keonjhar,Moderate,154,"PM
2.5",1,2023-02-23
Keonjhar,Moderate,175,"PM
2.5",1,2023-02-24
Keonjhar,Moderate,132,"PM
2.5",1,2023-02-25
Keonjhar,Moderate,193,"PM
2.5",1,2023-02-26
Keonjhar,Moderate,175,"PM
2.5",1,2023-02-27
Keonjhar,Moderate,171,"PM
2.5",1,2023-02-28
Keonjhar,Poor,235,"PM
2.5",1,2023-03-01
Keonjhar,Moderate,191,"PM
2.5",1,2023-03-02
Keonjhar,Moderate,140,"PM
2.5",1,2023-03-03
Keonjhar,Moderate,121,"PM
10",1,2023-03-04
Keonjhar,Moderate,113,"PM
10",1,2023-03-05
Keonjhar,Moderate,123,"PM
2.5",1,2023-03-06
Keonjhar,Moderate,113,"PM
10",1,2023-03-07
Keonjhar,Moderate,146,"PM
2.5",1,2023-03-08
Keonjhar,Moderate,167,"PM
2.5",1,2023-03-09
