City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Khurja,Poor,213,"PM
2.5",1,2022-06-03
Khurja,Moderate,136,"PM
10",1,2022-06-04
Khurja,Moderate,150,"PM
10",1,2022-06-05
Khurja,Moderate,148,"PM
10",1,2022-06-06
Khurja,Poor,290,"PM
10",1,2022-06-08
Khurja,Moderate,166,"PM
10",1,2022-06-09
Khurja,Moderate,193,"PM
10",1,2022-06-10
Khurja,Poor,201,"PM
10",1,2022-06-11
Khurja,Moderate,174,"PM
10",1,2022-06-12
Khurja,Moderate,141,"PM
10",1,2022-06-13
Khurja,Moderate,160,"PM
10",1,2022-06-14
Khurja,Moderate,122,"PM
10",1,2022-06-15
Khurja,Satisfactory,91,"PM
10",1,2022-06-16
Khurja,Good,48,"PM
10",1,2022-06-17
Khurja,Good,38,"PM
2.5",1,2022-06-18
Khurja,Good,50,"PM
2.5",1,2022-06-19
Khurja,Satisfactory,85,"PM
2.5",1,2022-06-20
Khurja,Moderate,162,"PM
10",1,2022-06-21
Khurja,Moderate,106,"PM
10",1,2022-06-23
Khurja,Moderate,139,"PM
10",1,2022-06-24
Khurja,Moderate,122,"PM
10",1,2022-06-25
Khurja,Satisfactory,99,"PM
10",1,2022-06-26
Khurja,Satisfactory,62,"PM
2.5",1,2022-06-27
Khurja,Satisfactory,91,"PM
2.5",1,2022-06-28
Khurja,Good,43,"PM
10",1,2022-07-01
Khurja,Satisfactory,60,"PM
10",1,2022-07-02
Khurja,Good,43,"PM
10",1,2022-07-03
Khurja,Satisfactory,62,"PM
10",1,2022-07-07
Khurja,Good,19,CO,1,2022-07-12
Khurja,Good,19,CO,1,2022-07-14
Khurja,Good,20,CO,1,2022-07-17
Khurja,Good,25,CO,1,2022-07-18
Khurja,Good,25,"PM
2.5",1,2022-07-19
Khurja,Good,21,CO,1,2022-07-21
Khurja,Satisfactory,74,"PM
2.5",1,2022-07-22
Khurja,Good,24,"PM
10",1,2022-07-23
Khurja,Satisfactory,87,"PM
10",1,2022-07-25
Khurja,Satisfactory,91,"PM
10",1,2022-07-26
Khurja,Satisfactory,94,"PM
10",1,2022-07-27
Khurja,Satisfactory,77,"PM
10",1,2022-07-28
Khurja,Satisfactory,75,"PM
10",1,2022-07-30
Khurja,Satisfactory,94,"PM
10",1,2022-07-31
Khurja,Moderate,114,"PM
10",1,2022-08-01
Khurja,Satisfactory,84,"PM
2.5",1,2022-08-02
Khurja,Moderate,130,"PM
2.5",1,2022-08-03
Khurja,Satisfactory,79,"PM
2.5",1,2022-08-05
Khurja,Moderate,112,"PM
2.5",1,2022-08-06
Khurja,Moderate,104,"PM
2.5",1,2022-08-07
Khurja,Satisfactory,88,"PM
2.5",1,2022-08-08
Khurja,Satisfactory,98,"PM
2.5",1,2022-08-09
Khurja,Satisfactory,85,"PM
10",1,2022-08-10
Khurja,Satisfactory,89,"PM
10",1,2022-08-11
Khurja,Moderate,110,"PM
10",1,2022-08-12
Khurja,Satisfactory,98,"PM
10",1,2022-08-13
Khurja,Moderate,114,"PM
2.5",1,2022-08-14
Khurja,Satisfactory,89,"PM
10",1,2022-08-15
Khurja,Satisfactory,90,"PM
10",1,2022-08-16
Khurja,Satisfactory,56,"PM
2.5",1,2022-08-17
Khurja,Satisfactory,70,"PM
2.5",1,2022-08-18
Khurja,Satisfactory,94,"PM
10",1,2022-08-19
Khurja,Moderate,113,"PM
10",1,2022-08-20
Khurja,Moderate,137,"PM
2.5",1,2022-08-22
Khurja,Satisfactory,86,"PM
2.5",1,2022-08-23
Khurja,Satisfactory,98,"PM
10",1,2022-08-25
Khurja,Moderate,136,"PM
10",1,2022-08-26
Khurja,Moderate,118,"PM
2.5",1,2022-08-27
Khurja,Very Poor,306,"PM
10",1,2022-08-28
Khurja,Satisfactory,91,"PM
2.5",1,2022-08-30
Khurja,Moderate,120,"PM
2.5",1,2022-08-31
Khurja,Satisfactory,96,"PM
2.5",1,2022-09-01
Khurja,Satisfactory,88,"PM
2.5",1,2022-09-02
Khurja,Satisfactory,98,"PM
2.5",1,2022-09-03
Khurja,Satisfactory,85,"PM
2.5",1,2022-09-04
Khurja,Satisfactory,73,"SO
2",1,2022-09-05
Khurja,Satisfactory,99,"PM
2.5",1,2022-09-06
Khurja,Moderate,144,"PM
2.5",1,2022-09-07
Khurja,Moderate,157,"PM
2.5",1,2022-09-08
Khurja,Moderate,135,"PM
2.5",1,2022-09-09
Khurja,Moderate,143,"PM
2.5",1,2022-09-10
Khurja,Satisfactory,79,"PM
2.5",1,2022-09-11
Khurja,Satisfactory,79,"SO
2",1,2022-09-12
Khurja,Satisfactory,74,"SO
2",1,2022-09-13
Khurja,Satisfactory,60,"PM
2.5",1,2022-09-14
Khurja,Satisfactory,55,"PM
2.5",1,2022-09-15
Khurja,Satisfactory,54,"PM
2.5",1,2022-09-16
Khurja,Satisfactory,54,"PM
2.5",1,2022-09-17
Khurja,Satisfactory,74,"PM
2.5",1,2022-09-18
Khurja,Moderate,112,"PM
2.5",1,2022-09-19
Khurja,Moderate,115,"PM
2.5",1,2022-09-20
Khurja,Satisfactory,84,"PM
2.5",1,2022-09-21
Khurja,Satisfactory,57,"PM
2.5",1,2022-09-23
Khurja,Satisfactory,67,"PM
2.5",1,2022-09-24
Khurja,Satisfactory,62,"PM
2.5",1,2022-09-25
Khurja,Satisfactory,90,"PM
2.5",1,2022-09-26
Khurja,Moderate,152,"PM
2.5",1,2022-09-27
Khurja,Moderate,157,"PM
2.5",1,2022-09-28
Khurja,Moderate,172,"PM
2.5",1,2022-09-29
Khurja,Poor,226,"PM
2.5",1,2022-09-30
Khurja,Poor,259,"PM
2.5",1,2022-10-01
Khurja,Poor,239,"PM
2.5",1,2022-10-02
Khurja,Moderate,159,"PM
2.5",1,2022-10-03
Khurja,Moderate,176,"PM
2.5",1,2022-10-04
Khurja,Poor,211,"PM
2.5",1,2022-10-05
Khurja,Satisfactory,51,"SO
2",1,2022-10-07
Khurja,Good,46,"SO
2",1,2022-10-08
Khurja,Good,46,"SO
2",1,2022-10-09
Khurja,Good,43,"SO
2",1,2022-10-10
Khurja,Good,46,"PM
10",1,2022-10-11
Khurja,Satisfactory,98,"PM
10",1,2022-10-12
Khurja,Moderate,113,"PM
10",1,2022-10-13
Khurja,Moderate,130,"PM
10",1,2022-10-14
Khurja,Moderate,140,"PM
10",1,2022-10-15
Khurja,Poor,201,"PM
10",1,2022-10-16
Khurja,Poor,212,"PM
10",1,2022-10-17
Khurja,Moderate,178,"PM
10",1,2022-10-18
Khurja,Moderate,163,"PM
10",1,2022-10-19
Khurja,Moderate,137,"PM
10",1,2022-10-20
Khurja,Moderate,161,"PM
10",1,2022-10-21
Khurja,Poor,218,"PM
10",1,2022-10-22
Khurja,Poor,254,"PM
10",1,2022-10-23
Khurja,Poor,266,"PM
10",1,2022-10-24
Khurja,Poor,239,"PM
10",1,2022-10-25
Khurja,Poor,206,"PM
10",1,2022-10-26
Khurja,Very Poor,316,"PM
10",1,2022-10-27
Khurja,Poor,239,"PM
2.5",1,2022-10-28
Khurja,Poor,269,"PM
10",1,2022-10-29
Khurja,Poor,278,"PM
2.5",1,2022-10-30
Khurja,Poor,279,"PM
2.5",1,2022-10-31
Khurja,Very Poor,346,"PM
2.5",1,2022-11-01
Khurja,Moderate,146,"PM
2.5",1,2022-11-02
Khurja,Moderate,167,"PM
2.5",1,2022-11-03
Khurja,Moderate,181,"PM
2.5",1,2022-11-04
Khurja,Moderate,164,"PM
2.5",1,2022-11-05
Khurja,Poor,217,"PM
2.5",1,2022-11-06
Khurja,Moderate,181,"PM
2.5",1,2022-11-07
Khurja,Moderate,171,"PM
2.5",1,2022-11-08
Khurja,Moderate,169,"PM
2.5",1,2022-11-09
Khurja,Poor,239,"PM
2.5",1,2022-11-10
Khurja,Moderate,180,"PM
2.5",1,2022-11-11
Khurja,Satisfactory,93,"PM
2.5",1,2022-11-12
Khurja,Satisfactory,71,"PM
2.5",1,2022-11-13
Khurja,Moderate,117,"PM
2.5",1,2022-11-14
Khurja,Satisfactory,77,"PM
2.5",1,2022-11-15
Khurja,Moderate,152,"PM
2.5",1,2022-11-16
Khurja,Moderate,121,"PM
2.5",1,2022-11-17
Khurja,Moderate,143,"PM
2.5",1,2022-11-18
Khurja,Moderate,176,"PM
2.5",1,2022-11-19
Khurja,Poor,205,"PM
2.5",1,2022-11-20
Khurja,Moderate,172,"PM
2.5",1,2022-11-21
Khurja,Moderate,135,"PM
2.5",1,2022-11-22
Khurja,Moderate,118,"PM
2.5",1,2022-11-23
Khurja,Moderate,111,"PM
2.5",1,2022-11-24
Khurja,Poor,224,"PM
2.5",1,2022-11-25
Khurja,Poor,215,"PM
2.5",1,2022-11-26
Khurja,Poor,213,"PM
2.5",1,2022-11-27
Khurja,Poor,224,"PM
2.5",1,2022-11-28
Khurja,Poor,260,"PM
2.5",1,2022-11-29
Khurja,Poor,281,"PM
2.5",1,2022-11-30
Khurja,Satisfactory,85,"PM
10",1,2022-12-01
Khurja,Satisfactory,80,"PM
10",1,2022-12-02
Khurja,Satisfactory,74,"PM
10",1,2022-12-03
Khurja,Poor,254,"PM
2.5",1,2022-12-04
Khurja,Poor,224,"PM
2.5",1,2022-12-05
Khurja,Poor,210,"PM
2.5",1,2022-12-06
Khurja,Moderate,156,"PM
2.5",1,2022-12-07
Khurja,Moderate,132,"PM
2.5",1,2022-12-08
Khurja,Moderate,190,"PM
2.5",1,2022-12-09
Khurja,Poor,251,"PM
2.5",1,2022-12-10
