City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Kishanganj,Very Poor,358,"PM
2.5",1,2021-11-23
Kishanganj,Poor,241,"PM
2.5",1,2021-11-24
Kishanganj,Moderate,177,"PM
2.5",1,2021-11-25
Kishanganj,Poor,223,"PM
2.5",1,2021-11-26
Kishanganj,Poor,243,"PM
2.5",1,2021-11-28
Kishanganj,Poor,240,"PM
2.5",1,2021-11-30
Kishanganj,Poor,222,"PM
2.5",1,2021-12-01
Kishanganj,Moderate,200,"PM
10",1,2021-12-02
Kishanganj,Poor,204,"PM
10",1,2021-12-03
Kishanganj,Poor,229,"PM
2.5",1,2021-12-04
Kishanganj,Moderate,195,"PM
10",1,2021-12-05
Kishanganj,Moderate,142,"PM
10",1,2021-12-06
Kishanganj,Poor,258,"PM
2.5",1,2021-12-07
Kishanganj,Poor,285,"PM
2.5",1,2021-12-08
Kishanganj,Poor,294,"PM
2.5",1,2021-12-09
Kishanganj,Poor,236,"PM
2.5",1,2021-12-10
Kishanganj,Poor,300,"PM
2.5",1,2021-12-11
Kishanganj,Very Poor,344,"PM
2.5",1,2021-12-12
Kishanganj,Very Poor,355,"PM
2.5",1,2021-12-13
Kishanganj,Very Poor,354,"PM
2.5",1,2021-12-14
Kishanganj,Very Poor,358,"PM
2.5",1,2021-12-15
Kishanganj,Very Poor,349,"PM
2.5",1,2021-12-16
Kishanganj,Very Poor,314,"PM
2.5",1,2021-12-17
Kishanganj,Poor,298,"PM
2.5",1,2021-12-18
Kishanganj,Very Poor,328,"PM
2.5",1,2021-12-19
Kishanganj,Very Poor,380,"PM
2.5",1,2021-12-20
Kishanganj,Very Poor,384,"PM
2.5",1,2021-12-21
Kishanganj,Very Poor,361,"PM
2.5",1,2021-12-22
Kishanganj,Very Poor,373,"PM
2.5",1,2021-12-23
Kishanganj,Very Poor,342,"PM
2.5",1,2021-12-24
Kishanganj,Very Poor,306,"PM
2.5",1,2021-12-25
Kishanganj,Very Poor,341,"PM
2.5",1,2021-12-26
Kishanganj,Poor,260,"PM
2.5",1,2021-12-28
Kishanganj,Moderate,178,"PM
2.5",1,2021-12-29
Kishanganj,Moderate,121,"PM
2.5",1,2021-12-30
