City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Kochi,Moderate,122,"PM
2.5",1,2020-02-05
Kochi,Satisfactory,81,"PM
10",1,2020-02-06
Kochi,Moderate,102,"PM
2.5",1,2020-02-07
Kochi,Moderate,122,"PM
10",1,2020-02-08
Kochi,Moderate,110,"PM
10",1,2020-02-09
Kochi,Moderate,105,"PM
10",1,2020-02-10
Kochi,Moderate,109,"PM
10",1,2020-02-11
Kochi,Moderate,131,"PM
10",1,2020-02-12
Kochi,Moderate,122,"PM
10",1,2020-02-13
Kochi,Moderate,124,"PM
10",1,2020-02-14
Kochi,Moderate,131,"PM
10",1,2020-02-15
Kochi,Moderate,109,"PM
10",1,2020-02-16
Kochi,Moderate,113,"PM
10",1,2020-02-17
Kochi,Moderate,137,"PM
2.5",1,2020-02-18
Kochi,Poor,235,"PM
2.5",1,2020-02-19
Kochi,Moderate,143,"PM
2.5",1,2020-02-20
Kochi,Moderate,155,"PM
2.5",1,2020-02-21
Kochi,Satisfactory,99,"PM
10",1,2020-02-22
Kochi,Satisfactory,85,"PM
10",1,2020-02-23
Kochi,Moderate,101,"PM
2.5",1,2020-02-24
Kochi,Satisfactory,97,"PM
10",1,2020-02-25
Kochi,Moderate,134,"PM
2.5",1,2020-02-26
Kochi,Moderate,104,"PM
2.5",1,2020-02-27
Kochi,Moderate,102,"PM
2.5",1,2020-02-28
Kochi,Moderate,107,"PM
10",1,2020-02-29
Kochi,Moderate,135,"PM
10",1,2020-03-01
Kochi,Moderate,103,"PM
10",1,2020-03-02
Kochi,Satisfactory,86,"PM
10",1,2020-03-03
Kochi,Satisfactory,87,"PM
10",1,2020-03-04
Kochi,Moderate,110,"PM
10",1,2020-03-05
Kochi,Moderate,157,"PM
10",1,2020-03-07
Kochi,Moderate,184,"PM
10",1,2020-03-08
Kochi,Moderate,141,"PM
10",1,2020-03-09
Kochi,Satisfactory,100,"PM
10",1,2020-03-10
Kochi,Moderate,117,"PM
10",1,2020-03-11
Kochi,Satisfactory,93,"PM
10",1,2020-03-12
Kochi,Satisfactory,92,"PM
10",1,2020-03-13
Kochi,Moderate,109,"PM
10",1,2020-03-14
