City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Kolar,Satisfactory,54,"NO
2",1,2021-01-13
Kolar,Satisfactory,74,"NO
2",1,2021-01-16
Kolar,Satisfactory,63,"NO
2",1,2021-01-17
Kolar,Good,49,"SO
2",1,2021-01-19
Kolar,Good,49,"SO
2",1,2021-01-20
Kolar,Good,47,"SO
2",1,2021-01-21
Kolar,Good,47,"SO
2",1,2021-01-22
Kolar,Satisfactory,52,"O
3",1,2021-01-23
Kolar,Good,50,"O
3",1,2021-01-25
Kolar,Good,49,"O
3",1,2021-01-26
Kolar,Satisfactory,58,"O
3",1,2021-01-27
Kolar,Satisfactory,61,"NO
2",1,2021-01-28
Kolar,Satisfactory,54,"O
3",1,2021-01-29
Kolar,Satisfactory,54,CO,1,2021-01-30
Kolar,Satisfactory,54,"O
3",1,2021-01-31
Kolar,Good,48,"O
3",1,2021-02-01
Kolar,Satisfactory,58,"O
3",1,2021-02-02
Kolar,Satisfactory,71,"O
3",1,2021-02-03
Kolar,Satisfactory,64,"O
3",1,2021-02-04
Kolar,Satisfactory,73,"O
3",1,2021-02-06
Kolar,Satisfactory,67,"O
3",1,2021-02-09
Kolar,Satisfactory,74,"O
3",1,2021-02-10
Kolar,Satisfactory,79,"O
3",1,2021-02-11
Kolar,Satisfactory,55,"O
3",1,2021-02-12
Kolar,Satisfactory,58,"O
3",1,2021-02-14
Kolar,Satisfactory,70,"O
3",1,2021-02-16
Kolar,Satisfactory,72,"O
3",1,2021-02-18
Kolar,Satisfactory,53,"SO
2",1,2021-02-20
Kolar,Good,45,"SO
2",1,2021-02-21
Kolar,Good,47,"SO
2",1,2021-02-22
Kolar,Satisfactory,79,"NO
2",1,2021-02-28
Kolar,Satisfactory,61,CO,1,2021-03-01
Kolar,Satisfactory,78,"O
3",1,2021-03-02
Kolar,Satisfactory,58,"NO
2",1,2021-03-05
Kolar,Satisfactory,64,"O
3",1,2021-03-06
Kolar,Satisfactory,75,"O
3",1,2021-03-07
Kolar,Satisfactory,60,CO,1,2021-03-08
Kolar,Satisfactory,53,CO,1,2021-03-09
Kolar,Good,49,"SO
2",1,2021-03-10
Kolar,Satisfactory,53,CO,1,2021-03-11
Kolar,Satisfactory,56,CO,1,2021-03-12
Kolar,Satisfactory,59,"O
3",1,2021-03-13
Kolar,Satisfactory,62,"O
3",1,2021-03-14
Kolar,Satisfactory,81,"O
3",1,2021-03-16
Kolar,Satisfactory,95,"O
3",1,2021-03-17
Kolar,Satisfactory,86,"O
3",1,2021-03-18
Kolar,Satisfactory,69,"O
3",1,2021-03-19
Kolar,Satisfactory,73,"O
3",1,2021-03-20
Kolar,Satisfactory,61,CO,1,2021-03-21
Kolar,Satisfactory,63,CO,1,2021-03-22
Kolar,Satisfactory,57,CO,1,2021-03-23
Kolar,Satisfactory,62,CO,1,2021-03-24
Kolar,Satisfactory,61,CO,1,2021-03-25
Kolar,Satisfactory,68,CO,1,2021-03-27
Kolar,Satisfactory,80,CO,1,2021-03-28
Kolar,Satisfactory,64,CO,1,2021-03-29
Kolar,Satisfactory,68,CO,1,2021-03-30
Kolar,Satisfactory,67,CO,1,2021-03-31
Kolar,Satisfactory,57,CO,1,2021-04-01
Kolar,Satisfactory,57,CO,1,2021-04-02
Kolar,Satisfactory,62,"O
3",1,2021-04-03
Kolar,Satisfactory,60,CO,1,2021-04-04
Kolar,Satisfactory,64,CO,1,2021-04-05
Kolar,Satisfactory,60,CO,1,2021-04-07
Kolar,Satisfactory,60,CO,1,2021-04-08
Kolar,Satisfactory,61,CO,1,2021-04-09
Kolar,Satisfactory,62,CO,1,2021-04-10
Kolar,Satisfactory,56,"SO
2",1,2021-04-13
Kolar,Satisfactory,58,CO,1,2021-04-14
Kolar,Satisfactory,65,"O
3",1,2021-04-16
Kolar,Satisfactory,80,"O
3",1,2021-04-17
Kolar,Satisfactory,79,"O
3",1,2021-04-18
Kolar,Satisfactory,72,"O
3",1,2021-04-19
Kolar,Satisfactory,69,CO,1,2021-04-20
Kolar,Satisfactory,73,CO,1,2021-04-21
Kolar,Satisfactory,65,CO,1,2021-04-22
Kolar,Satisfactory,64,CO,1,2021-04-23
Kolar,Satisfactory,59,CO,1,2021-04-25
Kolar,Satisfactory,60,CO,1,2021-04-26
Kolar,Satisfactory,63,CO,1,2021-04-27
Kolar,Satisfactory,65,CO,1,2021-04-28
Kolar,Satisfactory,70,CO,1,2021-04-29
Kolar,Satisfactory,61,CO,1,2021-05-01
Kolar,Satisfactory,56,CO,1,2021-05-02
Kolar,Satisfactory,55,CO,1,2021-05-03
