City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Kolhapur,Satisfactory,92,"O
3",2,2023-04-25
Kolhapur,Satisfactory,62,"O , PM
3 10",2,2023-04-26
Kolhapur,Satisfactory,70,"O
3",2,2023-04-27
Kolhapur,Satisfactory,72,"PM
10",2,2023-04-28
Kolhapur,Satisfactory,61,"PM
10",2,2023-04-29
Kolhapur,Satisfactory,62,"PM
10",2,2023-04-30
Kolhapur,Satisfactory,56,"PM
10",2,2023-05-01
Kolhapur,Satisfactory,55,"O
3",2,2023-05-02
Kolhapur,Satisfactory,54,"O
3",2,2023-05-03
Kolhapur,Satisfactory,69,"O
3",2,2023-05-04
Kolhapur,Satisfactory,99,"O
3",2,2023-05-05
Kolhapur,Satisfactory,68,"O
3",2,2023-05-06
Kolhapur,Satisfactory,74,"O
3",2,2023-05-07
Kolhapur,Moderate,120,"O
3",2,2023-05-08
Kolhapur,Moderate,125,"O
3",2,2023-05-09
Kolhapur,Satisfactory,59,"O , NO
3 2",2,2023-05-10
Kolhapur,Satisfactory,92,"O
3",2,2023-05-11
Kolhapur,Good,50,"PM
2.5",2,2023-05-12
Kolhapur,Satisfactory,79,"PM
10",2,2023-05-13
Kolhapur,Satisfactory,61,"PM
10",2,2023-05-14
Kolhapur,Satisfactory,54,"O , PM
3 10",2,2023-05-15
Kolhapur,Satisfactory,58,"PM
10",2,2023-05-16
Kolhapur,Satisfactory,66,"O
3",2,2023-05-17
Kolhapur,Satisfactory,58,"O , PM
3 2.5",2,2023-05-18
Kolhapur,Moderate,130,"O
3",2,2023-05-19
Kolhapur,Satisfactory,78,"O , PM
3 10",2,2023-05-20
Kolhapur,Satisfactory,77,"O
3",2,2023-05-21
Kolhapur,Satisfactory,74,"O , PM
3 10",2,2023-05-22
Kolhapur,Poor,225,"O
3",2,2023-05-23
Kolhapur,Satisfactory,60,"PM
10",2,2023-05-24
Kolhapur,Satisfactory,52,"O
3",2,2023-05-25
