City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Kollam,Satisfactory,80,"PM
10",1,2020-03-03
Kollam,Satisfactory,83,"PM
10",1,2020-03-04
Kollam,Satisfactory,89,"PM
10",1,2020-03-05
Kollam,Satisfactory,98,"PM
2.5",1,2020-03-06
Kollam,Satisfactory,89,"PM
2.5",1,2020-03-07
Kollam,Satisfactory,62,"PM
2.5",1,2020-03-08
Kollam,Satisfactory,76,"PM
2.5",1,2020-03-09
Kollam,Satisfactory,73,"PM
2.5",1,2020-03-10
Kollam,Satisfactory,74,"PM
2.5",1,2020-03-11
Kollam,Satisfactory,69,"PM
2.5",1,2020-03-12
Kollam,Satisfactory,73,"PM
2.5",1,2020-03-13
Kollam,Satisfactory,76,"PM
2.5",1,2020-03-14
Kollam,Satisfactory,76,"PM
2.5",1,2020-03-15
Kollam,Satisfactory,66,"PM
2.5",1,2020-03-18
Kollam,Satisfactory,80,"PM
2.5",1,2020-03-19
Kollam,Satisfactory,94,"PM
2.5",1,2020-03-20
Kollam,Satisfactory,52,"PM
2.5",1,2020-03-26
Kollam,Satisfactory,87,"PM
2.5",1,2020-03-27
Kollam,Satisfactory,98,"PM
2.5",1,2020-04-03
Kollam,Satisfactory,98,"PM
2.5",1,2020-04-04
Kollam,Good,48,"PM
2.5",1,2020-04-06
Kollam,Good,44,"PM
2.5",1,2020-04-07
Kollam,Satisfactory,70,"PM
2.5",1,2020-04-08
Kollam,Satisfactory,58,"PM
2.5",1,2020-04-17
Kollam,Good,46,"PM
2.5",1,2020-04-18
Kollam,Good,32,"PM
2.5",1,2020-04-19
Kollam,Good,45,CO,1,2020-04-20
Kollam,Good,47,"PM
2.5",1,2020-04-21
Kollam,Satisfactory,51,"PM
2.5",1,2020-04-24
Kollam,Good,47,"PM
2.5",1,2020-04-25
Kollam,Satisfactory,73,"PM
10",1,2020-04-26
Kollam,Good,45,"PM
2.5",1,2020-04-27
Kollam,Moderate,103,"PM
2.5",1,2020-04-30
Kollam,Satisfactory,63,"PM
2.5",1,2020-05-01
