City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Korba,Satisfactory,60,"PM
2.5",1,2022-10-26
Korba,Satisfactory,98,"PM
10",2,2022-10-27
Korba,Moderate,116,"PM
10",2,2022-10-28
Korba,Poor,218,"PM , PM
2.5 10",2,2023-01-04
Korba,Moderate,142,"PM , PM
2.5 10",2,2023-01-05
Korba,Satisfactory,77,"PM
10",2,2023-01-06
Korba,Satisfactory,63,"PM
2.5",1,2023-01-07
Korba,Satisfactory,66,"PM
2.5",1,2023-01-08
Korba,Moderate,106,"PM
10",2,2023-01-09
Korba,Satisfactory,92,"PM
10",2,2023-01-10
Korba,Moderate,132,"PM , PM
2.5 10",2,2023-01-12
Korba,Satisfactory,95,"PM
10",2,2023-01-13
Korba,Moderate,143,"PM , PM
10 2.5",2,2023-01-14
Korba,Satisfactory,98,"PM
10",2,2023-01-15
Korba,Satisfactory,96,"PM
10",2,2023-01-16
Korba,Moderate,106,"PM
10",2,2023-01-17
Korba,Moderate,124,"PM
10",2,2023-01-18
Korba,Moderate,142,"PM
10",1,2023-01-19
Korba,Moderate,135,"PM
10",1,2023-01-20
Korba,Moderate,186,"PM
10",1,2023-01-22
Korba,Poor,214,"PM
10",1,2023-01-23
Korba,Moderate,189,"PM
10",1,2023-01-24
Korba,Poor,207,"PM
10",1,2023-01-25
Korba,Moderate,152,"PM
10",2,2023-01-26
Korba,Moderate,105,"PM
10",2,2023-01-27
Korba,Satisfactory,86,"PM , PM
10 2.5",2,2023-01-28
Korba,Satisfactory,74,"PM
10",2,2023-01-29
Korba,Moderate,106,"PM
10",2,2023-01-30
Korba,Moderate,114,"PM
10",2,2023-01-31
Korba,Satisfactory,71,"PM
10",2,2023-02-01
Korba,Satisfactory,66,"PM
10",2,2023-02-02
Korba,Satisfactory,84,"PM
10",2,2023-02-03
Korba,Satisfactory,56,"PM
10",2,2023-02-04
Korba,Satisfactory,88,"PM , PM
2.5 10",2,2023-02-05
Korba,Satisfactory,93,"PM , PM
2.5 10",2,2023-02-06
Korba,Satisfactory,94,"PM
10",2,2023-02-07
Korba,Moderate,102,"PM
10",2,2023-02-08
Korba,Satisfactory,65,"PM
10",2,2023-02-09
Korba,Satisfactory,90,"PM , PM
2.5 10",2,2023-02-10
Korba,Moderate,138,"PM , PM
2.5 10",2,2023-02-11
Korba,Satisfactory,76,"PM
10",2,2023-02-12
Korba,Satisfactory,81,"PM , PM
2.5 10",2,2023-02-13
Korba,Satisfactory,86,"PM , PM
2.5 10",2,2023-02-14
Korba,Satisfactory,80,"PM
10",2,2023-02-15
Korba,Satisfactory,68,"PM
10",2,2023-02-16
Korba,Satisfactory,86,"PM
10",2,2023-02-17
Korba,Moderate,110,"PM , PM
2.5 10",2,2023-02-18
Korba,Moderate,150,"PM , PM
2.5 10",2,2023-02-19
Korba,Moderate,149,"PM , PM
2.5 10",2,2023-02-20
Korba,Moderate,126,"PM , PM
2.5 10",2,2023-02-21
Korba,Moderate,147,"PM , PM
2.5 10",2,2023-02-22
Korba,Moderate,112,"PM
10",2,2023-02-23
Korba,Moderate,114,"PM , PM
10 2.5",2,2023-02-24
Korba,Satisfactory,76,"PM
10",2,2023-02-25
Korba,Moderate,106,"PM
10",1,2023-02-26
Korba,Moderate,106,"PM
10",1,2023-02-27
Korba,Moderate,124,"PM
10",1,2023-02-28
Korba,Moderate,120,"PM
2.5",1,2023-03-01
Korba,Moderate,106,"PM
2.5",2,2023-03-02
Korba,Satisfactory,82,"PM
10",2,2023-03-03
Korba,Satisfactory,64,"PM , PM
10 2.5",2,2023-03-04
Korba,Satisfactory,61,"PM
2.5",2,2023-03-05
Korba,Satisfactory,66,"PM
2.5",2,2023-03-06
Korba,Satisfactory,73,"PM
10",2,2023-03-07
Korba,Satisfactory,58,"PM
10",2,2023-03-08
Korba,Satisfactory,61,"NO
2",2,2023-03-09
Korba,Good,45,"PM
2.5",2,2023-03-10
Korba,Satisfactory,69,"PM , PM
10 2.5",2,2023-03-11
Korba,Moderate,118,"PM
10",2,2023-03-12
Korba,Moderate,121,"PM
10",1,2023-03-13
Korba,Moderate,114,"PM , PM
10 2.5",2,2023-03-14
Korba,Moderate,159,"PM
10",1,2023-03-16
Korba,Satisfactory,100,"PM
10",2,2023-03-17
Korba,Satisfactory,62,"NO , PM
2 2.5",2,2023-03-18
Korba,Satisfactory,62,"NO , PM
2 2.5",2,2023-03-19
Korba,Satisfactory,77,"NO
2",2,2023-03-20
Korba,Satisfactory,56,"NO
2",2,2023-03-21
Korba,Satisfactory,70,"PM
10",2,2023-03-22
Korba,Satisfactory,73,"NO , PM
2 10",2,2023-03-23
Korba,Satisfactory,88,"PM , PM
2.5 10",2,2023-03-24
Korba,Satisfactory,74,"PM , PM
2.5 10",2,2023-03-25
Korba,Moderate,106,"PM
10",2,2023-03-26
Korba,Satisfactory,67,"PM
10",2,2023-03-27
Korba,Satisfactory,64,"PM
10",1,2023-03-28
Korba,Satisfactory,96,"PM
10",1,2023-03-29
Korba,Moderate,116,"PM
10",1,2023-03-30
Korba,Satisfactory,76,"PM
10",2,2023-03-31
Korba,Satisfactory,64,"NO , PM
2 10",2,2023-04-01
Korba,Satisfactory,68,"NO , PM
2 10",2,2023-04-02
Korba,Satisfactory,76,"NO , PM
2 10",2,2023-04-03
