City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Kunjemura,Moderate,102,"PM
10",1,2023-03-13
Kunjemura,Moderate,104,"PM
10",1,2023-03-14
Kunjemura,Satisfactory,82,"PM
10",1,2023-03-22
Kunjemura,Moderate,110,"PM
10",1,2023-03-26
Kunjemura,Satisfactory,80,"PM
10",1,2023-03-27
Kunjemura,Moderate,172,"PM
10",1,2023-03-28
Kunjemura,Moderate,120,"PM
10",1,2023-04-06
Kunjemura,Moderate,104,"PM
10",1,2023-04-16
Kunjemura,Moderate,130,"PM
10",1,2023-04-20
Kunjemura,Moderate,106,"PM
10",1,2023-04-21
Kunjemura,Satisfactory,70,"NO
2",1,2023-04-24
Kunjemura,Good,42,"O
3",1,2023-04-26
Kunjemura,Good,29,"O
3",1,2023-04-29
Kunjemura,Satisfactory,97,"PM
10",1,2023-05-13
Kunjemura,Moderate,105,"PM
10",1,2023-05-14
Kunjemura,Moderate,109,"PM
10",1,2023-05-19
Kunjemura,Moderate,104,"PM
10",1,2023-05-21
Kunjemura,Satisfactory,79,"PM
10",1,2023-05-22
Kunjemura,Satisfactory,90,"PM
10",1,2023-05-23
Kunjemura,Moderate,103,"PM
10",1,2023-05-28
Kunjemura,Moderate,120,"PM
10",1,2023-05-29
Kunjemura,Moderate,102,"PM
10",1,2023-05-30
Kunjemura,Satisfactory,88,"PM
10",1,2023-05-31
Kunjemura,Satisfactory,89,"PM
10",1,2023-06-01
Kunjemura,Moderate,103,"PM
10",1,2023-06-02
Kunjemura,Moderate,106,"PM
10",1,2023-06-03
Kunjemura,Satisfactory,90,"PM
10",1,2023-06-04
Kunjemura,Satisfactory,70,"PM
10",1,2023-06-05
Kunjemura,Satisfactory,97,"PM
10",1,2023-06-07
Kunjemura,Moderate,121,"PM
10",1,2023-06-09
Kunjemura,Moderate,128,"PM
10",1,2023-06-10
Kunjemura,Satisfactory,83,"PM
10",1,2023-06-13
Kunjemura,Satisfactory,74,"PM
10",1,2023-06-14
Kunjemura,Satisfactory,61,"PM
10",1,2023-06-15
Kunjemura,Moderate,108,"PM
10",1,2023-06-16
Kunjemura,Satisfactory,96,"PM
10",1,2023-06-17
Kunjemura,Satisfactory,55,"PM
10",1,2023-06-24
Kunjemura,Satisfactory,60,"PM
10",1,2023-06-30
Kunjemura,Moderate,124,"PM
10",1,2023-07-01
Kunjemura,Good,49,"PM
10",1,2023-07-05
Kunjemura,Satisfactory,56,"PM
10",1,2023-07-06
Kunjemura,Good,38,"PM
10",1,2023-07-09
Kunjemura,Moderate,101,"PM
10",1,2023-07-10
Kunjemura,Satisfactory,63,"PM
10",1,2023-07-11
Kunjemura,Good,41,"PM
10",1,2023-07-12
Kunjemura,Good,50,"PM
10",1,2023-07-13
Kunjemura,Satisfactory,63,"PM
10",1,2023-07-14
Kunjemura,Satisfactory,58,"PM
10",1,2023-07-15
Kunjemura,Good,34,"PM
10",1,2023-07-16
Kunjemura,Good,31,"PM
10",1,2023-07-17
Kunjemura,Good,36,"PM
10",1,2023-07-18
Kunjemura,Good,28,"PM
2.5",1,2023-07-24
Kunjemura,Good,35,"PM
10",1,2023-07-25
Kunjemura,Good,18,CO,1,2023-07-26
Kunjemura,Good,20,CO,1,2023-07-27
Kunjemura,Good,28,"PM
10",1,2023-07-28
Kunjemura,Good,34,"PM
10",1,2023-07-29
Kunjemura,Good,49,"PM
10",1,2023-07-30
Kunjemura,Moderate,101,"PM
10",1,2023-07-31
Kunjemura,Good,44,"PM
10",1,2023-08-01
Kunjemura,Good,24,CO,1,2023-08-02
Kunjemura,Good,29,"NO
2",1,2023-08-04
Kunjemura,Good,23,CO,1,2023-08-05
Kunjemura,Good,38,"PM
10",1,2023-08-06
Kunjemura,Moderate,152,"PM
10",1,2023-08-09
Kunjemura,Moderate,159,"PM
10",1,2023-08-10
Kunjemura,Satisfactory,75,"PM
10",1,2023-08-16
Kunjemura,Satisfactory,74,"PM
10",1,2023-08-17
Kunjemura,Good,22,CO,1,2023-08-20
Kunjemura,Satisfactory,54,"PM
10",1,2023-08-21
Kunjemura,Moderate,109,"PM
10",1,2023-08-22
Kunjemura,Moderate,108,"PM
10",1,2023-08-23
Kunjemura,Good,50,"PM
10",1,2023-08-24
Kunjemura,Satisfactory,65,"PM
10",1,2023-08-25
Kunjemura,Satisfactory,69,"PM
10",1,2023-08-26
Kunjemura,Moderate,159,"PM
10",1,2023-08-27
Kunjemura,Moderate,142,"PM
10",1,2023-08-28
Kunjemura,Moderate,146,"PM
10",1,2023-08-29
Kunjemura,Moderate,106,"PM
10",1,2023-08-30
Kunjemura,Moderate,121,"PM
10",1,2023-09-01
Kunjemura,Satisfactory,95,"PM
10",1,2023-09-02
Kunjemura,Good,45,"PM
10",1,2023-09-03
Kunjemura,Good,24,CO,1,2023-09-04
Kunjemura,Good,24,CO,1,2023-09-05
Kunjemura,Good,20,CO,1,2023-09-06
Kunjemura,Good,27,CO,1,2023-09-07
Kunjemura,Good,21,CO,1,2023-09-09
Kunjemura,Satisfactory,63,"PM
10",1,2023-09-10
Kunjemura,Moderate,115,"PM
10",1,2023-09-11
Kunjemura,Satisfactory,77,"PM
10",1,2023-09-12
Kunjemura,Good,29,"PM
10",1,2023-09-13
Kunjemura,Good,21,CO,1,2023-09-14
Kunjemura,Good,22,CO,1,2023-09-15
Kunjemura,Good,27,CO,1,2023-09-16
Kunjemura,Good,28,"PM
10",1,2023-09-17
Kunjemura,Satisfactory,96,"PM
10",1,2023-09-18
Kunjemura,Moderate,125,"PM
10",1,2023-09-19
Kunjemura,Good,26,CO,1,2023-09-20
Kunjemura,Good,28,"PM
10",1,2023-09-21
Kunjemura,Good,27,CO,1,2023-09-22
Kunjemura,Good,33,CO,1,2023-09-23
Kunjemura,Good,27,CO,1,2023-09-24
Kunjemura,Good,42,"PM
10",1,2023-09-25
Kunjemura,Good,45,"PM
10",1,2023-09-27
Kunjemura,Moderate,107,"PM
10",1,2023-09-28
Kunjemura,Satisfactory,93,"PM
10",1,2023-09-29
Kunjemura,Satisfactory,64,"PM
10",1,2023-10-01
Kunjemura,Good,24,CO,1,2023-10-02
Kunjemura,Good,24,CO,1,2023-10-03
Kunjemura,Good,22,CO,1/1,2023-10-04
Kunjemura,Moderate,101,"PM
10",1/1,2023-10-05
Kunjemura,Moderate,133,"PM
10",1/1,2023-10-06
Kunjemura,Satisfactory,80,"PM
10",1/1,2023-10-07
Kunjemura,Moderate,108,"PM
10",1/1,2023-10-08
Kunjemura,Moderate,138,"PM
10",1/1,2023-10-09
Kunjemura,Moderate,132,"PM
10",1/1,2023-10-10
Kunjemura,Moderate,200,"PM
10",1/1,2023-10-11
Kunjemura,Moderate,178,"PM
10",1/1,2023-10-12
Kunjemura,Moderate,186,"PM
10",1/1,2023-10-13
Kunjemura,Moderate,124,"PM
10",1/1,2023-10-14
Kunjemura,Moderate,177,"PM
10",1/1,2023-10-15
Kunjemura,Moderate,185,"PM
10",1/1,2023-10-16
Kunjemura,Satisfactory,97,"PM
10",1/1,2023-10-18
Kunjemura,Satisfactory,73,"PM
10",1/1,2023-10-19
Kunjemura,Satisfactory,80,"PM
10",1/1,2023-10-20
Kunjemura,Moderate,103,"PM
10",1/1,2023-10-21
Kunjemura,Moderate,105,"PM
10",1/1,2023-10-22
Kunjemura,Moderate,135,"PM
10",1/1,2023-10-23
Kunjemura,Moderate,130,"PM
10",1/1,2023-10-24
Kunjemura,Moderate,126,"PM
10",1/1,2023-10-25
Kunjemura,Satisfactory,93,"PM
10",1/1,2023-10-26
Kunjemura,Moderate,103,"PM
10",1/1,2023-10-28
Kunjemura,Moderate,151,"PM
10",1/1,2023-10-29
Kunjemura,Moderate,126,"PM
10",1/1,2023-10-30
Kunjemura,Moderate,133,"PM
10",1/1,2023-10-31
Kunjemura,Moderate,186,"PM
10",1/1,2023-11-01
Kunjemura,Moderate,132,"PM
10",1/1,2023-11-02
Kunjemura,Satisfactory,83,"PM
10",1/1,2023-11-03
Kunjemura,Good,43,"PM
10",1/1,2023-11-04
Kunjemura,Satisfactory,97,"PM
10",1/1,2023-11-05
Kunjemura,Moderate,102,"PM
10",1/1,2023-11-06
Kunjemura,Moderate,107,"PM
10",1/1,2023-11-07
Kunjemura,Moderate,173,"PM
10",1/1,2023-11-08
Kunjemura,Moderate,132,"PM
10",1/1,2023-11-09
Kunjemura,Moderate,141,"PM
10",1/1,2023-11-10
Kunjemura,Moderate,111,"PM
10",1/1,2023-11-11
Kunjemura,Moderate,117,"PM
10",1/1,2023-11-12
Kunjemura,Moderate,107,"PM
10",1/1,2023-11-13
Kunjemura,Moderate,149,"PM
10",1/1,2023-11-14
Kunjemura,Moderate,110,"PM
10",1/1,2023-11-15
Kunjemura,Satisfactory,59,"PM
10",1/1,2023-11-21
Kunjemura,Moderate,110,"PM
10",1/1,2023-11-23
Kunjemura,Moderate,113,"PM
10",1/1,2023-11-24
Kunjemura,Satisfactory,58,"PM
10",1/1,2023-11-30
Kunjemura,Satisfactory,90,"PM
10",1/1,2023-12-01
Kunjemura,Satisfactory,96,"PM
10",1/1,2023-12-02
Kunjemura,Moderate,178,"PM
10",1/1,2023-12-03
Kunjemura,Moderate,114,"PM
10",1/1,2023-12-04
Kunjemura,Good,36,CO,1/1,2023-12-09
Kunjemura,Satisfactory,66,"PM
10",1/1,2023-12-10
Kunjemura,Satisfactory,64,"PM
10",1/1,2023-12-11
Kunjemura,Satisfactory,67,"PM
10",1/1,2023-12-12
Kunjemura,Satisfactory,85,"PM
10",1/1,2023-12-13
Kunjemura,Good,47,"NO
2",1/1,2023-12-14
Kunjemura,Satisfactory,58,"PM
10",1/1,2023-12-15
Kunjemura,Satisfactory,55,"PM
10",1/1,2023-12-16
Kunjemura,Moderate,145,"PM
10",1/1,2023-12-17
Kunjemura,Satisfactory,96,"PM
10",1/1,2023-12-18
Kunjemura,Moderate,150,"PM
10",1/1,2023-12-19
Kunjemura,Satisfactory,81,"PM
10",1/1,2023-12-20
Kunjemura,Moderate,110,"PM
10",1/1,2023-12-21
Kunjemura,Moderate,131,"PM
10",1/1,2023-12-22
Kunjemura,Moderate,119,"PM
10",1/1,2023-12-23
Kunjemura,Moderate,140,"PM
10",1/1,2023-12-24
Kunjemura,Satisfactory,68,"NO
2",1/1,2023-12-25
Kunjemura,Very Poor,345,"PM
10",1/1,2023-12-26
Kunjemura,Satisfactory,100,"PM
2.5",1/1,2023-12-27
Kunjemura,Moderate,154,"PM
10",1/1,2023-12-28
Kunjemura,Moderate,131,"PM
10",1/1,2023-12-29
Kunjemura,Moderate,108,"PM
10",1/1,2023-12-30
Kunjemura,Moderate,197,"PM
10",1/1,2023-12-31
Kunjemura,Moderate,106,"PM
10",1/1,2024-01-01
Kunjemura,Satisfactory,56,"PM
10",1/1,2024-01-02
Kunjemura,Satisfactory,98,"PM
10",1/1,2024-01-03
Kunjemura,Moderate,200,"PM
10",1/1,2024-01-04
Kunjemura,Moderate,158,"PM
10",1/1,2024-01-05
Kunjemura,Moderate,146,"PM
10",1/1,2024-01-06
Kunjemura,Moderate,191,"PM
10",1/1,2024-01-07
Kunjemura,Moderate,185,"PM
10",1/1,2024-01-08
Kunjemura,Moderate,123,"PM
10",1/1,2024-01-09
Kunjemura,Moderate,162,"PM
10",1/1,2024-01-10
Kunjemura,Moderate,127,"PM
10",1/1,2024-01-11
Kunjemura,Moderate,137,"PM
10",1/1,2024-01-12
Kunjemura,Moderate,172,"PM
10",1/1,2024-01-13
Kunjemura,Satisfactory,100,"PM
10",1/1,2024-01-14
Kunjemura,Moderate,195,"PM
10",1/1,2024-01-15
Kunjemura,Moderate,137,"PM
10",1/1,2024-01-16
Kunjemura,Moderate,155,"PM
10",1/1,2024-01-17
Kunjemura,Satisfactory,88,"PM
10",1/1,2024-01-18
Kunjemura,Satisfactory,58,CO,1/1,2024-01-19
Kunjemura,Satisfactory,61,CO,1/1,2024-01-20
Kunjemura,Good,38,"PM
10",1/1,2024-01-21
Kunjemura,Satisfactory,79,"PM
10",1/1,2024-01-22
Kunjemura,Moderate,169,"PM
10",1/1,2024-01-23
Kunjemura,Satisfactory,66,"PM
10",1/1,2024-01-24
Kunjemura,Satisfactory,83,"PM
10",1/1,2024-01-25
Kunjemura,Moderate,145,"PM
10",1/1,2024-01-26
Kunjemura,Poor,227,"PM
10",1/1,2024-01-27
Kunjemura,Poor,242,"PM
10",1/1,2024-01-28
Kunjemura,Poor,234,"PM
10",1/1,2024-01-29
Kunjemura,Poor,260,"PM
10",1/1,2024-01-30
Kunjemura,Poor,234,"PM
10",1/1,2024-01-31
Kunjemura,Poor,262,"PM
10",1/1,2024-02-01
Kunjemura,Moderate,178,"PM
10",1/1,2024-02-02
Kunjemura,Moderate,157,"PM
10",1/1,2024-02-03
Kunjemura,Moderate,120,"PM
10",1/1,2024-02-04
Kunjemura,Moderate,112,"PM
10",1/1,2024-02-05
Kunjemura,Moderate,164,"PM
10",1/1,2024-02-06
Kunjemura,Satisfactory,78,"PM
10",1/1,2024-02-09
Kunjemura,Satisfactory,75,"PM
10",1/1,2024-02-10
Kunjemura,Moderate,113,"PM
10",1/1,2024-02-11
Kunjemura,Good,46,"PM
10",1/1,2024-02-12
Kunjemura,Satisfactory,55,CO,1/1,2024-02-13
Kunjemura,Moderate,160,"PM
10",1/1,2024-02-14
Kunjemura,Moderate,125,"PM
10",1/1,2024-02-15
Kunjemura,Moderate,118,"PM
10",1/1,2024-02-16
Kunjemura,Moderate,120,"PM
10",1/1,2024-02-17
Kunjemura,Moderate,115,"PM
10",1/1,2024-02-18
Kunjemura,Moderate,109,"PM
10",1/1,2024-02-19
Kunjemura,Moderate,129,"PM
10",1/1,2024-02-20
Kunjemura,Moderate,112,"PM
10",1/1,2024-02-21
Kunjemura,Moderate,122,"PM
10",1/1,2024-02-22
