City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Loni_Dehat,Poor,205,"PM
2.5",1,2019-03-06
Loni_Dehat,Poor,243,"PM
2.5",1,2019-03-07
Loni_Dehat,Poor,212,"PM
2.5",1,2019-03-08
Loni_Dehat,Moderate,196,"PM
2.5",1,2019-03-09
Loni_Dehat,Poor,204,OZONE,1,2019-03-10
Loni_Dehat,Poor,227,"PM
2.5",1,2019-03-11
Loni_Dehat,Moderate,162,OZONE,1,2019-03-13
Loni_Dehat,Poor,261,"PM
2.5",1,2019-03-14
Loni_Dehat,Moderate,153,"PM
2.5",1,2019-03-15
Loni_Dehat,Moderate,177,OZONE,1,2019-03-16
Loni_Dehat,Poor,213,"PM
2.5",1,2019-03-17
Loni_Dehat,Poor,218,"PM
2.5",1,2019-03-18
Loni_Dehat,Poor,234,"PM
10",1,2019-03-19
Loni_Dehat,Very Poor,331,"PM
10",1,2019-03-20
Loni_Dehat,Poor,253,"PM
2.5",1,2019-03-21
Loni_Dehat,Moderate,136,"PM
10",1,2019-03-22
Loni_Dehat,Moderate,156,"PM
10",1,2019-03-23
Loni_Dehat,Moderate,147,"PM
10",1,2019-03-24
Loni_Dehat,Moderate,149,"PM
10",1,2019-03-25
Loni_Dehat,Moderate,190,"PM
2.5",1,2019-03-26
Loni_Dehat,Poor,211,"PM
2.5",1,2019-03-27
Loni_Dehat,Very Poor,302,"PM
10",1,2019-03-28
Loni_Dehat,Poor,254,"PM
10",1,2019-03-29
Loni_Dehat,Poor,267,"PM
10",1,2019-03-30
Loni_Dehat,Poor,230,"PM
10",1,2019-03-31
Loni_Dehat,Poor,251,"PM
10",1,2019-04-02
Loni_Dehat,Very Poor,338,"PM
10",1,2019-04-05
Loni_Dehat,Very Poor,354,"PM
10",1,2019-04-06
Loni_Dehat,Very Poor,385,"PM
10",1,2019-04-07
Loni_Dehat,Very Poor,357,"PM
10",1,2019-04-08
Loni_Dehat,Poor,286,"PM
10",1,2019-04-09
Loni_Dehat,Poor,248,"PM
10",1,2019-04-13
Loni_Dehat,Moderate,178,"PM
10",1,2019-04-14
Loni_Dehat,Moderate,194,"PM
10",1,2019-04-15
Loni_Dehat,Poor,236,"PM
10",1,2019-04-16
Loni_Dehat,Moderate,136,"PM
10",1,2019-04-17
Loni_Dehat,Moderate,182,OZONE,1,2019-04-18
Loni_Dehat,Moderate,181,"PM
2.5",1,2019-04-19
Loni_Dehat,Poor,247,OZONE,1,2019-04-20
Loni_Dehat,Very Poor,336,"PM
10",1,2019-04-21
Loni_Dehat,Very Poor,308,"PM
10",1,2019-04-22
Loni_Dehat,Very Poor,360,"PM
10",1,2019-04-23
Loni_Dehat,Very Poor,360,"PM
10",1,2019-04-24
Loni_Dehat,Very Poor,360,"PM
10",1,2019-04-25
Loni_Dehat,Poor,267,"PM
10",1,2019-04-26
Loni_Dehat,Very Poor,361,"PM
10",1,2019-04-27
Loni_Dehat,Very Poor,395,"PM
10",1,2019-04-28
Loni_Dehat,Very Poor,330,"PM
10",1,2019-04-29
Loni_Dehat,Poor,264,"PM
2.5",1,2019-04-30
Loni_Dehat,Severe,401,"PM
10",1,2019-05-01
Loni_Dehat,Very Poor,356,"PM
10",1,2019-05-02
Loni_Dehat,Poor,226,OZONE,1,2019-05-03
Loni_Dehat,Poor,219,"PM
10",1,2019-05-04
Loni_Dehat,Very Poor,338,"PM
10",1,2019-05-05
Loni_Dehat,Severe,419,"PM
10",1,2019-05-06
Loni_Dehat,Severe,415,"PM
10",1,2019-05-07
Loni_Dehat,Severe,462,"PM
10",1,2019-05-08
Loni_Dehat,Severe,440,"PM
10",1,2019-05-09
Loni_Dehat,Very Poor,390,"PM
10",1,2019-05-10
Loni_Dehat,Very Poor,334,"PM
10",1,2019-05-11
Loni_Dehat,Very Poor,387,"PM
10",1,2019-05-12
Loni_Dehat,Very Poor,371,"PM
10",1,2019-05-13
Loni_Dehat,Moderate,198,OZONE,1,2019-05-14
Loni_Dehat,Poor,253,"PM
2.5",1,2019-05-15
Loni_Dehat,Poor,244,"PM
10",1,2019-05-16
Loni_Dehat,Very Poor,380,"PM
10",1,2019-05-17
Loni_Dehat,Moderate,160,OZONE,1,2019-05-18
Loni_Dehat,Poor,267,"PM
10",1,2019-05-20
Loni_Dehat,Poor,256,"PM
10",1,2019-05-21
Loni_Dehat,Poor,226,"PM
10",1,2019-05-22
Loni_Dehat,Very Poor,353,"PM
10",1,2019-05-23
Loni_Dehat,Moderate,144,"PM
10",1,2019-05-24
Loni_Dehat,Moderate,141,"PM
10",1,2019-05-25
Loni_Dehat,Moderate,180,OZONE,1,2019-05-26
Loni_Dehat,Poor,211,"PM
10",1,2019-05-27
Loni_Dehat,Poor,203,"PM
10",1,2019-05-28
Loni_Dehat,Poor,245,"PM
10",1,2019-05-29
Loni_Dehat,Poor,292,"PM
10",1,2019-05-30
Loni_Dehat,Very Poor,354,"PM
10",1,2019-05-31
Loni_Dehat,Very Poor,338,"PM
10",1,2019-06-01
Loni_Dehat,Poor,251,OZONE,1,2019-06-02
Loni_Dehat,Very Poor,334,"PM
10",1,2019-06-03
Loni_Dehat,Poor,234,OZONE,1,2019-06-04
Loni_Dehat,Poor,231,"PM
10",1,2019-06-05
Loni_Dehat,Poor,274,"PM
10",1,2019-06-06
Loni_Dehat,Poor,243,OZONE,1,2019-06-07
Loni_Dehat,Moderate,200,"PM
10",1,2019-06-08
Loni_Dehat,Very Poor,323,"PM
10",1,2019-06-09
Loni_Dehat,Poor,298,"PM
10",1,2019-06-10
Loni_Dehat,Very Poor,365,"PM
10",1,2019-06-11
Loni_Dehat,Poor,212,"PM
10",1,2019-06-13
Loni_Dehat,Poor,213,"PM
10",1,2019-06-14
Loni_Dehat,Very Poor,308,"PM
10",1,2019-06-15
Loni_Dehat,Poor,282,"PM
10",1,2019-06-16
Loni_Dehat,Moderate,187,"PM
10",1,2019-06-17
Loni_Dehat,Poor,227,OZONE,1,2019-06-19
Loni_Dehat,Moderate,118,OZONE,1,2019-06-20
Loni_Dehat,Very Poor,350,"PM
10",1,2019-06-29
Loni_Dehat,Moderate,151,"PM
10",1,2019-07-03
Loni_Dehat,Moderate,106,"PM
10",1,2019-07-04
Loni_Dehat,Moderate,129,"PM
2.5",1,2019-07-05
Loni_Dehat,Moderate,111,"PM
10",1,2019-07-06
Loni_Dehat,Satisfactory,86,"PM
10",1,2019-07-07
Loni_Dehat,Poor,247,OZONE,1,2019-07-08
Loni_Dehat,Moderate,150,"PM
10",1,2019-07-09
Loni_Dehat,Moderate,164,"PM
10",1,2019-07-10
Loni_Dehat,Severe,408,"PM
10",1,2019-07-11
Loni_Dehat,Poor,233,"PM
10",1,2019-07-12
Loni_Dehat,Very Poor,353,"PM
10",1,2019-07-13
Loni_Dehat,Poor,250,"PM
10",1,2019-07-14
Loni_Dehat,Moderate,137,"PM
10",1,2019-07-15
Loni_Dehat,Satisfactory,92,"PM
10",1,2019-07-16
Loni_Dehat,Moderate,196,OZONE,1,2019-07-18
Loni_Dehat,Poor,247,OZONE,1,2019-07-19
Loni_Dehat,Moderate,146,"PM
10",1,2019-07-20
Loni_Dehat,Moderate,111,"PM
10",1,2019-07-21
Loni_Dehat,Moderate,123,"PM
10",1,2019-07-22
Loni_Dehat,Moderate,113,"PM
10",1,2019-07-23
Loni_Dehat,Poor,216,"PM
10",1,2019-07-24
Loni_Dehat,Satisfactory,82,"PM
10",1,2019-07-25
Loni_Dehat,Satisfactory,73,"PM
10",1,2019-07-26
Loni_Dehat,Satisfactory,75,CO,1,2019-07-27
Loni_Dehat,Satisfactory,55,CO,1,2019-07-28
Loni_Dehat,Satisfactory,67,"PM
10",1,2019-07-29
Loni_Dehat,Satisfactory,70,"PM
10",1,2019-07-30
Loni_Dehat,Satisfactory,74,"PM
10",1,2019-07-31
Loni_Dehat,Moderate,105,"PM
10",1,2019-08-01
Loni_Dehat,Moderate,107,"PM
10",1,2019-08-02
Loni_Dehat,Satisfactory,63,"PM
10",1,2019-08-03
Loni_Dehat,Satisfactory,68,CO,1,2019-08-04
Loni_Dehat,Moderate,126,"PM
10",1,2019-08-05
Loni_Dehat,Satisfactory,64,"PM
10",1,2019-08-07
Loni_Dehat,Satisfactory,81,"PM
10",1,2019-08-08
Loni_Dehat,Satisfactory,82,"PM
10",1,2019-08-09
Loni_Dehat,Satisfactory,57,CO,1,2019-08-10
Loni_Dehat,Moderate,113,OZONE,1,2019-08-11
