City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Lucknow,,120,"PM
2.5",,2015-05-02
Lucknow,,118,"O 3 , PM 2.5",,2015-05-03
Lucknow,,96,"CO, PM
2.5",,2015-05-04
Lucknow,,70,CO,,2015-05-05
Lucknow,,85,CO,,2015-05-06
Lucknow,,114,"O , CO
3",,2015-05-07
Lucknow,,98,CO,,2015-05-08
Lucknow,,133,"O
3",,2015-05-09
Lucknow,,80,"O
3",,2015-05-10
Lucknow,,133,"CO, O
3",,2015-05-11
Lucknow,,122,"CO, O
3",,2015-05-12
Lucknow,,85,CO,,2015-05-13
Lucknow,,106,"CO, O
3",3,2015-05-15
Lucknow,,94,"CO, O
3",3,2015-05-16
Lucknow,,208,"PM ,CO, O
2.5 3","3
(one station @ 3.00
PM)",2015-05-17
Lucknow,,127,"O , CO
3",3,2015-05-18
Lucknow,,121,"O , CO
3",3,2015-05-19
Lucknow,,87,CO,3,2015-05-20
Lucknow,,94,"CO, PM
2.5",3,2015-05-21
Lucknow,,84,CO,3,2015-05-22
Lucknow,,89,"PM
2.5",2,2015-05-23
Lucknow,,74,"CO, PM
2.5",2,2015-05-24
Lucknow,,95,CO,2,2015-05-25
Lucknow,,92,CO,3,2015-05-26
Lucknow,,129,"CO, PM
2.5",3,2015-05-27
Lucknow,,111,CO,3,2015-05-28
Lucknow,Moderate,102,"PM
2.5",2,2015-05-29
Lucknow,,92,"CO, PM
2.5",3,2015-05-30
Lucknow,,107,"CO, PM
2.5",3,2015-05-31
Lucknow,,109,CO,3,2015-06-01
Lucknow,,109,CO,3,2015-06-02
Lucknow,,184,"CO, PM
2.5",2,2015-06-03
Lucknow,,127,"PM CO
2.5,",3,2015-06-04
Lucknow,,151,"PM CO
2.5,",3,2015-06-05
Lucknow,,166,"PM
2.5",3,2015-06-06
Lucknow,,262,"PM
2.5",3,2015-06-07
Lucknow,,255,"PM
2.5",3,2015-06-08
Lucknow,,218,"PM
2.5",1,2015-06-09
Lucknow,,131,"PM CO
2.5,",3,2015-06-10
Lucknow,,95,CO,2,2015-06-11
Lucknow,,130,"PM
2.5",2,2015-06-13
Lucknow,,158,"PM
2.5",2,2015-06-14
Lucknow,,182,"PM
2.5",2,2015-06-15
Lucknow,,323,"PM
2.5",2,2015-06-16
Lucknow,,108,"PM CO
2.5,",2,2015-06-17
Lucknow,,83,"PM CO
2.5,",2,2015-06-18
Lucknow,,76,"PM CO
2.5,",3,2015-06-19
Lucknow,,171,"PM
2.5",2,2015-06-20
Lucknow,,89,"PM CO
2.5,",2,2015-06-21
Lucknow,,146,"PM CO
2.5,",3,2015-06-22
Lucknow,,101,"PM CO
2.5,",3,2015-06-23
Lucknow,,67,"PM
2.5",2!,2015-06-24
Lucknow,,67,"PM
2.5",3,2015-06-25
Lucknow,,100,CO,2,2015-06-26
Lucknow,,85,"PM CO
2.5,",3,2015-06-27
Lucknow,,95,"PM CO
2.5,",3,2015-06-28
Lucknow,,83,CO,3,2015-07-01
Lucknow,,112,CO,2,2015-07-02
Lucknow,,59,CO,2,2015-07-03
Lucknow,,40,"PM O
2.5, 3",2,2015-07-04
Lucknow,,62,CO,2,2015-07-05
Lucknow,,100,"PM CO
2.5,",3,2015-07-06
Lucknow,,101,CO,2,2015-07-07
Lucknow,,76,"O , CO, PM
3 2.5",3,2015-07-08
Lucknow,,96,"PM CO
2.5,",3,2015-07-09
Lucknow,,96,CO,3,2015-07-10
Lucknow,,83,"PM CO
2.5,",3,2015-07-11
Lucknow,,140,CO,"3 (one station @
3.00 PM)",2015-07-14
Lucknow,,152,"CO, PM
2.5",3,2015-07-15
Lucknow,,130,CO,3,2015-07-16
Lucknow,,130,CO,3,2015-07-17
Lucknow,,127,CO,3,2015-07-18
Lucknow,,85,CO,2,2015-07-19
Lucknow,,172,CO,2,2015-07-20
Lucknow,,122,CO,3,2015-07-21
Lucknow,,110,CO,3,2015-07-22
Lucknow,,161,"CO, PM
2.5",3,2015-07-23
Lucknow,,129,CO,2,2015-07-24
Lucknow,,135,"PM , CO
2.5",3,2015-07-25
Lucknow,,93,CO,1,2015-07-26
Lucknow,,91,CO,1,2015-07-27
Lucknow,,117,"PM
2.5",2(@ 3.00 PM),2015-07-28
Lucknow,,116,"PM CO
2.5,","3 (One station @ 3.00
PM)",2015-07-29
Lucknow,,121,"CO, PM
2.5",3,2015-07-30
Lucknow,,110,"PM CO
2.5,",3,2015-07-31
Lucknow,,128,"PM
2.5",3,2015-08-01
Lucknow,,91,"PM
2.5",2,2015-08-02
Lucknow,,175,"PM
2.5",3,2015-08-03
Lucknow,Moderate,101,"PM
2.5",3,2015-08-04
Lucknow,Satisfactory,94,"PM
2.5",3,2015-08-05
Lucknow,,135,"PM
2.5",3,2015-08-06
Lucknow,Satisfactory,98,"PM
2.5",3,2015-08-07
Lucknow,,117,"PM
2.5",3,2015-08-08
Lucknow,,142,"PM
2.5",3,2015-08-09
Lucknow,,128,"PM
2.5",3,2015-08-10
Lucknow,,110,"PM
2.5",3,2015-08-11
Lucknow,,57,CO,3,2015-08-12
Lucknow,,94,"PM
2.5",3,2015-08-13
Lucknow,,68,"PM
2.5",2,2015-08-14
Lucknow,,62,CO,2,2015-08-16
Lucknow,Satisfactory,62,"PM , CO
2.5",2,2015-08-17
Lucknow,Satisfactory,63,"CO, PM
2.5",2#,2015-08-18
Lucknow,Satisfactory,79,CO,2,2015-08-19
