City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Madurai,Good,23,"PM
10",1/1,2024-10-09
Madurai,Good,28,"PM
10",1/1,2024-10-10
Madurai,Good,27,"PM
10",1/1,2024-10-11
Madurai,Good,21,"PM
10",1/1,2024-10-12
Madurai,Good,28,"PM
10",1/1,2024-10-13
Madurai,Good,32,"PM
10",1/1,2024-10-14
Madurai,Good,17,"PM
10",1/1,2024-10-15
Madurai,Good,26,"PM
10",1/1,2024-10-16
Madurai,Good,21,"PM
10",1/1,2024-10-17
Madurai,Good,23,"PM
10",1/1,2024-10-18
Madurai,Good,32,"PM
10",1/1,2024-10-19
Madurai,Good,18,CO,1/1,2024-10-20
Madurai,Good,22,"PM
10",1/1,2024-10-21
Madurai,Good,26,"PM
10",1/1,2024-10-22
Madurai,Good,28,"PM
10",1/1,2024-10-23
Madurai,Good,29,"PM
10",1/1,2024-10-24
Madurai,Good,27,"PM
10",1/1,2024-10-26
Madurai,Good,31,"PM
10",1/1,2024-10-27
Madurai,Good,28,"PM
10",1/1,2024-10-28
Madurai,Good,38,"PM
10",1/1,2024-10-29
Madurai,Good,31,"PM
10",1/1,2024-10-30
Madurai,Good,49,"PM
10",1/1,2024-10-31
Madurai,Good,44,"PM
10",1/1,2024-11-01
Madurai,Good,32,"PM
10",1/1,2024-11-02
Madurai,Good,32,"PM
10",1/1,2024-11-03
Madurai,Good,34,"PM
10",1/1,2024-11-04
Madurai,Good,29,"PM
10",1/1,2024-11-05
Madurai,Satisfactory,62,"PM
10",1/1,2024-11-06
Madurai,Satisfactory,98,"PM
10",1/1,2024-11-07
Madurai,Good,32,"PM
10",1/1,2024-11-09
Madurai,Good,38,"PM
10",1/1,2024-11-10
Madurai,Good,47,"PM
10",1/1,2024-11-11
Madurai,Satisfactory,51,"PM
10",1/1,2024-11-12
Madurai,Satisfactory,52,"PM
10",1/1,2024-11-13
Madurai,Satisfactory,57,"PM
10",1/1,2024-11-14
Madurai,Good,37,"PM
10",1/1,2024-11-15
Madurai,Good,26,"PM
10",1/1,2024-11-16
Madurai,Good,42,"PM
10",1/1,2024-11-17
Madurai,Good,42,"PM
10",1/1,2024-11-18
Madurai,Satisfactory,82,"PM
10",1/1,2024-11-19
Madurai,Satisfactory,74,"PM
10",1/1,2024-11-20
Madurai,Satisfactory,66,"PM
10",1/1,2024-11-21
Madurai,Satisfactory,86,"PM
10",1/1,2024-11-22
Madurai,Satisfactory,67,"PM
10",1/1,2024-11-23
Madurai,Satisfactory,61,"PM
10",1/1,2024-11-24
Madurai,Satisfactory,69,"PM
10",1/1,2024-11-25
Madurai,Moderate,105,"PM
10",1/1,2024-11-26
Madurai,Good,46,"PM
10",1/1,2024-11-27
Madurai,Satisfactory,65,"PM
10",1/1,2024-11-28
Madurai,Satisfactory,70,"PM
10",1/1,2024-11-29
Madurai,Good,48,"PM
10",1/1,2024-11-30
Madurai,Good,50,"PM
10",1/1,2024-12-01
Madurai,Good,50,"PM
10",1/1,2024-12-02
Madurai,Satisfactory,59,"PM
10",1/1,2024-12-03
Madurai,Good,48,"PM
10",1/1,2024-12-04
Madurai,Good,45,"PM
10",1/1,2024-12-05
