City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Mahad,Good,29,"PM
10",1,2023-06-27
Mahad,Good,35,"O
3",1,2023-06-28
Mahad,Good,35,"O
3",1,2023-06-29
Mahad,Good,28,CO,1,2023-06-30
Mahad,Good,39,CO,1,2023-07-01
Mahad,Good,31,"PM
10",1,2023-07-04
Mahad,Good,44,"PM
10",1,2023-07-05
Mahad,Good,32,CO,1,2023-07-06
Mahad,Good,22,"PM
2.5",1,2023-07-07
Mahad,Good,38,"PM
10",1,2023-07-08
Mahad,Good,50,"PM
10",1,2023-07-09
Mahad,Satisfactory,52,"PM
10",1,2023-07-10
Mahad,Satisfactory,59,"PM
10",1,2023-07-11
Mahad,Satisfactory,62,"PM
10",1,2023-07-12
Mahad,Good,46,"PM
10",1,2023-07-13
Mahad,Good,19,"PM
10",1,2023-07-14
Mahad,Good,26,"PM
10",1,2023-07-15
Mahad,Good,27,"PM
10",1,2023-07-16
Mahad,Satisfactory,"74
* AQ","O
3
I is not calculated for today's bullet","1
in for Ahmednagar, Ariyalur,",2023-07-17
Mahad,Good,28,"PM
10",1,2023-07-18
Mahad,Good,32,"PM
10",1,2023-07-21
Mahad,Good,36,"PM
10",1,2023-07-22
Mahad,Good,42,"SO
2",1,2023-07-23
Mahad,Good,35,"SO
2",1,2023-07-24
Mahad,Good,29,"NO
2",1,2023-07-25
Mahad,Good,29,"NO
2",1,2023-07-26
Mahad,Good,28,"NO
2",1,2023-07-27
Mahad,Good,30,"PM
10",1,2023-07-28
Mahad,Good,29,"PM
10",1,2023-07-29
Mahad,Good,37,"PM
10",1,2023-07-30
Mahad,Good,36,"PM
10",1,2023-07-31
Mahad,Good,32,"PM
10",1,2023-08-01
Mahad,Good,34,"PM
10",1,2023-08-02
Mahad,Good,37,"PM
10",1,2023-08-04
Mahad,Good,42,"PM
10",1,2023-08-05
Mahad,Good,48,"PM
10",1,2023-08-06
Mahad,Satisfactory,62,"PM
10",1,2023-08-07
Mahad,Good,44,"PM
10",1,2023-08-08
Mahad,Good,31,"PM
10",1,2023-08-09
Mahad,Good,31,"PM
10",1,2023-08-10
Mahad,Good,39,"PM
10",1,2023-08-11
Mahad,Good,36,"PM
10",1,2023-08-12
Mahad,Good,29,"SO
2",1,2023-08-13
Mahad,Good,28,"PM
10",1,2023-08-14
Mahad,Good,46,"PM
10",1,2023-08-15
Mahad,Good,39,"SO
2",1,2023-08-16
Mahad,Good,42,CO,1,2023-08-17
Mahad,Satisfactory,60,"PM
10",1,2023-08-18
Mahad,Good,35,CO,1,2023-08-19
Mahad,Good,37,"SO
2",1,2023-08-20
Mahad,Good,33,"PM
10",1,2023-08-21
Mahad,Good,36,"SO
2",1,2023-08-22
Mahad,Good,35,"SO
2",1,2023-08-23
Mahad,Good,36,"PM
10",1,2023-08-24
Mahad,Good,36,CO,1,2023-08-25
Mahad,Good,37,CO,1,2023-08-26
Mahad,Good,20,"PM
10",1,2023-08-27
Mahad,Good,30,"SO
2",1,2023-08-29
Mahad,Good,39,"PM
10",1,2023-08-30
Mahad,Satisfactory,93,"PM
10",1,2023-08-31
Mahad,Satisfactory,73,"PM
10",1,2023-09-01
Mahad,Satisfactory,69,"PM
10",1,2023-09-05
Mahad,Satisfactory,69,"PM
10",1,2023-09-06
Mahad,Satisfactory,69,"PM
10",1,2023-09-07
Mahad,Satisfactory,69,"PM
10",1,2023-09-08
Mahad,Satisfactory,69,"PM
10",1,2023-09-09
Mahad,Satisfactory,69,"PM
10",1,2023-09-10
Mahad,Satisfactory,69,"PM
10",1,2023-09-11
Mahad,Satisfactory,69,"PM
10",1,2023-09-12
Mahad,Satisfactory,69,"PM
10",1,2023-09-13
Mahad,Satisfactory,68,"PM
10",1,2023-09-14
Mahad,Satisfactory,69,"PM
10",1,2023-09-15
Mahad,Satisfactory,69,"PM
10",1,2023-09-16
Mahad,Satisfactory,69,"PM
10",1,2023-09-17
Mahad,Satisfactory,69,"PM
10",1,2023-09-18
Mahad,Satisfactory,69,"PM
10",1,2023-09-19
Mahad,Satisfactory,69,"PM
10",1,2023-09-20
Mahad,Satisfactory,68,"PM
10",1,2023-09-21
Mahad,Good,34,"PM
2.5",1,2023-09-22
Mahad,Good,34,"PM
10",1,2023-09-23
Mahad,Good,38,"SO
2",1,2023-09-24
Mahad,Good,40,"PM
2.5",1,2023-09-25
Mahad,Good,36,"PM
2.5",1,2023-09-26
Mahad,Good,35,"PM
2.5",1,2023-09-27
Mahad,Good,31,"PM
2.5",1,2023-09-28
Mahad,Good,37,"PM
2.5",1,2023-09-29
Mahad,Good,48,"NO
2",1,2023-09-30
Mahad,Good,41,"PM
10",1,2023-10-01
Mahad,Satisfactory,59,"PM
2.5",1,2023-10-02
Mahad,Satisfactory,66,"PM
10",1,2023-10-03
Mahad,Satisfactory,95,"PM
10",1/1,2023-10-04
Mahad,Moderate,107,"PM
10",1/1,2023-10-05
Mahad,Moderate,114,"PM
2.5",1/1,2023-10-06
Mahad,Satisfactory,93,"PM
2.5",1/1,2023-10-07
Mahad,Moderate,129,"PM
2.5",1/1,2023-10-08
Mahad,Satisfactory,91,"PM
2.5",1/1,2023-10-09
Mahad,Moderate,194,"PM
2.5",1/1,2023-10-10
Mahad,Satisfactory,97,"PM
10",1/1,2023-10-11
Mahad,Moderate,101,"PM
2.5",1/1,2023-10-12
Mahad,Moderate,106,"PM
2.5",1/1,2023-10-13
Mahad,Satisfactory,93,"PM
2.5",1/1,2023-10-14
Mahad,Moderate,122,"PM
2.5",1/1,2023-10-15
Mahad,Moderate,105,"PM
2.5",1/1,2023-10-16
Mahad,Satisfactory,97,"PM
10",1/1,2023-10-17
Mahad,Satisfactory,95,"PM
2.5",1/1,2023-10-18
Mahad,Moderate,171,"PM
2.5",1/1,2023-10-19
Mahad,Moderate,161,"PM
2.5",1/1,2023-10-21
Mahad,Moderate,103,"PM
2.5",1/1,2023-10-22
Mahad,Moderate,111,"PM
2.5",1/1,2023-10-23
Mahad,Moderate,103,"PM
2.5",1/1,2023-10-24
Mahad,Moderate,108,"PM
10",1/1,2023-10-25
Mahad,Moderate,114,"PM
10",1/1,2023-10-26
Mahad,Moderate,172,"PM
2.5",1/1,2023-10-27
Mahad,Moderate,146,"PM
2.5",1/1,2023-10-28
Mahad,Satisfactory,100,"PM
2.5",1/1,2023-10-29
Mahad,Moderate,104,"PM
2.5",1/1,2023-10-30
Mahad,Moderate,124,"PM
2.5",1/1,2023-10-31
Mahad,Moderate,122,"PM
2.5",1/1,2023-11-02
Mahad,Satisfactory,96,"PM
2.5",1/1,2023-11-03
Mahad,Moderate,151,"PM
2.5",1/1,2023-11-04
Mahad,Moderate,161,"PM
2.5",1/1,2023-11-05
Mahad,Moderate,147,"PM
2.5",1/1,2023-11-06
Mahad,Moderate,156,"PM
2.5",1/1,2023-11-07
Mahad,Moderate,102,"PM
2.5",1/1,2023-11-08
Mahad,Satisfactory,68,"PM
10",1/1,2023-11-09
Mahad,Satisfactory,78,"PM
10",1/1,2023-11-10
Mahad,Satisfactory,59,"PM
10",1/1,2023-11-11
Mahad,Moderate,134,"PM
2.5",1/1,2023-11-12
Mahad,Moderate,145,"PM
2.5",1/1,2023-11-13
Mahad,Moderate,109,"PM
10",1/1,2023-11-14
Mahad,Satisfactory,100,"PM
10",1/1,2023-11-15
Mahad,Moderate,106,"PM
10",1/1,2023-11-16
Mahad,Moderate,161,"PM
2.5",1/1,2023-11-17
Mahad,Poor,223,"PM
2.5",1/1,2023-11-18
Mahad,Poor,242,"PM
2.5",1/1,2023-11-19
Mahad,Poor,203,"PM
2.5",1/1,2023-11-20
Mahad,Moderate,136,"PM
2.5",1/1,2023-11-21
Mahad,Moderate,145,"PM
2.5",1/1,2023-11-22
Mahad,Moderate,131,"PM
2.5",1/1,2023-11-23
Mahad,Moderate,103,"PM
2.5",1/1,2023-11-24
Mahad,Satisfactory,95,"PM
10",1/1,2023-11-25
Mahad,Satisfactory,72,"PM
10",1/1,2023-11-26
Mahad,Satisfactory,83,"PM
2.5",1/1,2023-11-27
Mahad,Satisfactory,79,"PM
10",1/1,2023-11-29
Mahad,Satisfactory,92,"PM
10",1/1,2023-11-30
Mahad,Satisfactory,97,"PM
2.5",1/1,2023-12-01
Mahad,Satisfactory,99,"PM
10",1/1,2023-12-03
Mahad,Moderate,106,"PM
10",1/1,2023-12-04
Mahad,Satisfactory,100,"PM
10",1/1,2023-12-05
Mahad,Moderate,111,"PM
10",1/1,2023-12-06
Mahad,Moderate,122,"PM
10",1/1,2023-12-07
Mahad,Moderate,104,"PM
10",1/1,2023-12-08
Mahad,Moderate,108,"PM
10",1/1,2023-12-09
Mahad,Moderate,106,"PM
10",1/1,2023-12-10
Mahad,Satisfactory,97,"PM
10",1/1,2023-12-11
Mahad,Satisfactory,88,"PM
10",1/1,2023-12-12
Mahad,Moderate,104,"PM
10",1/1,2023-12-14
Mahad,Moderate,112,"PM
10",1/1,2023-12-15
Mahad,Moderate,105,"PM
10",1/1,2023-12-16
Mahad,Poor,224,"PM
2.5",1/1,2023-12-18
Mahad,Poor,227,"PM
2.5",1/1,2023-12-19
