City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Malegaon,Moderate,135,"PM
10",1/1,2024-03-01
Malegaon,Moderate,109,"PM
10",1/1,2024-03-02
Malegaon,Satisfactory,89,"PM
10",1/1,2024-03-03
Malegaon,Satisfactory,89,"PM
10",1/1,2024-03-04
Malegaon,Moderate,169,"PM
2.5",1/1,2024-03-05
Malegaon,Moderate,143,"PM
2.5",1/1,2024-03-06
Malegaon,Moderate,151,"PM
2.5",1/1,2024-03-07
Malegaon,Moderate,101,"PM
10",1/1,2024-03-08
Malegaon,Moderate,157,"PM
10",1/1,2024-03-09
Malegaon,Moderate,160,"PM
10",1/1,2024-03-10
Malegaon,Moderate,180,"PM
2.5",1/1,2024-03-11
Malegaon,Moderate,137,"PM
2.5",1/1,2024-03-12
Malegaon,Moderate,124,"PM
10",1/1,2024-03-13
Malegaon,Moderate,120,"PM
2.5",1/1,2024-03-14
Malegaon,Moderate,118,"PM
10",1/1,2024-03-15
Malegaon,Moderate,167,"PM
2.5",1/1,2024-03-16
Malegaon,Poor,219,"PM
2.5",1/1,2024-03-17
Malegaon,Moderate,112,"PM
10",1/1,2024-03-18
Malegaon,Moderate,102,"PM
10",1/1,2024-03-19
Malegaon,Moderate,112,"PM
2.5",1/1,2024-03-20
Malegaon,Moderate,139,"PM
2.5",1/1,2024-03-21
Malegaon,Moderate,150,"PM
2.5",1/1,2024-03-22
Malegaon,Moderate,179,"PM
2.5",1/1,2024-03-23
Malegaon,Moderate,128,"PM
2.5",1/1,2024-03-24
Malegaon,Moderate,141,"PM
2.5",1/1,2024-03-25
Malegaon,Moderate,104,"PM
10",1/1,2024-03-26
Malegaon,Satisfactory,98,"PM
10",1/1,2024-03-27
Malegaon,Moderate,117,"PM
2.5",1/1,2024-03-28
Malegaon,Moderate,183,"PM
2.5",1/1,2024-03-29
Malegaon,Moderate,184,"PM
2.5",1/1,2024-03-30
Malegaon,Poor,209,"PM
2.5",1/1,2024-03-31
Malegaon,Moderate,142,"PM
10",1/1,2024-04-01
Malegaon,Moderate,133,"PM
2.5",1/1,2024-04-02
Malegaon,Moderate,132,"PM
10",1/1,2024-04-03
Malegaon,Moderate,121,"PM
2.5",1/1,2024-04-04
Malegaon,Satisfactory,91,"PM
10",1/1,2024-04-05
Malegaon,Satisfactory,95,"PM
10",1/1,2024-04-06
Malegaon,Moderate,137,"PM
10",1/1,2024-04-07
Malegaon,Moderate,124,"PM
10",1/1,2024-04-08
Malegaon,Moderate,157,"PM
2.5",1/1,2024-04-09
Malegaon,Moderate,115,"PM
10",1/1,2024-04-11
Malegaon,Moderate,111,"PM
10",1/1,2024-04-12
Malegaon,Moderate,124,"PM
10",1/1,2024-04-13
Malegaon,Moderate,119,"PM
10",1/1,2024-04-14
Malegaon,Moderate,149,"PM
2.5",1/1,2024-04-15
Malegaon,Moderate,136,"PM
2.5",1/1,2024-04-16
Malegaon,Moderate,110,"PM
10",1/1,2024-04-17
Malegaon,Moderate,122,"PM
2.5",1/1,2024-04-18
Malegaon,Moderate,120,"PM
10",1/1,2024-04-19
Malegaon,Moderate,132,"PM
10",1/1,2024-04-20
Malegaon,Moderate,149,"PM
2.5",1/1,2024-04-21
Malegaon,Moderate,136,"PM
2.5",1/1,2024-04-22
Malegaon,Moderate,124,"PM
10",1/1,2024-04-23
Malegaon,Moderate,116,"PM
2.5",1/1,2024-04-25
Malegaon,Moderate,154,"PM
2.5",1/1,2024-04-26
Malegaon,Moderate,112,"PM
10",1/1,2024-04-27
Malegaon,Moderate,113,"PM
10",1/1,2024-04-28
Malegaon,Moderate,118,"PM
2.5",1/1,2024-04-29
Malegaon,Moderate,130,"PM
10",1/1,2024-04-30
Malegaon,Moderate,128,"PM
10",1/1,2024-05-01
Malegaon,Moderate,103,"PM
10",1/1,2024-05-02
Malegaon,Moderate,119,"PM
10",1/1,2024-05-03
Malegaon,Moderate,127,"PM
10",1/1,2024-05-04
Malegaon,Moderate,102,"PM
10",1/1,2024-05-06
Malegaon,Moderate,112,"PM
10",1/1,2024-05-07
Malegaon,Moderate,106,"PM
10",1/1,2024-05-08
Malegaon,Moderate,187,"PM
2.5",1/1,2024-05-09
Malegaon,Moderate,113,"PM
10",1/1,2024-05-10
Malegaon,Moderate,145,"PM
10",1/1,2024-05-12
Malegaon,Moderate,183,"PM
2.5",1/1,2024-05-13
Malegaon,Moderate,107,"PM
2.5",1/1,2024-05-14
Malegaon,Moderate,136,"PM
10",1/1,2024-05-15
Malegaon,Moderate,132,"PM
2.5",1/1,2024-05-16
Malegaon,Moderate,134,"PM
2.5",1/1,2024-05-17
Malegaon,Moderate,112,"PM
10",1/1,2024-05-18
Malegaon,Moderate,136,"PM
10",1/1,2024-05-19
Malegaon,Moderate,162,"PM
2.5",1/1,2024-05-20
Malegaon,Moderate,140,"PM
2.5",1/1,2024-05-21
Malegaon,Moderate,168,"PM
2.5",1/1,2024-05-22
Malegaon,Moderate,140,"PM
2.5",1/1,2024-05-23
Malegaon,Moderate,116,"PM
10",1/1,2024-05-26
Malegaon,Moderate,112,"PM
10",1/1,2024-05-27
Malegaon,Moderate,115,"PM
10",1/1,2024-05-28
Malegaon,Satisfactory,97,"PM
10",1/1,2024-05-29
Malegaon,Moderate,113,"PM
10",1/1,2024-05-30
Malegaon,Satisfactory,92,"PM
10",1/1,2024-05-31
Malegaon,Satisfactory,93,"PM
10",1/1,2024-06-01
Malegaon,Satisfactory,79,"PM
10",1/1,2024-06-02
Malegaon,Moderate,105,"PM
10",1/1,2024-06-03
Malegaon,Satisfactory,100,"PM
10",1/1,2024-06-04
Malegaon,Satisfactory,96,"PM
10",1/1,2024-06-05
Malegaon,Satisfactory,79,"PM
10",1/1,2024-06-06
Malegaon,Satisfactory,89,"PM
10",1/1,2024-06-07
Malegaon,Satisfactory,71,"PM
10",1/1,2024-06-08
Malegaon,Satisfactory,94,"O
3",1/1,2024-06-09
