City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Mandideep,Moderate,160,"PM
2.5",1,2018-01-02
Mandideep,Moderate,195,"PM
2.5",1,2018-01-03
Mandideep,Moderate,194,"PM
2.5",1,2018-01-04
Mandideep,Poor,249,"PM
2.5",1,2018-01-05
Mandideep,Poor,220,"PM
2.5",1,2018-01-06
Mandideep,Moderate,194,"PM
2.5",1,2018-01-07
Mandideep,Very Poor,324,"PM
10",1,2018-01-08
Mandideep,Poor,273,"PM
2.5",1,2018-01-09
Mandideep,Moderate,156,"PM
2.5",1,2018-01-10
Mandideep,Moderate,188,"PM
2.5",1,2018-01-11
Mandideep,Moderate,187,"PM
2.5",1,2018-01-12
Mandideep,Poor,222,"PM
2.5",1,2018-01-13
Mandideep,Moderate,200,"PM
2.5",1,2018-01-14
Mandideep,Moderate,139,"PM
2.5",1,2018-01-15
Mandideep,Moderate,198,"PM
10",1,2018-01-16
Mandideep,Moderate,147,"PM
10",1#,2018-01-17
Mandideep,Moderate,158,"PM
10",1,2018-01-18
Mandideep,Moderate,155,"PM
10",1,2018-01-19
Mandideep,Moderate,130,"PM
10",1#,2018-01-20
Mandideep,Moderate,124,"PM
10",1,2018-01-21
Mandideep,Moderate,131,"PM
10",1,2018-01-22
Mandideep,Moderate,159,"PM
10",1,2018-01-23
Mandideep,Moderate,151,"PM
10",1,2018-01-24
Mandideep,Moderate,174,"O
3",1,2018-01-25
Mandideep,Poor,234,"PM
2.5",1,2018-01-26
Mandideep,Moderate,167,"PM
2.5",1,2018-01-27
Mandideep,Moderate,191,"PM
10",1,2018-01-28
Mandideep,Moderate,178,PM10,1,2018-01-29
Mandideep,Poor,216,PM2.5,1,2018-01-30
Mandideep,Moderate,186,"PM
10",1,2018-01-31
Mandideep,Poor,202,"PM
10",1,2018-02-01
Mandideep,Moderate,194,"PM
10",1,2018-02-02
Mandideep,Poor,236,"PM
10",1,2018-02-03
Mandideep,Moderate,130,"PM
10",1,2018-02-04
Mandideep,Moderate,181,"PM
2.5",1,2018-02-05
Mandideep,Moderate,151,"PM
10",1,2018-02-06
Mandideep,Moderate,153,"PM
2.5",1,2018-02-07
Mandideep,Moderate,194,"PM
2.5",1,2018-02-08
Mandideep,Moderate,173,"PM
10",1,2018-02-09
Mandideep,Moderate,161,"PM
10",1,2018-02-10
Mandideep,Moderate,158,"PM
10",1,2018-02-11
Mandideep,Moderate,111,"PM
10",1,2018-02-12
Mandideep,Moderate,158,"PM
2.5",1,2018-02-13
Mandideep,Moderate,101,"PM
2.5",1,2018-02-14
Mandideep,Moderate,141,"PM
10",1,2018-02-15
Mandideep,Moderate,143,"PM
10",1,2018-02-16
Mandideep,Moderate,173,"PM
10",1,2018-02-17
Mandideep,Moderate,183,"PM
10",1,2018-02-18
Mandideep,Moderate,170,"PM
10",1,2018-02-19
Mandideep,Moderate,185,"PM
10",1,2018-02-20
Mandideep,Moderate,193,"PM
10",1,2018-02-21
Mandideep,Poor,228,"PM
10",1,2018-02-22
Mandideep,Moderate,174,"PM
10",1,2018-02-23
Mandideep,Poor,248,"PM
10",1,2018-02-24
Mandideep,Moderate,199,"PM
10",1,2018-02-25
Mandideep,Moderate,117,"PM
10",1,2018-02-26
Mandideep,Moderate,136,"PM
10",1,2018-02-27
Mandideep,Moderate,191,"PM
10",1,2018-02-28
Mandideep,Poor,214,"PM
10",1,2018-03-01
Mandideep,Poor,202,"PM
10",1,2018-03-02
Mandideep,Moderate,136,"PM
10",1,2018-03-03
Mandideep,Moderate,123,"PM
10",1,2018-03-04
Mandideep,Moderate,172,"PM
10",1,2018-03-05
Mandideep,Moderate,117,"PM
10",1,2018-03-06
Mandideep,Moderate,122,"PM
10",1,2018-03-07
Mandideep,Moderate,112,"PM
10",1,2018-03-08
Mandideep,Moderate,131,"PM
10",1,2018-03-09
Mandideep,Moderate,178,"PM
10",1,2018-03-11
Mandideep,Poor,202,"PM
10",1,2018-03-12
Mandideep,Poor,221,"PM
10",1,2018-03-13
Mandideep,Poor,211,"PM
10",1,2018-03-14
Mandideep,Very Poor,356,"PM
2.5",1,2018-03-15
Mandideep,Moderate,190,"PM
10",1,2018-03-16
Mandideep,Moderate,198,"PM
10",1,2018-03-17
Mandideep,Moderate,143,"PM
10",1,2018-03-18
Mandideep,Moderate,179,"PM
10",1,2018-03-19
Mandideep,Moderate,148,"PM
10",1,2018-03-20
Mandideep,Moderate,190,"PM
10",1,2018-03-21
Mandideep,Moderate,198,"PM
10",1,2018-03-22
Mandideep,Moderate,169,"PM
10",1,2018-03-23
Mandideep,Moderate,128,"PM
10",1,2018-03-24
Mandideep,Moderate,136,"PM
10",1,2018-03-25
Mandideep,Moderate,194,"PM
10",1,2018-03-29
Mandideep,Poor,285,"PM
10",1,2018-03-30
Mandideep,Poor,217,"PM
10",1,2018-03-31
Mandideep,Poor,200,"PM
10",1,2018-04-01
Mandideep,Moderate,173,"PM
10",1,2018-04-02
Mandideep,Moderate,199,"PM
10",1,2018-04-03
Mandideep,Poor,239,"PM
10",1,2018-04-04
Mandideep,Poor,221,"PM
10",1,2018-04-05
Mandideep,Poor,245,"PM
10",1,2018-04-06
Mandideep,Very Poor,361,"PM
10",1,2018-04-07
Mandideep,Moderate,195,"PM
10",1,2018-04-08
Mandideep,Moderate,166,"PM
10",1,2018-04-09
Mandideep,Moderate,166,"PM
10",1,2018-04-10
Mandideep,Moderate,145,"PM
10",1,2018-04-11
Mandideep,Moderate,171,"PM
10",1,2018-04-12
Mandideep,Moderate,170,"PM
10",1,2018-04-13
Mandideep,Moderate,199,"PM
10",1,2018-04-14
Mandideep,Moderate,164,"PM
10",1,2018-04-15
Mandideep,Poor,203,"PM
10",1,2018-04-16
Mandideep,Moderate,194,"PM
10",1,2018-04-17
Mandideep,Moderate,188,"PM
10",1,2018-04-18
Mandideep,Poor,218,"PM
10",1,2018-04-19
Mandideep,Poor,274,"PM
10",1,2018-04-20
Mandideep,Poor,230,"PM
10",1,2018-04-21
Mandideep,Poor,293,"PM
10",1,2018-04-22
Mandideep,Poor,215,"PM
10",1,2018-04-23
Mandideep,Moderate,182,"PM
10",1,2018-04-24
Mandideep,Moderate,192,"PM
10",1,2018-04-25
Mandideep,Moderate,178,"PM
10",1,2018-04-26
Mandideep,Moderate,150,"PM
10",1,2018-04-27
Mandideep,Moderate,197,"PM
10",1,2018-04-28
Mandideep,Poor,266,"PM
10",1,2018-04-29
Mandideep,Poor,212,"PM
10",1,2018-04-30
Mandideep,Poor,233,"PM
10",1,2018-05-01
Mandideep,Poor,201,"PM
10",1,2018-05-02
Mandideep,Poor,216,"PM
10",1,2018-05-03
Mandideep,Poor,252,"PM
10",1,2018-05-04
Mandideep,Poor,294,"PM
10",1,2018-05-05
Mandideep,Moderate,192,"PM
10",1,2018-05-06
Mandideep,Moderate,191,"PM
10",1,2018-05-07
Mandideep,Poor,244,"PM
10",1,2018-05-08
Mandideep,Moderate,181,"PM
10",1,2018-05-09
Mandideep,Moderate,179,"PM
10",1,2018-05-10
Mandideep,Poor,205,"PM
10",1,2018-05-11
Mandideep,Moderate,182,"PM
10",1,2018-05-12
Mandideep,Moderate,157,"PM
10",1,2018-05-13
Mandideep,Moderate,141,"PM
10",1,2018-05-14
Mandideep,Poor,236,"PM
10",1,2018-05-15
Mandideep,Poor,230,"PM
10",1,2018-05-16
Mandideep,Poor,206,"PM
10",1,2018-05-17
Mandideep,Poor,272,"PM
10",1,2018-05-18
Mandideep,Poor,273,"PM
10",1,2018-05-19
Mandideep,Poor,234,"PM
10",1,2018-05-20
Mandideep,Poor,202,"PM
10",1,2018-05-21
Mandideep,Moderate,195,"PM
10",1,2018-05-22
Mandideep,Moderate,189,"PM
10",1,2018-05-23
Mandideep,Poor,261,"PM
10",1,2018-05-24
Mandideep,Poor,260,"PM
10",1,2018-05-25
Mandideep,Moderate,172,"PM
10",1,2018-05-26
Mandideep,Moderate,178,"PM
10",1,2018-05-27
Mandideep,Moderate,181,"PM
10",1,2018-05-28
Mandideep,Poor,243,"PM
10",1,2018-05-29
Mandideep,Poor,210,"PM
10",1,2018-05-30
Mandideep,Poor,211,"PM
10",1,2018-05-31
Mandideep,Poor,234,"PM
10",1,2018-06-01
Mandideep,Moderate,180,"PM
10",1,2018-06-02
Mandideep,Poor,225,"PM
10",1,2018-06-03
Mandideep,Poor,234,"PM
10",1,2018-06-04
Mandideep,Poor,269,"PM
10",1,2018-06-05
Mandideep,Moderate,137,"PM
10",1,2018-06-06
Mandideep,Moderate,144,"PM
10",1,2018-06-07
Mandideep,Poor,210,"PM
10",1,2018-06-08
Mandideep,Moderate,143,"PM
10",1,2018-06-09
Mandideep,Satisfactory,67,"PM
10",1,2018-06-10
Mandideep,Moderate,117,"PM
10",1,2018-06-11
Mandideep,Moderate,167,"PM
10",1,2018-06-12
Mandideep,Poor,254,"PM
10",1,2018-06-13
Mandideep,Poor,294,"PM
10",1,2018-06-14
Mandideep,Poor,266,"PM
10",1,2018-06-15
Mandideep,Moderate,164,"PM
10",1,2018-06-16
Mandideep,Moderate,119,"PM
10",1,2018-06-17
Mandideep,Moderate,121,"PM
10",1,2018-06-18
Mandideep,Moderate,101,"PM
10",1,2018-06-19
Mandideep,Satisfactory,87,"PM
10",1,2018-06-20
Mandideep,Moderate,125,"PM
10",1,2018-06-21
Mandideep,Satisfactory,94,"PM
10",1,2018-06-22
Mandideep,Satisfactory,84,"PM
10",1,2018-06-23
Mandideep,Satisfactory,66,"PM
10",1,2018-06-24
Mandideep,Satisfactory,64,"PM
10",1,2018-06-25
Mandideep,Satisfactory,57,CO,1,2018-06-26
Mandideep,Satisfactory,68,"PM
10",1,2018-06-27
Mandideep,Satisfactory,58,"PM
10",1,2018-06-29
Mandideep,Moderate,107,"PM
10",1,2018-06-30
Mandideep,Moderate,112,"PM
10",1,2018-07-01
Mandideep,Moderate,115,"PM
10",1,2018-07-02
Mandideep,Moderate,156,"PM
10",1,2018-07-03
Mandideep,Satisfactory,65,"PM
10",1,2018-07-04
Mandideep,Good,35,"PM
10",1,2018-07-05
Mandideep,Satisfactory,90,"PM
10",1,2018-07-06
Mandideep,Satisfactory,75,"PM
2.5",1,2018-07-07
Mandideep,Satisfactory,76,"PM
10",1,2018-07-08
Mandideep,Moderate,100,"PM
10",1,2018-07-09
Mandideep,Satisfactory,59,"PM
10",1,2018-07-10
Mandideep,Satisfactory,63,OZONE,1,2018-07-11
Mandideep,Good,49,"PM
10",1,2018-07-12
Mandideep,Satisfactory,52,"PM
10",1,2018-07-13
Mandideep,Satisfactory,52,OZONE,1,2018-07-14
Mandideep,Satisfactory,64,OZONE,1,2018-07-15
Mandideep,Satisfactory,51,OZONE,1,2018-07-16
Mandideep,Good,41,CO,1,2018-07-17
Mandideep,Good,36,CO,1,2018-07-18
Mandideep,Good,44,CO,1,2018-07-19
Mandideep,Good,41,OZONE,1,2018-07-20
Mandideep,Good,33,"PM
10",1,2018-07-21
Mandideep,Good,40,OZONE,1,2018-07-22
Mandideep,Good,49,"PM
10",1,2018-07-23
Mandideep,Good,46,"PM
10",1,2018-07-24
Mandideep,Satisfactory,54,"PM
10",1,2018-07-25
Mandideep,Satisfactory,71,"PM
10",1,2018-07-26
Mandideep,Satisfactory,72,"PM
10",1,2018-07-27
Mandideep,Satisfactory,85,"PM
10",1,2018-07-28
Mandideep,Moderate,116,"PM
10",1,2018-07-29
Mandideep,Moderate,116,"PM
10",1,2018-07-30
Mandideep,Moderate,126,"PM
10",1,2018-07-31
Mandideep,Moderate,167,"PM
10",1,2018-08-01
Mandideep,Poor,228,"PM
10",1,2018-08-02
Mandideep,Moderate,184,"PM
10",1,2018-08-03
Mandideep,Moderate,121,"PM
10",1,2018-08-04
Mandideep,Moderate,129,"PM
10",1,2018-08-06
Mandideep,Moderate,133,"PM
10",1,2018-08-07
Mandideep,Satisfactory,85,"PM
10",1,2018-08-08
Mandideep,Good,47,"PM
10",1,2018-08-09
Mandideep,Satisfactory,55,"PM
10",1,2018-08-10
Mandideep,Satisfactory,51,"PM
10",1,2018-08-11
Mandideep,Satisfactory,56,"PM
10",1,2018-08-12
Mandideep,Satisfactory,51,"PM
10",1,2018-08-13
Mandideep,Satisfactory,64,"PM
10",1,2018-08-14
Mandideep,Moderate,103,"PM
10",1,2018-08-15
Mandideep,Satisfactory,53,OZONE,1,2018-08-16
Mandideep,Good,49,OZONE,1,2018-08-17
Mandideep,Good,33,"PM
10",1,2018-08-18
Mandideep,Good,43,"PM
10",1,2018-08-19
Mandideep,Good,42,OZONE,1,2018-08-20
Mandideep,Satisfactory,89,"PM
2.5",1,2018-08-21
Mandideep,Satisfactory,53,"PM
2.5",1,2018-08-22
Mandideep,Good,40,OZONE,1,2018-08-23
Mandideep,Good,36,OZONE,1,2018-08-24
Mandideep,Good,47,"PM
10",1,2018-08-25
Mandideep,Good,39,OZONE,1,2018-08-26
Mandideep,Good,49,"PM
10",1,2018-08-27
Mandideep,Satisfactory,84,"PM
10",1,2018-08-28
Mandideep,Satisfactory,51,"PM
10",1,2018-08-29
Mandideep,Good,44,"PM
10",1,2018-08-30
Mandideep,Satisfactory,71,"PM
10",1,2018-08-31
Mandideep,Good,39,"PM
10",1,2018-09-01
Mandideep,Good,40,OZONE,1,2018-09-02
Mandideep,Satisfactory,52,"PM
10",1,2018-09-03
Mandideep,Satisfactory,67,"PM
10",1,2018-09-04
Mandideep,Satisfactory,93,"PM
10",1,2018-09-05
Mandideep,Satisfactory,98,"PM
10",1,2018-09-06
Mandideep,Satisfactory,62,"PM
10",1,2018-09-07
Mandideep,Good,44,OZONE,1,2018-09-08
Mandideep,Satisfactory,54,"PM
10",1,2018-09-09
Mandideep,Satisfactory,68,"PM
10",1,2018-09-10
Mandideep,Moderate,106,"PM
10",1,2018-09-11
Mandideep,Moderate,105,"PM
10",1,2018-09-12
Mandideep,Satisfactory,98,"PM
10",1,2018-09-13
Mandideep,Satisfactory,70,"PM
10",1,2018-09-14
Mandideep,Satisfactory,90,"PM
10",1,2018-09-15
Mandideep,Moderate,119,"PM
10",1,2018-09-16
Mandideep,Moderate,113,"PM
10",1,2018-09-17
Mandideep,Moderate,114,"PM
10",1,2018-09-18
Mandideep,Moderate,133,"PM
10",1,2018-09-19
Mandideep,Moderate,142,"PM
10",1,2018-09-20
Mandideep,Moderate,113,"PM
10",1,2018-09-21
Mandideep,Good,35,"PM
10",1,2018-09-22
