City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Mandikhera,Poor,232,"PM
2.5",1,2019-02-05
Mandikhera,Poor,245,"PM
2.5",1,2019-02-06
Mandikhera,Moderate,132,"PM
2.5",1,2019-02-07
Mandikhera,Moderate,120,"PM
10",1,2019-02-08
Mandikhera,Satisfactory,80,"PM
10",1,2019-02-09
Mandikhera,Satisfactory,90,"PM
2.5",1,2019-02-10
Mandikhera,Moderate,157,"PM
2.5",1,2019-02-11
Mandikhera,Poor,206,"PM
2.5",1,2019-02-12
Mandikhera,Poor,265,"PM
2.5",1,2019-02-13
Mandikhera,Poor,262,"PM
2.5",1,2019-02-14
Mandikhera,Moderate,167,"PM
2.5",1,2019-02-15
Mandikhera,Moderate,159,"PM
2.5",1,2019-02-16
Mandikhera,Satisfactory,97,"PM
2.5",1,2019-02-17
Mandikhera,Moderate,118,"PM
2.5",1,2019-02-18
Mandikhera,Moderate,114,"PM
10",1,2019-02-19
Mandikhera,Moderate,168,"PM
2.5",1,2019-02-20
Mandikhera,Moderate,121,"PM
2.5",1,2019-02-21
Mandikhera,Moderate,102,"PM
10",1,2019-02-22
Mandikhera,Satisfactory,57,"PM
10",1,2019-02-23
Mandikhera,Satisfactory,76,"PM
10",1,2019-02-24
Mandikhera,Moderate,138,"PM
2.5",1,2019-02-25
Mandikhera,Satisfactory,83,"PM
2.5",1,2019-02-26
Mandikhera,Satisfactory,62,"PM
10",1,2019-02-27
Mandikhera,Satisfactory,92,"PM
2.5",1,2019-02-28
Mandikhera,Satisfactory,84,"PM
2.5",1,2019-03-01
Mandikhera,Moderate,150,"PM
2.5",1,2019-03-02
Mandikhera,Satisfactory,87,"PM
2.5",1,2019-03-03
Mandikhera,Satisfactory,74,"PM
2.5",1,2019-03-04
Mandikhera,Satisfactory,65,"PM
2.5",1,2019-03-05
Mandikhera,Satisfactory,74,"PM
2.5",1,2019-03-06
Mandikhera,Satisfactory,96,"PM
2.5",1,2019-03-07
Mandikhera,Moderate,121,"PM
2.5",1,2019-03-08
Mandikhera,Satisfactory,81,"PM
10",1,2019-03-10
Mandikhera,Moderate,135,"PM
10",1,2019-03-11
Mandikhera,Moderate,103,"PM
10",1,2019-03-12
Mandikhera,Moderate,108,"PM
10",1,2019-03-13
Mandikhera,Poor,242,"PM
2.5",1,2019-03-14
Mandikhera,Satisfactory,69,"PM
10",1,2019-03-15
Mandikhera,Satisfactory,77,"PM
2.5",1,2019-03-16
