City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Mangaluru,Moderate,106,"PM
2.5",1,2022-11-18
Mangaluru,Satisfactory,91,"PM
2.5",1,2022-11-19
Mangaluru,Satisfactory,89,"PM
2.5",1,2022-11-20
Mangaluru,Satisfactory,98,"PM
2.5",1,2022-11-21
Mangaluru,Moderate,101,"PM
2.5",1,2022-11-22
Mangaluru,Satisfactory,96,"PM
2.5",1,2022-11-23
Mangaluru,Satisfactory,93,"PM
2.5",1,2022-11-24
Mangaluru,Satisfactory,61,"PM
10",1,2022-11-25
Mangaluru,Satisfactory,94,"PM
2.5",1,2022-11-26
Mangaluru,Satisfactory,84,"PM
2.5",1,2022-11-27
Mangaluru,Satisfactory,58,"NO
2",1,2022-11-28
Mangaluru,Satisfactory,73,"NO
2",1,2022-11-29
Mangaluru,Satisfactory,92,"PM
2.5",1,2022-11-30
Mangaluru,Moderate,123,"PM
2.5",1,2022-12-01
Mangaluru,Moderate,140,"PM
2.5",1,2022-12-02
Mangaluru,Satisfactory,89,"PM
2.5",1,2022-12-03
Mangaluru,Satisfactory,71,"PM
10",1,2022-12-04
Mangaluru,Satisfactory,83,"PM
2.5",1,2022-12-05
Mangaluru,Moderate,109,"PM
2.5",1,2022-12-06
Mangaluru,Moderate,137,"PM
2.5",1,2022-12-07
Mangaluru,Moderate,109,"PM
10",1,2022-12-08
Mangaluru,Satisfactory,89,"PM
10",1,2022-12-09
Mangaluru,Satisfactory,93,"PM
10",1,2022-12-10
Mangaluru,Satisfactory,78,"PM
10",1,2022-12-11
Mangaluru,Satisfactory,75,"PM
10",1,2022-12-12
Mangaluru,Satisfactory,59,"PM
10",1,2022-12-13
Mangaluru,Good,45,"PM
10",1,2022-12-14
Mangaluru,Satisfactory,56,"PM
10",1,2022-12-15
Mangaluru,Satisfactory,76,"PM
10",1,2022-12-16
Mangaluru,Satisfactory,73,"PM
10",1,2022-12-17
Mangaluru,Satisfactory,79,"PM
10",1,2022-12-18
Mangaluru,Moderate,108,"PM
2.5",1,2022-12-19
Mangaluru,Moderate,148,"PM
2.5",1,2022-12-20
Mangaluru,Moderate,125,"PM
2.5",1,2022-12-21
Mangaluru,Satisfactory,98,"PM
2.5",1,2022-12-22
Mangaluru,Satisfactory,89,"PM
10",1,2022-12-23
Mangaluru,Moderate,107,"PM
10",1,2022-12-24
Mangaluru,Moderate,108,"PM
10",1,2022-12-25
Mangaluru,Satisfactory,89,"PM
10",1,2022-12-26
Mangaluru,Satisfactory,56,"PM
10",1,2022-12-27
Mangaluru,Good,50,"PM
10",1,2022-12-28
Mangaluru,Satisfactory,62,"PM
10",1,2022-12-29
Mangaluru,Satisfactory,72,"PM
10",1,2022-12-30
Mangaluru,Satisfactory,79,"PM
10",1,2022-12-31
Mangaluru,Satisfactory,67,"PM
10",1,2023-01-01
Mangaluru,Satisfactory,73,"PM
10",1,2023-01-02
Mangaluru,Satisfactory,95,"PM
10",1,2023-01-03
Mangaluru,Satisfactory,90,"PM
10",1,2023-01-04
Mangaluru,Satisfactory,97,"PM
10",1,2023-01-05
Mangaluru,Satisfactory,97,"PM
10",1,2023-01-06
Mangaluru,Moderate,107,"PM
2.5",1,2023-01-07
Mangaluru,Moderate,130,"PM
2.5",1,2023-01-08
Mangaluru,Moderate,129,"PM
2.5",1,2023-01-09
Mangaluru,Moderate,109,"PM
10",1,2023-01-10
Mangaluru,Moderate,125,"PM
2.5",1,2023-01-11
Mangaluru,Moderate,140,"PM
2.5",1,2023-01-12
Mangaluru,Moderate,136,"PM
2.5",1,2023-01-13
Mangaluru,Moderate,112,"PM
10",1,2023-01-14
Mangaluru,Satisfactory,90,"PM
2.5",1,2023-01-15
Mangaluru,Satisfactory,95,"PM
2.5",1,2023-01-16
Mangaluru,Moderate,114,"PM
10",1,2023-01-17
Mangaluru,Moderate,117,"PM
10",1,2023-01-18
Mangaluru,Moderate,101,"PM
10",1,2023-01-19
Mangaluru,Moderate,102,"PM
10",1,2023-01-20
Mangaluru,Moderate,113,"PM
10",1,2023-01-21
Mangaluru,Moderate,107,"PM
10",1,2023-01-22
Mangaluru,Moderate,104,"PM
10",1,2023-01-23
Mangaluru,Moderate,111,"PM
10",1,2023-01-24
Mangaluru,Moderate,104,"PM
10",1,2023-01-25
Mangaluru,Moderate,118,"PM
10",1,2023-01-26
Mangaluru,Moderate,123,"PM
10",1,2023-01-27
Mangaluru,Moderate,130,"PM
10",1,2023-01-28
Mangaluru,Moderate,125,"PM
10",1,2023-01-29
Mangaluru,Moderate,114,"PM
10",1,2023-01-30
Mangaluru,Moderate,116,"PM
10",1,2023-01-31
Mangaluru,Moderate,112,"PM
10",1,2023-02-01
