City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Manglore,Good,41,"PM
2.5",1,2021-01-04
Manglore,Good,49,"PM
2.5",1,2021-01-05
Manglore,Good,38,"PM
10",1,2021-01-06
Manglore,Good,21,"O
3",1,2021-01-07
Manglore,Good,17,"PM
2.5",1,2021-01-08
Manglore,Good,31,"PM
10",1,2021-01-09
Manglore,Good,39,"PM
2.5",1,2021-01-10
Manglore,Satisfactory,55,"PM
2.5",1,2021-01-11
Manglore,Satisfactory,63,"PM
2.5",1,2021-01-12
Manglore,Satisfactory,74,"PM
2.5",1,2021-01-13
Manglore,Satisfactory,99,"PM
2.5",1,2021-01-14
Manglore,Satisfactory,69,"PM
2.5",1,2021-01-15
Manglore,Satisfactory,65,"PM
2.5",1,2021-01-16
Manglore,Good,48,"PM
2.5",1,2021-01-17
Manglore,Satisfactory,58,"PM
2.5",1,2021-01-18
Manglore,Satisfactory,75,"PM
2.5",1,2021-01-19
Manglore,Satisfactory,83,"PM
2.5",1,2021-01-20
Manglore,Satisfactory,93,"PM
2.5",1,2021-01-21
Manglore,Satisfactory,81,"PM
2.5",1,2021-01-22
Manglore,Satisfactory,87,"PM
2.5",1,2021-01-23
Manglore,Moderate,102,"PM
2.5",1,2021-01-24
Manglore,Satisfactory,97,"PM
2.5",1,2021-01-25
Manglore,Moderate,113,"PM
2.5",1,2021-01-26
Manglore,Satisfactory,90,"PM
2.5",1,2021-01-27
Manglore,Satisfactory,84,"PM
2.5",1,2021-01-28
Manglore,Satisfactory,94,"PM
2.5",1,2021-01-29
Manglore,Moderate,108,"PM
2.5",1,2021-01-30
Manglore,Moderate,126,"PM
2.5",1,2021-01-31
Manglore,Moderate,111,"PM
2.5",1,2021-02-01
Manglore,Satisfactory,86,"PM
10",1,2021-02-02
Manglore,Satisfactory,82,"PM
2.5",1,2021-02-03
Manglore,Satisfactory,89,"PM
2.5",1,2021-02-04
Manglore,Moderate,119,"PM
2.5",1,2021-02-05
Manglore,Satisfactory,93,"PM
2.5",1,2021-02-06
Manglore,Satisfactory,85,"PM
2.5",1,2021-02-07
Manglore,Satisfactory,86,"PM
10",1,2021-02-08
Manglore,Moderate,104,"PM
2.5",1,2021-02-09
Manglore,Moderate,101,"PM
2.5",1,2021-02-10
Manglore,Moderate,110,"PM
2.5",1,2021-02-11
Manglore,Moderate,101,"PM
2.5",1,2021-02-12
Manglore,Satisfactory,94,"PM
2.5",1,2021-02-13
Manglore,Moderate,110,"PM
2.5",1,2021-02-14
