City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Manguraha,Satisfactory,70,"PM
2.5",1,2022-01-02
Manguraha,Moderate,104,CO,1,2022-02-14
Manguraha,Satisfactory,96,"PM
2.5",1,2022-02-15
Manguraha,Moderate,118,"PM
2.5",1,2022-02-19
Manguraha,Moderate,101,"NO
2",1,2022-02-21
Manguraha,Satisfactory,91,"O
3",1,2022-02-22
Manguraha,Satisfactory,90,"O
3",1,2022-02-23
Manguraha,Moderate,103,"O
3",1,2022-02-24
Manguraha,Satisfactory,93,"O
3",1,2022-02-25
Manguraha,Satisfactory,93,"O
3",1,2022-02-26
Manguraha,Satisfactory,64,"PM
2.5",1,2022-02-28
Manguraha,Satisfactory,77,"PM
10",1,2022-03-01
Manguraha,Moderate,155,"O
3",1,2022-03-03
Manguraha,Satisfactory,78,"PM
10",1,2022-03-04
Manguraha,Satisfactory,85,"PM
10",1,2022-03-05
Manguraha,Satisfactory,96,"O
3",1,2022-03-07
Manguraha,Satisfactory,86,"PM
10",1,2022-03-08
Manguraha,Satisfactory,83,"PM
10",1,2022-03-09
Manguraha,Satisfactory,97,"PM
10",1,2022-03-10
Manguraha,Moderate,101,"O
3",1,2022-03-11
Manguraha,Moderate,104,"PM
10",1,2022-03-12
Manguraha,Moderate,110,"PM
2.5",1,2022-03-13
Manguraha,Satisfactory,86,"PM
10",1,2022-03-14
Manguraha,Moderate,108,"O
3",1,2022-03-15
Manguraha,Moderate,118,"PM
10",1,2022-03-16
Manguraha,Moderate,121,"PM
10",1,2022-03-17
Manguraha,Moderate,156,"O
3",1,2022-03-18
Manguraha,Moderate,116,"PM
10",1,2022-03-19
Manguraha,Moderate,108,"O
3",1,2022-03-20
Manguraha,Moderate,112,"PM
10",1,2022-03-23
Manguraha,Moderate,118,"PM
10",1,2022-03-24
Manguraha,Moderate,115,"PM
10",1,2022-03-25
Manguraha,Moderate,151,"PM
10",1,2022-03-26
Manguraha,Moderate,159,"PM
10",1,2022-03-28
Manguraha,Moderate,168,"PM
2.5",1,2022-03-29
Manguraha,Moderate,154,CO,1,2022-03-30
Manguraha,Moderate,159,"PM
2.5",1,2022-03-31
Manguraha,Poor,212,"PM
10",1,2022-04-05
Manguraha,Satisfactory,91,"O
3",1,2022-04-06
Manguraha,Moderate,125,CO,1,2022-04-08
