City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Meerut,Satisfactory,87,"PM
10",1,2019-07-03
Meerut,Satisfactory,69,OZONE,1,2019-07-04
Meerut,Satisfactory,91,"PM
10",1,2019-07-05
Meerut,Satisfactory,80,OZONE,1,2019-07-06
Meerut,Satisfactory,85,OZONE,1,2019-07-07
Meerut,Satisfactory,80,OZONE,1,2019-07-08
Meerut,Satisfactory,77,OZONE,1,2019-07-09
Meerut,Moderate,106,OZONE,1,2019-07-10
Meerut,Poor,209,"PM
10",1,2019-07-11
Meerut,Satisfactory,94,"PM
10",1,2019-07-12
Meerut,Poor,251,"PM
10",1,2019-07-13
Meerut,Moderate,108,"PM
10",1,2019-10-08
Meerut,Moderate,165,"PM
2.5",1,2019-10-09
Meerut,Poor,220,"PM
2.5",1,2019-10-10
Meerut,Poor,253,"PM
2.5",1,2019-10-11
Meerut,Poor,269,"PM
2.5",1,2019-10-12
Meerut,Poor,202,"PM
2.5",1,2019-10-13
Meerut,Moderate,189,"PM
2.5",1,2019-10-14
Meerut,Very Poor,324,"PM
2.5",3,2019-10-15
Meerut,Very Poor,314,"PM
2.5",2,2019-10-16
Meerut,Poor,269,"PM
2.5",2,2019-10-17
Meerut,Poor,243,"PM
2.5",2,2019-10-18
Meerut,Moderate,179,"PM
2.5",3,2019-10-19
Meerut,Poor,249,"PM , PM
2.5 10",3,2019-10-20
Meerut,Poor,255,"PM , PM
2.5 10",3,2019-10-21
Meerut,Poor,238,"PM
2.5",3,2019-10-22
Meerut,Poor,280,"PM
2.5",3,2019-10-23
Meerut,Poor,293,"PM
2.5",3,2019-10-24
Meerut,Poor,287,"PM
2.5",3,2019-10-25
Meerut,Poor,292,"PM
2.5",2,2019-10-26
Meerut,Very Poor,326,"PM
2.5",3,2019-10-27
Meerut,Very Poor,352,"PM
2.5",3,2019-10-28
Meerut,Very Poor,379,"PM
2.5",3,2019-10-29
Meerut,Severe,430,"PM
2.5",3,2019-10-30
Meerut,Severe,459,"PM
2.5",3,2019-10-31
Meerut,Severe,410,"PM
2.5",3,2019-11-01
Meerut,Very Poor,371,"PM
2.5",3,2019-11-02
Meerut,Severe,445,"PM
2.5",3,2019-11-03
Meerut,Severe,424,"PM
2.5",3,2019-11-04
Meerut,Very Poor,324,"PM
2.5",3,2019-11-05
Meerut,Very Poor,325,"PM
2.5",3,2019-11-06
Meerut,Poor,250,"PM , PM
2.5 10",3,2019-11-07
Meerut,Moderate,193,"PM
2.5",3,2019-11-08
Meerut,Poor,223,"PM
2.5",3,2019-11-09
Meerut,Very Poor,322,"PM
2.5",2,2019-11-10
Meerut,Poor,288,"PM , PM
10 2.5",3,2019-11-11
Meerut,Poor,269,"PM
2.5",3,2019-11-12
Meerut,Poor,297,"PM
2.5",3,2019-11-13
Meerut,Very Poor,321,"PM
2.5",3,2019-11-14
Meerut,Very Poor,304,"PM
2.5",3,2019-11-15
Meerut,Moderate,192,"PM
2.5",3,2019-11-16
Meerut,Moderate,157,"PM , PM
2.5 10",3,2019-11-17
Meerut,Poor,257,"PM
2.5",3,2019-11-18
Meerut,Poor,294,"PM
2.5",3,2019-11-19
Meerut,Very Poor,313,"PM
2.5",3,2019-11-20
Meerut,Very Poor,348,"PM
2.5",3,2019-11-21
Meerut,Very Poor,315,"PM
2.5",3,2019-11-22
Meerut,Poor,296,"PM
2.5",3,2019-11-23
Meerut,Moderate,194,"PM
2.5",3,2019-11-24
Meerut,Moderate,186,"PM
2.5",3,2019-11-25
Meerut,Poor,248,"PM
2.5",3,2019-11-26
Meerut,Moderate,127,"PM , PM
2.5 10",3,2019-11-27
Meerut,Satisfactory,87,"PM , PM
2.5 10",2,2019-11-28
Meerut,Satisfactory,64,"PM , PM
2.5 10",3,2019-11-29
Meerut,Moderate,190,"PM
2.5",2,2019-11-30
Meerut,Moderate,193,"PM
2.5",3,2019-12-01
Meerut,Poor,252,"PM , PM
2.5 10",3,2019-12-02
Meerut,Poor,289,"PM
2.5",3,2019-12-03
Meerut,Very Poor,330,"PM , PM
2.5 10",3,2019-12-04
Meerut,Very Poor,359,"PM
2.5",3,2019-12-05
Meerut,Very Poor,302,"PM
2.5",3,2019-12-06
Meerut,Poor,263,"PM
2.5",3,2019-12-07
Meerut,Poor,287,"PM
2.5",3,2019-12-08
Meerut,Poor,283,"PM
2.5",3,2019-12-09
Meerut,Very Poor,314,"PM
2.5",2,2019-12-10
Meerut,Very Poor,356,"PM
2.5",3,2019-12-11
Meerut,Very Poor,391,"PM , PM
2.5 10",3,2019-12-12
Meerut,Moderate,172,"PM
2.5",3,2019-12-13
Meerut,Good,36,"O , CO
3",2,2019-12-14
Meerut,Moderate,160,"PM
2.5",3,2019-12-15
Meerut,Moderate,155,"PM
2.5",3,2019-12-16
Meerut,Moderate,161,"PM
2.5",2,2019-12-17
Meerut,Poor,255,"PM
2.5",3,2019-12-18
Meerut,Poor,264,"PM
2.5",3,2019-12-19
Meerut,Very Poor,320,"PM
2.5",2,2019-12-20
Meerut,Very Poor,368,"PM , PM
2.5 10",2,2019-12-21
Meerut,Poor,239,"PM , PM
2.5 10",2,2019-12-22
Meerut,Poor,260,"PM
2.5",2,2019-12-23
Meerut,Poor,282,"PM
2.5",3,2019-12-24
Meerut,Poor,224,"PM
2.5",3,2019-12-25
Meerut,Poor,288,"PM
2.5",3,2019-12-26
Meerut,Very Poor,311,"PM
2.5",2,2019-12-27
Meerut,Poor,283,"PM , PM
2.5 10",3,2019-12-28
Meerut,Poor,266,"PM , PM
2.5 10",3,2019-12-29
Meerut,Very Poor,338,"PM
2.5",3,2019-12-30
Meerut,Poor,256,"PM
2.5",3,2019-12-31
Meerut,Very Poor,346,"PM , PM
2.5 10",3,2020-01-01
Meerut,Poor,275,"PM
2.5",2,2020-01-02
Meerut,Poor,220,"PM
2.5",2,2020-01-03
Meerut,Poor,282,"PM , PM
2.5 10",3,2020-01-04
Meerut,Poor,274,"PM
2.5",3,2020-01-05
Meerut,Poor,284,"PM
2.5",3,2020-01-06
Meerut,Moderate,120,"PM , PM
10 2.5",3,2020-01-07
Meerut,Moderate,107,"PM , PM
10 2.5",3,2020-01-08
Meerut,Moderate,125,"PM
2.5",2,2020-01-09
Meerut,Poor,219,"PM
2.5",3,2020-01-10
Meerut,Poor,283,"PM
2.5",3,2020-01-11
Meerut,Very Poor,357,"PM
2.5",3,2020-01-12
Meerut,Very Poor,366,"PM
2.5",1,2020-01-13
Meerut,Poor,292,"PM
2.5",1,2020-01-14
Meerut,Poor,204,"PM
2.5",2,2020-01-15
Meerut,Poor,232,"PM
2.5",2,2020-01-16
Meerut,Satisfactory,85,"PM , PM
2.5 10",3,2020-01-17
Meerut,Satisfactory,86,"PM , PM
2.5 10",3,2020-01-18
Meerut,Moderate,192,"PM , PM
2.5 10",3,2020-01-19
Meerut,Poor,218,"PM
2.5",3,2020-01-20
Meerut,Very Poor,309,"PM
2.5",3,2020-01-21
Meerut,Poor,262,"PM
2.5",3,2020-01-22
Meerut,Moderate,161,"PM , PM
2.5 10",3,2020-01-23
Meerut,Moderate,119,"PM , PM
2.5 10",3,2020-01-24
Meerut,Poor,260,"PM
2.5",3,2020-01-25
Meerut,Very Poor,339,"PM
2.5",3,2020-01-26
Meerut,Poor,296,"PM
2.5",3,2020-01-27
Meerut,Poor,244,"PM
2.5",3,2020-01-28
Meerut,Moderate,107,"PM , PM
2.5 10",3,2020-01-29
Meerut,Moderate,111,"PM
10",3,2020-01-30
Meerut,Moderate,137,"PM , PM
2.5 10",3,2020-01-31
Meerut,Moderate,184,"PM , PM
2.5 10",3,2020-02-01
Meerut,Poor,207,"PM
2.5",1,2020-02-02
Meerut,Poor,225,"PM
2.5",1,2020-02-03
Meerut,Poor,202,"PM , PM
2.5 10",2,2020-02-04
Meerut,Poor,220,"PM
2.5",2,2020-02-05
Meerut,Moderate,200,"PM , PM
2.5 10",3,2020-02-06
Meerut,Poor,252,"PM
2.5",3,2020-02-07
Meerut,Poor,231,"PM
2.5",3,2020-02-08
Meerut,Poor,271,"PM
2.5",3,2020-02-09
Meerut,Poor,276,"PM
2.5",3,2020-02-10
Meerut,Poor,289,"PM
2.5",3,2020-02-11
Meerut,Poor,291,"PM
2.5",3,2020-02-12
Meerut,Moderate,155,"PM , PM
10 2.5",3,2020-02-13
Meerut,Moderate,150,"PM
10",2,2020-02-14
Meerut,Moderate,133,"PM
10",2,2020-02-15
Meerut,Poor,263,"PM
2.5",2,2020-02-16
Meerut,Poor,251,"PM
2.5",3,2020-02-17
Meerut,Poor,221,"PM
2.5",3,2020-02-18
Meerut,Poor,286,"PM , PM
10 2.5",2,2020-02-19
Meerut,Poor,277,"PM
2.5",2,2020-02-20
Meerut,Moderate,129,"PM
2.5",1,2020-02-21
Meerut,Good,50,CO,2,2020-02-22
Meerut,Moderate,191,"PM
2.5",2,2020-02-23
Meerut,Satisfactory,84,"CO, PM
10",2,2020-02-24
Meerut,Poor,216,"PM
2.5",3,2020-02-25
Meerut,Poor,230,"PM
2.5",3,2020-02-26
Meerut,Poor,244,"PM
2.5",3,2020-02-27
Meerut,Poor,238,"PM
2.5",3,2020-02-28
Meerut,Poor,202,"PM
2.5",3,2020-02-29
Meerut,Good,50,CO,1,2020-03-01
Meerut,Moderate,151,"PM
2.5",1,2020-03-02
Meerut,Moderate,175,"PM
2.5",3,2020-03-03
Meerut,Poor,208,"PM
2.5",3,2020-03-04
Meerut,Satisfactory,66,"CO, PM
10",2,2020-03-05
Meerut,Satisfactory,54,CO,2,2020-03-06
Meerut,Satisfactory,64,"PM , O , CO
10 3",3,2020-03-07
Meerut,Satisfactory,95,"PM , PM
10 2.5",3,2020-03-08
Meerut,Satisfactory,90,"PM
10",2,2020-03-09
Meerut,Moderate,143,"PM
2.5",2,2020-03-10
Meerut,Moderate,116,"PM
10",2,2020-03-11
Meerut,Moderate,118,"PM
10",3,2020-03-12
Meerut,Moderate,131,"PM
10",3,2020-03-13
Meerut,Satisfactory,56,"O , CO
3",2,2020-03-14
Meerut,Satisfactory,83,"PM , CO
10",3,2020-03-15
Meerut,Satisfactory,94,"PM , PM
10 2.5",2,2020-03-16
Meerut,Moderate,129,"PM
10",3,2020-03-17
Meerut,Moderate,138,"PM , PM
2.5 10",3,2020-03-18
Meerut,Moderate,183,"PM
2.5",3,2020-03-19
Meerut,Poor,208,"PM
2.5",3,2020-03-20
Meerut,Poor,258,"PM
2.5",2,2020-03-21
Meerut,Moderate,172,"PM
2.5",2,2020-03-22
Meerut,Moderate,136,"PM
2.5",2,2020-03-23
Meerut,Moderate,171,"PM
2.5",2,2020-03-24
Meerut,Moderate,110,"PM
10",2,2020-03-25
Meerut,Moderate,104,CO,1,2020-03-26
Meerut,Satisfactory,75,"PM
10",1,2020-03-27
Meerut,Satisfactory,58,CO,1,2020-03-28
Meerut,Satisfactory,55,"PM
10",2,2020-03-29
Meerut,Satisfactory,95,"PM
10",2,2020-03-30
Meerut,Satisfactory,84,"PM
10",2,2020-03-31
Meerut,Satisfactory,84,"PM
10",2,2020-04-01
Meerut,Satisfactory,82,"CO, PM
10",2,2020-04-02
Meerut,Satisfactory,72,"PM
10",2,2020-04-03
Meerut,Satisfactory,90,"PM
10",2,2020-04-04
Meerut,Moderate,125,"PM
2.5",2,2020-04-05
Meerut,Moderate,164,"PM
2.5",2,2020-04-06
Meerut,Moderate,104,"PM
10",2,2020-04-07
Meerut,Moderate,106,"PM
10",2,2020-04-08
Meerut,Moderate,116,"PM , PM
2.5 10",2,2020-04-09
Meerut,Moderate,158,"PM
2.5",2,2020-04-10
Meerut,Moderate,170,"PM
2.5",1,2020-04-11
Meerut,Moderate,118,"PM
10",2,2020-04-12
Meerut,Moderate,149,"PM , PM
2.5 10",2,2020-04-13
Meerut,Moderate,188,"PM
2.5",2,2020-04-14
Meerut,Poor,236,"PM
10",2,2020-04-15
Meerut,Very Poor,306,"PM
10",2,2020-04-16
Meerut,Moderate,160,"PM
10",1,2020-04-17
Meerut,Satisfactory,91,"PM
10",1,2020-04-18
Meerut,Satisfactory,78,"PM
10",2,2020-04-19
Meerut,Moderate,186,"PM , PM
10 2.5",2,2020-04-20
Meerut,Moderate,102,"PM , CO
10",2,2020-04-21
Meerut,Moderate,142,"PM , PM
10 2.5",2,2020-04-22
Meerut,Moderate,142,"PM
10",2,2020-04-23
Meerut,Moderate,164,"PM
10",2,2020-04-24
Meerut,Poor,220,"PM
10",2,2020-04-25
Meerut,Moderate,180,"PM
10",1,2020-04-26
Meerut,Satisfactory,91,"PM
10",1,2020-04-27
Meerut,Satisfactory,100,"PM
10",2,2020-04-28
Meerut,Moderate,154,"PM
10",1,2020-04-29
Meerut,Moderate,169,"PM
2.5",1,2020-04-30
Meerut,Moderate,145,"PM
10",2,2020-05-01
Meerut,Moderate,118,"PM
10",2,2020-05-02
Meerut,Moderate,146,"PM
10",2,2020-05-03
Meerut,Satisfactory,68,"CO, PM
10",2,2020-05-04
Meerut,Moderate,129,"PM , PM
2.5 10",2,2020-05-05
Meerut,Moderate,114,"PM
10",2,2020-05-06
Meerut,Satisfactory,85,"PM , CO
10",2,2020-05-07
Meerut,Moderate,120,"PM
2.5",2,2020-05-08
Meerut,Moderate,162,"PM
2.5",2,2020-05-09
Meerut,Moderate,132,"PM
10",2,2020-05-10
Meerut,Satisfactory,80,CO,2,2020-05-11
Meerut,Satisfactory,85,"PM
10",2,2020-05-12
Meerut,Moderate,166,"PM
10",2,2020-05-13
Meerut,Poor,240,"PM
2.5",2,2020-05-14
Meerut,Moderate,128,"PM
10",2,2020-05-15
Meerut,Moderate,129,"PM
10",2,2020-05-16
Meerut,Moderate,152,"PM
2.5",1,2020-05-17
Meerut,Moderate,185,"PM
2.5",1,2020-05-18
Meerut,Moderate,153,"PM
10",2,2020-05-19
Meerut,Moderate,149,"PM
10",2,2020-05-20
Meerut,Moderate,179,"PM
10",2,2020-05-21
Meerut,Poor,259,"PM
10",2,2020-05-22
Meerut,Poor,220,"PM , PM
10 2.5",2,2020-05-23
Meerut,Poor,246,"PM , PM
2.5 10",2,2020-05-24
Meerut,Moderate,175,"PM , PM
2.5 10",2,2020-05-25
Meerut,Moderate,165,"PM , PM
2.5 10",2,2020-05-26
Meerut,Moderate,142,"PM
10",1,2020-05-27
Meerut,Moderate,165,"PM
10",2,2020-05-28
Meerut,Satisfactory,57,CO,1,2020-05-29
Meerut,Good,47,CO,1,2020-05-30
Meerut,Good,39,CO,2,2020-05-31
Meerut,Good,30,"PM
2.5",1,2020-06-01
Meerut,Satisfactory,98,"PM
10",2,2020-06-03
Meerut,Moderate,125,"PM
10",2,2020-06-04
Meerut,Satisfactory,73,"PM
10",2,2020-06-05
Meerut,Satisfactory,68,"PM
10",2,2020-06-06
Meerut,Moderate,101,"PM , PM
10 2.5",2,2020-06-07
Meerut,Satisfactory,96,"PM , PM
2.5 10",2,2020-06-08
Meerut,Moderate,117,"PM
10",2,2020-06-09
Meerut,Moderate,142,"PM
10",2,2020-06-10
Meerut,Moderate,166,"PM , O
10 3",3,2020-06-11
Meerut,Moderate,144,"O , PM
3 10",3,2020-06-12
Meerut,Moderate,157,"O , PM
3 10",3,2020-06-13
Meerut,Moderate,200,"O , PM
3 10",2,2020-06-14
Meerut,Moderate,132,"O , PM
3 10",3,2020-06-15
Meerut,Moderate,131,"O , PM
3 10",2,2020-06-16
Meerut,Moderate,129,"O , PM
3 10",2,2020-06-17
Meerut,Moderate,156,"O , PM
3 10",2,2020-06-18
Meerut,Satisfactory,97,"PM
10",1,2020-06-19
Meerut,Moderate,144,"O , PM
3 10",2,2020-06-20
Meerut,Moderate,118,"O , PM
3 10",3,2020-06-21
Meerut,Moderate,129,"O , PM
3 10",3,2020-06-22
Meerut,Satisfactory,66,"O , CO, PM
3 2.5",3,2020-06-23
Meerut,Satisfactory,68,"PM
10",3,2020-06-24
