City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Milupara,Satisfactory,58,"PM
2.5",1,2023-03-14
Milupara,Satisfactory,80,"PM
10",1,2023-03-16
Milupara,Satisfactory,52,"PM
2.5",1,2023-03-17
Milupara,Good,42,"PM
2.5",1,2023-03-18
Milupara,Satisfactory,66,"NO
2",1,2023-03-19
Milupara,Satisfactory,54,"NO
2",1,2023-03-21
Milupara,Good,44,"NO
2",1,2023-03-22
Milupara,Good,42,"O
3",1,2023-03-23
Milupara,Good,49,"O
3",1,2023-03-24
Milupara,Satisfactory,52,"PM
2.5",1,2023-03-25
Milupara,Satisfactory,52,"PM
10",1,2023-03-26
Milupara,Satisfactory,54,"PM
10",1,2023-03-27
Milupara,Good,45,"PM
10",1,2023-03-28
Milupara,Satisfactory,61,"PM
10",1,2023-03-30
Milupara,Good,32,"PM
10",1,2023-03-31
Milupara,Good,29,"O
3",1,2023-04-01
Milupara,Good,31,"NO
2",1,2023-04-02
Milupara,Good,47,"PM
10",1,2023-04-04
Milupara,Good,49,"PM
10",1,2023-04-05
Milupara,Good,40,"PM
10",1,2023-04-06
Milupara,Good,49,"PM
10",1,2023-04-07
Milupara,Satisfactory,71,"PM
10",1,2023-04-08
Milupara,Good,48,"PM
10",1,2023-04-09
Milupara,Satisfactory,53,"PM
10",1,2023-04-10
Milupara,Good,49,"PM
10",1,2023-04-11
Milupara,Satisfactory,61,"PM
10",1,2023-04-12
Milupara,Satisfactory,58,"PM
10",1,2023-04-13
Milupara,Satisfactory,81,"PM
10",1,2023-04-14
Milupara,Satisfactory,69,"PM
10",1,2023-04-15
Milupara,Satisfactory,64,"PM
10",1,2023-04-17
Milupara,Satisfactory,53,"PM
10",1,2023-04-18
Milupara,Satisfactory,57,"PM
10",1,2023-04-19
Milupara,Satisfactory,66,"PM
10",1,2023-04-20
Milupara,Good,37,"PM
10",1,2023-04-21
Milupara,Good,48,"PM
10",1,2023-04-22
Milupara,Satisfactory,52,"NO
2",1,2023-04-24
Milupara,Good,38,"O
3",1,2023-04-25
Milupara,Good,35,"O
3",1,2023-04-26
Milupara,Good,39,"NO
2",1,2023-04-27
Milupara,Satisfactory,58,"PM
10",1,2023-04-28
Milupara,Good,39,"NO
2",1,2023-04-29
Milupara,Good,31,"NO
2",1,2023-04-30
Milupara,Good,43,"NO
2",1,2023-05-01
Milupara,Good,29,"NO
2",1,2023-05-02
Milupara,Good,38,"NO
2",1,2023-05-05
Milupara,Good,35,"NO
2",1,2023-05-06
Milupara,Good,40,"PM
10",1,2023-05-07
Milupara,Good,50,"PM
10",1,2023-05-08
Milupara,Good,47,"PM
10",1,2023-05-09
Milupara,Satisfactory,66,"PM
10",1,2023-05-10
Milupara,Satisfactory,60,"PM
10",1,2023-05-12
Milupara,Satisfactory,64,"PM
10",1,2023-05-13
Milupara,Satisfactory,81,"PM
10",1,2023-05-14
Milupara,Satisfactory,78,"PM
10",1,2023-05-15
Milupara,Satisfactory,82,"PM
10",1,2023-05-16
Milupara,Satisfactory,95,"PM
10",1,2023-05-17
Milupara,Satisfactory,70,"PM
10",1,2023-05-18
Milupara,Satisfactory,71,"PM
10",1,2023-05-19
Milupara,Satisfactory,74,"PM
10",1,2023-05-20
Milupara,Satisfactory,85,"PM
10",1,2023-05-21
Milupara,Satisfactory,81,"PM
10",1,2023-05-22
Milupara,Satisfactory,71,"PM
10",1,2023-05-23
Milupara,Satisfactory,71,"PM
10",1,2023-05-24
Milupara,Good,45,"PM
10",1,2023-05-25
