City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Motihari,Good,49,"O
3",1,2021-07-18
Motihari,Satisfactory,68,"O
3",1,2021-07-19
Motihari,Good,46,"O
3",1,2021-07-20
Motihari,Good,49,"O
3",1,2021-07-21
Motihari,Good,45,"O
3",1,2021-07-22
Motihari,Good,45,"O
3",1,2021-07-23
Motihari,Good,37,"O
3",1,2021-07-24
Motihari,Satisfactory,58,"O
3",1,2021-07-25
Motihari,Satisfactory,58,"PM
2.5",1,2021-07-26
Motihari,Good,40,"O
3",1,2021-07-27
Motihari,Satisfactory,51,"O
3",1,2021-07-28
Motihari,Good,40,"O
3",1,2021-07-29
Motihari,Good,38,"O
3",1,2021-07-30
Motihari,Good,44,"O
3",1,2021-07-31
Motihari,Good,50,"O
3",1,2021-08-01
Motihari,Good,45,"O
3",1,2021-08-02
Motihari,Good,42,"O
3",1,2021-08-04
Motihari,Satisfactory,77,"PM
10",1,2021-08-09
Motihari,Good,44,"PM
10",1,2021-08-10
Motihari,Poor,267,"PM
2.5",1,2021-11-13
Motihari,Very Poor,334,"PM
2.5",1,2021-11-14
Motihari,Very Poor,327,"PM
2.5",1,2021-11-16
Motihari,Very Poor,309,"PM
2.5",1,2021-11-17
Motihari,Very Poor,314,"PM
2.5",1,2021-11-18
Motihari,Very Poor,342,"PM
2.5",1,2021-11-19
Motihari,Very Poor,345,"PM
2.5",1,2021-11-20
Motihari,Severe,428,"PM
2.5",1,2021-11-21
Motihari,Severe,426,"PM
2.5",1,2021-11-22
Motihari,Very Poor,352,"PM
2.5",1,2021-11-23
Motihari,Very Poor,386,"PM
2.5",1,2021-11-24
Motihari,Poor,300,"PM
2.5",1,2021-11-25
Motihari,Very Poor,383,"PM
2.5",1,2021-11-27
Motihari,Very Poor,339,"PM
2.5",1,2021-11-28
Motihari,Very Poor,398,"PM
2.5",1,2021-11-29
Motihari,Very Poor,376,"PM
2.5",1,2021-11-30
Motihari,Very Poor,318,"PM
2.5",1,2021-12-01
Motihari,Very Poor,337,"PM
2.5",1,2021-12-02
Motihari,Very Poor,332,"PM
2.5",1,2021-12-03
Motihari,Poor,225,"PM
2.5",1,2021-12-04
Motihari,Moderate,186,"PM
2.5",1,2021-12-05
Motihari,Moderate,185,"PM
2.5",1,2021-12-06
Motihari,Poor,247,"PM
2.5",1,2021-12-07
Motihari,Poor,235,"PM
2.5",1,2021-12-08
Motihari,Moderate,196,"PM
2.5",1,2021-12-09
Motihari,Poor,261,"PM
2.5",1,2021-12-10
Motihari,Poor,240,"PM
2.5",1,2021-12-11
Motihari,Poor,298,"PM
2.5",1,2021-12-12
Motihari,Poor,291,"PM
2.5",1,2021-12-13
Motihari,Very Poor,301,"PM
2.5",1,2021-12-14
Motihari,Very Poor,312,"PM
2.5",1,2021-12-15
Motihari,Very Poor,303,"PM
2.5",1,2021-12-17
Motihari,Very Poor,337,"PM
2.5",1,2021-12-21
Motihari,Very Poor,310,"PM
2.5",1,2021-12-22
Motihari,Very Poor,305,"PM
2.5",1,2021-12-23
Motihari,Poor,297,"PM
2.5",1,2021-12-24
Motihari,Poor,256,"PM
2.5",1,2021-12-25
Motihari,Poor,227,"PM
2.5",1,2021-12-26
Motihari,Poor,273,"PM
2.5",1,2021-12-27
Motihari,Poor,296,"PM
2.5",1,2021-12-28
Motihari,Moderate,165,"PM
2.5",1,2022-01-01
Motihari,Moderate,199,"PM
2.5",1,2022-01-02
Motihari,Poor,215,"PM
2.5",1,2022-01-03
Motihari,Poor,298,"PM
2.5",1,2022-01-04
Motihari,Poor,282,"PM
2.5",1,2022-01-05
Motihari,Very Poor,316,"PM
2.5",1,2022-01-06
Motihari,Poor,275,"PM
2.5",1,2022-01-07
Motihari,Moderate,135,"PM
2.5",1,2022-01-08
