City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Muzaffarpur,Moderate,158,"PM
10",1,2015-09-29
Muzaffarpur,Moderate,173,"PM
10",1,2015-09-30
Muzaffarpur,Moderate,166,"PM
10",1,2015-10-01
Muzaffarpur,Moderate,151,"PM
10",1,2015-10-02
Muzaffarpur,Moderate,145,"PM
10",1,2015-10-03
Muzaffarpur,Moderate,132,"PM
10",1,2015-10-04
Muzaffarpur,Moderate,140,"PM
10",1,2015-10-05
Muzaffarpur,Moderate,158,"PM
10",1,2015-10-06
Muzaffarpur,Poor,233,"PM
2.5",1#,2015-10-07
Muzaffarpur,Poor,207,"PM
2.5",1,2015-10-08
Muzaffarpur,Poor,214,"PM
2.5",1,2015-10-09
Muzaffarpur,Moderate,178,"PM
2.5",1,2015-10-10
Muzaffarpur,Moderate,194,"PM
2.5",1,2015-10-11
Muzaffarpur,Satisfactory,98,"PM
2.5",1,2015-10-12
Muzaffarpur,Moderate,126,"PM
2.5",1,2015-10-13
Muzaffarpur,Satisfactory,95,"PM
2.5",1,2015-10-14
Muzaffarpur,Satisfactory,55,CO,1,2015-10-15
Muzaffarpur,Moderate,143,"PM
2.5",1,2015-10-17
Muzaffarpur,Moderate,195,"PM
2.5",1,2015-10-18
Muzaffarpur,Moderate,189,"PM
2.5",1,2015-10-19
Muzaffarpur,Moderate,168,"PM
2.5",1,2015-11-02
Muzaffarpur,Poor,248,"PM
2.5",1,2015-11-03
Muzaffarpur,Poor,278,"PM
2.5",1,2015-11-04
Muzaffarpur,Very Poor,301,"PM
2.5",1,2015-11-05
Muzaffarpur,Very Poor,327,"PM
2.5",1,2015-11-06
Muzaffarpur,Very Poor,335,"PM
2.5",1,2015-11-07
Muzaffarpur,Very Poor,311,"PM
2.5",1,2015-11-08
Muzaffarpur,Poor,291,"PM
2.5",1,2015-11-09
Muzaffarpur,Very Poor,317,"PM
2.5",1,2015-11-10
Muzaffarpur,Very Poor,356,"PM
2.5",1,2015-11-11
Muzaffarpur,Severe,449,"PM
2.5",1,2015-11-12
Muzaffarpur,Very Poor,360,"PM
2.5",1,2015-11-13
Muzaffarpur,Very Poor,388,"PM
2.5",1,2015-11-14
Muzaffarpur,Very Poor,381,"PM
2.5",1,2015-11-15
Muzaffarpur,Very Poor,396,"PM
2.5",1,2015-11-16
Muzaffarpur,Severe,419,"PM
2.5",1#,2015-11-17
Muzaffarpur,Very Poor,360,"PM
2.5",1,2015-11-18
Muzaffarpur,Very Poor,304,"PM
2.5",1,2015-11-19
Muzaffarpur,Very Poor,390,"PM
2.5",1,2015-11-21
Muzaffarpur,Very Poor,393,"PM
2.5",1,2015-11-22
Muzaffarpur,Very Poor,394,"PM
2.5",1,2015-11-23
Muzaffarpur,Very Poor,385,"PM
2.5",1,2015-11-24
Muzaffarpur,Very Poor,378,"PM
2.5",1,2015-11-25
Muzaffarpur,Very Poor,391,"PM
2.5",1,2015-11-26
Muzaffarpur,Severe,427,"PM
2.5",1,2015-11-27
Muzaffarpur,Severe,418,"PM
2.5",1,2015-11-28
Muzaffarpur,Poor,224,"PM
2.5",1,2015-11-29
Muzaffarpur,Poor,276,"PM
2.5",1,2015-11-30
Muzaffarpur,Very Poor,338,"PM
2.5",1,2015-12-01
Muzaffarpur,Very Poor,358,"PM
2.5",1,2015-12-02
Muzaffarpur,Very Poor,318,"PM
2.5",1,2015-12-03
Muzaffarpur,Very Poor,322,"PM
2.5",1,2015-12-04
Muzaffarpur,Very Poor,371,"PM
2.5",1#,2015-12-05
Muzaffarpur,Very Poor,302,"PM
2.5",1,2015-12-07
Muzaffarpur,Very Poor,389,"PM
2.5",1#,2015-12-13
Muzaffarpur,Severe,406,"PM
2.5",1,2015-12-16
Muzaffarpur,Very Poor,397,"PM
2.5",1,2015-12-17
Muzaffarpur,Severe,425,"PM
2.5",1,2015-12-18
Muzaffarpur,Very Poor,399,"PM
2.5",1,2015-12-19
Muzaffarpur,Severe,428,"PM
2.5",1,2015-12-20
Muzaffarpur,Severe,431,"PM
2.5",1,2015-12-21
Muzaffarpur,Severe,439,"PM
2.5",1,2015-12-22
Muzaffarpur,Severe,439,"PM
2.5",1,2015-12-23
Muzaffarpur,Severe,435,"PM
2.5",1,2015-12-24
Muzaffarpur,Severe,418,"PM
2.5",1,2015-12-25
Muzaffarpur,Very Poor,355,"PM
2.5",1,2015-12-26
Muzaffarpur,Severe,406,"PM
2.5",1,2015-12-27
Muzaffarpur,Severe,443,"PM
2.5",1,2015-12-28
Muzaffarpur,Severe,452,"PM
2.5",1,2015-12-29
Muzaffarpur,Severe,474,"PM
2.5",1,2015-12-30
Muzaffarpur,Severe,465,"PM
2.5",1,2015-12-31
Muzaffarpur,Severe,469,"PM
2.5",1,2016-01-01
Muzaffarpur,Severe,439,"PM
2.5",1,2016-01-02
Muzaffarpur,Severe,421,"PM
2.5",1,2016-01-03
Muzaffarpur,Severe,412,"PM
2.5",1,2016-01-04
Muzaffarpur,Severe,422,"PM
2.5",1,2016-01-05
Muzaffarpur,Severe,445,"PM
2.5",1,2016-01-06
Muzaffarpur,Severe,437,"PM
2.5",1,2016-01-07
Muzaffarpur,Severe,459,"PM
2.5",1,2016-01-08
Muzaffarpur,Severe,414,"PM
2.5",1,2016-01-09
Muzaffarpur,Very Poor,306,"PM
2.5",1#,2016-01-10
Muzaffarpur,Severe,408,"PM
2.5",1,2016-01-11
Muzaffarpur,Severe,443,"PM
2.5",1,2016-01-12
Muzaffarpur,Severe,443,"PM
2.5",1,2016-01-13
Muzaffarpur,Severe,448,"PM
2.5",1,2016-01-14
Muzaffarpur,Severe,433,"PM
2.5",1,2016-01-15
Muzaffarpur,Very Poor,309,"PM
2.5",1,2016-01-16
Muzaffarpur,Very Poor,328,"PM
2.5",1#,2016-01-17
Muzaffarpur,Very Poor,329,"PM
2.5",1,2016-01-18
Muzaffarpur,Very Poor,362,"PM
2.5",1,2016-01-19
Muzaffarpur,Very Poor,376,"PM
2.5",1,2016-01-20
Muzaffarpur,Very Poor,340,"PM
2.5",1,2016-01-21
Muzaffarpur,Poor,300,"PM
2.5",1,2016-01-22
Muzaffarpur,Very Poor,340,"PM
2.5",1,2016-01-23
