City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Mysuru,Good,48,"PM
10",1,2019-07-29
Mysuru,Good,43,"PM
10",1,2019-07-30
Mysuru,Good,40,"PM
10",1,2019-07-31
Mysuru,Satisfactory,51,"PM
10",1,2019-08-01
Mysuru,Good,42,"PM
10",1,2019-08-02
Mysuru,Good,32,"PM
10",1,2019-08-03
Mysuru,Good,27,"PM
10",1,2019-08-04
Mysuru,Good,31,CO,1,2019-08-05
Mysuru,Good,30,CO,1,2019-08-06
Mysuru,Good,31,CO,1,2019-08-08
Mysuru,Good,42,CO,1,2019-08-09
Mysuru,Good,31,CO,1,2019-08-10
Mysuru,Good,28,"PM
10",1,2019-08-11
Mysuru,Good,43,"PM
10",1,2019-08-12
Mysuru,Good,42,"PM
10",1,2019-08-13
Mysuru,Good,38,"PM
10",1,2019-08-14
Mysuru,Good,49,"PM
10",1,2019-09-16
Mysuru,Good,47,"PM
10",1,2019-09-28
Mysuru,Good,48,"PM
10",1,2019-09-29
Mysuru,Satisfactory,84,"PM
10",1,2019-09-30
Mysuru,Satisfactory,59,"PM
10",1,2019-10-01
Mysuru,Good,40,"PM
10",1,2019-10-02
Mysuru,Satisfactory,68,"PM
10",1,2019-10-03
Mysuru,Satisfactory,58,"PM
10",1,2019-10-04
Mysuru,Satisfactory,64,"PM
10",1,2019-10-05
Mysuru,Good,47,"PM
10",1,2019-10-06
Mysuru,Satisfactory,57,"PM
10",1,2019-10-07
Mysuru,Satisfactory,58,OZONE,1,2019-10-09
Mysuru,Satisfactory,57,OZONE,1,2019-10-10
Mysuru,Satisfactory,59,"PM
10",1,2019-10-11
Mysuru,Satisfactory,55,"PM
10",1,2019-10-12
Mysuru,Satisfactory,56,"PM
10",1,2019-10-13
Mysuru,Good,40,OZONE,1,2019-10-14
Mysuru,Poor,217,OZONE,1,2019-10-15
Mysuru,Good,45,OZONE,1,2019-10-16
Mysuru,Good,40,"PM
10",1,2019-10-17
Mysuru,Good,38,"PM
10",1,2019-10-18
Mysuru,Good,38,"PM
10",1,2019-10-19
Mysuru,Satisfactory,54,"PM
10",1,2019-10-20
Mysuru,Good,46,CO,1,2019-10-21
Mysuru,Good,48,CO,1,2019-10-22
Mysuru,Good,31,CO,1,2019-10-23
Mysuru,Good,25,OZONE,1,2019-10-24
Mysuru,Good,23,OZONE,1,2019-10-25
Mysuru,Good,21,OZONE,1,2019-10-26
Mysuru,Good,31,"PM
10",1,2019-10-27
Mysuru,Good,50,"PM
10",1,2019-10-29
Mysuru,Good,36,"PM
10",1,2019-10-30
