City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Nagapattinam,Satisfactory,54,"PM
2.5",1/1,2024-10-18
Nagapattinam,Satisfactory,53,"PM
2.5",1/1,2024-10-19
Nagapattinam,Good,48,"PM
10",1/1,2024-10-20
Nagapattinam,Good,38,"PM
2.5",1/1,2024-10-21
Nagapattinam,Satisfactory,73,"PM
2.5",1/1,2024-10-22
Nagapattinam,Good,50,"PM
2.5",1/1,2024-10-23
Nagapattinam,Good,48,"PM
2.5",1/1,2024-10-25
Nagapattinam,Good,41,"PM
10",1/1,2024-10-26
Nagapattinam,Good,46,"O
3",1/1,2024-10-27
Nagapattinam,Good,46,"PM
2.5",1/1,2024-10-28
Nagapattinam,Good,49,"PM
2.5",1/1,2024-10-30
Nagapattinam,Satisfactory,78,"PM
2.5",1/1,2024-10-31
Nagapattinam,Good,29,"O
3",1/1,2024-11-04
Nagapattinam,Satisfactory,98,"PM
2.5",1/1,2024-11-06
Nagapattinam,Good,35,"O
3",1/1,2024-11-08
Nagapattinam,Good,33,"O
3",1/1,2024-11-09
Nagapattinam,Good,48,"PM
2.5",1/1,2024-11-10
Nagapattinam,Satisfactory,60,"PM
2.5",1/1,2024-11-11
Nagapattinam,Satisfactory,64,"PM
2.5",1/1,2024-11-12
Nagapattinam,Satisfactory,90,"PM
2.5",1/1,2024-11-19
Nagapattinam,Satisfactory,67,"PM
2.5",1/1,2024-11-20
Nagapattinam,Satisfactory,63,"PM
2.5",1/1,2024-11-21
Nagapattinam,Satisfactory,98,"PM
2.5",1/1,2024-11-22
Nagapattinam,Satisfactory,98,"PM
2.5",1/1,2024-11-23
Nagapattinam,Moderate,111,"PM
2.5",1/1,2024-11-29
Nagapattinam,Satisfactory,77,"PM
2.5",1/1,2024-11-30
Nagapattinam,Satisfactory,53,"PM
2.5",1/1,2024-12-01
Nagapattinam,Good,41,"PM
2.5",1/1,2024-12-04
Nagapattinam,Good,50,"PM
2.5",1/1,2024-12-06
Nagapattinam,Good,36,"PM
2.5",1/1,2024-12-08
Nagapattinam,Satisfactory,78,"PM
2.5",1/1,2024-12-09
