City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Nagaur,Moderate,107,"PM
10",1,2023-06-08
Nagaur,Satisfactory,93,"PM
10",1,2023-06-09
Nagaur,Moderate,107,"PM
10",1,2023-06-10
Nagaur,Poor,239,"PM
10",1,2023-06-11
Nagaur,Satisfactory,81,"PM
10",1,2023-06-12
Nagaur,Satisfactory,82,"PM
10",1,2023-06-13
Nagaur,Moderate,105,"PM
10",1,2023-06-14
Nagaur,Satisfactory,91,"PM
10",1,2023-06-15
Nagaur,Satisfactory,79,"PM
10",1,2023-06-16
Nagaur,Good,44,"PM
10",1,2023-06-17
Nagaur,Good,37,"O
3",1,2023-06-18
Nagaur,Satisfactory,62,"PM
10",1,2023-06-19
Nagaur,Moderate,106,"PM
10",1,2023-06-20
Nagaur,Moderate,109,"PM
10",1,2023-06-21
Nagaur,Moderate,106,"PM
10",1,2023-06-22
Nagaur,Moderate,108,"PM
10",1,2023-06-23
Nagaur,Moderate,107,"PM
10",1,2023-06-24
Nagaur,Satisfactory,90,"PM
10",1,2023-06-25
Nagaur,Satisfactory,68,"PM
10",1,2023-06-26
Nagaur,Good,43,"PM
10",1,2023-06-27
Nagaur,Satisfactory,54,"PM
10",1,2023-06-28
Nagaur,Satisfactory,65,"PM
10",1,2023-06-29
Nagaur,Satisfactory,54,"O
3",1,2023-06-30
Nagaur,Poor,289,"O
3",1,2023-07-01
Nagaur,Satisfactory,68,"O
3",1,2023-07-02
Nagaur,Satisfactory,59,"O
3",1,2023-07-03
Nagaur,Satisfactory,80,"PM
10",1,2023-07-04
Nagaur,Satisfactory,80,"PM
10",1,2023-07-05
Nagaur,Satisfactory,93,"O
3",1,2023-07-06
Nagaur,Satisfactory,96,"O
3",1,2023-07-07
Nagaur,Satisfactory,77,"O
3",1,2023-07-08
Nagaur,Moderate,101,"O
3",1,2023-07-09
Nagaur,Satisfactory,57,"O
3",1,2023-07-10
Nagaur,Satisfactory,71,"PM
10",1,2023-07-11
Nagaur,Moderate,107,"PM
10",1,2023-07-12
Nagaur,Satisfactory,84,"PM
10",1,2023-07-13
Nagaur,Satisfactory,90,"PM
10",1,2023-07-14
Nagaur,Moderate,114,"PM
10",1,2023-07-15
Nagaur,Moderate,110,"PM
10",1,2023-07-16
Nagaur,Moderate,116,"PM
10",1,2023-07-17
Nagaur,Moderate,117,"PM
10",1,2023-07-18
Nagaur,Satisfactory,92,"PM
10",1,2023-07-20
Nagaur,Satisfactory,92,"PM
10",1,2023-07-21
Nagaur,Satisfactory,66,"PM
10",1,2023-07-22
Nagaur,Satisfactory,79,"PM
10",1,2023-07-23
Nagaur,Satisfactory,64,"PM
10",1,2023-07-24
Nagaur,Satisfactory,61,"PM
10",1,2023-07-25
Nagaur,Satisfactory,56,"PM
10",1,2023-07-26
Nagaur,Satisfactory,52,"O
3",1,2023-07-27
Nagaur,Good,41,"PM
10",1,2023-07-28
Nagaur,Satisfactory,67,"O
3",1,2023-07-29
Nagaur,Good,41,"PM
10",1,2023-07-30
Nagaur,Satisfactory,69,"PM
10",1,2023-07-31
Nagaur,Satisfactory,85,"PM
10",1,2023-08-01
Nagaur,Satisfactory,91,"PM
10",1,2023-08-03
Nagaur,Satisfactory,87,"PM
10",1,2023-08-04
Nagaur,Moderate,104,"PM
10",1,2023-08-05
Nagaur,Satisfactory,90,"PM
10",1,2023-08-06
Nagaur,Satisfactory,82,"PM
10",1,2023-08-07
Nagaur,Satisfactory,73,"PM
10",1,2023-08-08
Nagaur,Satisfactory,99,"PM
10",1,2023-08-09
Nagaur,Moderate,111,"PM
10",1,2023-08-10
Nagaur,Moderate,117,"PM
10",1,2023-08-11
Nagaur,Moderate,112,"PM
10",1,2023-08-12
Nagaur,Satisfactory,98,"PM
10",1,2023-08-13
Nagaur,Moderate,105,"PM
10",1,2023-08-14
Nagaur,Moderate,126,"PM
10",1,2023-08-15
Nagaur,Moderate,142,"PM
10",1,2023-08-16
Nagaur,Moderate,139,"PM
10",1,2023-08-17
Nagaur,Moderate,150,"PM
10",1,2023-08-18
Nagaur,Moderate,142,"PM
10",1,2023-08-19
Nagaur,Satisfactory,68,"PM
10",1,2023-08-20
