City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Nagpur,Moderate,110,"PM
10",1,2016-04-05
Nagpur,Satisfactory,98,"PM
10",1#,2016-04-27
Nagpur,Moderate,103,"NO
2",1,2016-04-28
Nagpur,Satisfactory,82,"NO
2",1,2016-04-29
Nagpur,Satisfactory,99,"NO
2",1,2016-04-30
Nagpur,Satisfactory,90,"NO
2",1,2016-05-01
Nagpur,Moderate,105,"NO
2",1,2016-05-02
Nagpur,Satisfactory,72,"O
3",1,2016-05-04
Nagpur,Satisfactory,64,"O
3",1#,2016-05-05
Nagpur,Satisfactory,65,"O
3",1,2016-05-06
Nagpur,Satisfactory,73,"O
3",1,2016-05-07
Nagpur,Satisfactory,84,"O
3",1,2016-05-08
Nagpur,Moderate,166,"O
3",1,2016-05-09
Nagpur,Moderate,177,"O
3",1,2016-05-11
Nagpur,Moderate,181,"O
3",1#,2016-05-12
Nagpur,Moderate,162,"O
3",1,2016-05-13
Nagpur,Moderate,194,"O
3",1,2016-05-14
Nagpur,Moderate,183,"O
3",1,2016-05-15
Nagpur,Moderate,125,"O
3",1,2016-05-16
Nagpur,Poor,219,"O
3",1,2016-05-18
Nagpur,Moderate,186,"O
3",1,2016-05-19
Nagpur,Moderate,184,"O
3",1,2016-05-20
Nagpur,Satisfactory,96,"PM
10",1,2016-05-21
Nagpur,Satisfactory,90,"PM
10",1,2016-05-22
Nagpur,Satisfactory,75,"PM
10",1,2016-05-23
Nagpur,Satisfactory,77,"O
3",1,2016-05-24
Nagpur,Satisfactory,75,"O
3",1,2016-05-25
Nagpur,Satisfactory,77,"PM
10",1,2016-05-26
Nagpur,Satisfactory,77,"O
3",1,2016-05-27
Nagpur,Satisfactory,96,"O
3",1,2016-05-28
Nagpur,Satisfactory,99,"PM
10",1,2016-05-29
Nagpur,Satisfactory,82,"PM
10",1,2016-05-30
Nagpur,Moderate,122,"O
3",1,2016-06-01
Nagpur,Moderate,183,"O
3",1,2016-06-02
Nagpur,Moderate,168,"O
3",1,2016-06-03
