City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Naharlagun,Moderate,129,"PM
10",1,2021-03-27
Naharlagun,Moderate,131,"PM
10",1,2021-03-28
Naharlagun,Moderate,126,"PM
10",1,2021-03-29
Naharlagun,Moderate,119,"PM
10",1,2021-03-30
Naharlagun,Satisfactory,78,"PM
10",1,2021-03-31
Naharlagun,Satisfactory,68,"PM
10",1,2021-04-02
Naharlagun,Moderate,102,"PM
10",1,2021-04-07
Naharlagun,Satisfactory,88,"PM
10",1,2021-04-09
Naharlagun,Good,38,"PM
2.5",1,2021-04-14
Naharlagun,Satisfactory,76,"PM
10",1,2021-04-16
Naharlagun,Satisfactory,69,"PM
10",1,2021-04-17
Naharlagun,Satisfactory,63,"PM
10",1,2021-04-18
Naharlagun,Satisfactory,72,"PM
10",1,2021-04-19
Naharlagun,Satisfactory,86,"PM
10",1,2021-04-23
Naharlagun,Satisfactory,82,"PM
10",1,2021-04-24
Naharlagun,Satisfactory,82,"PM
10",1,2021-04-25
Naharlagun,Moderate,105,"PM
10",1,2021-04-26
Naharlagun,Satisfactory,51,"PM
10",1,2021-05-07
Naharlagun,Good,44,"PM
10",1,2021-05-08
Naharlagun,Satisfactory,53,"PM
10",1,2021-05-09
Naharlagun,Satisfactory,59,"PM
10",1,2021-05-10
Naharlagun,Good,26,"SO
2",1,2021-05-11
Naharlagun,Good,27,"SO
2",1,2021-05-12
Naharlagun,Good,28,"SO
2",1,2021-05-19
Naharlagun,Good,30,"O
3",1,2021-06-05
Naharlagun,Good,39,"PM
10",1,2021-06-10
Naharlagun,Good,46,"PM
10",1,2021-06-12
Naharlagun,Good,31,"SO
2",1,2021-06-15
Naharlagun,Good,31,"SO
2",1,2021-06-16
Naharlagun,Good,31,"SO
2",1,2021-06-18
Naharlagun,Good,40,"PM
10",1,2021-06-20
Naharlagun,Good,31,"SO
2",1,2021-06-21
Naharlagun,Good,35,"PM
10",1,2021-06-25
Naharlagun,Good,33,"SO
2",1,2021-06-30
Naharlagun,Good,33,"SO
2",1,2021-07-06
Naharlagun,Good,37,"PM
10",1,2021-07-09
Naharlagun,Good,42,"PM
10",1,2021-07-16
Naharlagun,Good,35,"SO
2",1,2021-07-23
Naharlagun,Good,36,"PM
10",1,2021-07-28
Naharlagun,Good,35,"SO
2",1,2021-07-29
Naharlagun,Good,39,"PM
10",1,2021-07-30
Naharlagun,Good,35,"SO
2",1,2021-07-31
Naharlagun,Good,36,"SO
2",1,2021-08-07
Naharlagun,Good,36,"SO
2",1,2021-08-08
Naharlagun,Good,36,"SO
2",1,2021-08-09
Naharlagun,Good,37,"SO
2",1,2021-08-11
Naharlagun,Good,37,"SO
2",1,2021-08-12
Naharlagun,Good,37,"SO
2",1,2021-08-13
Naharlagun,Good,37,"SO
2",1,2021-08-14
Naharlagun,Good,37,"SO
2",1,2021-08-18
Naharlagun,Good,37,"SO
2",1,2021-08-19
Naharlagun,Good,38,"SO
2",1,2021-08-20
Naharlagun,Good,38,"SO
2",1,2021-08-21
Naharlagun,Good,38,"SO
2",1,2021-08-24
Naharlagun,Good,39,"SO
2",1,2021-08-25
Naharlagun,Good,38,"SO
2",1,2021-08-27
Naharlagun,Good,38,"SO
2",1,2021-08-28
Naharlagun,Good,38,"SO
2",1,2021-08-29
Naharlagun,Good,39,"SO
2",1,2021-08-30
Naharlagun,Good,40,"SO
2",1,2021-09-03
Naharlagun,Good,40,"SO
2",1,2021-09-04
Naharlagun,Good,40,"SO
2",1,2021-09-08
Naharlagun,Good,38,"SO
2",1,2021-09-09
Naharlagun,Good,41,"SO
2",1,2021-09-10
Naharlagun,Good,45,"PM
10",1,2021-09-11
Naharlagun,Good,47,"PM
10",1,2021-09-12
Naharlagun,Satisfactory,54,"PM
10",1,2021-09-13
Naharlagun,Good,50,"PM
10",1,2021-09-14
Naharlagun,Good,41,"SO
2",1,2021-09-23
Naharlagun,Good,44,"PM
10",1,2021-09-24
Naharlagun,Good,48,"PM
10",1,2021-09-30
Naharlagun,Satisfactory,51,"PM
10",1,2021-10-05
Naharlagun,Satisfactory,59,"PM
10",1,2021-10-06
Naharlagun,Satisfactory,58,"PM
10",1,2021-10-07
Naharlagun,Satisfactory,64,"PM
10",1,2021-10-08
Naharlagun,Satisfactory,57,"PM
10",1,2021-10-12
Naharlagun,Satisfactory,58,"PM
10",1,2021-10-13
Naharlagun,Satisfactory,51,"PM
10",1,2021-10-14
Naharlagun,Good,49,"PM
10",1,2021-10-15
Naharlagun,Satisfactory,52,"PM
10",1,2021-10-27
Naharlagun,Moderate,185,"O
3",1,2021-10-28
Naharlagun,Poor,233,"O
3",1,2021-10-29
Naharlagun,Good,46,"SO
2",1,2021-10-30
Naharlagun,Satisfactory,62,"PM
10",1,2021-11-02
Naharlagun,Good,48,"PM
10",1,2021-11-06
Naharlagun,Moderate,200,"O
3",1,2021-11-09
Naharlagun,Moderate,136,"O
3",1,2021-11-10
Naharlagun,Satisfactory,71,"PM
10",1,2021-11-16
Naharlagun,Satisfactory,83,"PM
10",1,2021-11-18
Naharlagun,Moderate,175,"O
3",1,2021-11-19
Naharlagun,Moderate,106,"O
3",1,2021-11-26
Naharlagun,Moderate,131,"O
3",1,2021-11-27
Naharlagun,Moderate,109,"O
3",1,2021-11-28
Naharlagun,Satisfactory,92,"PM
10",1,2021-11-29
Naharlagun,Moderate,109,"O
3",1,2021-12-02
Naharlagun,Moderate,123,"O
3",1,2021-12-04
Naharlagun,Moderate,117,"O
3",1,2021-12-05
Naharlagun,Moderate,140,"O
3",1,2021-12-06
Naharlagun,Satisfactory,75,"O
3",1,2021-12-11
Naharlagun,Satisfactory,80,"PM
10",1,2021-12-16
Naharlagun,Satisfactory,83,"PM
10",1,2021-12-17
Naharlagun,Poor,237,"O
3",1,2021-12-22
Naharlagun,Moderate,130,"O
3",1,2021-12-30
Naharlagun,Satisfactory,64,"PM
10",1,2021-12-31
