City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Namakkal,Satisfactory,78,"PM
10",1/1,2025-04-02
Namakkal,Good,39,"PM
10",1/1,2025-04-03
Namakkal,Good,31,"PM
10",1/1,2025-04-04
Namakkal,Satisfactory,69,"PM
10",1/1,2025-04-10
Namakkal,Satisfactory,62,"PM
10",1/1,2025-04-11
Namakkal,Good,45,"PM
10",1/1,2025-04-12
Namakkal,Satisfactory,58,"PM
10",1/1,2025-04-13
Namakkal,Satisfactory,63,"PM
10",1/1,2025-04-14
Namakkal,Satisfactory,59,"PM
10",1/1,2025-04-15
Namakkal,Satisfactory,54,"PM
10",1/1,2025-04-16
Namakkal,Satisfactory,59,"PM
10",1/1,2025-04-17
Namakkal,Satisfactory,62,"PM
10",1/1,2025-04-19
Namakkal,Satisfactory,65,"PM
10",1/1,2025-04-20
Namakkal,Satisfactory,61,"PM
10",1/1,2025-04-21
Namakkal,Satisfactory,70,"PM
10",1/1,2025-04-22
Namakkal,Satisfactory,69,"PM
10",1/1,2025-04-23
Namakkal,Satisfactory,82,"PM
10",1/1,2025-04-24
Namakkal,Satisfactory,80,"PM
10",1/1,2025-04-25
Namakkal,Satisfactory,69,"PM
10",1/1,2025-04-26
Namakkal,Good,47,"PM
10",1/1,2025-04-27
Namakkal,Good,46,"PM
10",1/1,2025-04-29
Namakkal,Satisfactory,51,"PM
10",1/1,2025-04-30
Namakkal,Satisfactory,67,"PM
10",1/1,2025-05-01
Namakkal,Satisfactory,61,"PM
10",1/1,2025-05-02
Namakkal,Satisfactory,59,"PM
10",1/1,2025-05-04
Namakkal,Satisfactory,51,"PM
10",1/1,2025-05-05
Namakkal,Satisfactory,70,"PM
10",1/1,2025-05-06
Namakkal,Satisfactory,52,"PM
10",1/1,2025-05-09
Namakkal,Satisfactory,62,"PM
10",1/1,2025-05-10
Namakkal,Satisfactory,60,"PM
10",1/1,2025-05-11
Namakkal,Satisfactory,54,"PM
10",1/1,2025-05-12
Namakkal,Good,43,"PM
10",1/1,2025-05-13
Namakkal,Good,44,"PM
10",1/1,2025-05-14
Namakkal,Satisfactory,58,"PM
10",1/1,2025-05-16
Namakkal,Good,43,"PM
10",1/1,2025-05-17
Namakkal,Good,41,"PM
10",1/1,2025-05-18
Namakkal,Good,20,"PM
10",1/1,2025-05-19
Namakkal,Satisfactory,52,"PM
10",1/1,2025-05-20
Namakkal,Good,42,"PM
10",1/1,2025-05-21
Namakkal,Satisfactory,53,"PM
10",1/1,2025-05-22
Namakkal,Good,32,"PM
10",1/1,2025-05-24
Namakkal,Good,42,"PM
10",1/1,2025-05-25
Namakkal,Satisfactory,77,"PM
10",1/1,2025-05-26
Namakkal,Satisfactory,57,"PM
10",1/1,2025-05-27
Namakkal,Satisfactory,70,"PM
10",1/1,2025-05-28
Namakkal,Good,14,"PM
10",1/1,2025-05-29
Namakkal,Good,32,"PM
10",1/1,2025-05-30
Namakkal,Good,48,"PM
10",1/1,2025-06-03
Namakkal,Good,41,"PM
10",1/1,2025-06-04
Namakkal,Satisfactory,64,"PM
2.5",1/1,2025-06-05
Namakkal,Satisfactory,66,"PM
2.5",1/1,2025-06-06
Namakkal,Satisfactory,55,"PM
10",1/1,2025-06-07
Namakkal,Satisfactory,54,"PM
10",1/1,2025-06-08
Namakkal,Satisfactory,72,"PM
10",1/1,2025-06-09
Namakkal,Satisfactory,74,"PM
10",1/1,2025-06-10
Namakkal,Satisfactory,68,"PM
10",1/1,2025-06-11
Namakkal,Satisfactory,60,"PM
10",1/1,2025-06-12
Namakkal,Satisfactory,56,"PM
10",1/1,2025-06-13
Namakkal,Satisfactory,51,"PM
10",1/1,2025-06-14
Namakkal,Good,49,"PM
10",1/1,2025-06-15
Namakkal,Good,37,"PM
10",1/1,2025-06-16
Namakkal,Good,39,"PM
10",1/1,2025-06-17
Namakkal,Good,50,"PM
10",1/1,2025-07-31
Namakkal,Satisfactory,65,"PM
2.5",1/1,2025-08-01
Namakkal,Satisfactory,75,"PM
10",1/1,2025-08-29
Namakkal,Satisfactory,83,"PM
10",1/1,2025-09-01
Namakkal,Satisfactory,87,"PM
10",1/1,2025-09-02
Namakkal,Good,48,"PM
10",1/1,2025-09-04
Namakkal,Good,47,"PM
10",1/1,2025-09-05
Namakkal,Satisfactory,53,"PM
10",1/1,2025-09-06
Namakkal,Good,46,"PM
10",1/1,2025-09-07
Namakkal,Good,48,"PM
10",1/1,2025-09-27
Namakkal,Good,50,"PM
10",1/1,2025-09-29
Namakkal,Good,47,"PM
10",1/1,2025-09-30
Namakkal,Good,47,"PM
10",1/1,2025-10-01
Namakkal,Satisfactory,74,"PM
10",1/1,2025-10-02
Namakkal,Good,36,"PM
2.5",1/1,2025-10-03
Namakkal,Satisfactory,96,"PM
10",1/1,2025-10-04
Namakkal,Satisfactory,90,"PM
10",1/1,2025-10-06
Namakkal,Satisfactory,58,"PM
10",1/1,2025-10-07
Namakkal,Good,18,"PM
10",1/1,2025-10-09
Namakkal,Satisfactory,59,"PM
10",1/1,2025-10-11
Namakkal,Satisfactory,54,"PM
10",1/1,2025-10-12
Namakkal,Poor,260,"PM
10",1/1,2025-10-13
Namakkal,Satisfactory,54,"PM
10",1/1,2025-10-14
Namakkal,Satisfactory,73,"PM
10",1/1,2025-10-15
Namakkal,Satisfactory,55,"PM
10",1/1,2025-10-16
Namakkal,Satisfactory,57,"PM
10",1/1,2025-10-18
Namakkal,Satisfactory,55,"PM
10",1/1,2025-10-19
Namakkal,Satisfactory,98,"PM
10",1/1,2025-10-20
Namakkal,Satisfactory,56,"PM
10",1/1,2025-10-21
Namakkal,Good,25,"PM
10",1/1,2025-10-22
Namakkal,Good,26,"PM
10",1/1,2025-10-25
Namakkal,Good,30,"PM
10",1/1,2025-10-26
Namakkal,Good,27,"PM
10",1/1,2025-10-27
Namakkal,Good,37,"PM
10",1/1,2025-10-28
Namakkal,Satisfactory,51,"PM
10",1/1,2025-10-29
Namakkal,Good,26,"PM
10",1/1,2025-10-31
Namakkal,Satisfactory,53,"PM
10",1/1,2025-11-01
Namakkal,Satisfactory,54,"PM
10",1/1,2025-11-02
Namakkal,Satisfactory,74,"PM
10",1/1,2025-11-03
Namakkal,Satisfactory,72,"PM
10",1/1,2025-11-04
Namakkal,Satisfactory,52,"PM
10",1/1,2025-11-05
Namakkal,Good,36,"PM
10",1/1,2025-11-06
Namakkal,Good,23,"PM
10",1/1,2025-11-07
Namakkal,Good,27,"PM
10",1/1,2025-11-08
Namakkal,Good,27,"PM
10",1/1,2025-11-09
Namakkal,Good,49,"PM
10",1/1,2025-11-10
Namakkal,Good,31,"PM
10",1/1,2025-11-11
