City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Narnaul,Poor,215,"PM
2.5",1,2019-02-05
Narnaul,Poor,244,"PM
2.5",1,2019-02-06
Narnaul,Moderate,180,"PM
2.5",1,2019-02-07
Narnaul,Moderate,168,"PM
10",1,2019-02-08
Narnaul,Satisfactory,78,"PM
10",1,2019-02-09
Narnaul,Moderate,194,"PM
2.5",1,2019-02-12
Narnaul,Poor,226,"PM
2.5",1,2019-02-13
Narnaul,Moderate,188,"PM
2.5",1,2019-02-14
Narnaul,Moderate,169,"PM
2.5",1,2019-02-15
Narnaul,Moderate,134,"PM
2.5",1,2019-02-17
Narnaul,Moderate,178,"PM
2.5",1,2019-02-18
Narnaul,Moderate,118,"PM
10",1,2019-02-19
Narnaul,Moderate,198,"PM
2.5",1,2019-02-20
Narnaul,Moderate,146,"PM
2.5",1,2019-02-21
Narnaul,Satisfactory,83,"PM
10",1,2019-02-22
Narnaul,Satisfactory,62,OZONE,1,2019-02-23
Narnaul,Satisfactory,97,"PM
10",1,2019-02-24
Narnaul,Moderate,140,"PM
2.5",1,2019-02-25
Narnaul,Satisfactory,71,"PM
10",1,2019-02-26
Narnaul,Satisfactory,58,"PM
2.5",1,2019-02-27
Narnaul,Moderate,105,"PM
10",1,2019-02-28
Narnaul,Moderate,121,"PM
2.5",1,2019-03-01
Narnaul,Moderate,110,"PM
2.5",1,2019-03-02
Narnaul,Satisfactory,71,"PM
2.5",1,2019-03-03
Narnaul,Satisfactory,73,"PM
2.5",1,2019-03-04
Narnaul,Satisfactory,85,"PM
2.5",1,2019-03-05
Narnaul,Moderate,121,"PM
2.5",1,2019-03-06
Narnaul,Moderate,148,"PM
10",1,2019-03-07
Narnaul,Moderate,102,"PM
2.5",1,2019-03-08
Narnaul,Satisfactory,87,"PM
2.5",1,2019-03-09
Narnaul,Satisfactory,94,"PM
10",1,2019-03-10
Narnaul,Satisfactory,96,"PM
10",1,2019-03-12
Narnaul,Moderate,120,"PM
10",1,2019-03-13
Narnaul,Poor,215,"PM
2.5",1,2019-03-14
Narnaul,Moderate,116,"PM
2.5",1,2019-03-15
Narnaul,Moderate,125,"PM
2.5",1,2019-03-16
Narnaul,Moderate,142,"PM
2.5",1,2019-03-17
Narnaul,Moderate,152,"PM
2.5",1,2019-03-19
Narnaul,Moderate,111,"PM
10",1,2019-03-20
Narnaul,Moderate,161,"PM
2.5",1,2019-03-21
Narnaul,Satisfactory,87,"PM
2.5",1,2019-03-22
Narnaul,Satisfactory,89,"PM
10",1,2019-03-23
Narnaul,Moderate,102,"PM
10",1,2019-03-24
Narnaul,Satisfactory,87,"PM
10",1,2019-03-25
Narnaul,Satisfactory,100,"PM
10",1,2019-03-26
Narnaul,Moderate,118,"PM
2.5",1,2019-03-27
Narnaul,Moderate,154,"PM
10",1,2019-03-28
Narnaul,Moderate,154,"PM
2.5",1,2019-03-29
Narnaul,Moderate,142,"PM
2.5",1,2019-03-30
Narnaul,Moderate,119,"PM
2.5",1,2019-03-31
Narnaul,Moderate,104,"PM
10",1,2019-04-01
Narnaul,Moderate,187,"PM
10",1,2019-04-02
Narnaul,Moderate,135,"PM
10",1,2019-04-03
Narnaul,Moderate,148,"PM
10",1,2019-04-04
Narnaul,Poor,214,"PM
2.5",1,2019-04-05
Narnaul,Moderate,114,"PM
10",1,2019-04-06
Narnaul,Poor,222,"PM
2.5",1,2019-04-07
Narnaul,Moderate,195,"PM
2.5",1,2019-04-08
Narnaul,Moderate,158,"PM
10",1,2019-04-09
Narnaul,Moderate,173,"PM
2.5",1,2019-04-10
Narnaul,Moderate,139,"PM
10",1,2019-04-11
Narnaul,Moderate,188,"PM
10",1,2019-04-12
Narnaul,Moderate,125,"PM
10",1,2019-04-13
Narnaul,Moderate,122,"PM
10",1,2019-04-14
Narnaul,Moderate,149,"PM
10",1,2019-04-15
Narnaul,Moderate,164,"PM
10",1,2019-04-16
Narnaul,Satisfactory,76,"PM
2.5",1,2019-04-17
Narnaul,Satisfactory,59,"PM
2.5",1,2019-04-18
Narnaul,Satisfactory,65,"PM
2.5",1,2019-04-19
Narnaul,Moderate,119,"PM
2.5",1,2019-04-20
Narnaul,Moderate,143,"PM
2.5",1,2019-04-21
Narnaul,Moderate,144,"PM
2.5",1,2019-04-22
Narnaul,Moderate,150,"PM
2.5",1,2019-04-23
Narnaul,Moderate,185,"PM
2.5",1,2019-04-24
Narnaul,Poor,204,"PM
2.5",1,2019-04-25
Narnaul,Moderate,192,"PM
2.5",1,2019-04-26
Narnaul,Moderate,167,"PM
10",1,2019-04-27
Narnaul,Moderate,164,"PM
10",1,2019-04-28
Narnaul,Moderate,162,"PM
10",1,2019-04-29
Narnaul,Moderate,200,"PM
2.5",1,2019-04-30
Narnaul,Moderate,142,"PM
10",1,2019-05-01
Narnaul,Moderate,151,"PM
10",1,2019-05-02
Narnaul,Moderate,138,"PM
10",1,2019-05-06
Narnaul,Moderate,149,"PM
10",1,2019-05-07
Narnaul,Moderate,198,"PM
2.5",1,2019-05-08
Narnaul,Poor,280,"PM
2.5",1,2019-05-09
Narnaul,Moderate,168,"PM
10",1,2019-05-10
Narnaul,Moderate,148,"PM
10",1,2019-05-11
Narnaul,Poor,215,"PM
2.5",1,2019-05-12
