City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Nashik,Satisfactory,87,"PM
10",1#,2016-05-19
Nashik,Satisfactory,62,"PM
10",1#,2016-05-23
Nashik,Satisfactory,55,"PM
10",1#,2016-05-24
Nashik,Good,44,"PM
10",1,2016-05-25
Nashik,Good,40,"O
3",1,2016-05-26
Nashik,Satisfactory,55,"PM
10",1#,2016-05-27
Nashik,Good,45,"PM
10",1#,2016-05-28
Nashik,Good,39,"PM
10",1#,2016-05-29
Nashik,Good,36,"O
3",1,2016-05-30
Nashik,Good,47,"PM
10",1,2016-06-01
Nashik,Satisfactory,52,"PM
10",1,2016-06-02
Nashik,Satisfactory,57,"PM
10",1,2016-06-03
Nashik,Satisfactory,67,"PM
10",1#,2016-06-04
Nashik,Satisfactory,82,"PM
10",1,2016-06-05
Nashik,Moderate,116,"PM
10",1#,2016-06-07
Nashik,Satisfactory,83,"PM
10",1#,2016-06-08
Nashik,Satisfactory,60,"PM
10",1#,2016-06-10
Nashik,Satisfactory,84,"PM
10",1,2016-06-11
Nashik,Satisfactory,63,"PM
10",1,2016-06-13
Nashik,Satisfactory,68,"PM
10",1,2016-06-14
Nashik,Satisfactory,81,"PM
10",1#,2016-06-15
Nashik,Moderate,136,"PM
10",1,2016-06-16
Nashik,Moderate,126,"PM
10",1,2016-06-17
Nashik,Moderate,112,"PM
10",1,2016-06-18
Nashik,Satisfactory,100,"PM
10",1,2016-06-19
Nashik,Satisfactory,91,"PM
10",1#,2016-06-20
Nashik,Good,42,"O
3",1,2016-06-21
Nashik,Good,31,"O
3",1#,2016-06-22
Nashik,Good,46,"PM
10",1,2016-06-23
Nashik,Good,45,"PM
10",1,2016-06-24
Nashik,Satisfactory,57,"PM
10",1#,2016-06-28
Nashik,Good,47,"PM
10",1,2016-06-29
Nashik,Satisfactory,58,"PM
10",1,2016-06-30
Nashik,Good,38,"PM
10",1,2016-07-01
Nashik,Good,31,"PM
10",1,2016-07-02
Nashik,Good,31,"PM
10",1,2016-07-03
Nashik,Good,28,"PM
10",1#,2016-07-05
Nashik,Satisfactory,52,"PM
10",1#,2016-07-06
Nashik,Satisfactory,57,"PM
10",1#,2016-07-07
Nashik,Satisfactory,55,"PM
10",1#,2016-07-08
Nashik,Good,38,"PM
10",1#,2016-07-09
Nashik,Good,36,"PM
10",1,2016-07-10
Nashik,Good,35,"NO
2",1,2016-07-19
Nashik,Good,29,"NO
2",1,2016-07-20
Nashik,Good,23,"NO
2",1,2016-07-26
Nashik,Good,26,"NO
2",1#,2016-07-27
Nashik,Good,31,"NO
2",1#,2016-07-28
Nashik,Good,24,"PM
10",1,2016-07-29
Nashik,Good,42,CO,1,2016-07-30
Nashik,Good,28,"PM
10",1#,2016-07-31
Nashik,Good,23,"PM
10",1,2016-08-01
Nashik,Good,28,CO,1,2016-08-02
Nashik,Good,31,CO,1#,2016-08-05
Nashik,Good,22,"NO
2",1,2016-08-06
Nashik,Good,39,"PM
10",1#,2016-08-07
Nashik,Good,37,"PM
10",1#,2016-08-08
Nashik,Good,24,CO,1#,2016-08-10
Nashik,Good,26,"PM
10",1#,2016-08-11
Nashik,Good,44,"PM
10",1,2016-08-12
Nashik,Good,28,"PM
10",1#,2016-08-13
Nashik,Good,33,"PM
10",1#,2016-08-14
Nashik,Good,38,"PM
10",1,2016-08-16
Nashik,Good,42,"PM
10",1#,2016-08-17
Nashik,Good,31,"PM
10",1,2016-08-18
Nashik,Good,49,"PM
10",1,2016-08-20
Nashik,Good,32,"PM
10",1#,2016-08-21
Nashik,Good,31,"PM
10",1,2016-08-22
Nashik,Good,28,"PM
10",1,2016-08-23
Nashik,Good,41,"PM
10",1#,2016-08-26
Nashik,Good,31,"PM
10",1#,2016-08-28
Nashik,Good,40,"PM
10",1#,2016-08-30
Nashik,Good,34,"PM
10",1,2016-08-31
Nashik,Good,38,"PM
10",1#,2016-09-01
Nashik,Good,37,"PM
10",1,2016-09-03
Nashik,Good,33,"O
3",1#,2016-09-05
Nashik,Good,33,"O
3",1#,2016-09-06
Nashik,Good,37,"PM
10",1#,2016-09-07
Nashik,Good,35,"NO
2",1,2016-09-08
Nashik,Good,30,"PM
10",1,2016-09-09
Nashik,Good,30,"PM
10",1,2016-09-10
Nashik,Good,29,"PM
10",1,2016-09-11
Nashik,Good,33,"O
3",1,2016-09-13
Nashik,Good,42,"O
3",1#,2016-09-15
Nashik,Good,46,"O
3",1,2016-09-16
Nashik,Good,31,"O
3",1#,2016-09-20
