City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Ooty,Satisfactory,56,CO,1,2022-08-27
Ooty,Satisfactory,56,CO,1,2022-08-28
Ooty,Satisfactory,56,CO,1,2022-08-29
Ooty,Satisfactory,56,CO,1,2022-08-30
Ooty,Satisfactory,56,CO,1,2022-08-31
Ooty,Satisfactory,56,CO,1,2022-09-01
Ooty,Satisfactory,64,CO,1,2022-09-02
Ooty,Satisfactory,64,CO,1,2022-09-03
Ooty,Satisfactory,64,CO,1,2022-09-04
Ooty,Good,47,"SO
2",1,2022-09-05
Ooty,Good,47,"SO
2",1,2022-09-06
Ooty,Good,47,"SO
2",1,2022-09-07
Ooty,Good,47,"SO
2",1,2022-09-08
Ooty,Good,48,"SO
2",1,2022-09-09
Ooty,Good,47,"SO
2",1,2022-09-10
Ooty,Good,47,"SO
2",1,2022-09-11
Ooty,Good,48,"SO
2",1,2022-09-12
Ooty,Good,48,"SO
2",1,2022-09-13
Ooty,Good,49,"PM
10",1,2022-09-14
Ooty,Good,50,"SO
2",1,2022-09-15
Ooty,Satisfactory,64,"PM
10",1,2022-09-18
Ooty,Satisfactory,52,"PM
10",1,2022-09-19
Ooty,Good,47,"SO
2",1,2022-09-20
Ooty,Good,47,"SO
2",1,2022-09-21
Ooty,Satisfactory,54,"PM
10",1,2022-09-22
Ooty,Satisfactory,60,"PM
10",1,2022-09-23
Ooty,Good,49,"PM
10",1,2022-09-24
Ooty,Satisfactory,62,"PM
10",1,2022-09-25
Ooty,Good,46,"SO
2",1,2022-09-26
Ooty,Satisfactory,62,"PM
10",1,2022-09-28
Ooty,Satisfactory,57,"PM
10",1,2022-09-29
Ooty,Good,48,"PM
10",1,2022-09-30
Ooty,Good,47,"SO
2",1,2022-10-01
Ooty,Good,47,"SO
2",1,2022-10-02
Ooty,Good,48,"PM
10",1,2022-10-03
Ooty,Satisfactory,63,"PM
10",1,2022-10-04
Ooty,Satisfactory,61,"PM
10",1,2022-10-07
Ooty,Good,47,"SO
2",1,2022-10-09
Ooty,Good,48,"SO
2",1,2022-10-10
Ooty,Good,49,"SO
2",1,2022-10-11
Ooty,Good,49,"SO
2",1,2022-10-12
Ooty,Good,48,"SO
2",1,2022-10-13
Ooty,Good,49,"SO
2",1,2022-10-14
Ooty,Good,49,"SO
2",1,2022-10-15
Ooty,Good,48,"SO
2",1,2022-10-18
Ooty,Satisfactory,56,CO,1,2022-10-19
Ooty,Satisfactory,60,CO,1,2022-10-20
Ooty,Satisfactory,56,CO,1,2022-10-22
Ooty,Satisfactory,51,"PM
10",1,2022-10-23
Ooty,Satisfactory,52,"PM
10",1,2022-10-24
Ooty,Satisfactory,57,"PM
10",1,2022-10-25
Ooty,Satisfactory,76,"PM
10",1,2022-10-26
Ooty,Satisfactory,86,"PM
10",1,2022-10-27
Ooty,Satisfactory,82,"PM
2.5",1,2022-10-28
Ooty,Satisfactory,60,"PM
10",1,2022-11-01
Ooty,Good,48,"SO
2",1,2022-11-02
Ooty,Good,49,"SO
2",1,2022-11-03
Ooty,Good,49,"SO
2",1,2022-11-04
Ooty,Satisfactory,51,"SO
2",1,2022-11-05
Ooty,Good,48,"SO
2",1,2022-11-06
Ooty,Good,49,"SO
2",1,2022-11-07
Ooty,Good,49,"SO
2",1,2022-11-08
Ooty,Good,50,"PM
10",1,2022-11-09
Ooty,Satisfactory,61,"PM
10",1,2022-11-10
Ooty,Satisfactory,51,"SO
2",1,2022-11-11
Ooty,Good,48,"SO
2",1,2022-11-12
Ooty,Good,49,"SO
2",1,2022-11-14
Ooty,Good,49,"SO
2",1,2022-11-15
Ooty,Satisfactory,57,"PM
10",1,2022-11-16
Ooty,Satisfactory,68,"PM
10",1,2022-11-17
Ooty,Satisfactory,84,"PM
10",1,2022-11-18
Ooty,Satisfactory,85,"PM
10",1,2022-11-19
Ooty,Satisfactory,89,"PM
10",1,2022-11-20
Ooty,Satisfactory,85,"PM
10",1,2022-11-21
Ooty,Satisfactory,84,"PM
10",1,2022-11-22
Ooty,Satisfactory,76,CO,1,2022-11-23
Ooty,Satisfactory,64,"PM
10",1,2022-11-24
Ooty,Satisfactory,51,"PM
2.5",1,2022-11-25
Ooty,Good,49,"SO
2",1,2022-11-26
Ooty,Satisfactory,64,"PM
10",1,2022-11-27
Ooty,Satisfactory,56,"PM
2.5",1,2022-11-28
Ooty,Satisfactory,91,"PM
2.5",1,2022-11-30
Ooty,Satisfactory,84,"PM
10",1,2022-12-01
Ooty,Good,49,"SO
2",1,2022-12-02
Ooty,Good,49,"SO
2",1,2022-12-03
Ooty,Good,49,"SO
2",1,2022-12-04
Ooty,Good,50,CO,1,2022-12-05
Ooty,Satisfactory,71,"PM
10",1,2022-12-06
Ooty,Satisfactory,79,"PM
10",1,2022-12-07
Ooty,Satisfactory,62,CO,1,2022-12-08
Ooty,Satisfactory,51,"SO
2",1,2022-12-09
Ooty,Good,49,"SO
2",1,2022-12-13
Ooty,Good,49,"SO
2",1,2022-12-14
Ooty,Good,49,"SO
2",1,2022-12-15
Ooty,Good,49,"SO
2",1,2022-12-16
Ooty,Satisfactory,57,CO,1,2022-12-17
Ooty,Satisfactory,64,CO,1,2022-12-18
Ooty,Satisfactory,70,CO,1,2022-12-19
Ooty,Satisfactory,76,CO,1,2022-12-20
Ooty,Satisfactory,82,CO,1,2022-12-21
Ooty,Satisfactory,86,CO,1,2022-12-22
Ooty,Satisfactory,54,"PM
10",1,2022-12-23
Ooty,Satisfactory,58,"PM
10",1,2022-12-24
Ooty,Good,48,"SO
2",1,2022-12-25
Ooty,Satisfactory,73,"PM
10",1,2022-12-29
Ooty,Satisfactory,81,"PM
10",1,2022-12-30
Ooty,Satisfactory,86,"PM
10",1,2022-12-31
Ooty,Satisfactory,69,"PM
10",1,2023-01-01
Ooty,Satisfactory,53,"PM
2.5",1,2023-01-02
Ooty,Satisfactory,52,"PM
10",1,2023-01-03
Ooty,Satisfactory,71,"PM
2.5",1,2023-01-04
Ooty,Satisfactory,71,"PM
2.5",1,2023-01-05
Ooty,Good,48,"PM
2.5",1,2023-01-06
Ooty,Good,47,"SO
2",1,2023-01-07
Ooty,Satisfactory,62,"PM
2.5",1,2023-01-08
Ooty,Satisfactory,65,"PM
10",1,2023-01-09
Ooty,Satisfactory,62,"PM
10",1,2023-01-10
Ooty,Satisfactory,61,"PM
10",1,2023-01-12
Ooty,Satisfactory,84,"PM
10",1,2023-01-13
Ooty,Satisfactory,66,"PM
10",1,2023-01-14
Ooty,Satisfactory,77,"PM
10",1,2023-01-15
Ooty,Satisfactory,82,"PM
10",1,2023-01-16
Ooty,Satisfactory,63,"PM
10",1,2023-01-18
Ooty,Satisfactory,73,"PM
10",1,2023-01-19
Ooty,Satisfactory,61,"PM
10",1,2023-01-20
Ooty,Satisfactory,81,"PM
2.5",1,2023-01-22
Ooty,Good,50,"PM
2.5",1,2023-01-23
Ooty,Good,46,"SO
2",1,2023-01-24
Ooty,Satisfactory,52,"PM
2.5",1,2023-01-25
Ooty,Good,49,"PM
10",1,2023-01-26
Ooty,Satisfactory,73,"PM
10",1,2023-01-27
Ooty,Satisfactory,75,"PM
10",1,2023-01-28
Ooty,Satisfactory,67,"PM
10",1,2023-01-29
Ooty,Satisfactory,63,"PM
2.5",1,2023-01-30
Ooty,Satisfactory,58,"PM
2.5",1,2023-01-31
Ooty,Good,48,"PM
2.5",1,2023-02-01
Ooty,Good,47,"SO
2",1,2023-02-05
Ooty,Satisfactory,80,"PM
10",1,2023-02-06
Ooty,Satisfactory,93,"PM
2.5",1,2023-02-07
Ooty,Moderate,112,"PM
2.5",1,2023-02-08
Ooty,Satisfactory,96,"PM
2.5",1,2023-02-09
Ooty,Satisfactory,65,"PM
2.5",1,2023-02-10
Ooty,Satisfactory,56,"PM
10",1,2023-02-14
Ooty,Satisfactory,65,"PM
10",1,2023-02-15
Ooty,Satisfactory,58,"PM
10",1,2023-02-17
Ooty,Satisfactory,84,"PM
10",1,2023-02-18
Ooty,Satisfactory,85,"PM
2.5",1,2023-02-19
Ooty,Satisfactory,80,"PM
2.5",1,2023-02-20
Ooty,Satisfactory,89,"PM
2.5",1,2023-02-21
Ooty,Satisfactory,74,"PM
2.5",1,2023-02-22
Ooty,Satisfactory,53,"PM
10",1,2023-02-24
Ooty,Satisfactory,67,"PM
2.5",1,2023-02-25
Ooty,Satisfactory,76,CO,1,2023-02-26
Ooty,Satisfactory,71,"PM
10",1,2023-02-27
Ooty,Satisfactory,54,"PM
10",1,2023-02-28
Ooty,Satisfactory,51,"PM
2.5",1,2023-03-01
Ooty,Satisfactory,55,"PM
2.5",1,2023-03-02
Ooty,Good,47,"SO
2",1,2023-03-03
Ooty,Good,48,"SO
2",1,2023-03-04
