City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-17
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-18
Palkalaiperur,Satisfactory,53,"SO
2",1,2023-03-19
Palkalaiperur,Satisfactory,53,"SO
2",1,2023-03-20
Palkalaiperur,Satisfactory,53,"SO
2",1,2023-03-21
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-22
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-23
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-24
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-25
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-26
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-27
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-28
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-29
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-03-30
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-03-31
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-01
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-02
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-03
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-04
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-05
Palkalaiperur,Satisfactory,52,"SO
2",1,2023-04-06
Palkalaiperur,Good,50,"SO
2",1,2023-04-08
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-09
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-10
Palkalaiperur,Satisfactory,77,CO,1,2023-04-11
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-12
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-13
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-14
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-18
Palkalaiperur,Satisfactory,51,"SO
2",1,2023-04-19
Palkalaiperur,Good,50,"SO
2",1,2023-04-20
Palkalaiperur,Satisfactory,100,CO,1,2023-05-02
Palkalaiperur,Satisfactory,71,CO,1,2023-05-03
Palkalaiperur,Satisfactory,59,"SO
2",1,2023-05-04
