City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Palwal,Moderate,191,"PM
2.5",1,2019-01-09
Palwal,Poor,294,"PM
2.5",1,2019-01-11
Palwal,Moderate,112,"PM
2.5",1,2019-01-15
Palwal,Poor,232,"PM
2.5",1,2019-01-16
Palwal,Very Poor,360,"PM
2.5",1,2019-01-17
Palwal,Very Poor,321,"PM
2.5",1,2019-01-18
Palwal,Very Poor,308,"PM
2.5",1,2019-01-20
Palwal,Poor,279,"PM
2.5",1,2019-01-21
Palwal,Satisfactory,84,"PM
2.5",1,2019-01-22
Palwal,Moderate,169,"PM
2.5",1,2019-01-23
Palwal,Poor,264,"PM
2.5",1,2019-01-24
Palwal,Moderate,110,"PM
2.5",1,2019-01-25
Palwal,Moderate,162,"PM
2.5",1,2019-01-26
Palwal,Moderate,110,"PM
2.5",1,2019-01-27
Palwal,Moderate,130,"PM
2.5",1,2019-01-28
Palwal,Moderate,113,"PM
2.5",1,2019-01-29
Palwal,Moderate,167,"PM
2.5",1,2019-01-30
Palwal,Poor,216,"PM
2.5",1,2019-01-31
Palwal,Poor,218,"PM
2.5",1,2019-02-01
Palwal,Poor,230,"PM
2.5",1,2019-02-02
Palwal,Poor,226,"PM
2.5",1,2019-02-03
Palwal,Moderate,170,"PM
2.5",1,2019-02-04
Palwal,Poor,276,"PM
2.5",1,2019-02-05
Palwal,Poor,282,"PM
2.5",1,2019-02-06
Palwal,Moderate,110,"PM
2.5",1,2019-02-07
Palwal,Moderate,116,"PM
10",1,2019-02-08
Palwal,Satisfactory,88,"PM
10",1,2019-02-09
Palwal,Moderate,113,"PM
2.5",1,2019-02-10
Palwal,Poor,224,"PM
2.5",1,2019-02-11
Palwal,Poor,262,"PM
2.5",1,2019-02-12
Palwal,Poor,282,"PM
2.5",1,2019-02-13
Palwal,Moderate,171,"PM
2.5",1,2019-02-15
Palwal,Moderate,174,"PM
2.5",1,2019-02-16
Palwal,Moderate,110,"PM
2.5",1,2019-02-17
Palwal,Moderate,169,"PM
2.5",1,2019-02-18
Palwal,Moderate,150,"PM
2.5",1,2019-02-19
Palwal,Poor,206,"PM
2.5",1,2019-02-20
Palwal,Moderate,105,"PM
2.5",1,2019-02-21
Palwal,Moderate,138,"PM
2.5",1,2019-02-22
Palwal,Satisfactory,68,"PM
10",1,2019-02-23
Palwal,Satisfactory,87,"PM
10",1,2019-02-24
Palwal,Moderate,156,"PM
2.5",1,2019-02-25
Palwal,Moderate,104,"PM
2.5",1,2019-02-26
Palwal,Satisfactory,77,"PM
2.5",1,2019-02-27
Palwal,Moderate,154,"PM
2.5",1,2019-02-28
Palwal,Moderate,138,"PM
2.5",1,2019-03-01
Palwal,Poor,245,"PM
2.5",1,2019-03-02
Palwal,Satisfactory,93,"PM
2.5",1,2019-03-03
Palwal,Satisfactory,97,CO,1,2019-03-04
Palwal,Satisfactory,87,"PM
2.5",1,2019-03-05
Palwal,Moderate,128,"PM
2.5",1,2019-03-06
Palwal,Moderate,152,"PM
2.5",1,2019-03-07
Palwal,Moderate,170,"PM
2.5",1,2019-03-08
Palwal,Moderate,190,"PM
2.5",1,2019-03-09
Palwal,Moderate,109,"PM
10",1,2019-03-10
Palwal,Moderate,165,"PM
2.5",1,2019-03-11
Palwal,Moderate,130,"PM
2.5",1,2019-03-12
Palwal,Moderate,151,"PM
10",1,2019-03-13
Palwal,Poor,256,"PM
2.5",1,2019-03-14
Palwal,Satisfactory,93,"PM
10",1,2019-03-15
Palwal,Satisfactory,94,"PM
10",1,2019-03-16
Palwal,Moderate,128,"PM
2.5",1,2019-03-17
Palwal,Moderate,133,"PM
2.5",1,2019-03-18
Palwal,Moderate,143,"PM
2.5",1,2019-03-19
Palwal,Moderate,151,"PM
2.5",1,2019-03-20
Palwal,Moderate,170,"PM
2.5",1,2019-03-21
Palwal,Moderate,107,"PM
10",1,2019-03-22
Palwal,Satisfactory,100,"PM
10",1,2019-03-23
Palwal,Moderate,105,"PM
10",1,2019-03-24
Palwal,Moderate,118,"PM
10",1,2019-03-25
Palwal,Moderate,118,"PM
10",1,2019-03-26
Palwal,Moderate,123,"PM
10",1,2019-03-27
Palwal,Moderate,151,"PM
2.5",1,2019-03-28
Palwal,Poor,227,"PM
2.5",1,2019-03-29
Palwal,Poor,238,"PM
2.5",1,2019-03-30
Palwal,Moderate,125,"PM
10",1,2019-03-31
Palwal,Moderate,117,"PM
10",1,2019-04-01
Palwal,Moderate,127,"PM
10",1,2019-04-02
Palwal,Moderate,160,"PM
2.5",1,2019-04-03
Palwal,Moderate,198,"PM
2.5",1,2019-04-04
Palwal,Poor,280,"PM
2.5",1,2019-04-05
Palwal,Poor,226,"PM
2.5",1,2019-04-06
Palwal,Poor,277,"PM
2.5",1,2019-04-07
Palwal,Poor,247,"PM
2.5",1,2019-04-08
Palwal,Poor,209,"PM
2.5",1,2019-04-09
